ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
ABIO,75.1,394.8,519.0,116,174.0,6039,13802.0,6068800,17053956.0,0.16,0.16,-0.39,-0.47,100.53,123.56,107.66,113.25,111.28,112.98,107.74,107.74,0.0034,1541,1685566,107,109.38,-3.1812,35,72,262649,1422917,237,1304,-0.69,110.82,109.12,9.0,82.0,208.0,294.0,75.1,394.8,519.0,116,174.0,6039,13802.0,6068800,17053956.0,0.16,0.16,-0.39,-0.47,100.53,123.56,107.66,113.25,2023-08-18 10:05:00
ABIO,109.6,459.0,513.6,106,190.0,6486,15158.0,6438203,18670760.0,0.25,0.24,-0.4,-0.49,99.25,123.18,106.64,112.11,109.0,110.62,107.1,109.0,0.0056,935,1011357,78,108.17,0.0,23,55,183360,827997,167,768,-0.64,109.8,107.81,68.0,142.0,159.0,296.0,109.6,459.0,513.6,106,190.0,6486,15158.0,6438203,18670760.0,0.25,0.24,-0.4,-0.49,99.25,123.18,106.64,112.11,2023-08-18 10:10:00
ABIO,51.3,311.8,259.6,115,199.0,8153,16167.0,8221440,19800933.0,-0.03,-0.03,-0.33,-0.41,100.79,122.48,107.79,110.58,107.62,110.6,107.62,110.14,0.0032,945,1036616,50,109.69,2.3416,30,20,706286,330330,643,302,0.36,109.84,109.38,2.0,239.0,2.0,297.0,51.3,311.8,259.6,115,199.0,8153,16167.0,8221440,19800933.0,-0.03,-0.03,-0.33,-0.41,100.79,122.48,107.79,110.58,2023-08-18 10:15:00
ABIO,41.7,342.8,232.9,125,199.0,8978,16821.0,9108276,20542332.0,0.54,0.54,-0.3,-0.39,101.44,122.12,108.55,111.08,110.14,110.56,108.02,109.3,0.0027,600,658180,37,109.7,-0.7627,11,26,49629,608551,45,555,-0.85,110.29,109.65,3.0,20.0,287.0,287.0,41.7,342.8,232.9,125,199.0,8978,16821.0,9108276,20542332.0,0.54,0.54,-0.3,-0.39,101.44,122.12,108.55,111.08,2023-08-18 10:20:00
ABIO,71.1,297.6,303.5,123,208.0,8420,17226.0,8497638,21008861.0,0.35,0.35,-0.34,-0.42,100.92,121.95,107.67,110.94,109.0,109.28,108.0,108.26,0.0032,550,594718,44,108.13,-0.6789,12,32,24003,570714,22,528,-0.92,109.11,108.09,13.0,66.0,90.0,299.0,71.1,297.6,303.5,123,208.0,8420,17226.0,8497638,21008861.0,0.35,0.35,-0.34,-0.42,100.92,121.95,107.67,110.94,2023-08-18 10:25:00
ABIO,94.1,279.2,285.2,128,212.0,8621,17735.0,8712060,21601691.0,-0.2,-0.21,-0.35,-0.43,101.05,121.8,107.7,110.77,108.26,110.0,108.0,108.1,0.004,960,1041883,85,108.53,-0.1478,39,46,241666,800217,221,739,-0.54,109.35,108.28,1.0,98.0,48.0,290.0,94.1,279.2,285.2,128,212.0,8621,17735.0,8712060,21601691.0,-0.2,-0.21,-0.35,-0.43,101.05,121.8,107.7,110.77,2023-08-18 10:30:00
ABIO,89.8,274.2,286.2,181,221.0,9001,17907.0,9110433,21840501.0,-0.32,-0.32,-0.33,-0.41,101.2,121.96,107.95,111.04,109.5,110.5,109.06,110.0,0.0027,499,549155,46,110.05,0.4566,34,12,485708,63447,441,58,0.77,110.14,109.39,5.0,43.0,129.0,254.0,89.8,274.2,286.2,181,221.0,9001,17907.0,9110433,21840501.0,-0.32,-0.32,-0.33,-0.41,101.2,121.96,107.95,111.04,2023-08-18 10:35:00
ABIO,61.1,249.1,264.5,228,225.0,8765,18190.0,8858906,22169138.0,0.45,0.45,-0.35,-0.43,101.07,121.87,108.17,111.03,109.16,110.0,109.16,110.0,0.0028,64,70114,14,109.55,0.7695,8,6,30790,39324,28,36,-0.12,109.96,109.24,112.0,258.0,112.0,258.0,61.1,249.1,264.5,228,225.0,8765,18190.0,8858906,22169138.0,0.45,0.45,-0.35,-0.43,101.07,121.87,108.17,111.03,2023-08-18 10:40:00
ABIO,52.6,239.5,259.2,225,220.0,8709,18382.0,8798356,22388461.0,-0.41,-0.41,-0.36,-0.44,101.02,121.79,108.07,110.87,109.98,110.0,108.22,108.22,0.0018,363,396100,33,109.12,-1.6003,8,25,75239,320861,69,294,-0.62,109.04,109.14,12.0,55.0,293.0,293.0,52.6,239.5,259.2,225,220.0,8709,18382.0,8798356,22388461.0,-0.41,-0.41,-0.36,-0.44,101.02,121.79,108.07,110.87,2023-08-18 10:45:00
ABIO,10.6,176.8,254.5,221,248.0,8564,18838.0,8640180,22918689.0,-0.52,-0.52,-0.37,-0.45,100.88,121.66,107.85,110.6,108.98,109.0,108.88,108.88,0.0004,28,30505,11,108.95,-0.0918,9,2,27238,3267,25,3,0.79,108.95,108.91,9.0,9.0,88.0,288.0,10.6,176.8,254.5,221,248.0,8564,18838.0,8640180,22918689.0,-0.52,-0.52,-0.37,-0.45,100.88,121.66,107.85,110.6,2023-08-18 10:50:00
ABIO,40.3,161.1,258.1,217,254.0,8502,19454.0,8566758,23645113.0,-0.3,-0.3,-0.39,-0.47,100.75,121.54,107.64,110.42,108.84,108.88,108.0,108.86,0.0014,342,369917,39,108.16,0.0184,12,27,35883,334034,33,309,-0.81,108.74,108.1,5.0,68.0,50.0,289.0,40.3,161.1,258.1,217,254.0,8502,19454.0,8566758,23645113.0,-0.3,-0.3,-0.39,-0.47,100.75,121.54,107.64,110.42,2023-08-18 10:55:00
ABIO,45.0,150.0,225.6,218,257.0,8626,19721.0,8696822,23946967.0,-0.21,-0.21,-0.39,-0.47,100.82,121.43,107.65,110.08,108.86,108.86,108.02,108.78,0.0014,157,170363,31,108.51,-0.0735,11,20,31550,138813,29,128,-0.63,108.79,108.45,31.0,31.0,113.0,283.0,45.0,150.0,225.6,218,257.0,8626,19721.0,8696822,23946967.0,-0.21,-0.21,-0.39,-0.47,100.82,121.43,107.65,110.08,2023-08-18 11:00:00
ABIO,11.4,146.1,211.6,222,257.0,8731,19767.0,8811054,23998305.0,0.05,0.05,-0.39,-0.46,100.91,121.41,107.78,110.06,108.78,108.88,108.78,108.8,0.0002,220,239423,20,108.83,0.0184,12,8,165439,73984,152,68,0.38,108.84,108.8,32.0,46.0,32.0,273.0,11.4,146.1,211.6,222,257.0,8731,19767.0,8811054,23998305.0,0.05,0.05,-0.39,-0.46,100.91,121.41,107.78,110.06,2023-08-18 11:05:00
ABIO,7.9,140.4,202.0,221,257.0,10001,19774.0,10172751,24014584.0,-0.68,-0.68,-0.33,-0.41,101.65,121.44,107.93,110.11,108.8,108.8,108.78,108.8,0.0001,112,121836,10,108.78,0.0,9,1,112045,9790,103,9,0.84,108.78,108.78,5.0,5.0,27.0,210.0,7.9,140.4,202.0,221,257.0,10001,19774.0,10172751,24014584.0,-0.68,-0.68,-0.33,-0.41,101.65,121.44,107.93,110.11,2023-08-18 11:10:00
ABIO,25.7,137.3,207.7,222,257.0,10844,19817.0,11074004,24079921.0,-0.57,-0.58,-0.29,-0.37,102.12,121.51,107.94,110.19,108.8,108.8,108.74,108.76,0.0001,87,94629,8,108.77,-0.0368,6,2,77224,17404,71,16,0.63,108.77,108.78,36.0,36.0,221.0,281.0,25.7,137.3,207.7,222,257.0,10844,19817.0,11074004,24079921.0,-0.57,-0.58,-0.29,-0.37,102.12,121.51,107.94,110.19,2023-08-18 11:15:00
ABIO,7.6,127.6,199.1,222,258.0,10837,19901.0,11064010,24174422.0,-0.38,-0.38,-0.29,-0.37,102.09,121.47,107.92,110.07,108.38,108.8,108.36,108.8,0.0007,233,252603,21,108.41,0.3875,16,5,237432,15170,219,14,0.88,108.42,108.36,41.0,300.0,41.0,300.0,7.6,127.6,199.1,222,258.0,10837,19901.0,11064010,24174422.0,-0.38,-0.38,-0.29,-0.37,102.09,121.47,107.92,110.07,2023-08-18 11:20:00
