ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
AFKS,11.4,38.3,20.8,249,168.0,19729,35396.0,32621160,64865776.0,-0.06,-0.06,-0.28,-0.33,16.532,18.334,17.458,17.495,17.4,17.548,17.371,17.483,0.0007,9994,17465146,340,17.476,0.477,213,127,9852745,7612400,5637,4357,0.13,17.479,17.472,2.0,162.0,6.0,295.0,11.4,38.3,20.8,249,168.0,19729,35396.0,32621160,64865776.0,-0.06,-0.06,-0.28,-0.33,16.532,18.334,17.458,17.495,2020-07-06 10:05:00
AFKS,8.3,23.0,16.5,263,211.0,21090,42407.0,34876502,77417398.0,-0.3,-0.3,-0.34,-0.38,16.539,18.256,17.448,17.476,17.465,17.498,17.421,17.434,0.0004,4382,7653236,185,17.465,-0.1775,99,86,3494053,4159182,1999,2383,-0.09,17.479,17.454,2.0,49.0,269.0,293.0,8.3,23.0,16.5,263,211.0,21090,42407.0,34876502,77417398.0,-0.3,-0.3,-0.34,-0.38,16.539,18.256,17.448,17.476,2020-07-06 10:10:00
AFKS,6.6,22.2,13.2,268,223.0,25324,47828.0,41754567,87875756.0,-0.07,-0.07,-0.31,-0.35,16.487,18.361,17.432,17.455,17.434,17.467,17.42,17.453,0.0003,3007,5245099,160,17.443,0.109,85,75,2929396,2315703,1679,1328,0.12,17.447,17.438,1.0,284.0,114.0,293.0,6.6,22.2,13.2,268,223.0,25324,47828.0,41754567,87875756.0,-0.07,-0.07,-0.31,-0.35,16.487,18.361,17.432,17.455,2020-07-06 10:15:00
AFKS,6.6,23.5,13.1,262,230.0,25570,54073.0,42133850,99932604.0,-0.28,-0.28,-0.36,-0.41,16.477,18.481,17.426,17.448,17.461,17.488,17.416,17.423,0.0003,3229,5634110,136,17.448,-0.2176,73,63,1708060,3926050,978,2251,-0.39,17.465,17.441,1.0,9.0,276.0,299.0,6.6,23.5,13.1,262,230.0,25570,54073.0,42133850,99932604.0,-0.28,-0.28,-0.36,-0.41,16.477,18.481,17.426,17.448,2020-07-06 10:20:00
AFKS,5.4,28.7,15.2,260,247.0,25693,55427.0,42293568,102324393.0,0.13,0.13,-0.37,-0.42,16.461,18.461,17.379,17.406,17.424,17.429,17.333,17.381,0.0003,4047,7031441,153,17.374,-0.2468,55,98,1969014,5062427,1134,2913,-0.44,17.363,17.379,3.0,61.0,184.0,300.0,5.4,28.7,15.2,260,247.0,25693,55427.0,42293568,102324393.0,0.13,0.13,-0.37,-0.42,16.461,18.461,17.379,17.406,2020-07-06 10:25:00
AFKS,7.6,28.3,15.9,270,252.0,27138,56680.0,44740969,104561933.0,0.02,0.02,-0.35,-0.4,16.486,18.448,17.37,17.397,17.381,17.409,17.363,17.4,0.0004,1390,2416567,95,17.385,0.1093,55,40,824184,1592382,474,916,-0.32,17.388,17.384,13.0,66.0,230.0,298.0,7.6,28.3,15.9,270,252.0,27138,56680.0,44740969,104561933.0,0.02,0.02,-0.35,-0.4,16.486,18.448,17.37,17.397,2020-07-06 10:30:00
AFKS,6.5,27.0,11.7,282,251.0,29053,57438.0,48043717,105903601.0,-0.26,-0.26,-0.33,-0.38,16.536,18.438,17.38,17.4,17.4,17.412,17.372,17.385,0.0003,2067,3594274,115,17.389,-0.0862,76,39,1328983,2265291,764,1303,-0.26,17.395,17.385,2.0,22.0,102.0,300.0,6.5,27.0,11.7,282,251.0,29053,57438.0,48043717,105903601.0,-0.26,-0.26,-0.33,-0.38,16.536,18.438,17.38,17.4,2020-07-06 10:35:00
AFKS,4.8,26.2,10.6,289,253.0,28853,58683.0,47686628,108076587.0,-0.38,-0.38,-0.34,-0.39,16.527,18.417,17.381,17.399,17.39,17.41,17.38,17.41,0.0003,1561,2715473,70,17.396,0.115,51,19,2155502,559971,1239,322,0.59,17.397,17.39,4.0,296.0,210.0,300.0,4.8,26.2,10.6,289,253.0,28853,58683.0,47686628,108076587.0,-0.38,-0.38,-0.34,-0.39,16.527,18.417,17.381,17.399,2020-07-06 10:40:00
AFKS,5.9,23.7,11.3,301,254.0,29959,58403.0,49609749,107613700.0,0.23,0.23,-0.32,-0.37,16.559,18.426,17.407,17.426,17.414,17.44,17.404,17.42,0.0003,1055,1837736,60,17.419,0.0345,43,17,1438809,398926,826,229,0.57,17.419,17.42,26.0,214.0,28.0,295.0,5.9,23.7,11.3,301,254.0,29959,58403.0,49609749,107613700.0,0.23,0.23,-0.32,-0.37,16.559,18.426,17.407,17.426,2020-07-06 10:45:00
AFKS,4.1,23.7,10.7,307,252.0,31141,59049.0,51642945,108827575.0,-0.08,-0.08,-0.31,-0.36,16.583,18.43,17.426,17.445,17.415,17.496,17.415,17.496,0.0002,3769,6576687,167,17.449,0.4651,114,53,5081568,1495119,2912,857,0.55,17.45,17.446,8.0,299.0,8.0,299.0,4.1,23.7,10.7,307,252.0,31141,59049.0,51642945,108827575.0,-0.08,-0.08,-0.31,-0.36,16.583,18.43,17.426,17.445,2020-07-06 10:50:00
AFKS,6.7,33.2,17.5,312,222.0,31041,50168.0,51514900,93735751.0,0.07,0.07,-0.23,-0.29,16.595,18.687,17.557,17.588,17.49,17.642,17.482,17.605,0.0002,44473,78085619,1349,17.558,0.6575,929,420,58141944,19943674,33125,11348,0.49,17.552,17.575,1.0,115.0,1.0,300.0,6.7,33.2,17.5,312,222.0,31041,50168.0,51514900,93735751.0,0.07,0.07,-0.23,-0.29,16.595,18.687,17.557,17.588,2020-07-06 10:55:00
AFKS,5.7,32.9,18.0,326,225.0,31888,54409.0,52955643,101509528.0,0.02,0.02,-0.26,-0.31,16.606,18.657,17.59,17.622,17.605,17.706,17.579,17.601,0.0002,15118,26670778,713,17.642,-0.0227,495,218,15567607,11103171,8820,6298,0.17,17.65,17.63,1.0,58.0,227.0,298.0,5.7,32.9,18.0,326,225.0,31888,54409.0,52955643,101509528.0,0.02,0.02,-0.26,-0.31,16.606,18.657,17.59,17.622,2020-07-06 11:00:00
AFKS,6.4,35.5,15.3,335,220.0,33401,56589.0,55623835,105471582.0,-0.17,-0.17,-0.26,-0.31,16.653,18.64,17.633,17.66,17.604,17.694,17.604,17.637,0.0003,3497,6173475,250,17.654,0.1875,180,70,3393975,2779500,1922,1575,0.1,17.659,17.648,1.0,56.0,1.0,297.0,6.4,35.5,15.3,335,220.0,33401,56589.0,55623835,105471582.0,-0.17,-0.17,-0.26,-0.31,16.653,18.64,17.633,17.66,2020-07-06 11:05:00
AFKS,4.9,31.3,17.0,349,213.0,34484,55114.0,57553657,103014267.0,0.04,0.04,-0.23,-0.28,16.689,18.691,17.703,17.733,17.633,17.75,17.633,17.716,0.0002,21258,37686340,1093,17.728,0.4707,803,290,26405306,11281034,14895,6363,0.4,17.728,17.729,1.0,77.0,1.0,297.0,4.9,31.3,17.0,349,213.0,34484,55114.0,57553657,103014267.0,0.04,0.04,-0.23,-0.28,16.689,18.691,17.703,17.733,2020-07-06 11:10:00
AFKS,4.5,34.4,16.4,343,242.0,35392,58620.0,59120902,109324782.0,0.1,0.09,-0.25,-0.3,16.704,18.65,17.665,17.694,17.721,17.721,17.653,17.675,0.0002,3677,6500635,188,17.679,-0.2596,81,107,2010189,4490446,1137,2540,-0.38,17.68,17.679,3.0,3.0,168.0,300.0,4.5,34.4,16.4,343,242.0,35392,58620.0,59120902,109324782.0,0.1,0.09,-0.25,-0.3,16.704,18.65,17.665,17.694,2020-07-06 11:15:00
AFKS,4.2,34.1,12.7,345,256.0,36124,63959.0,60422064,118899964.0,-0.09,-0.09,-0.28,-0.33,16.726,18.591,17.676,17.699,17.675,17.745,17.669,17.675,0.0002,5558,9838050,180,17.701,0.0,112,68,5367810,4470240,3033,2525,0.09,17.698,17.704,5.0,46.0,8.0,298.0,4.2,34.1,12.7,345,256.0,36124,63959.0,60422064,118899964.0,-0.09,-0.09,-0.28,-0.33,16.726,18.591,17.676,17.699,2020-07-06 11:20:00
