ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
ALRS,8.3,35.5,16.7,266,351,84790,102484,80710275,103188921,-0.28,-0.28,-0.1,-0.13,95.16,100.71,97.06,97.22,97.62,97.69,96.3,97.16,0.001,65481,63562005,1544,97.07,-0.4712,955,589,29869268,33692736,30748,34733,-0.06,97.14,97.0,2.0,2.0,6.0,300.0,8.3,35.5,16.7,266,351,84790,102484,80710275,103188921,-0.28,-0.28,-0.1,-0.13,95.16,100.71,97.06,97.22,2021-02-19 10:05:00
ALRS,8.0,29.2,15.2,304,372,103478,112521,98671059,113153547,-0.4,-0.4,-0.04,-0.07,95.35,100.57,97.15,97.3,97.13,97.59,96.85,97.14,0.0004,36299,35287241,581,97.21,0.0103,299,282,17373022,17914219,17865,18434,-0.02,97.25,97.18,1.0,157.0,41.0,300.0,8.0,29.2,15.2,304,372,103478,112521,98671059,113153547,-0.4,-0.4,-0.04,-0.07,95.35,100.57,97.15,97.3,2021-02-19 10:10:00
ALRS,7.9,29.0,14.4,329,388,117949,124621,112664019,125140716,-0.22,-0.22,-0.03,-0.05,95.52,100.42,97.15,97.29,97.13,97.41,97.01,97.31,0.0004,16634,16174821,379,97.24,0.1853,228,151,11363937,4810883,11683,4951,0.4,97.27,97.17,1.0,140.0,26.0,298.0,7.9,29.0,14.4,329,388,117949,124621,112664019,125140716,-0.22,-0.22,-0.03,-0.05,95.52,100.42,97.15,97.29,2021-02-19 10:15:00
ALRS,6.1,25.8,11.1,334,410,115499,137126,110013466,137668740,-0.38,-0.38,-0.09,-0.11,95.25,100.39,97.06,97.17,97.27,97.29,97.0,97.0,0.0003,28097,27261707,467,97.03,-0.2776,119,348,3859809,23401897,3975,24122,-0.72,97.1,97.01,2.0,2.0,197.0,298.0,6.1,25.8,11.1,334,410,115499,137126,110013466,137668740,-0.38,-0.38,-0.09,-0.11,95.25,100.39,97.06,97.17,2021-02-19 10:20:00
ALRS,7.9,27.3,13.4,340,411,112804,139921,107292770,140514333,-0.19,-0.19,-0.11,-0.13,95.11,100.42,97.03,97.16,97.0,97.22,97.0,97.13,0.0004,12189,11833557,294,97.08,0.134,170,124,6449173,5384383,6641,5548,0.09,97.11,97.05,7.0,71.0,7.0,296.0,7.9,27.3,13.4,340,411,112804,139921,107292770,140514333,-0.19,-0.19,-0.11,-0.13,95.11,100.42,97.03,97.16,2021-02-19 10:25:00
ALRS,5.4,24.9,11.0,350,415,133421,145405,126539801,146023548,-0.19,-0.19,-0.04,-0.07,94.86,100.43,97.08,97.19,97.08,97.25,97.04,97.17,0.0002,6370,6190001,779,97.17,0.0927,706,73,5432371,757630,5590,780,0.76,97.18,97.13,3.0,149.0,19.0,300.0,5.4,24.9,11.0,350,415,133421,145405,126539801,146023548,-0.19,-0.19,-0.04,-0.07,94.86,100.43,97.08,97.19,2021-02-19 10:30:00
ALRS,2.3,21.0,7.0,344,428,135695,153339,128381399,153837331,0.27,0.27,-0.06,-0.09,94.61,100.32,97.0,97.06,97.16,97.17,97.0,97.0,0.0001,49323,47845530,879,97.0,-0.1647,217,662,2176594,45668936,2243,47080,-0.91,97.04,97.0,1.0,4.0,76.0,300.0,2.3,21.0,7.0,344,428,135695,153339,128381399,153837331,0.27,0.27,-0.06,-0.09,94.61,100.32,97.0,97.06,2021-02-19 10:35:00
ALRS,2.7,21.9,8.2,349,427,142878,148736,135306591,149348151,0.48,0.48,-0.02,-0.05,94.7,100.41,97.02,97.1,97.01,97.25,96.65,96.65,0.0001,38435,37274990,1688,96.98,-0.3711,583,1105,13257290,24017699,13653,24782,-0.29,97.1,96.92,3.0,202.0,299.0,300.0,2.7,21.9,8.2,349,427,142878,148736,135306591,149348151,0.48,0.48,-0.02,-0.05,94.7,100.41,97.02,97.1,2021-02-19 10:40:00
ALRS,5.4,24.9,11.6,303,456,135885,147686,128218233,148207116,-0.26,-0.26,-0.04,-0.07,94.36,100.36,96.42,96.54,96.76,96.78,96.3,96.44,0.0003,74357,71732138,2045,96.47,-0.3307,652,1393,31924894,39807243,33079,41278,-0.11,96.51,96.44,1.0,1.0,98.0,298.0,5.4,24.9,11.6,303,456,135885,147686,128218233,148207116,-0.26,-0.26,-0.04,-0.07,94.36,100.36,96.42,96.54,2021-02-19 10:45:00
ALRS,5.6,25.4,9.6,297,469,132489,151559,124626239,151929931,-0.22,-0.22,-0.07,-0.1,94.05,100.25,96.22,96.32,96.51,96.52,96.02,96.27,0.0002,58259,56043028,888,96.2,-0.2487,263,625,17661187,38381840,18358,39901,-0.37,96.2,96.19,3.0,27.0,176.0,299.0,5.6,25.4,9.6,297,469,132489,151559,124626239,151929931,-0.22,-0.22,-0.07,-0.1,94.05,100.25,96.22,96.32,2021-02-19 10:50:00
