ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
APTK,19.7,126.9,166.3,170.0,203.0,47744.0,63350.0,6399242.0,9503060.0,-0.39,-0.39,-0.14,-0.2,13.4,14.994,13.973,14.206,14.142,14.198,14.104,14.13,0.0008,622,87907,59,14.133,-0.0849,42,17,66861,21046,473,149,0.52,14.136,14.125,11.0,88.0,185.0,279.0,19.7,126.9,166.3,170.0,203.0,47744.0,63350.0,6399242.0,9503060.0,-0.39,-0.39,-0.14,-0.2,13.4,14.994,13.973,14.206,2020-07-06 10:05:00
APTK,14.6,81.4,106.6,205.0,245.0,58624.0,74485.0,7881070.0,11316030.0,-0.27,-0.27,-0.12,-0.18,13.444,15.19,14.068,14.218,14.138,14.2,14.134,14.198,0.0007,6213,881390,91,14.186,0.4244,62,29,834545,46845,5882,331,0.89,14.188,14.153,6.0,201.0,174.0,296.0,14.6,81.4,106.6,205.0,245.0,58624.0,74485.0,7881070.0,11316030.0,-0.27,-0.27,-0.12,-0.18,13.444,15.19,14.068,14.218,2020-07-06 10:10:00
APTK,13.0,61.3,81.1,216.0,258.0,66161.0,87041.0,8907340.0,13314998.0,0.2,0.2,-0.13,-0.2,13.463,15.294,14.1,14.214,14.17,14.25,14.14,14.164,0.0005,11048,1567571,179,14.189,-0.0423,85,94,538329,1029241,3789,7259,-0.31,14.208,14.179,4.0,76.0,99.0,296.0,13.0,61.3,81.1,216.0,258.0,66161.0,87041.0,8907340.0,13314998.0,0.2,0.2,-0.13,-0.2,13.463,15.294,14.1,14.214,2020-07-06 10:15:00
APTK,7.7,52.2,74.8,224.0,262.0,67777.0,91871.0,9123413.0,14112726.0,0.0,0.0,-0.15,-0.21,13.461,15.361,14.102,14.208,14.158,14.2,14.158,14.198,0.0006,2936,416689,82,14.192,0.2825,52,30,164444,252244,1159,1777,-0.21,14.188,14.195,9.0,143.0,9.0,296.0,7.7,52.2,74.8,224.0,262.0,67777.0,91871.0,9123413.0,14112726.0,0.0,0.0,-0.15,-0.21,13.461,15.361,14.102,14.208,2020-07-06 10:20:00
APTK,14.1,63.8,78.3,231.0,259.0,68812.0,91955.0,9265853.0,14132392.0,-0.29,-0.29,-0.14,-0.21,13.465,15.369,14.103,14.214,14.196,14.2,14.172,14.198,0.0007,2391,339483,31,14.198,0.0141,14,17,224054,115428,1578,813,0.32,14.199,14.198,2.0,97.0,37.0,182.0,14.1,63.8,78.3,231.0,259.0,68812.0,91955.0,9265853.0,14132392.0,-0.29,-0.29,-0.14,-0.21,13.465,15.369,14.103,14.214,2020-07-06 10:25:00
APTK,11.9,58.9,94.7,236.0,261.0,68417.0,91036.0,9196444.0,14004206.0,-0.82,-0.82,-0.14,-0.21,13.442,15.383,14.092,14.225,14.196,14.2,14.176,14.2,0.0006,2649,376148,41,14.2,0.0282,34,7,374730,1418,2639,10,0.99,14.2,14.183,13.0,17.0,87.0,293.0,11.9,58.9,94.7,236.0,261.0,68417.0,91036.0,9196444.0,14004206.0,-0.82,-0.82,-0.14,-0.21,13.442,15.383,14.092,14.225,2020-07-06 10:30:00
APTK,11.4,58.7,94.0,223.0,269.0,67958.0,93377.0,9131367.0,14341015.0,-0.15,-0.15,-0.16,-0.22,13.436,15.359,14.083,14.216,14.2,14.2,14.12,14.144,0.0004,15705,2223503,208,14.158,-0.3944,83,125,990493,1233010,6995,8710,-0.11,14.16,14.156,41.0,41.0,206.0,284.0,11.4,58.7,94.0,223.0,269.0,67958.0,93377.0,9131367.0,14341015.0,-0.15,-0.15,-0.16,-0.22,13.436,15.359,14.083,14.216,2020-07-06 10:35:00
APTK,9.9,56.2,96.8,218.0,275.0,67017.0,92524.0,8998232.0,14215417.0,0.17,0.17,-0.16,-0.22,13.427,15.365,14.08,14.216,14.142,14.18,14.142,14.152,0.0002,578,81858,58,14.162,0.0707,38,20,43923,37935,310,268,0.07,14.169,14.155,25.0,121.0,25.0,294.0,9.9,56.2,96.8,218.0,275.0,67017.0,92524.0,8998232.0,14215417.0,0.17,0.17,-0.16,-0.22,13.427,15.365,14.08,14.216,2020-07-06 10:40:00
APTK,9.1,67.9,94.4,204.0,277.0,68389.0,97698.0,9192227.0,14953188.0,0.84,0.84,-0.18,-0.24,13.44,15.305,14.075,14.208,14.152,14.168,14.15,14.168,0.0002,284,40189,14,14.151,0.1131,7,7,3116,37073,22,262,-0.85,14.165,14.15,20.0,185.0,20.0,185.0,9.1,67.9,94.4,204.0,277.0,68389.0,97698.0,9192227.0,14953188.0,0.84,0.84,-0.18,-0.24,13.44,15.305,14.075,14.208,2020-07-06 10:45:00
APTK,8.7,68.3,94.1,203.0,273.0,71280.0,97181.0,9595828.0,14880726.0,0.58,0.58,-0.15,-0.22,13.462,15.312,14.077,14.21,14.166,14.18,14.166,14.18,0.0005,370,52418,20,14.167,0.0988,15,5,26070,26348,184,186,-0.01,14.169,14.166,6.0,98.0,6.0,298.0,8.7,68.3,94.1,203.0,273.0,71280.0,97181.0,9595828.0,14880726.0,0.58,0.58,-0.15,-0.22,13.462,15.312,14.077,14.21,2020-07-06 10:50:00
