ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
AQUA,47.8,327.0,209.4,69,50,2501,459,11604035,2753824,0.27,0.27,0.69,0.62,463.6,601.3,554.9,566.5,557.0,564.5,550.5,559.0,0.0044,197,1107090,28,562.0,0.3591,15,13,978600,128490,174,23,0.77,562.4,558.7,1.0,51.0,1.0,263.0,47.8,327.0,209.4,69,50,2501,459,11604035,2753824,0.27,0.27,0.69,0.62,463.6,601.3,554.9,566.5,2021-11-22 10:05:00
AQUA,23.9,240.9,91.7,72,57,2570,680,11989018,4022100,-0.65,-0.65,0.58,0.5,466.4,591.0,556.7,561.8,559.5,560.0,558.0,559.0,0.001,23,128605,14,559.2,-0.0894,4,10,44765,83840,8,15,-0.3,559.6,558.9,29.0,96.0,272.0,284.0,23.9,240.9,91.7,72,57,2570,680,11989018,4022100,-0.65,-0.65,0.58,0.5,466.4,591.0,556.7,561.8,2021-11-22 10:10:00
AQUA,19.8,214.2,84.6,72,65,2580,811,12046929,4771484,-0.56,-0.56,0.52,0.43,466.8,588.0,554.5,559.2,559.5,559.5,555.5,555.5,0.001,200,1113965,26,557.0,-0.7149,12,14,117185,996780,21,179,-0.79,558.0,556.9,5.0,5.0,268.0,268.0,19.8,214.2,84.6,72,65,2580,811,12046929,4771484,-0.56,-0.56,0.52,0.43,466.8,588.0,554.5,559.2,2021-11-22 10:15:00
AQUA,17.4,229.9,61.3,75,68,2589,1009,12096372,5913639,-0.66,-0.66,0.44,0.34,467.1,585.9,553.5,556.9,555.5,555.5,555.5,555.5,0.0,18,99990,4,555.5,0.0,0,4,0,99990,0,18,-1.0,,555.5,70.0,70.0,70.0,198.0,17.4,229.9,61.3,75,68,2589,1009,12096372,5913639,-0.66,-0.66,0.44,0.34,467.1,585.9,553.5,556.9,2021-11-22 10:20:00
AQUA,15.0,232.3,60.5,77,69,2711,1046,12730207,6136523,-0.63,-0.63,0.44,0.35,469.4,586.3,553.8,557.1,556.5,556.5,555.5,556.0,0.0012,21,116775,7,556.1,-0.0898,5,2,88990,27785,16,5,0.52,556.2,555.7,17.0,17.0,54.0,256.0,15.0,232.3,60.5,77,69,2711,1046,12730207,6136523,-0.63,-0.63,0.44,0.35,469.4,586.3,553.8,557.1,2021-11-22 10:25:00
AQUA,11.7,208.1,60.0,78,70,2767,1052,13022118,6171684,-0.86,-0.86,0.45,0.36,470.6,586.4,554.0,557.4,556.5,556.5,556.0,556.0,0.0008,14,77880,6,556.3,-0.0898,4,2,44520,33360,8,6,0.14,556.5,556.0,76.0,76.0,142.0,253.0,11.7,208.1,60.0,78,70,2767,1052,13022118,6171684,-0.86,-0.86,0.45,0.36,470.6,586.4,554.0,557.4,2021-11-22 10:30:00
AQUA,9.0,205.8,63.5,80,70,2772,1051,13049965,6167750,-0.89,-0.89,0.45,0.36,470.7,586.5,553.9,557.4,556.5,556.5,556.0,556.0,0.0008,15,83430,6,556.2,-0.0898,2,4,33390,50040,6,9,-0.2,556.5,556.0,6.0,6.0,21.0,188.0,9.0,205.8,63.5,80,70,2772,1051,13049965,6167750,-0.89,-0.89,0.45,0.36,470.7,586.5,553.9,557.4,2021-11-22 10:35:00
AQUA,9.0,199.5,64.9,80,71,2775,1056,13067335,6193175,-0.95,-0.95,0.45,0.36,470.7,586.4,553.9,557.5,556.5,556.5,556.0,556.5,0.0009,7,38945,6,556.4,0.0,4,2,27825,11120,5,2,0.43,556.5,556.0,7.0,7.0,152.0,254.0,9.0,199.5,64.9,80,71,2775,1056,13067335,6193175,-0.95,-0.95,0.45,0.36,470.7,586.4,553.9,557.5,2021-11-22 10:40:00
AQUA,22.3,233.1,72.6,83,71,2870,1030,13394736,6048658,-0.56,-0.56,0.47,0.38,466.8,587.2,552.5,556.5,556.0,556.0,554.0,554.0,0.0004,40,221860,13,554.6,-0.3597,0,13,0,221860,0,40,-1.0,,554.6,70.0,70.0,91.0,225.0,22.3,233.1,72.6,83,71,2870,1030,13394736,6048658,-0.56,-0.56,0.47,0.38,466.8,587.2,552.5,556.5,2021-11-22 10:45:00
AQUA,24.1,235.0,73.8,89,77,2966,1028,13728573,6049330,-0.7,-0.7,0.48,0.39,462.8,587.9,552.8,556.8,555.5,555.5,554.0,555.5,0.0019,16,88850,6,555.3,0.0,4,2,77770,11080,14,2,0.75,555.5,554.0,19.0,19.0,227.0,248.0,24.1,235.0,73.8,89,77,2966,1028,13728573,6049330,-0.7,-0.7,0.48,0.39,462.8,587.9,552.8,556.8,2021-11-22 10:50:00
