ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
BSPBP,,,,3.0,0.0,1260.0,0.0,6286181.0,0.0,,,,,4.989,,5.0126,,5.0126,5.0126,5.0126,5.0126,,200,1002520,1,5.0126,0.0,0,1,0,1002520,0,200,-1.0,,5.0126,279.0,279.0,279.0,279.0,,,,3.0,0.0,1260.0,0.0,6286181.0,0.0,,,,,4.989,,5.0126,,2021-04-19 15:05:00
BSPBP,0.4,,,14.0,1.0,759.0,147.0,3578503.0,810322.0,-0.98,-0.98,0.62,0.56,4.6852,5.5124,5.0368,,5.5124,5.5124,5.5124,5.5124,0.0,603,3323977,12,5.5124,0.0,6,6,837884,2486092,152,451,-0.5,5.5124,5.5124,60.0,60.0,60.0,290.0,0.4,,,14.0,1.0,759.0,147.0,3578503.0,810322.0,-0.98,-0.98,0.62,0.56,4.6852,5.5124,5.0368,,2021-04-20 10:10:00
BSPBP,,,,31.0,0.0,2103.0,0.0,10440182.0,0.0,,,,,4.9628,,5.5124,,5.5124,5.5124,5.5124,5.5124,,5,27562,1,5.5124,0.0,0,1,0,27562,0,5,-1.0,,5.5124,74.0,74.0,74.0,74.0,,,,31.0,0.0,2103.0,0.0,10440182.0,0.0,,,,,4.9628,,5.5124,,2021-04-20 13:35:00
BSPBP,,,,21.0,0.0,1893.0,0.0,11276613.0,0.0,,,,,5.9568,,6.062,,6.062,6.062,6.062,6.062,0.0,100,606200,3,6.062,0.0,0,3,0,606200,0,100,-1.0,,6.062,89.0,89.0,89.0,89.0,,,,21.0,0.0,1893.0,0.0,11276613.0,0.0,,,,,5.9568,,6.062,,2021-04-21 11:15:00
BSPBP,,,,17.0,0.0,2078.0,0.0,13692064.0,0.0,,,,,6.5879,,6.6664,,6.6664,6.6664,6.6664,6.6664,,1,6666,1,6.6664,0.0,0,1,0,6666,0,1,-1.0,,6.6664,66.0,66.0,66.0,66.0,,,,17.0,0.0,2078.0,0.0,13692064.0,0.0,,,,,6.5879,,6.6664,,2021-04-22 10:30:00
BSPBP,,,,18.0,0.0,2146.0,0.0,14139178.0,0.0,,,,,6.5883,,6.6664,,6.6664,6.6664,6.6664,6.6664,,70,466648,1,6.6664,0.0,0,1,0,466648,0,70,-1.0,,6.6664,239.0,239.0,239.0,239.0,,,,18.0,0.0,2146.0,0.0,14139178.0,0.0,,,,,6.5883,,6.6664,,2021-04-22 11:25:00
BSPBP,,,,13.0,0.0,2406.0,0.0,16435686.0,0.0,,,,,6.8291,,7.3292,,7.3292,7.3292,7.3292,7.3292,,50,366460,1,7.3292,0.0,0,1,0,366460,0,50,-1.0,,7.3292,215.0,215.0,215.0,215.0,,,,13.0,0.0,2406.0,0.0,16435686.0,0.0,,,,,6.8291,,7.3292,,2021-04-23 10:25:00
BSPBP,,,,12.0,0.0,2266.0,0.0,18100329.0,0.0,,,,,7.9852,,8.058,,8.058,8.058,8.058,8.058,,60,483480,1,8.058,0.0,0,1,0,483480,0,60,-1.0,,8.058,209.0,209.0,209.0,209.0,,,,12.0,0.0,2266.0,0.0,18100329.0,0.0,,,,,7.9852,,8.058,,2021-04-26 11:40:00
BSPBP,,,,21.0,0.0,2101.0,0.0,16796572.0,0.0,,,,,7.9939,,8.058,,8.058,8.058,8.058,8.058,,5,40290,1,8.058,0.0,0,1,0,40290,0,5,-1.0,,8.058,194.0,194.0,194.0,194.0,,,,21.0,0.0,2101.0,0.0,16796572.0,0.0,,,,,7.9939,,8.058,,2021-04-26 13:15:00
BSPBP,,,,15.0,0.0,1878.0,0.0,16538003.0,0.0,,,,,8.8029,,8.8612,,8.8612,8.8612,8.8612,8.8612,,2,17722,1,8.8612,0.0,0,1,0,17722,0,2,-1.0,,8.8612,79.0,79.0,79.0,79.0,,,,15.0,0.0,1878.0,0.0,16538003.0,0.0,,,,,8.8029,,8.8612,,2021-04-27 12:10:00
