ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
CHMF,6.5,30.1,10.9,305,210,113853,54502,193505905,97344184,0.17,0.16,0.35,0.33,1699.6,1786.0,1749.0,1750.9,1745.0,1761.6,1741.4,1754.4,0.0003,68604,120086567,1231,1750.4,0.5387,649,582,63190350,56896216,36104,32500,0.05,1750.2,1750.7,1.0,236.0,11.0,300.0,6.5,30.1,10.9,305,210,113853,54502,193505905,97344184,0.17,0.16,0.35,0.33,1699.6,1786.0,1749.0,1750.9,2021-04-20 10:05:00
CHMF,5.1,27.3,10.2,350,224,133402,66772,226892141,119527328,-0.12,-0.12,0.33,0.31,1700.8,1790.1,1755.2,1757.0,1755.0,1760.2,1750.8,1760.2,0.0003,44394,77968357,964,1756.3,0.2963,539,425,48947579,29020777,27862,16532,0.26,1756.8,1755.4,1.0,295.0,11.0,295.0,5.1,27.3,10.2,350,224,133402,66772,226892141,119527328,-0.12,-0.12,0.33,0.31,1700.8,1790.1,1755.2,1757.0,2021-04-20 10:10:00
CHMF,5.3,26.8,8.6,371,217,112484,69008,190348887,123875022,0.11,0.11,0.24,0.21,1692.2,1795.2,1761.6,1763.1,1760.0,1767.4,1759.0,1759.8,0.0003,42535,75000134,957,1763.3,-0.0114,513,444,39432573,35567561,22356,20179,0.05,1763.8,1762.6,1.0,91.0,204.0,300.0,5.3,26.8,8.6,371,217,112484,69008,190348887,123875022,0.11,0.11,0.24,0.21,1692.2,1795.2,1761.6,1763.1,2021-04-20 10:15:00
CHMF,4.9,26.2,7.8,365,242,125024,78247,211573720,140355142,0.32,0.32,0.23,0.2,1692.3,1793.7,1758.4,1759.8,1759.2,1761.8,1755.6,1760.0,0.0003,16674,29328182,428,1758.9,0.0455,249,179,14869463,14458718,8454,8220,0.01,1758.9,1759.0,1.0,75.0,124.0,300.0,4.9,26.2,7.8,365,242,125024,78247,211573720,140355142,0.32,0.32,0.23,0.2,1692.3,1793.7,1758.4,1759.8,2021-04-20 10:20:00
CHMF,4.8,26.3,7.5,404,212,131051,71190,222250809,128216703,0.29,0.29,0.3,0.27,1695.9,1801.1,1770.1,1771.4,1760.0,1776.0,1760.0,1773.0,0.0002,63038,111614776,1130,1770.6,0.7386,709,421,61305762,50309014,34635,28403,0.1,1770.1,1771.3,5.0,182.0,5.0,299.0,4.8,26.3,7.5,404,212,131051,71190,222250809,128216703,0.29,0.29,0.3,0.27,1695.9,1801.1,1770.1,1771.4,2021-04-20 10:25:00
CHMF,4.9,26.9,8.4,403,231,130345,88423,220942066,159782571,0.29,0.29,0.19,0.16,1695.0,1807.0,1768.9,1770.4,1772.8,1774.0,1765.2,1767.0,0.0003,26308,46558593,499,1769.8,-0.3272,192,307,15982154,30576438,9030,17278,-0.31,1769.9,1769.7,1.0,58.0,205.0,295.0,4.9,26.9,8.4,403,231,130345,88423,220942066,159782571,0.29,0.29,0.19,0.16,1695.0,1807.0,1768.9,1770.4,2021-04-20 10:30:00
CHMF,4.7,26.2,8.4,404,245,131164,94112,222399332,170006589,0.15,0.15,0.16,0.13,1695.6,1806.5,1766.7,1768.2,1767.8,1772.0,1760.8,1763.0,0.0003,24069,42508474,652,1766.1,-0.2715,235,417,16927118,25581356,9583,14486,-0.2,1766.4,1765.9,1.0,39.0,248.0,300.0,4.7,26.2,8.4,404,245,131164,94112,222399332,170006589,0.15,0.15,0.16,0.13,1695.6,1806.5,1766.7,1768.2,2021-04-20 10:35:00
CHMF,4.4,25.8,7.5,395,270,133201,105362,225730157,190158718,-0.14,-0.14,0.12,0.09,1694.6,1804.8,1762.2,1763.5,1763.0,1765.6,1759.8,1762.4,0.0002,18970,33437288,509,1762.6,-0.034,185,324,15307485,18129802,8681,10289,-0.08,1763.3,1762.1,1.0,17.0,115.0,298.0,4.4,25.8,7.5,395,270,133201,105362,225730157,190158718,-0.14,-0.14,0.12,0.09,1694.6,1804.8,1762.2,1763.5,2021-04-20 10:40:00
CHMF,4.2,25.5,7.8,406,265,140929,106813,238704700,192871219,0.18,0.18,0.14,0.11,1693.8,1805.7,1764.2,1765.6,1763.2,1768.6,1762.0,1763.8,0.0003,13169,23245643,383,1765.2,0.034,182,201,12550604,10695038,7110,6059,0.08,1765.2,1765.1,1.0,224.0,20.0,299.0,4.2,25.5,7.8,406,265,140929,106813,238704700,192871219,0.18,0.18,0.14,0.11,1693.8,1805.7,1764.2,1765.6,2021-04-20 10:45:00
CHMF,5.2,26.6,7.6,383,291,139800,115649,236620979,208558556,-0.26,-0.26,0.09,0.06,1692.5,1803.4,1759.2,1760.5,1763.8,1763.8,1757.2,1758.0,0.0002,22131,38945815,511,1759.8,-0.3288,164,347,18533695,20412120,10530,11601,-0.05,1760.1,1759.5,1.0,1.0,103.0,300.0,5.2,26.6,7.6,383,291,139800,115649,236620979,208558556,-0.26,-0.26,0.09,0.06,1692.5,1803.4,1759.2,1760.5,2021-04-20 10:50:00
