ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
CNTL,111.5,923.4,729.3,60.0,43.0,1263.0,1048.0,3311411.0,3663588.0,-0.28,-0.29,0.1,-0.05,26.22,34.93,30.0,32.18,30.5,30.9,30.5,30.8,0.0061,55,169405,19,30.8,0.9836,14,5,138835,30570,45,10,0.64,30.85,30.57,42.0,49.0,42.0,294.0,111.5,923.4,729.3,60.0,43.0,1263.0,1048.0,3311411.0,3663588.0,-0.28,-0.29,0.1,-0.05,26.22,34.93,30.0,32.18,2020-07-06 10:05:00
CNTL,57.7,711.0,301.7,67.0,53.0,1595.0,1415.0,4282916.0,4922070.0,-0.34,-0.34,0.06,-0.07,26.81,34.79,30.31,31.23,30.8,30.85,30.5,30.8,0.0033,213,652985,30,30.66,0.0,20,10,335695,317290,109,104,0.02,30.8,30.51,7.0,43.0,55.0,297.0,57.7,711.0,301.7,67.0,53.0,1595.0,1415.0,4282916.0,4922070.0,-0.34,-0.34,0.06,-0.07,26.81,34.79,30.31,31.23,2020-07-06 10:10:00
CNTL,61.3,617.6,477.4,72.0,57.0,1837.0,1553.0,5012159.0,5425147.0,-0.41,-0.41,0.08,-0.04,27.28,34.92,30.53,31.99,30.8,31.4,30.8,31.35,0.0022,317,982655,46,31.0,1.7857,37,9,860995,121660,278,39,0.75,30.97,31.19,19.0,211.0,19.0,279.0,61.3,617.6,477.4,72.0,57.0,1837.0,1553.0,5012159.0,5425147.0,-0.41,-0.41,0.08,-0.04,27.28,34.92,30.53,31.99,2020-07-06 10:15:00
CNTL,92.7,534.6,497.9,72.0,67.0,1860.0,2003.0,5084551.0,6997151.0,-0.1,-0.1,-0.04,-0.16,27.33,34.93,30.55,32.07,31.4,31.4,30.65,30.8,0.0039,90,278275,28,30.92,-1.9108,7,21,28075,250200,9,81,-0.8,31.19,30.89,21.0,21.0,143.0,297.0,92.7,534.6,497.9,72.0,67.0,1860.0,2003.0,5084551.0,6997151.0,-0.1,-0.1,-0.04,-0.16,27.33,34.93,30.55,32.07,2020-07-06 10:20:00
CNTL,42.6,450.1,475.8,75.0,72.0,1546.0,2152.0,4118771.0,7514017.0,0.24,0.24,-0.17,-0.29,26.61,34.91,30.41,31.86,31.05,31.1,30.9,31.05,0.0025,45,139520,15,31.0,0.0,9,6,52820,86700,17,28,-0.24,31.07,30.96,3.0,65.0,9.0,295.0,42.6,450.1,475.8,75.0,72.0,1546.0,2152.0,4118771.0,7514017.0,0.24,0.24,-0.17,-0.29,26.61,34.91,30.41,31.86,2020-07-06 10:25:00
CNTL,34.5,424.2,498.1,76.0,75.0,1422.0,2198.0,3752638.0,7692062.0,-0.33,-0.33,-0.21,-0.34,26.4,34.99,30.29,31.8,30.9,31.1,30.9,31.1,0.0018,33,102350,8,31.02,0.6472,5,3,37250,65100,12,21,-0.27,31.04,31.0,18.0,283.0,18.0,283.0,34.5,424.2,498.1,76.0,75.0,1422.0,2198.0,3752638.0,7692062.0,-0.33,-0.33,-0.21,-0.34,26.4,34.99,30.29,31.8,2020-07-06 10:30:00
CNTL,46.2,493.5,517.6,74.0,73.0,1333.0,2198.0,3583740.0,7698608.0,-0.5,-0.5,-0.25,-0.36,26.86,35.01,30.33,31.9,31.1,31.15,31.0,31.0,0.0028,36,112110,5,31.14,-0.3215,4,1,109010,3100,35,1,0.94,31.15,31.0,17.0,131.0,228.0,228.0,46.2,493.5,517.6,74.0,73.0,1333.0,2198.0,3583740.0,7698608.0,-0.5,-0.5,-0.25,-0.36,26.86,35.01,30.33,31.9,2020-07-06 10:35:00
CNTL,43.5,488.5,462.4,75.0,73.0,1466.0,2188.0,3987093.0,7667299.0,-0.14,-0.14,-0.2,-0.32,27.19,35.04,30.55,31.96,31.1,31.15,31.1,31.15,,3,9335,2,31.12,0.1608,2,0,9335,0,3,0,1.0,31.12,,98.0,276.0,98.0,276.0,43.5,488.5,462.4,75.0,73.0,1466.0,2188.0,3987093.0,7667299.0,-0.14,-0.14,-0.2,-0.32,27.19,35.04,30.55,31.96,2020-07-06 10:40:00
CNTL,35.4,486.0,460.3,77.0,71.0,1510.0,2166.0,4124173.0,7598753.0,-0.75,-0.75,-0.18,-0.3,27.29,35.07,30.62,32.03,31.15,31.2,31.0,31.0,0.0024,119,369135,15,31.02,-0.4815,4,11,37380,331755,12,107,-0.8,31.15,31.01,4.0,99.0,96.0,295.0,35.4,486.0,460.3,77.0,71.0,1510.0,2166.0,4124173.0,7598753.0,-0.75,-0.75,-0.18,-0.3,27.29,35.07,30.62,32.03,2020-07-06 10:45:00
CNTL,36.0,478.4,465.5,78.0,71.0,1527.0,2232.0,4168680.0,7818181.0,-0.43,-0.43,-0.19,-0.3,27.28,35.02,30.62,32.05,31.05,31.25,31.0,31.25,0.0031,33,102545,6,31.07,0.6441,3,3,24985,77560,8,25,-0.52,31.23,31.02,53.0,138.0,53.0,138.0,36.0,478.4,465.5,78.0,71.0,1527.0,2232.0,4168680.0,7818181.0,-0.43,-0.43,-0.19,-0.3,27.28,35.02,30.62,32.05,2020-07-06 10:50:00
