ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
DIAS,,,,980.0,0.0,750059.0,0.0,4000924498.0,0.0,,,,,5333.2,,6300.0,,6300.0,6300.0,6300.0,6300.0,0.0,18643,117450900,6903,6300.0,0.0,0,6903,0,117450900,0,18643,-1.0,,6300.0,1.0,1.0,1.0,300.0,,,,980.0,0.0,750059.0,0.0,4000924498.0,0.0,,,,,5333.2,,6300.0,,2024-02-13 18:00:00
DIAS,,,,949.0,0.0,750265.0,0.0,4081990783.0,0.0,,,,,5440.9,,6300.0,,6300.0,6300.0,6300.0,6300.0,0.0,10280,64764000,3181,6300.0,0.0,0,3181,0,64764000,0,10280,-1.0,,6300.0,1.0,1.0,1.0,300.0,,,,949.0,0.0,750265.0,0.0,4081990783.0,0.0,,,,,5440.9,,6300.0,,2024-02-13 18:05:00
DIAS,,,,910.0,0.0,739285.0,0.0,4057799581.0,0.0,,,,,5488.8,,6300.0,,6300.0,6300.0,6300.0,6300.0,0.0,5131,32325300,1959,6300.0,0.0,0,1959,0,32325300,0,5131,-1.0,,6300.0,1.0,1.0,1.0,300.0,,,,910.0,0.0,739285.0,0.0,4057799581.0,0.0,,,,,5488.8,,6300.0,,2024-02-13 18:10:00
DIAS,,,,905.0,0.0,740330.0,0.0,4082473272.0,0.0,,,,,5514.4,,6300.0,,6300.0,6300.0,6300.0,6300.0,0.0,4401,27726300,1374,6300.0,0.0,0,1374,0,27726300,0,4401,-1.0,,6300.0,1.0,1.0,1.0,301.0,,,,905.0,0.0,740330.0,0.0,4082473272.0,0.0,,,,,5514.4,,6300.0,,2024-02-13 18:15:00
DIAS,,,,893.0,0.0,740324.0,0.0,4088579041.0,0.0,,,,,5522.7,,6300.0,,6300.0,6300.0,6300.0,6300.0,0.0,16055,101146500,1299,6300.0,0.0,0,1299,0,101146500,0,16055,-1.0,,6300.0,1.0,1.0,1.0,300.0,,,,893.0,0.0,740324.0,0.0,4088579041.0,0.0,,,,,5522.7,,6300.0,,2024-02-13 18:20:00
DIAS,,,,875.0,0.0,739497.0,0.0,4092970963.0,0.0,,,,,5534.8,,6300.0,,6300.0,6300.0,6300.0,6300.0,0.0,6833,43047900,975,6300.0,0.0,0,975,0,43047900,0,6833,-1.0,,6300.0,1.0,1.0,1.0,300.0,,,,875.0,0.0,739497.0,0.0,4092970963.0,0.0,,,,,5534.8,,6300.0,,2024-02-13 18:25:00
DIAS,,,,860.0,0.0,729910.0,0.0,4047530137.0,0.0,,,,,5545.3,,6300.0,,6300.0,6300.0,6300.0,6300.0,0.0,2733,17217900,805,6300.0,0.0,0,805,0,17217900,0,2733,-1.0,,6300.0,1.0,1.0,1.0,300.0,,,,860.0,0.0,729910.0,0.0,4047530137.0,0.0,,,,,5545.3,,6300.0,,2024-02-13 18:30:00
DIAS,,,,855.0,0.0,711853.0,0.0,3947278681.0,0.0,,,,,5545.1,,6300.0,,6300.0,6300.0,6300.0,6300.0,0.0,6046,38089800,786,6300.0,0.0,0,786,0,38089800,0,6046,-1.0,,6300.0,1.0,1.0,1.0,300.0,,,,855.0,0.0,711853.0,0.0,3947278681.0,0.0,,,,,5545.1,,6300.0,,2024-02-13 18:35:00
DIAS,,,,837.0,0.0,713446.0,0.0,3962874948.0,0.0,,,,,5554.5,,6300.0,,6300.0,6300.0,6300.0,6300.0,0.0,4955,31216500,618,6300.0,0.0,0,618,0,31216500,0,4955,-1.0,,6300.0,1.0,1.0,1.0,299.0,,,,837.0,0.0,713446.0,0.0,3962874948.0,0.0,,,,,5554.5,,6300.0,,2024-02-13 18:40:00
DIAS,13.5,73.6,34.6,600.0,557.0,79552.0,39406.0,419801774.0,285056313.0,-0.06,-0.06,0.34,0.19,5266.5,7241.6,6288.9,6310.6,7300.0,7332.5,5746.5,5910.0,0.0014,347541,2240377451,31073,6446.4,-19.0411,11256,19817,806956933,1433420518,126445,221096,-0.27,6381.9,6483.2,1.0,1.0,256.0,301.0,13.5,73.6,34.6,600.0,557.0,79552.0,39406.0,419801774.0,285056313.0,-0.06,-0.06,0.34,0.19,5266.5,7241.6,6288.9,6310.6,2024-02-14 10:05:00
DIAS,9.4,61.1,33.1,781.0,764.0,96434.0,50372.0,470143649.0,352914469.0,0.1,0.1,0.31,0.14,4872.6,7007.0,5948.7,5968.3,5910.0,6089.5,5726.5,6032.0,0.0006,87428,519695368,11867,5944.3,2.0643,5836,6031,255531067,264164301,42870,44558,-0.02,5960.6,5928.5,1.0,212.0,40.0,301.0,9.4,61.1,33.1,781.0,764.0,96434.0,50372.0,470143649.0,352914469.0,0.1,0.1,0.31,0.14,4872.6,7007.0,5948.7,5968.3,2024-02-14 10:10:00
DIAS,8.7,45.8,27.0,921.0,825.0,104289.0,64991.0,515186397.0,451930597.0,0.09,0.09,0.23,0.07,4939.6,6954.5,6001.3,6017.4,6036.0,6125.0,5950.0,6047.5,0.0005,56512,339706907,7391,6011.2,0.1905,3584,3807,166264114,173442793,27585,28927,-0.02,6027.3,5995.9,1.0,274.0,147.0,300.0,8.7,45.8,27.0,921.0,825.0,104289.0,64991.0,515186397.0,451930597.0,0.09,0.09,0.23,0.07,4939.6,6954.5,6001.3,6017.4,2024-02-14 10:15:00
