ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
DIOD,84.7,613.5,660.6,66.0,72.0,5029.0,3428.0,2915737.0,2349867.0,0.4,0.39,0.19,0.11,5.8,6.85,6.06,6.46,6.3,6.3,6.15,6.18,0.0037,644,398792,55,6.19,-1.9048,17,38,166236,232556,267,377,-0.17,6.23,6.17,5.0,5.0,9.0,240.0,84.7,613.5,660.6,66.0,72.0,5029.0,3428.0,2915737.0,2349867.0,0.4,0.39,0.19,0.11,5.8,6.85,6.06,6.46,2020-07-06 10:05:00
DIOD,97.0,528.2,608.9,77.0,84.0,5992.0,3967.0,3464421.0,2736864.0,0.49,0.49,0.2,0.12,5.78,6.9,6.08,6.45,6.19,6.45,6.18,6.25,0.0041,879,558190,65,6.35,0.9693,42,23,416398,141792,651,228,0.48,6.4,6.22,4.0,205.0,65.0,289.0,97.0,528.2,608.9,77.0,84.0,5992.0,3967.0,3464421.0,2736864.0,0.49,0.49,0.2,0.12,5.78,6.9,6.08,6.45,2020-07-06 10:10:00
DIOD,80.1,461.8,578.3,81.0,87.0,6407.0,4503.0,3721740.0,3119615.0,0.25,0.24,0.17,0.09,5.81,6.92,6.12,6.47,6.31,6.31,6.21,6.26,0.0035,220,137533,42,6.25,-0.7924,8,34,8190,129343,13,207,-0.88,6.3,6.25,120.0,120.0,289.0,297.0,80.1,461.8,578.3,81.0,87.0,6407.0,4503.0,3721740.0,3119615.0,0.25,0.24,0.17,0.09,5.81,6.92,6.12,6.47,2020-07-06 10:15:00
DIOD,60.3,467.5,561.7,83.0,91.0,6324.0,5333.0,3668277.0,3766695.0,-0.21,-0.21,0.09,-0.01,5.8,7.06,6.12,6.46,6.23,6.32,6.21,6.21,0.0028,225,140670,46,6.25,-0.321,18,28,40315,100355,64,161,-0.43,6.3,6.23,8.0,227.0,8.0,296.0,60.3,467.5,561.7,83.0,91.0,6324.0,5333.0,3668277.0,3766695.0,-0.21,-0.21,0.09,-0.01,5.8,7.06,6.12,6.46,2020-07-06 10:20:00
DIOD,48.8,455.0,468.1,81.0,99.0,7046.0,5919.0,4067427.0,4163629.0,0.32,0.31,0.09,-0.01,5.77,7.03,6.1,6.39,6.22,6.27,6.19,6.27,0.0014,158,98309,34,6.22,0.8039,14,20,30043,68266,48,110,-0.39,6.26,6.21,25.0,289.0,148.0,289.0,48.8,455.0,468.1,81.0,99.0,7046.0,5919.0,4067427.0,4163629.0,0.32,0.31,0.09,-0.01,5.77,7.03,6.1,6.39,2020-07-06 10:25:00
DIOD,80.5,411.6,481.7,77.0,107.0,6851.0,6133.0,3945468.0,4320660.0,0.08,0.08,0.05,-0.05,5.76,7.04,6.08,6.37,6.27,6.27,6.1,6.12,0.0025,1419,870677,84,6.14,-2.3923,22,62,178021,692656,291,1128,-0.59,6.12,6.14,39.0,39.0,180.0,299.0,80.5,411.6,481.7,77.0,107.0,6851.0,6133.0,3945468.0,4320660.0,0.08,0.08,0.05,-0.05,5.76,7.04,6.08,6.37,2020-07-06 10:30:00
DIOD,69.1,402.5,494.7,76.0,110.0,6594.0,6245.0,3771542.0,4387173.0,0.37,0.37,0.03,-0.08,5.72,7.02,6.04,6.34,6.15,6.17,6.13,6.13,0.002,119,73350,14,6.16,-0.3252,6,8,42512,30838,69,50,0.16,6.16,6.17,17.0,24.0,197.0,241.0,69.1,402.5,494.7,76.0,110.0,6594.0,6245.0,3771542.0,4387173.0,0.37,0.37,0.03,-0.08,5.72,7.02,6.04,6.34,2020-07-06 10:35:00
DIOD,78.3,397.4,480.7,77.0,111.0,6779.0,6354.0,3880021.0,4465461.0,-0.04,-0.05,0.03,-0.07,5.72,7.03,6.05,6.34,6.15,6.19,6.1,6.1,0.0044,100,61215,20,6.12,-0.813,7,13,8618,52597,14,86,-0.72,6.16,6.12,65.0,172.0,281.0,281.0,78.3,397.4,480.7,77.0,111.0,6779.0,6354.0,3880021.0,4465461.0,-0.04,-0.05,0.03,-0.07,5.72,7.03,6.05,6.34,2020-07-06 10:40:00
DIOD,83.0,417.3,481.6,77.0,109.0,6868.0,6466.0,3931721.0,4541944.0,0.25,0.25,0.03,-0.07,5.72,7.02,6.05,6.35,6.12,6.26,6.11,6.23,0.0037,179,111311,29,6.22,1.7974,26,3,108255,3056,174,5,0.94,6.22,6.11,71.0,173.0,71.0,230.0,83.0,417.3,481.6,77.0,109.0,6868.0,6466.0,3931721.0,4541944.0,0.25,0.25,0.03,-0.07,5.72,7.02,6.05,6.35,2020-07-06 10:45:00
DIOD,58.3,393.8,522.1,76.0,110.0,6820.0,6269.0,3897947.0,4418253.0,0.24,0.23,0.04,-0.06,5.71,7.05,6.05,6.37,6.23,6.23,6.1,6.12,0.0018,809,494817,57,6.12,-1.7657,25,32,357729,137088,585,224,0.45,6.12,6.12,7.0,7.0,65.0,300.0,58.3,393.8,522.1,76.0,110.0,6820.0,6269.0,3897947.0,4418253.0,0.24,0.23,0.04,-0.06,5.71,7.05,6.05,6.37,2020-07-06 10:50:00
DIOD,37.3,380.1,573.8,74.0,117.0,6612.0,6377.0,3739133.0,4483435.0,0.33,0.33,0.02,-0.09,5.66,7.03,6.0,6.35,6.12,6.12,6.05,6.08,0.0017,614,374080,53,6.09,-0.6536,12,41,45722,328358,75,539,-0.76,6.1,6.09,8.0,8.0,175.0,266.0,37.3,380.1,573.8,74.0,117.0,6612.0,6377.0,3739133.0,4483435.0,0.33,0.33,0.02,-0.09,5.66,7.03,6.0,6.35,2020-07-06 10:55:00
DIOD,67.7,395.7,550.5,80.0,115.0,7700.0,6282.0,4306942.0,4437467.0,-0.66,-0.66,0.1,-0.01,5.59,7.06,6.02,6.35,6.11,6.15,6.1,6.15,0.0029,119,72941,16,6.13,0.6547,13,3,66840,6101,109,10,0.83,6.13,6.1,15.0,47.0,272.0,284.0,67.7,395.7,550.5,80.0,115.0,7700.0,6282.0,4306942.0,4437467.0,-0.66,-0.66,0.1,-0.01,5.59,7.06,6.02,6.35,2020-07-06 11:00:00
DIOD,55.0,359.1,526.3,81.0,115.0,7965.0,6395.0,4466682.0,4522128.0,0.22,0.22,0.11,-0.01,5.61,7.07,6.03,6.35,6.15,6.17,6.15,6.16,0.0019,36,22182,4,6.16,0.1626,4,0,22182,0,36,0,1.0,6.16,,12.0,12.0,12.0,54.0,55.0,359.1,526.3,81.0,115.0,7965.0,6395.0,4466682.0,4522128.0,0.22,0.22,0.11,-0.01,5.61,7.07,6.03,6.35,2020-07-06 11:05:00
DIOD,28.9,346.3,526.5,81.0,116.0,8007.0,6452.0,4491254.0,4560228.0,-0.02,-0.02,0.11,-0.01,5.61,7.07,6.03,6.35,6.15,6.15,6.11,6.12,0.0015,21,12855,9,6.12,-0.4878,5,4,4905,7950,8,13,-0.24,6.13,6.12,45.0,45.0,169.0,282.0,28.9,346.3,526.5,81.0,116.0,8007.0,6452.0,4491254.0,4560228.0,-0.02,-0.02,0.11,-0.01,5.61,7.07,6.03,6.35,2020-07-06 11:10:00
DIOD,50.7,357.7,515.9,81.0,114.0,8154.0,6446.0,4578825.0,4555573.0,0.6,0.6,0.12,0.0,5.62,7.07,6.04,6.35,6.14,6.18,6.11,6.13,0.0032,266,163002,21,6.13,-0.1629,18,3,158721,4281,259,7,0.95,6.13,6.12,25.0,92.0,35.0,226.0,50.7,357.7,515.9,81.0,114.0,8154.0,6446.0,4578825.0,4555573.0,0.6,0.6,0.12,0.0,5.62,7.07,6.04,6.35,2020-07-06 11:15:00
DIOD,48.9,371.7,525.3,84.0,113.0,9151.0,6433.0,5167564.0,4549824.0,0.56,0.55,0.17,0.06,5.65,7.07,6.04,6.35,6.13,6.16,6.13,6.13,0.0049,47,28817,4,6.13,0.0,2,2,1232,27585,2,45,-0.91,6.16,6.13,11.0,15.0,11.0,291.0,48.9,371.7,525.3,84.0,113.0,9151.0,6433.0,5167564.0,4549824.0,0.56,0.55,0.17,0.06,5.65,7.07,6.04,6.35,2020-07-06 11:20:00
