ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
DZRDP,61.7,1315.8,3542.7,47.0,29.0,901.0,596.0,1142730.0,1081426.0,-0.81,-0.81,0.2,0.03,1268.0,1812.0,1317.0,1784.0,1630,1630,1630,1630,,2,3260,2,1630,0.0,2,0,3260,0,2,0,1.0,1630.0,,230.0,230.0,230.0,290.0,61.7,1315.8,3542.7,47.0,29.0,901.0,596.0,1142730.0,1081426.0,-0.81,-0.81,0.2,0.03,1268.0,1812.0,1317.0,1784.0,2020-07-06 14:00:00
DZRDP,130.8,1456.7,3506.3,45.0,29.0,911.0,595.0,1156999.0,1078710.0,-0.76,-0.76,0.21,0.04,1269.0,1813.0,1322.0,1785.0,1620,1620,1600,1600,0.0036,24,38440,5,1602,-1.2346,0,5,0,38440,0,24,-1.0,,1602.0,37.0,37.0,37.0,37.0,130.8,1456.7,3506.3,45.0,29.0,911.0,595.0,1156999.0,1078710.0,-0.76,-0.76,0.21,0.04,1269.0,1813.0,1322.0,1785.0,2020-07-06 14:05:00
DZRDP,124.2,1390.7,3245.9,46.0,29.0,930.0,827.0,1185460.0,1517206.0,-0.25,-0.26,0.06,-0.12,1275.0,1833.0,1338.0,1772.0,1630,1630,1630,1630,,5,8150,1,1630,0.0,1,0,8150,0,5,0,1.0,1630.0,,43.0,43.0,43.0,43.0,124.2,1390.7,3245.9,46.0,29.0,930.0,827.0,1185460.0,1517206.0,-0.25,-0.26,0.06,-0.12,1275.0,1833.0,1338.0,1772.0,2020-07-06 14:25:00
DZRDP,122.2,1388.8,3218.4,45.0,29.0,933.0,827.0,1191284.0,1516446.0,0.02,0.01,0.06,-0.12,1276.0,1833.0,1341.0,1773.0,1610,1610,1610,1610,0.0,3,4830,3,1610,0.0,0,3,0,4830,0,3,-1.0,,1610.0,276.0,276.0,276.0,276.0,122.2,1388.8,3218.4,45.0,29.0,933.0,827.0,1191284.0,1516446.0,0.02,0.01,0.06,-0.12,1276.0,1833.0,1341.0,1773.0,2020-07-06 15:50:00
DZRDP,62.1,1324.8,3217.7,45.0,30.0,932.0,830.0,1189510.0,1521945.0,0.08,0.08,0.06,-0.12,1275.0,1832.0,1340.0,1771.0,1610,1610,1610,1610,0.0,3,4830,3,1610,0.0,1,2,1610,3220,1,2,-0.33,1610.0,1610.0,217.0,217.0,217.0,225.0,62.1,1324.8,3217.7,45.0,30.0,932.0,830.0,1189510.0,1521945.0,0.08,0.08,0.06,-0.12,1275.0,1832.0,1340.0,1771.0,2020-07-06 15:55:00
DZRDP,66.3,1329.5,3203.0,45.0,30.0,933.0,832.0,1191435.0,1524290.0,0.05,0.05,0.06,-0.12,1276.0,1832.0,1341.0,1771.0,1610,1610,1610,1610,,2,3220,1,1610,0.0,0,1,0,3220,0,2,-1.0,,1610.0,287.0,287.0,287.0,287.0,66.3,1329.5,3203.0,45.0,30.0,933.0,832.0,1191435.0,1524290.0,0.05,0.05,0.06,-0.12,1276.0,1832.0,1341.0,1771.0,2020-07-06 16:00:00
DZRDP,180.3,1490.5,3094.3,46.0,28.0,950.0,826.0,1217732.0,1514627.0,-0.47,-0.47,0.07,-0.11,1281.0,1834.0,1354.0,1773.0,1620,1640,1620,1640,0.0034,8,13030,6,1629,1.2346,6,0,13030,0,8,0,1.0,1629.0,,50.0,50.0,50.0,50.0,180.3,1490.5,3094.3,46.0,28.0,950.0,826.0,1217732.0,1514627.0,-0.47,-0.47,0.07,-0.11,1281.0,1834.0,1354.0,1773.0,2020-07-06 16:55:00
DZRDP,159.7,1414.5,3149.6,45.0,29.0,942.0,832.0,1204229.0,1525220.0,0.15,0.14,0.06,-0.12,1278.0,1832.0,1346.0,1770.0,1610,1610,1570,1610,0.0075,43,68390,19,1590,0.0,3,16,4830,63560,3,40,-0.86,1610.0,1589.0,122.0,122.0,155.0,279.0,159.7,1414.5,3149.6,45.0,29.0,942.0,832.0,1204229.0,1525220.0,0.15,0.14,0.06,-0.12,1278.0,1832.0,1346.0,1770.0,2020-07-06 17:55:00
DZRDP,364.5,6022.1,,17.0,16.0,192.0,107.0,234322.0,213247.0,-0.18,-0.19,0.28,0.05,1218.0,1979.0,,,1600,1600,1600,1600,,1,1600,1,1600,0.0,0,1,0,1600,0,1,-1.0,,1600.0,214.0,214.0,214.0,214.0,364.5,6022.1,,17.0,16.0,192.0,107.0,234322.0,213247.0,-0.18,-0.19,0.28,0.05,1218.0,1979.0,,,2020-07-07 10:05:00
DZRDP,127.1,1475.6,3833.1,45.0,28.0,862.0,611.0,1083856.0,1107691.0,-0.01,-0.02,0.17,-0.01,1257.0,1810.0,1285.0,1777.0,1620,1630,1620,1630,,2,3250,2,1625,0.6173,2,0,3250,0,2,0,1.0,1625.0,,292.0,292.0,292.0,292.0,127.1,1475.6,3833.1,45.0,28.0,862.0,611.0,1083856.0,1107691.0,-0.01,-0.02,0.17,-0.01,1257.0,1810.0,1285.0,1777.0,2020-07-07 10:45:00
