ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
EELT,390.9,2535.9,4763.2,63.0,45.0,11973.0,7697.0,766006.0,760574.0,-0.07,-0.08,0.25,0.05,6.43,9.93,6.36,9.69,9.0,9.3,8.28,8.58,0.0173,6326,566352,62,8.95,-4.6667,32,30,368902,197449,4161,2165,0.32,8.87,9.12,10.0,90.0,201.0,298.0,390.9,2535.9,4763.2,63.0,45.0,11973.0,7697.0,766006.0,760574.0,-0.07,-0.08,0.25,0.05,6.43,9.93,6.36,9.69,2020-07-23 10:05:00
EELT,256.0,1525.3,2798.0,69.0,59.0,20396.0,14817.0,1296773.0,1392996.0,-0.54,-0.55,0.16,-0.04,6.35,9.4,7.12,9.07,8.54,8.54,8.2,8.34,0.0057,800,66347,27,8.29,-2.3419,15,12,28903,37443,344,456,-0.14,8.4,8.21,25.0,25.0,229.0,290.0,256.0,1525.3,2798.0,69.0,59.0,20396.0,14817.0,1296773.0,1392996.0,-0.54,-0.55,0.16,-0.04,6.35,9.4,7.12,9.07,2020-07-23 10:10:00
EELT,108.5,1246.5,2469.1,72.0,62.0,30832.0,15511.0,1860544.0,1460895.0,-0.63,-0.63,0.33,0.12,6.03,9.42,7.28,9.05,8.34,8.5,8.2,8.2,0.0067,3932,328784,48,8.36,-1.6787,27,21,221720,107063,2641,1291,0.34,8.4,8.29,4.0,49.0,297.0,297.0,108.5,1246.5,2469.1,72.0,62.0,30832.0,15511.0,1860544.0,1460895.0,-0.63,-0.63,0.33,0.12,6.03,9.42,7.28,9.05,2020-07-23 10:15:00
EELT,122.3,1274.9,3456.4,69.0,67.0,28095.0,18774.0,1634912.0,1747934.0,-0.42,-0.42,0.2,-0.04,5.81,9.31,6.56,8.78,8.2,8.24,8.04,8.24,0.0069,630,51190,41,8.13,0.4878,24,17,32971,18219,404,226,0.28,8.16,8.06,1.0,278.0,134.0,291.0,122.3,1274.9,3456.4,69.0,67.0,28095.0,18774.0,1634912.0,1747934.0,-0.42,-0.42,0.2,-0.04,5.81,9.31,6.56,8.78,2020-07-23 10:20:00
EELT,47.8,1154.6,680.1,70.0,71.0,33989.0,25908.0,2107375.0,2348342.0,-0.62,-0.62,0.13,-0.05,6.2,9.06,7.8,8.33,8.2,8.2,8.04,8.04,0.0023,385,31253,28,8.12,-1.9512,13,15,6826,24427,84,301,-0.56,8.13,8.12,1.0,1.0,264.0,264.0,47.8,1154.6,680.1,70.0,71.0,33989.0,25908.0,2107375.0,2348342.0,-0.62,-0.62,0.13,-0.05,6.2,9.06,7.8,8.33,2020-07-23 10:25:00
EELT,26.4,1034.4,514.4,70.0,72.0,36191.0,25780.0,2282930.0,2346413.0,-0.72,-0.72,0.17,-0.01,6.31,9.1,7.94,8.35,8.12,8.12,8.1,8.12,0.0016,132,10713,16,8.12,0.0,10,6,8526,2187,105,27,0.59,8.12,8.1,53.0,53.0,213.0,269.0,26.4,1034.4,514.4,70.0,72.0,36191.0,25780.0,2282930.0,2346413.0,-0.72,-0.72,0.17,-0.01,6.31,9.1,7.94,8.35,2020-07-23 10:30:00
EELT,52.9,1151.3,503.2,70.0,73.0,36275.0,26048.0,2284567.0,2370655.0,0.14,0.14,0.16,-0.02,6.3,9.1,7.93,8.33,8.1,8.12,8.04,8.06,0.0039,905,72887,37,8.05,-0.4938,15,22,5515,67372,68,837,-0.85,8.11,8.05,15.0,214.0,84.0,299.0,52.9,1151.3,503.2,70.0,73.0,36275.0,26048.0,2284567.0,2370655.0,0.14,0.14,0.16,-0.02,6.3,9.1,7.93,8.33,2020-07-23 10:35:00
EELT,48.8,1160.7,469.7,71.0,75.0,35512.0,26370.0,2262082.0,2398284.0,0.45,0.45,0.15,-0.03,6.37,9.09,7.95,8.33,8.12,8.12,8.06,8.06,0.0037,105,8464,5,8.06,-0.7389,2,3,243,8221,3,102,-0.94,8.12,8.06,2.0,2.0,88.0,167.0,48.8,1160.7,469.7,71.0,75.0,35512.0,26370.0,2262082.0,2398284.0,0.45,0.45,0.15,-0.03,6.37,9.09,7.95,8.33,2020-07-23 10:40:00
EELT,35.6,1115.9,473.0,71.0,76.0,36544.0,29988.0,2385771.0,2739145.0,0.5,0.5,0.1,-0.07,6.51,9.14,7.94,8.32,8.1,8.1,8.06,8.1,0.0017,784,63391,11,8.09,0.0,5,6,44530,18861,550,234,0.4,8.1,8.06,24.0,24.0,164.0,295.0,35.6,1115.9,473.0,71.0,76.0,36544.0,29988.0,2385771.0,2739145.0,0.5,0.5,0.1,-0.07,6.51,9.14,7.94,8.32,2020-07-23 10:45:00
EELT,49.6,1106.3,460.5,73.0,76.0,49647.0,27623.0,3375197.0,2529817.0,0.08,0.08,0.28,0.14,6.8,9.16,7.94,8.31,8.06,8.1,8.06,8.1,0.0022,630,50982,6,8.09,0.4963,5,1,41310,9672,510,120,0.62,8.1,8.06,60.0,145.0,60.0,261.0,49.6,1106.3,460.5,73.0,76.0,49647.0,27623.0,3375197.0,2529817.0,0.08,0.08,0.28,0.14,6.8,9.16,7.94,8.31,2020-07-23 10:50:00
