ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
FEES,5.8,39.1,19.8,229,185,22730,35316,41910354,70340803,0.09,0.09,-0.22,-0.25,0.18436,0.1992,0.19132,0.1917,0.1911,0.19196,0.19058,0.19184,0.0004,9583,18330274,465,0.19128,0.3872,304,161,12096092,6234182,6326,3257,0.32,0.19121,0.19141,1.0,192.0,3.0,292.0,5.8,39.1,19.8,229,185,22730,35316,41910354,70340803,0.09,0.09,-0.22,-0.25,0.18436,0.1992,0.19132,0.1917,2020-07-06 10:05:00
FEES,4.6,32.3,13.8,245,220,23188,38955,43017472,77492193,-0.31,-0.31,-0.25,-0.29,0.18552,0.19894,0.19167,0.19194,0.1919,0.19218,0.19142,0.19154,0.0002,9209,17672204,303,0.1919,-0.1876,172,131,11972900,5699303,6238,2971,0.35,0.19193,0.19183,4.0,21.0,184.0,293.0,4.6,32.3,13.8,245,220,23188,38955,43017472,77492193,-0.31,-0.31,-0.25,-0.29,0.18552,0.19894,0.19167,0.19194,2020-07-06 10:10:00
FEES,4.7,27.4,11.8,256,243,21152,43050,39297567,85506698,0.11,0.11,-0.34,-0.37,0.18579,0.19862,0.19168,0.19191,0.19152,0.192,0.19152,0.19192,0.0003,3103,5952325,181,0.19182,0.2089,129,52,3371179,2581146,1757,1346,0.13,0.19187,0.19176,1.0,47.0,1.0,292.0,4.7,27.4,11.8,256,243,21152,43050,39297567,85506698,0.11,0.11,-0.34,-0.37,0.18579,0.19862,0.19168,0.19191,2020-07-06 10:15:00
FEES,4.8,29.5,12.4,259,245,23067,44392,42873127,88112419,0.12,0.12,-0.32,-0.35,0.18586,0.19849,0.19165,0.19189,0.1919,0.19206,0.1914,0.1917,0.0003,10908,20919723,322,0.19178,-0.1042,192,130,11039732,9879991,5754,5154,0.06,0.19186,0.1917,1.0,33.0,105.0,299.0,4.8,29.5,12.4,259,245,23067,44392,42873127,88112419,0.12,0.12,-0.32,-0.35,0.18586,0.19849,0.19165,0.19189,2020-07-06 10:20:00
FEES,4.1,32.3,13.0,255,256,25778,46525,47890776,92263130,0.28,0.28,-0.29,-0.32,0.18577,0.19831,0.19133,0.19158,0.1917,0.19172,0.19104,0.1913,0.0003,7276,13925554,190,0.19139,-0.2087,71,119,3444730,10480824,1799,5477,-0.51,0.19148,0.19136,5.0,67.0,155.0,300.0,4.1,32.3,13.0,255,256,25778,46525,47890776,92263130,0.28,0.28,-0.29,-0.32,0.18577,0.19831,0.19133,0.19158,2020-07-06 10:25:00
FEES,5.3,34.2,12.8,256,256,26332,46458,48889493,92144834,0.14,0.14,-0.28,-0.31,0.18566,0.19834,0.19139,0.19163,0.19134,0.1917,0.19132,0.1915,0.0003,718,1374976,75,0.1915,0.0836,54,21,781623,593352,408,310,0.14,0.19157,0.1914,13.0,148.0,30.0,297.0,5.3,34.2,12.8,256,256,26332,46458,48889493,92144834,0.14,0.14,-0.28,-0.31,0.18566,0.19834,0.19139,0.19163,2020-07-06 10:30:00
FEES,4.5,32.5,10.4,262,255,27111,47082,50378559,93362690,0.04,0.04,-0.27,-0.3,0.18582,0.1983,0.1915,0.1917,0.1915,0.1917,0.19144,0.19158,0.0002,1602,3069196,125,0.19159,0.0418,81,44,1695806,1373390,885,717,0.1,0.19162,0.19155,2.0,85.0,13.0,295.0,4.5,32.5,10.4,262,255,27111,47082,50378559,93362690,0.04,0.04,-0.27,-0.3,0.18582,0.1983,0.1915,0.1917,2020-07-06 10:35:00
FEES,3.5,28.8,10.8,264,262,26676,48277,49547786,95693435,-0.17,-0.17,-0.29,-0.32,0.18573,0.19822,0.19144,0.19165,0.19162,0.1917,0.19142,0.19166,0.0002,3190,6111352,128,0.19158,0.0209,81,47,3502243,2609108,1828,1362,0.15,0.19159,0.19156,9.0,264.0,282.0,300.0,3.5,28.8,10.8,264,262,26676,48277,49547786,95693435,-0.17,-0.17,-0.29,-0.32,0.18573,0.19822,0.19144,0.19165,2020-07-06 10:40:00
FEES,4.1,27.7,12.0,270,265,28554,48691,53084512,96426441,0.22,0.22,-0.26,-0.29,0.1859,0.19803,0.19134,0.19157,0.19158,0.1916,0.19136,0.1915,0.0002,1246,2385735,99,0.19147,-0.0418,62,37,829110,1556624,433,813,-0.3,0.19148,0.19147,5.0,214.0,77.0,287.0,4.1,27.7,12.0,270,265,28554,48691,53084512,96426441,0.22,0.22,-0.26,-0.29,0.1859,0.19803,0.19134,0.19157,2020-07-06 10:45:00
FEES,3.6,28.5,10.4,282,265,29412,49314,54709452,97637912,0.0,0.0,-0.25,-0.28,0.18601,0.19799,0.1914,0.19159,0.19144,0.1916,0.1913,0.19144,0.0002,856,1638847,87,0.19145,0.0,45,42,800558,838289,418,438,-0.02,0.19152,0.19139,8.0,62.0,269.0,289.0,3.6,28.5,10.4,282,265,29412,49314,54709452,97637912,0.0,0.0,-0.25,-0.28,0.18601,0.19799,0.1914,0.19159,2020-07-06 10:50:00
FEES,4.0,29.6,8.9,283,272,28633,52563,53218078,103941064,0.03,0.03,-0.29,-0.32,0.18586,0.19775,0.19124,0.19141,0.19138,0.19148,0.1912,0.19126,0.0002,1319,2523357,88,0.19131,-0.0627,24,64,306206,2217151,160,1159,-0.76,0.19138,0.1913,1.0,21.0,283.0,297.0,4.0,29.6,8.9,283,272,28633,52563,53218078,103941064,0.03,0.03,-0.29,-0.32,0.18586,0.19775,0.19124,0.19141,2020-07-06 10:55:00
FEES,3.6,29.9,10.2,303,275,28864,53008,53646743,104825932,0.08,0.08,-0.29,-0.32,0.18585,0.19775,0.19122,0.19142,0.19126,0.1915,0.1912,0.19124,0.0002,1362,2605870,103,0.19133,-0.0105,62,41,1035354,1570515,541,821,-0.21,0.19138,0.19129,1.0,245.0,187.0,297.0,3.6,29.9,10.2,303,275,28864,53008,53646743,104825932,0.08,0.08,-0.29,-0.32,0.18585,0.19775,0.19122,0.19142,2020-07-06 11:00:00
FEES,3.5,32.4,11.5,297,271,29996,52254,55810448,103410935,-0.09,-0.09,-0.27,-0.3,0.18606,0.1979,0.19141,0.19163,0.19132,0.1916,0.19132,0.19156,0.0001,1787,3422681,190,0.19153,0.1254,163,27,2677783,744897,1398,389,0.56,0.19154,0.19149,1.0,42.0,1.0,300.0,3.5,32.4,11.5,297,271,29996,52254,55810448,103410935,-0.09,-0.09,-0.27,-0.3,0.18606,0.1979,0.19141,0.19163,2020-07-06 11:05:00
FEES,4.6,33.6,10.1,265,273,30243,52627,56281990,104133770,0.07,0.07,-0.27,-0.3,0.1861,0.19787,0.19145,0.19164,0.19156,0.19168,0.19124,0.19168,0.0003,24052,46043592,618,0.19143,0.0626,334,284,23427231,22616361,12234,11818,0.02,0.19149,0.19137,1.0,289.0,49.0,289.0,4.6,33.6,10.1,265,273,30243,52627,56281990,104133770,0.07,0.07,-0.27,-0.3,0.1861,0.19787,0.19145,0.19164,2020-07-06 11:10:00
FEES,3.2,29.8,10.9,274,278,30411,52335,56603512,103581555,-0.31,-0.31,-0.26,-0.29,0.18613,0.19792,0.19157,0.19178,0.19166,0.19174,0.19144,0.19172,0.0003,9534,18269176,300,0.19162,0.0313,169,131,10143383,8125792,5292,4242,0.11,0.19167,0.19156,3.0,15.0,172.0,300.0,3.2,29.8,10.9,274,278,30411,52335,56603512,103581555,-0.31,-0.31,-0.26,-0.29,0.18613,0.19792,0.19157,0.19178,2020-07-06 11:15:00
FEES,3.5,26.3,9.9,278,284,30802,52754,57337126,104455488,-0.21,-0.21,-0.26,-0.29,0.18614,0.198,0.19158,0.19177,0.19174,0.19174,0.1916,0.19174,0.0002,1030,1974606,73,0.19171,0.0,55,18,1338279,636327,698,332,0.36,0.19173,0.19166,5.0,5.0,228.0,298.0,3.5,26.3,9.9,278,284,30802,52754,57337126,104455488,-0.21,-0.21,-0.26,-0.29,0.18614,0.198,0.19158,0.19177,2020-07-06 11:20:00
FEES,2.4,23.8,10.9,283,284,30415,53054,56592884,105089268,-0.27,-0.27,-0.27,-0.3,0.18607,0.19808,0.19158,0.19178,0.19174,0.19174,0.19168,0.19174,0.0001,769,1474409,64,0.19173,0.0,55,9,1167682,306727,609,160,0.58,0.19174,0.1917,1.0,1.0,187.0,294.0,2.4,23.8,10.9,283,284,30415,53054,56592884,105089268,-0.27,-0.27,-0.27,-0.3,0.18607,0.19808,0.19158,0.19178,2020-07-06 11:25:00
FEES,3.4,24.6,10.7,287,285,30438,53759,56632677,106458051,-0.17,-0.17,-0.28,-0.31,0.18605,0.19803,0.19155,0.19176,0.19172,0.19174,0.1916,0.19172,0.0002,619,1186675,48,0.19171,0.0,38,10,862766,323909,450,169,0.45,0.19173,0.19166,8.0,9.0,196.0,297.0,3.4,24.6,10.7,287,285,30438,53759,56632677,106458051,-0.17,-0.17,-0.28,-0.31,0.18605,0.19803,0.19155,0.19176,2020-07-06 11:30:00
FEES,3.5,24.5,11.7,292,286,30949,53792,57594582,106533403,-0.47,-0.47,-0.27,-0.3,0.18609,0.19804,0.19163,0.19186,0.19174,0.19186,0.19168,0.19178,0.0001,1376,2638798,82,0.19177,0.0209,61,21,1894750,744047,988,388,0.44,0.19178,0.19176,2.0,6.0,49.0,296.0,3.5,24.5,11.7,292,286,30949,53792,57594582,106533403,-0.47,-0.47,-0.27,-0.3,0.18609,0.19804,0.19163,0.19186,2020-07-06 11:35:00
FEES,4.0,27.7,12.1,286,306,31068,55125,57811163,109094522,-0.12,-0.12,-0.28,-0.31,0.18608,0.1979,0.1915,0.19174,0.19178,0.19178,0.1914,0.1914,0.0002,841,1611396,39,0.1916,-0.1981,2,37,139998,1471397,73,768,-0.83,0.19178,0.19159,59.0,59.0,289.0,289.0,4.0,27.7,12.1,286,306,31068,55125,57811163,109094522,-0.12,-0.12,-0.28,-0.31,0.18608,0.1979,0.1915,0.19174,2020-07-06 11:40:00
