ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
FESH,31.9,438.7,553.8,81,85,11657,4360,8049174,3605494,-0.04,-0.04,0.46,0.38,6.91,8.27,7.26,7.67,7.32,7.34,7.3,7.34,0.0042,101,73992,4,7.33,0.2732,3,1,73262,730,100,1,0.98,7.33,7.3,6.0,299.0,7.0,299.0,31.9,438.7,553.8,81,85,11657,4360,8049174,3605494,-0.04,-0.04,0.46,0.38,6.91,8.27,7.26,7.67,2020-07-06 10:05:00
FESH,13.6,336.5,474.9,88,92,12173,4632,8372153,3823722,0.44,0.44,0.45,0.37,6.88,8.25,7.28,7.62,7.35,7.36,7.35,7.36,0.0005,53,38979,8,7.35,0.1361,5,3,20581,18398,28,25,0.06,7.35,7.36,34.0,176.0,34.0,270.0,13.6,336.5,474.9,88,92,12173,4632,8372153,3823722,0.44,0.44,0.45,0.37,6.88,8.25,7.28,7.62,2020-07-06 10:10:00
FESH,26.3,346.5,315.6,87,94,12288,5084,8482759,4167202,0.22,0.22,0.41,0.34,6.9,8.2,7.29,7.52,7.37,7.37,7.34,7.37,0.0014,198,145842,13,7.37,0.0,6,7,46431,99411,63,135,-0.36,7.37,7.36,3.0,3.0,57.0,93.0,26.3,346.5,315.6,87,94,12288,5084,8482759,4167202,0.22,0.22,0.41,0.34,6.9,8.2,7.29,7.52,2020-07-06 10:15:00
FESH,24.5,320.2,246.5,87,97,12447,5300,8599829,4330264,0.37,0.37,0.4,0.33,6.91,8.17,7.29,7.47,7.34,7.37,7.34,7.37,0.001,4,2940,3,7.35,0.4087,2,1,1472,1468,2,2,0.0,7.36,7.34,91.0,187.0,91.0,187.0,24.5,320.2,246.5,87,97,12447,5300,8599829,4330264,0.37,0.37,0.4,0.33,6.91,8.17,7.29,7.47,2020-07-06 10:20:00
FESH,15.0,291.3,194.5,90,98,12497,5588,8634841,4547833,-0.4,-0.4,0.38,0.31,6.91,8.14,7.29,7.44,7.36,7.37,7.35,7.35,0.0009,59,43447,8,7.36,-0.1359,4,4,36825,6622,50,9,0.69,7.36,7.36,23.0,35.0,190.0,190.0,15.0,291.3,194.5,90,98,12497,5588,8634841,4547833,-0.4,-0.4,0.38,0.31,6.91,8.14,7.29,7.44,2020-07-06 10:25:00
FESH,13.6,290.1,187.0,90,100,12613,6478,8718154,5251659,-0.79,-0.79,0.32,0.25,6.91,8.11,7.3,7.43,7.35,7.36,7.35,7.36,0.0007,17,12508,5,7.36,0.1361,3,2,9568,2940,13,4,0.53,7.36,7.35,78.0,158.0,78.0,178.0,13.6,290.1,187.0,90,100,12613,6478,8718154,5251659,-0.79,-0.79,0.32,0.25,6.91,8.11,7.3,7.43,2020-07-06 10:30:00
FESH,41.2,334.7,361.4,90,96,12653,6071,8747390,4958825,0.24,0.24,0.35,0.28,6.91,8.17,7.3,7.56,7.36,7.39,7.36,7.38,0.0008,351,259030,13,7.38,0.2717,13,0,259030,0,351,0,1.0,7.38,,13.0,13.0,13.0,114.0,41.2,334.7,361.4,90,96,12653,6071,8747390,4958825,0.24,0.24,0.35,0.28,6.91,8.17,7.3,7.56,2020-07-06 10:35:00
FESH,48.0,332.5,353.0,91,95,12730,6656,8804154,5411359,-0.27,-0.27,0.31,0.24,6.92,8.13,7.31,7.56,7.36,7.36,7.35,7.35,0.0006,37,27208,6,7.35,-0.1359,0,6,0,27208,0,37,-1.0,,7.35,133.0,133.0,167.0,167.0,48.0,332.5,353.0,91,95,12730,6656,8804154,5411359,-0.27,-0.27,0.31,0.24,6.92,8.13,7.31,7.56,2020-07-06 10:40:00
FESH,28.1,366.3,266.2,89,97,12748,7211,8816474,5829723,0.63,0.63,0.28,0.2,6.92,8.08,7.3,7.5,7.37,7.39,7.35,7.35,0.0021,77,56768,9,7.37,-0.2714,7,2,46478,10290,63,14,0.64,7.38,7.35,219.0,219.0,233.0,278.0,28.1,366.3,266.2,89,97,12748,7211,8816474,5829723,0.63,0.63,0.28,0.2,6.92,8.08,7.3,7.5,2020-07-06 10:45:00
FESH,25.9,376.4,344.1,90,97,12609,6932,8715585,5623622,0.5,0.5,0.29,0.22,6.91,8.11,7.3,7.55,7.35,7.35,7.34,7.35,0.001,59,43331,6,7.34,0.0,4,2,16905,26426,23,36,-0.22,7.35,7.34,28.0,28.0,110.0,260.0,25.9,376.4,344.1,90,97,12609,6932,8715585,5623622,0.5,0.5,0.29,0.22,6.91,8.11,7.3,7.55,2020-07-06 10:50:00
