ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
FLOT,5.0,159.1,16.8,336.0,53.0,220357.0,490548.0,200179642.0,522065560.0,-0.31,-0.31,-0.37,-0.44,90.85,106.47,104.48,104.66,104.99,105.0,104.01,104.48,0.0006,154978,162092752,2455,104.59,-0.4858,1054,1401,42590681,119502070,40667,114311,-0.48,104.73,104.54,1.0,1.0,103.0,299.0,5.0,159.1,16.8,336.0,53.0,220357.0,490548.0,200179642.0,522065560.0,-0.31,-0.31,-0.37,-0.44,90.85,106.47,104.48,104.66,2020-10-07 10:05:00
FLOT,5.6,43.9,27.0,359.0,86.0,191905.0,340457.0,167228921.0,364155803.0,-0.28,-0.28,-0.28,-0.37,86.91,106.97,103.68,103.96,104.48,104.48,103.04,103.38,0.0004,144416,150165772,1762,103.98,-1.0528,626,1136,18282342,131883429,17590,126826,-0.76,103.94,103.99,1.0,1.0,216.0,300.0,5.6,43.9,27.0,359.0,86.0,191905.0,340457.0,167228921.0,364155803.0,-0.28,-0.28,-0.28,-0.37,86.91,106.97,103.68,103.96,2020-10-07 10:10:00
FLOT,4.7,53.7,26.6,370.0,123.0,180727.0,330373.0,151957195.0,353351267.0,-0.41,-0.41,-0.29,-0.4,83.93,106.96,102.13,102.4,103.38,103.4,101.0,101.1,0.0005,203769,208151938,2699,102.15,-2.2055,1147,1552,44854248,163297690,43988,159781,-0.57,101.97,102.2,1.0,1.0,210.0,300.0,4.7,53.7,26.6,370.0,123.0,180727.0,330373.0,151957195.0,353351267.0,-0.41,-0.41,-0.29,-0.4,83.93,106.96,102.13,102.4,2020-10-07 10:15:00
FLOT,11.1,67.5,38.8,367.0,151.0,290921.0,406029.0,259386284.0,427281617.0,-0.08,-0.08,-0.18,-0.27,87.73,105.47,99.89,100.28,101.1,101.63,97.0,100.49,0.0008,257685,257558653,3596,99.95,-0.6034,1628,1968,87200555,170358097,87185,170500,-0.32,100.02,99.92,1.0,41.0,115.0,300.0,11.1,67.5,38.8,367.0,151.0,290921.0,406029.0,259386284.0,427281617.0,-0.08,-0.08,-0.18,-0.27,87.73,105.47,99.89,100.28,2020-10-07 10:20:00
FLOT,9.4,77.4,35.4,449.0,185.0,302996.0,350491.0,269693341.0,371728086.0,-0.4,-0.4,-0.08,-0.16,88.81,106.08,98.7,99.05,100.49,100.5,98.0,98.41,0.0006,521240,515112947,3710,98.82,-2.0699,1845,1865,111709007,403403939,112914,408326,-0.57,98.93,98.79,1.0,1.0,275.0,300.0,9.4,77.4,35.4,449.0,185.0,302996.0,350491.0,269693341.0,371728086.0,-0.4,-0.4,-0.08,-0.16,88.81,106.08,98.7,99.05,2020-10-07 10:25:00
FLOT,10.3,87.8,43.1,450.0,235.0,227125.0,353899.0,190520144.0,375135747.0,-0.03,-0.03,-0.23,-0.33,83.55,106.0,96.34,96.75,98.4,98.49,95.11,96.04,0.0006,808736,781293243,4367,96.61,-2.3984,1573,2794,84946083,696347160,88027,720709,-0.78,96.5,96.62,1.0,8.0,236.0,300.0,10.3,87.8,43.1,450.0,235.0,227125.0,353899.0,190520144.0,375135747.0,-0.03,-0.03,-0.23,-0.33,83.55,106.0,96.34,96.75,2020-10-07 10:30:00
FLOT,14.0,77.1,45.9,468.0,289.0,242307.0,379194.0,197522453.0,400318943.0,-0.07,-0.07,-0.22,-0.34,81.19,105.58,93.73,94.16,96.05,96.56,91.7,93.06,0.0009,519887,488775778,4889,94.02,-3.113,1796,3093,98321406,390454371,104734,415153,-0.6,93.88,94.05,1.0,10.0,270.0,300.0,14.0,77.1,45.9,468.0,289.0,242307.0,379194.0,197522453.0,400318943.0,-0.07,-0.07,-0.22,-0.34,81.19,105.58,93.73,94.16,2020-10-07 10:35:00
FLOT,7.6,80.9,34.6,543.0,303.0,304672.0,501426.0,253050519.0,514339562.0,-0.36,-0.36,-0.23,-0.33,82.77,103.03,92.89,93.21,93.24,95.24,91.56,95.24,0.0008,608815,565802511,3575,92.94,2.145,1883,1692,214699697,351102813,231149,377666,-0.24,92.88,92.97,1.0,300.0,153.0,300.0,7.6,80.9,34.6,543.0,303.0,304672.0,501426.0,253050519.0,514339562.0,-0.36,-0.36,-0.23,-0.33,82.77,103.03,92.89,93.21,2020-10-07 10:40:00
FLOT,8.7,69.4,45.9,687.0,293.0,409202.0,383881.0,349036684.0,405575404.0,-0.61,-0.61,0.03,-0.08,85.25,105.65,95.52,95.96,95.24,97.45,93.15,97.4,0.0006,266060,254260740,3793,95.57,2.268,2291,1502,181529237,72731503,189751,76309,0.43,95.67,95.31,1.0,285.0,87.0,300.0,8.7,69.4,45.9,687.0,293.0,409202.0,383881.0,349036684.0,405575404.0,-0.61,-0.61,0.03,-0.08,85.25,105.65,95.52,95.96,2020-10-07 10:45:00
FLOT,7.5,52.4,26.6,742.0,311.0,468537.0,400583.0,406077952.0,422605486.0,-0.14,-0.14,0.08,-0.02,86.66,105.5,96.61,96.86,97.4,97.4,96.16,96.72,0.0005,220955,214221450,2483,96.95,-0.6982,1175,1308,143155231,71066219,147568,73387,0.34,97.01,96.84,1.0,1.0,136.0,300.0,7.5,52.4,26.6,742.0,311.0,468537.0,400583.0,406077952.0,422605486.0,-0.14,-0.14,0.08,-0.02,86.66,105.5,96.61,96.86,2020-10-07 10:50:00
FLOT,5.2,63.1,19.8,761.0,332.0,494913.0,351673.0,430519190.0,366719291.0,-0.27,-0.27,0.17,0.08,86.98,104.25,96.0,96.19,96.72,97.0,94.99,95.74,0.0004,248595,237765881,3143,95.64,-1.0132,1145,1998,128362824,109403057,134319,114276,0.08,95.57,95.74,1.0,89.0,296.0,300.0,5.2,63.1,19.8,761.0,332.0,494913.0,351673.0,430519190.0,366719291.0,-0.27,-0.27,0.17,0.08,86.98,104.25,96.0,96.19,2020-10-07 10:55:00
FLOT,5.3,57.4,18.7,694.0,390.0,452154.0,581955.0,388344281.0,579588193.0,0.12,0.12,-0.12,-0.19,85.88,99.78,93.8,93.97,95.54,96.25,93.01,93.01,0.0004,442563,418280026,4406,94.51,-2.6481,1915,2491,246210586,172069439,261046,181517,0.18,94.32,94.8,1.0,6.0,300.0,300.0,5.3,57.4,18.7,694.0,390.0,452154.0,581955.0,388344281.0,579588193.0,0.12,0.12,-0.12,-0.19,85.88,99.78,93.8,93.97,2020-10-07 11:00:00
FLOT,3.8,79.9,18.8,681.0,417.0,410204.0,515723.0,348728043.0,516258809.0,-0.42,-0.42,-0.1,-0.18,85.0,100.44,93.01,93.19,93.01,94.0,92.41,93.68,0.0003,376822,350605423,3665,93.04,0.7204,1910,1755,212840580,137764843,228608,148214,0.21,93.1,92.95,1.0,228.0,164.0,300.0,3.8,79.9,18.8,681.0,417.0,410204.0,515723.0,348728043.0,516258809.0,-0.42,-0.42,-0.1,-0.18,85.0,100.44,93.01,93.19,2020-10-07 11:05:00
FLOT,3.0,40.4,20.0,707.0,432.0,406403.0,512302.0,346171352.0,514803203.0,-0.04,-0.04,-0.12,-0.2,85.18,100.49,93.58,93.77,93.67,94.0,93.12,93.64,0.0004,105688,99254552,1648,93.91,-0.032,783,865,81466398,17788153,86697,18991,0.64,93.97,93.67,2.0,62.0,115.0,300.0,3.0,40.4,20.0,707.0,432.0,406403.0,512302.0,346171352.0,514803203.0,-0.04,-0.04,-0.12,-0.2,85.18,100.49,93.58,93.77,2020-10-07 11:10:00
FLOT,3.5,48.4,16.5,727.0,433.0,451917.0,501331.0,384888108.0,504773446.0,-0.24,-0.24,-0.05,-0.13,85.17,100.69,93.67,93.82,93.62,94.0,93.49,93.49,0.0003,100445,94224672,1549,93.81,-0.1389,820,729,78168233,16056439,83296,17149,0.66,93.84,93.63,1.0,196.0,282.0,300.0,3.5,48.4,16.5,727.0,433.0,451917.0,501331.0,384888108.0,504773446.0,-0.24,-0.24,-0.05,-0.13,85.17,100.69,93.67,93.82,2020-10-07 11:15:00
FLOT,2.6,44.6,13.7,744.0,435.0,455861.0,493124.0,388363937.0,497795575.0,-0.63,-0.63,-0.04,-0.12,85.19,100.96,93.72,93.85,93.64,94.0,93.49,94.0,0.0002,29391,27600592,549,93.91,0.3845,398,151,26451794,1148798,28166,1225,0.92,93.91,93.78,1.0,204.0,1.0,300.0,2.6,44.6,13.7,744.0,435.0,455861.0,493124.0,388363937.0,497795575.0,-0.63,-0.63,-0.04,-0.12,85.19,100.96,93.72,93.85,2020-10-07 11:20:00
FLOT,2.9,47.1,11.6,753.0,438.0,486933.0,468924.0,417329004.0,475290733.0,-0.65,-0.65,0.02,-0.06,85.7,101.36,93.84,93.94,94.0,94.0,93.6,93.75,0.0003,113504,106565833,1575,93.89,-0.266,888,687,74139134,32426698,78923,34581,0.39,93.94,93.77,1.0,1.0,282.0,300.0,2.9,47.1,11.6,753.0,438.0,486933.0,468924.0,417329004.0,475290733.0,-0.65,-0.65,0.02,-0.06,85.7,101.36,93.84,93.94,2020-10-07 11:25:00
FLOT,3.5,47.5,20.3,727.0,457.0,499481.0,418674.0,428232375.0,427815401.0,-0.33,-0.33,0.09,0.0,85.73,102.22,93.32,93.51,93.7,93.9,93.1,93.66,0.0002,135181,126340689,2943,93.46,-0.0427,1971,972,97778357,28562332,104606,30575,0.55,93.47,93.42,1.0,58.0,91.0,300.0,3.5,47.5,20.3,727.0,457.0,499481.0,418674.0,428232375.0,427815401.0,-0.33,-0.33,0.09,0.0,85.73,102.22,93.32,93.51,2020-10-07 11:30:00
FLOT,3.2,53.8,32.5,743.0,449.0,488224.0,360685.0,419495281.0,373017712.0,-0.45,-0.45,0.15,0.06,85.92,103.42,93.86,94.16,93.66,95.47,92.56,95.38,0.0004,87540,82019169,2860,93.69,1.8364,1827,1033,42081859,39937309,44715,42825,0.02,94.11,93.26,1.0,285.0,8.0,300.0,3.2,53.8,32.5,743.0,449.0,488224.0,360685.0,419495281.0,373017712.0,-0.45,-0.45,0.15,0.06,85.92,103.42,93.86,94.16,2020-10-07 11:35:00
FLOT,7.3,52.8,41.4,800.0,418.0,515907.0,373377.0,445853483.0,385518180.0,-0.2,-0.2,0.16,0.07,86.42,103.27,94.9,95.29,95.38,96.0,94.14,94.76,0.0005,121183,115178008,3089,95.04,-0.65,1600,1489,42988879,72189128,45178,76005,-0.25,95.15,94.98,1.0,150.0,224.0,299.0,7.3,52.8,41.4,800.0,418.0,515907.0,373377.0,445853483.0,385518180.0,-0.2,-0.2,0.16,0.07,86.42,103.27,94.9,95.29,2020-10-07 11:40:00
FLOT,5.7,49.5,34.4,835.0,412.0,533165.0,373797.0,461949059.0,386113506.0,-0.17,-0.17,0.18,0.09,86.64,103.31,95.17,95.5,94.76,96.36,94.53,96.14,0.0004,176698,168663566,1874,95.45,1.4563,1022,852,49103300,119560265,51543,125155,-0.42,95.27,95.53,1.0,275.0,6.0,300.0,5.7,49.5,34.4,835.0,412.0,533165.0,373797.0,461949059.0,386113506.0,-0.17,-0.17,0.18,0.09,86.64,103.31,95.17,95.5,2020-10-07 11:45:00
FLOT,4.9,34.4,24.2,889.0,387.0,549803.0,342795.0,478051460.0,355635057.0,-0.46,-0.46,0.23,0.15,86.95,103.75,96.31,96.54,96.14,97.0,95.8,96.94,0.0003,79212,76334709,2101,96.37,0.8321,1141,960,45132686,31202022,46801,32411,0.18,96.44,96.27,1.0,292.0,132.0,300.0,4.9,34.4,24.2,889.0,387.0,549803.0,342795.0,478051460.0,355635057.0,-0.46,-0.46,0.23,0.15,86.95,103.75,96.31,96.54,2020-10-07 11:50:00
FLOT,5.8,40.6,22.1,937.0,345.0,567683.0,301899.0,495421674.0,314628561.0,-0.53,-0.53,0.31,0.22,87.27,104.22,97.42,97.63,96.94,98.18,96.58,98.17,0.0003,114220,111528532,2588,97.64,1.2688,1635,953,85256003,26272528,87252,26968,0.53,97.71,97.42,1.0,297.0,6.0,300.0,5.8,40.6,22.1,937.0,345.0,567683.0,301899.0,495421674.0,314628561.0,-0.53,-0.53,0.31,0.22,87.27,104.22,97.42,97.63,2020-10-07 11:55:00
FLOT,4.0,39.4,21.0,999.0,300.0,588941.0,302821.0,516267696.0,317703474.0,-0.26,-0.26,0.32,0.24,87.66,104.87,98.39,98.6,98.13,98.83,98.01,98.43,0.0003,85977,84740007,2836,98.56,0.3057,1420,1416,43369556,41370450,43994,41983,0.02,98.58,98.54,2.0,174.0,2.0,300.0,4.0,39.4,21.0,999.0,300.0,588941.0,302821.0,516267696.0,317703474.0,-0.26,-0.26,0.32,0.24,87.66,104.87,98.39,98.6,2020-10-07 12:00:00
FLOT,4.9,41.3,25.0,968.0,354.0,589079.0,406964.0,515648083.0,428254125.0,0.14,0.14,0.18,0.09,87.53,105.24,97.45,97.7,98.43,98.43,97.1,97.58,0.0005,161491,158007520,2540,97.84,-0.8636,979,1561,57773896,100233623,59054,102437,-0.27,97.83,97.85,1.0,1.0,123.0,300.0,4.9,41.3,25.0,968.0,354.0,589079.0,406964.0,515648083.0,428254125.0,0.14,0.14,0.18,0.09,87.53,105.24,97.45,97.7,2020-10-07 12:05:00
FLOT,3.3,39.1,16.6,981.0,362.0,600201.0,407678.0,525840874.0,429154205.0,-0.16,-0.16,0.19,0.1,87.61,105.27,97.33,97.49,97.56,97.85,97.12,97.5,0.0003,74787,72899113,1511,97.48,-0.0615,657,854,40891143,32007970,41947,32840,0.12,97.48,97.47,1.0,102.0,164.0,300.0,3.3,39.1,16.6,981.0,362.0,600201.0,407678.0,525840874.0,429154205.0,-0.16,-0.16,0.19,0.1,87.61,105.27,97.33,97.49,2020-10-07 12:10:00
FLOT,2.4,50.3,14.1,994.0,365.0,602466.0,423733.0,529071611.0,445144533.0,-0.56,-0.56,0.17,0.09,87.82,105.05,97.29,97.42,97.5,97.7,96.86,96.99,0.0002,79305,77223373,1718,97.38,-0.5231,812,906,50065227,27158145,51367,27938,0.3,97.47,97.21,1.0,239.0,288.0,300.0,2.4,50.3,14.1,994.0,365.0,602466.0,423733.0,529071611.0,445144533.0,-0.56,-0.56,0.17,0.09,87.82,105.05,97.29,97.42,2020-10-07 12:15:00
FLOT,2.9,38.3,17.2,990.0,378.0,604428.0,428502.0,530754990.0,449864609.0,-0.12,-0.12,0.17,0.08,87.81,104.99,97.17,97.33,96.99,97.38,96.87,97.29,0.0002,13380,13013528,684,97.26,0.3093,394,290,6465085,6548443,6648,6732,-0.01,97.25,97.27,1.0,142.0,14.0,300.0,2.9,38.3,17.2,990.0,378.0,604428.0,428502.0,530754990.0,449864609.0,-0.12,-0.12,0.17,0.08,87.81,104.99,97.17,97.33,2020-10-07 12:20:00
