ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
GAZP,1.6,17.7,3.7,1088,670.0,282055,312208.0,476303991,555162593.0,0.05,0.05,-0.05,-0.07,168.87,177.84,173.58,173.65,173.58,173.95,173.23,173.56,0.0002,83455,144957913,2292,173.7,-0.0115,1145,1147,63187541,81770372,36371,47084,-0.13,173.73,173.67,1.0,62.0,277.0,300.0,1.6,17.7,3.7,1088,670.0,282055,312208.0,476303991,555162593.0,0.05,0.05,-0.05,-0.07,168.87,177.84,173.58,173.65,2023-04-10 10:05:00
GAZP,1.7,15.5,3.5,1111,705.0,306409,346741.0,517365215,616218646.0,-0.22,-0.22,-0.06,-0.09,168.85,177.72,173.52,173.59,173.57,173.72,173.26,173.45,0.0001,47752,82888556,1108,173.58,-0.0691,655,453,55750797,27137759,32114,15638,0.35,173.6,173.54,1.0,205.0,263.0,300.0,1.7,15.5,3.5,1111,705.0,306409,346741.0,517365215,616218646.0,-0.22,-0.22,-0.06,-0.09,168.85,177.72,173.52,173.59,2023-04-10 10:10:00
GAZP,1.1,13.4,2.5,1130,712.0,322158,361142.0,543587786,642110880.0,-0.07,-0.07,-0.06,-0.08,168.73,177.8,173.63,173.67,173.43,173.7,173.4,173.7,0.0001,39443,68486967,1088,173.64,0.1557,723,365,47495002,20991965,27352,12091,0.39,173.64,173.62,1.0,61.0,5.0,300.0,1.1,13.4,2.5,1130,712.0,322158,361142.0,543587786,642110880.0,-0.07,-0.07,-0.06,-0.08,168.73,177.8,173.63,173.67,2023-04-10 10:15:00
GAZP,1.3,12.5,3.0,1142,714.0,333291,370038.0,562293258,657968675.0,-0.27,-0.27,-0.05,-0.08,168.71,177.81,173.64,173.7,173.69,173.7,173.61,173.67,0.0001,16799,29177293,555,173.68,-0.0115,366,189,21546485,7630808,12405,4394,0.48,173.69,173.66,1.0,2.0,67.0,299.0,1.3,12.5,3.0,1142,714.0,333291,370038.0,562293258,657968675.0,-0.27,-0.27,-0.05,-0.08,168.71,177.81,173.64,173.7,2023-04-10 10:20:00
GAZP,1.5,13.2,3.3,1138,727.0,331558,384414.0,559779690,683245956.0,0.04,0.04,-0.07,-0.1,168.82,177.74,173.57,173.62,173.67,173.7,173.47,173.65,0.0001,21524,37364511,649,173.59,-0.0115,328,321,18795129,18569381,10826,10698,0.01,173.61,173.58,1.0,123.0,73.0,299.0,1.5,13.2,3.3,1138,727.0,331558,384414.0,559779690,683245956.0,0.04,0.04,-0.07,-0.1,168.82,177.74,173.57,173.62,2023-04-10 10:25:00
GAZP,1.0,12.3,2.2,1171,698.0,355341,381341.0,600820614,678497818.0,0.01,0.01,-0.04,-0.06,169.08,177.93,173.94,173.98,173.64,174.4,173.63,174.37,0.0001,78883,137288222,2055,174.04,0.4204,1613,442,110152165,27136057,63294,15589,0.6,174.03,174.07,1.0,272.0,2.0,300.0,1.0,12.3,2.2,1171,698.0,355341,381341.0,600820614,678497818.0,0.01,0.01,-0.04,-0.06,169.08,177.93,173.94,173.98,2023-04-10 10:30:00
GAZP,1.2,12.2,2.7,1196,669.0,361338,380769.0,611197552,678250408.0,-0.15,-0.15,-0.03,-0.05,169.15,178.13,174.35,174.4,174.37,174.5,174.18,174.29,0.0001,79032,137822921,1682,174.39,-0.0459,1016,666,79699811,58123109,45692,33340,0.16,174.43,174.33,1.0,57.0,221.0,300.0,1.2,12.2,2.7,1196,669.0,361338,380769.0,611197552,678250408.0,-0.15,-0.15,-0.03,-0.05,169.15,178.13,174.35,174.4,2023-04-10 10:35:00
GAZP,0.7,12.0,1.8,1212,672.0,380187,396956.0,643868142,706992104.0,-0.08,-0.08,-0.02,-0.05,169.35,178.1,174.41,174.44,174.27,174.6,174.27,174.59,0.0,47855,83486404,1230,174.46,0.1836,901,329,66255837,17230566,37977,9878,0.59,174.46,174.43,1.0,294.0,1.0,300.0,0.7,12.0,1.8,1212,672.0,380187,396956.0,643868142,706992104.0,-0.08,-0.08,-0.02,-0.05,169.35,178.1,174.41,174.44,2023-04-10 10:40:00
GAZP,1.5,13.4,3.3,1214,672.0,377829,380690.0,639714226,678728706.0,-0.08,-0.08,0.0,-0.03,169.31,178.29,174.46,174.52,174.6,174.9,174.22,174.22,0.0001,78605,137246516,1649,174.6,-0.2176,920,729,76943458,60303057,44050,34555,0.12,174.67,174.51,1.0,50.0,242.0,299.0,1.5,13.4,3.3,1214,672.0,377829,380690.0,639714226,678728706.0,-0.08,-0.08,0.0,-0.03,169.31,178.29,174.46,174.52,2023-04-10 10:45:00
GAZP,1.2,12.9,2.6,1199,706.0,391216,399743.0,662779099,712371760.0,-0.2,-0.2,-0.01,-0.04,169.41,178.21,174.18,174.23,174.22,174.3,174.02,174.08,0.0001,26458,46084268,890,174.18,-0.0804,378,512,19452105,26632162,11165,15293,-0.16,174.22,174.15,1.0,61.0,259.0,300.0,1.2,12.9,2.6,1199,706.0,391216,399743.0,662779099,712371760.0,-0.2,-0.2,-0.01,-0.04,169.41,178.21,174.18,174.23,2023-04-10 10:50:00
