ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
HYDR,11.2,49.0,27.2,198,241,61285,87415,45679025,69525218,0.27,0.27,-0.17,-0.2,0.7452,0.7956,0.7651,0.7672,0.7695,0.7695,0.7601,0.7661,0.0008,39524,30218076,833,0.7646,-0.4418,304,529,8795254,21422822,11497,28027,-0.42,0.765,0.7644,1.0,1.0,45.0,300.0,11.2,49.0,27.2,198,241,61285,87415,45679025,69525218,0.27,0.27,-0.17,-0.2,0.7452,0.7956,0.7651,0.7672,2020-06-15 10:05:00
HYDR,8.7,34.0,19.8,208,271,89564,88388,66907478,70246509,0.33,0.33,0.01,-0.02,0.747,0.7948,0.7626,0.7641,0.766,0.7662,0.7614,0.7628,0.0004,34655,26461073,540,0.7636,-0.4178,173,367,6331652,20129421,8289,26366,-0.52,0.7639,0.7635,1.0,4.0,226.0,298.0,8.7,34.0,19.8,208,271,89564,88388,66907478,70246509,0.33,0.33,0.01,-0.02,0.747,0.7948,0.7626,0.7641,2020-06-15 10:10:00
HYDR,6.9,32.4,16.4,207,285,90135,135430,67111564,109816494,0.2,0.2,-0.2,-0.24,0.7442,0.8107,0.7608,0.762,0.7625,0.7643,0.757,0.76,0.0003,63536,48288965,969,0.76,-0.3279,324,645,15386898,32902067,20246,43290,-0.36,0.76,0.76,1.0,35.0,227.0,300.0,6.9,32.4,16.4,207,285,90135,135430,67111564,109816494,0.2,0.2,-0.2,-0.24,0.7442,0.8107,0.7608,0.762,2020-06-15 10:15:00
HYDR,5.8,31.4,15.5,233,290,86518,136210,64117231,110489732,0.4,0.4,-0.22,-0.27,0.7411,0.8112,0.7618,0.763,0.76,0.7636,0.76,0.7629,0.0003,13868,10573728,362,0.7625,0.3816,165,197,6250959,4322769,8198,5670,0.18,0.7625,0.7624,1.0,132.0,1.0,300.0,5.8,31.4,15.5,233,290,86518,136210,64117231,110489732,0.4,0.4,-0.22,-0.27,0.7411,0.8112,0.7618,0.763,2020-06-15 10:20:00
HYDR,4.4,30.3,18.7,265,289,99277,132787,73799849,107859798,0.18,0.18,-0.15,-0.19,0.7432,0.8123,0.7642,0.7656,0.7629,0.7689,0.7615,0.7679,0.0002,26949,20625350,485,0.7653,0.6554,314,171,14744789,5880560,19264,7685,0.43,0.7654,0.7652,3.0,261.0,47.0,300.0,4.4,30.3,18.7,265,289,99277,132787,73799849,107859798,0.18,0.18,-0.15,-0.19,0.7432,0.8123,0.7642,0.7656,2020-06-15 10:25:00
HYDR,7.1,33.3,16.5,296,265,121392,136975,90674926,111298170,0.11,0.11,-0.06,-0.1,0.747,0.8127,0.7714,0.7727,0.7679,0.775,0.7679,0.7705,0.0004,51172,39528752,793,0.7725,0.3386,481,312,26778381,12750370,34665,16507,0.35,0.7725,0.7724,1.0,136.0,1.0,294.0,7.1,33.3,16.5,296,265,121392,136975,90674926,111298170,0.11,0.11,-0.06,-0.1,0.747,0.8127,0.7714,0.7727,2020-06-15 10:30:00
HYDR,6.7,31.9,17.6,300,296,121959,152659,91120291,123584008,-0.01,-0.01,-0.11,-0.15,0.7471,0.8095,0.77,0.7714,0.7706,0.7714,0.7688,0.7694,0.0003,15602,12017313,261,0.7702,-0.1557,87,174,3071109,8946204,3987,11615,-0.49,0.7703,0.7702,1.0,4.0,297.0,300.0,6.7,31.9,17.6,300,296,121959,152659,91120291,123584008,-0.01,-0.01,-0.11,-0.15,0.7471,0.8095,0.77,0.7714,2020-06-15 10:35:00
HYDR,5.1,30.2,15.9,311,300,128070,152632,95819967,123641229,-0.22,-0.22,-0.09,-0.13,0.7482,0.8101,0.7708,0.772,0.7688,0.7723,0.7688,0.7717,0.0003,8122,6264245,195,0.7713,0.3772,107,88,3311252,2952992,4293,3829,0.06,0.7713,0.7712,2.0,179.0,2.0,293.0,5.1,30.2,15.9,311,300,128070,152632,95819967,123641229,-0.22,-0.22,-0.09,-0.13,0.7482,0.8101,0.7708,0.772,2020-06-15 10:40:00
HYDR,5.9,31.7,15.2,310,304,129149,156624,96653516,126737963,-0.39,-0.39,-0.1,-0.13,0.7484,0.8092,0.7705,0.7717,0.7714,0.7719,0.7701,0.7706,0.0003,3647,2812481,128,0.7712,-0.1037,57,71,1331170,1481311,1726,1921,-0.05,0.7712,0.7711,3.0,24.0,247.0,300.0,5.9,31.7,15.2,310,304,129149,156624,96653516,126737963,-0.39,-0.39,-0.1,-0.13,0.7484,0.8092,0.7705,0.7717,2020-06-15 10:45:00
HYDR,3.2,29.6,13.0,306,312,124196,161253,92944441,130328330,-0.64,-0.64,-0.13,-0.17,0.7484,0.8082,0.77,0.771,0.7707,0.771,0.77,0.77,0.0002,6208,4781665,140,0.7702,-0.0908,43,97,1333999,3447666,1731,4477,-0.44,0.7707,0.7701,1.0,40.0,185.0,297.0,3.2,29.6,13.0,306,312,124196,161253,92944441,130328330,-0.64,-0.64,-0.13,-0.17,0.7484,0.8082,0.77,0.771,2020-06-15 10:50:00
