ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
IVAT,8.3,57.9,36.9,379.0,249.0,698194.0,650445.0,182342781.0,237324245.0,0.16,0.16,0.04,-0.13,260.45,365.15,299.37,300.47,304.05,309.95,295.55,297.5,0.0009,1097656,330341124,7397,300.95,-2.1543,2862,4535,89483984,240857139,296419,801237,-0.46,301.88,300.61,1,7,235,300,8.3,57.9,36.9,379.0,249.0,698194.0,650445.0,182342781.0,237324245.0,0.16,0.16,0.04,-0.13,260.45,365.15,299.37,300.47,2024-06-04 15:15:00
IVAT,7.5,49.3,37.3,461.0,295.0,684777.0,616402.0,176996505.0,221504394.0,-0.06,-0.06,0.05,-0.11,258.42,359.38,298.21,299.32,297.25,300.3,296.0,299.35,0.0005,159636,47760951,2225,299.19,0.7065,1257,968,23491893,24269058,78500,81136,-0.02,299.26,299.12,1,179,77,299,7.5,49.3,37.3,461.0,295.0,684777.0,616402.0,176996505.0,221504394.0,-0.06,-0.06,0.05,-0.11,258.42,359.38,298.21,299.32,2024-06-04 15:20:00
IVAT,7.8,54.8,50.6,427.0,335.0,588247.0,655587.0,152013054.0,232304801.0,-0.11,-0.11,-0.05,-0.21,258.42,354.36,297.19,298.7,299.35,299.5,296.5,298.0,0.0005,64594,19214074,1362,297.46,-0.451,535,827,5996345,13217728,20128,44466,-0.38,297.91,297.25,1,24,209,300,7.8,54.8,50.6,427.0,335.0,588247.0,655587.0,152013054.0,232304801.0,-0.11,-0.11,-0.05,-0.21,258.42,354.36,297.19,298.7,2024-06-04 15:25:00
IVAT,6.9,47.4,40.1,412.0,325.0,555140.0,666507.0,143395272.0,234805565.0,0.13,0.13,-0.09,-0.24,258.16,352.29,298.18,299.38,298.0,299.8,297.2,299.25,0.0005,79689,23830689,1058,299.05,0.4195,636,422,15854439,7976249,52989,26700,0.33,299.2,298.74,3,117,4,300,6.9,47.4,40.1,412.0,325.0,555140.0,666507.0,143395272.0,234805565.0,0.13,0.13,-0.09,-0.24,258.16,352.29,298.18,299.38,2024-06-04 15:30:00
IVAT,7.1,47.1,41.1,397.0,319.0,503747.0,701489.0,129716583.0,246162525.0,0.05,0.05,-0.16,-0.31,257.39,350.94,298.41,299.63,299.25,299.8,298.4,299.4,0.0005,60217,18024854,667,299.33,0.0501,390,277,9863123,8161730,32947,27270,0.09,299.36,299.29,2,191,32,300,7.1,47.1,41.1,397.0,319.0,503747.0,701489.0,129716583.0,246162525.0,0.05,0.05,-0.16,-0.31,257.39,350.94,298.41,299.63,2024-06-04 15:35:00
IVAT,5.4,39.8,21.6,392.0,320.0,483137.0,718674.0,126581256.0,251746489.0,-0.11,-0.11,-0.2,-0.33,262.11,350.3,298.94,299.59,299.4,299.5,299.0,299.1,0.0003,21084,6307077,502,299.14,-0.1002,269,233,1854676,4452400,6196,14888,-0.41,299.33,299.06,1,130,88,300,5.4,39.8,21.6,392.0,320.0,483137.0,718674.0,126581256.0,251746489.0,-0.11,-0.11,-0.2,-0.33,262.11,350.3,298.94,299.59,2024-06-04 15:40:00
IVAT,5.9,41.1,28.9,367.0,326.0,393298.0,715156.0,103387274.0,250460514.0,-0.14,-0.14,-0.29,-0.42,262.62,350.22,298.35,299.21,299.15,299.3,298.0,298.4,0.0004,24277,7255153,659,298.85,-0.2507,258,401,1756776,5498377,5877,18400,-0.52,298.92,298.82,2,7,235,299,5.9,41.1,28.9,367.0,326.0,393298.0,715156.0,103387274.0,250460514.0,-0.14,-0.14,-0.29,-0.42,262.62,350.22,298.35,299.21,2024-06-04 15:45:00
IVAT,6.5,46.1,41.8,355.0,328.0,343898.0,723475.0,89645188.0,252809233.0,-0.14,-0.14,-0.36,-0.48,260.67,349.45,297.57,298.82,298.45,298.95,298.0,298.55,0.0004,19786,5899852,531,298.18,0.0335,269,262,1400422,4499429,4692,15094,-0.53,298.47,298.09,1,67,27,300,6.5,46.1,41.8,355.0,328.0,343898.0,723475.0,89645188.0,252809233.0,-0.14,-0.14,-0.36,-0.48,260.67,349.45,297.57,298.82,2024-06-04 15:50:00
IVAT,6.2,48.1,44.1,334.0,323.0,400072.0,775261.0,103474173.0,268489659.0,-0.1,-0.1,-0.32,-0.45,258.57,346.33,296.55,297.86,298.5,298.5,296.0,296.55,0.0003,27340,8121141,1058,297.04,-0.6533,288,770,1889550,6231590,6358,20982,-0.53,297.19,297.0,2,2,205,300,6.2,48.1,44.1,334.0,323.0,400072.0,775261.0,103474173.0,268489659.0,-0.1,-0.1,-0.32,-0.45,258.57,346.33,296.55,297.86,2024-06-04 15:55:00
IVAT,4.0,51.2,35.0,354.0,312.0,456863.0,780697.0,118835983.0,270032697.0,-0.12,-0.12,-0.26,-0.39,260.11,345.89,297.17,298.21,296.55,298.5,296.25,297.95,0.0002,15052,4482284,467,297.79,0.4721,341,126,3061400,1420884,10281,4771,0.37,297.77,297.82,1,234,6,300,4.0,51.2,35.0,354.0,312.0,456863.0,780697.0,118835983.0,270032697.0,-0.12,-0.12,-0.26,-0.39,260.11,345.89,297.17,298.21,2024-06-04 16:00:00
