ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
KMEZ,151.0,552.1,,74.0,55.0,1679.0,857.0,631860.0,448959.0,0.41,0.4,0.32,0.17,376.8,524.0,,,464.0,465.0,464.0,465.0,,15,6966,2,464.4,0.2155,2,0,6966,0,15,0,1.0,464.4,,20.0,20.0,20.0,20.0,151.0,552.1,,74.0,55.0,1679.0,857.0,631860.0,448959.0,0.41,0.4,0.32,0.17,376.8,524.0,,,2020-07-06 10:05:00
KMEZ,86.8,430.8,,89.0,71.0,2320.0,1230.0,856670.0,639778.0,-0.8,-0.8,0.31,0.14,369.2,519.8,,,465.0,465.0,465.0,465.0,,1,465,1,465.0,0.0,1,0,465,0,1,0,1.0,465.0,,200.0,200.0,200.0,200.0,86.8,430.8,,89.0,71.0,2320.0,1230.0,856670.0,639778.0,-0.8,-0.8,0.31,0.14,369.2,519.8,,,2020-07-06 10:20:00
KMEZ,86.8,418.5,,90.0,72.0,2338.0,1251.0,864813.0,649979.0,-0.79,-0.79,0.3,0.14,369.8,519.5,,,461.0,461.0,461.0,461.0,,1,461,1,461.0,0.0,0,1,0,461,0,1,-1.0,,461.0,163.0,163.0,163.0,163.0,86.8,418.5,,90.0,72.0,2338.0,1251.0,864813.0,649979.0,-0.79,-0.79,0.3,0.14,369.8,519.5,,,2020-07-06 10:25:00
KMEZ,86.8,418.5,,94.0,76.0,2434.0,1516.0,899391.0,797527.0,-0.55,-0.55,0.23,0.06,369.4,525.9,,,465.0,465.0,465.0,465.0,,1,465,1,465.0,0.0,1,0,465,0,1,0,1.0,465.0,,176.0,176.0,176.0,176.0,86.8,418.5,,94.0,76.0,2434.0,1516.0,899391.0,797527.0,-0.55,-0.55,0.23,0.06,369.4,525.9,,,2020-07-06 10:45:00
KMEZ,75.9,396.5,,94.0,78.0,2433.0,1936.0,898731.0,1006177.0,-0.68,-0.68,0.11,-0.06,369.4,519.6,,519.0,464.5,464.5,464.5,464.5,,11,5109,1,464.5,0.0,1,0,5109,0,11,0,1.0,464.5,,268.0,268.0,268.0,268.0,75.9,396.5,,94.0,78.0,2433.0,1936.0,898731.0,1006177.0,-0.68,-0.68,0.11,-0.06,369.4,519.6,,519.0,2020-07-06 11:05:00
KMEZ,67.9,395.0,,94.0,78.0,2440.0,1926.0,901967.0,1001438.0,-0.58,-0.59,0.12,-0.05,369.7,519.9,,519.8,464.5,464.5,464.5,464.5,,2,929,2,464.5,0.0,2,0,929,0,2,0,1.0,464.5,,64.0,64.0,64.0,122.0,67.9,395.0,,94.0,78.0,2440.0,1926.0,901967.0,1001438.0,-0.58,-0.59,0.12,-0.05,369.7,519.9,,519.8,2020-07-06 11:15:00
KMEZ,65.0,396.5,,96.0,80.0,2516.0,1967.0,933290.0,1021044.0,-0.06,-0.07,0.12,-0.04,370.8,519.1,,517.1,461.5,461.5,461.5,461.5,,3,1384,1,461.5,0.0,0,1,0,1384,0,3,-1.0,,461.5,196.0,196.0,196.0,196.0,65.0,396.5,,96.0,80.0,2516.0,1967.0,933290.0,1021044.0,-0.06,-0.07,0.12,-0.04,370.8,519.1,,517.1,2020-07-06 11:40:00
KMEZ,59.2,384.3,,101.0,80.0,2548.0,1967.0,946602.0,1021044.0,-0.66,-0.66,0.13,-0.04,371.5,519.1,,517.1,462.0,462.0,461.5,461.5,0.0006,25,11539,4,461.6,-0.1082,0,4,0,11539,0,25,-1.0,,461.6,226.0,226.0,241.0,241.0,59.2,384.3,,101.0,80.0,2548.0,1967.0,946602.0,1021044.0,-0.66,-0.66,0.13,-0.04,371.5,519.1,,517.1,2020-07-06 12:10:00
KMEZ,65.0,396.5,,102.0,80.0,2540.0,2026.0,942755.0,1050229.0,-0.86,-0.86,0.11,-0.05,371.2,518.2,,513.7,464.5,464.5,464.5,464.5,,1,464,1,464.5,0.0,1,0,464,0,1,0,1.0,464.5,,201.0,201.0,201.0,201.0,65.0,396.5,,102.0,80.0,2540.0,2026.0,942755.0,1050229.0,-0.86,-0.86,0.11,-0.05,371.2,518.2,,513.7,2020-07-06 12:30:00
KMEZ,65.0,396.5,,102.0,81.0,2549.0,2072.0,946422.0,1076812.0,-0.87,-0.87,0.1,-0.06,371.2,519.7,,513.0,461.5,461.5,461.5,461.5,,1,461,1,461.5,0.0,0,1,0,461,0,1,-1.0,,461.5,235.0,235.0,235.0,235.0,65.0,396.5,,102.0,81.0,2549.0,2072.0,946422.0,1076812.0,-0.87,-0.87,0.1,-0.06,371.2,519.7,,513.0,2020-07-06 12:40:00
