ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
KOGK,123.8,2271.9,2040.4,17.0,31.0,41.0,86.0,1477520.0,4802040.0,-0.23,-0.23,-0.35,-0.53,35404.0,55323.0,40023.0,48188.0,45400.0,45400.0,45400.0,45400.0,,1,45400,1,45400.0,0.0,0,1,0,45400,0,1,-1.0,,45400.0,61.0,61.0,61.0,61.0,123.8,2271.9,2040.4,17.0,31.0,41.0,86.0,1477520.0,4802040.0,-0.23,-0.23,-0.35,-0.53,35404.0,55323.0,40023.0,48188.0,2020-07-06 11:05:00
KOGK,118.0,2265.5,1582.4,18.0,31.0,44.0,86.0,1583966.0,4773000.0,0.0,-0.01,-0.32,-0.5,35863.0,55393.0,41731.0,48332.0,45400.0,45400.0,45400.0,45400.0,,1,45400,1,45400.0,0.0,0,1,0,45400,0,1,-1.0,,45400.0,60.0,60.0,60.0,60.0,118.0,2265.5,1582.4,18.0,31.0,44.0,86.0,1583966.0,4773000.0,0.0,-0.01,-0.32,-0.5,35863.0,55393.0,41731.0,48332.0,2020-07-06 11:15:00
KOGK,161.3,2280.1,1569.7,18.0,31.0,44.0,86.0,1607666.0,4765400.0,-0.03,-0.04,-0.32,-0.5,35882.0,55412.0,41812.0,48372.0,45200.0,45200.0,45000.0,45000.0,0.0026,4,180400,4,45100.0,-0.4425,0,4,0,180400,0,4,-1.0,,45100.0,116.0,116.0,116.0,116.0,161.3,2280.1,1569.7,18.0,31.0,44.0,86.0,1607666.0,4765400.0,-0.03,-0.04,-0.32,-0.5,35882.0,55412.0,41812.0,48372.0,2020-07-06 11:20:00
KOGK,133.3,2100.0,1137.5,20.0,30.0,51.0,86.0,1904400.0,4808753.0,0.16,0.15,-0.25,-0.43,36764.0,55294.0,43195.0,48108.0,45000.0,45000.0,45000.0,45000.0,,2,90000,2,45000.0,0.0,0,2,0,90000,0,2,-1.0,,45000.0,253.0,253.0,253.0,301.0,133.3,2100.0,1137.5,20.0,30.0,51.0,86.0,1904400.0,4808753.0,0.16,0.15,-0.25,-0.43,36764.0,55294.0,43195.0,48108.0,2020-07-06 11:40:00
KOGK,60.5,1660.2,1042.1,22.0,30.0,53.0,114.0,1957200.0,6384833.0,-0.14,-0.15,-0.37,-0.53,36928.0,55633.0,43422.0,47947.0,45600.0,45600.0,45600.0,45600.0,,1,45600,1,45600.0,0.0,1,0,45600,0,1,0,1.0,45600.0,,26.0,26.0,26.0,26.0,60.5,1660.2,1042.1,22.0,30.0,53.0,114.0,1957200.0,6384833.0,-0.14,-0.15,-0.37,-0.53,36928.0,55633.0,43422.0,47947.0,2020-07-06 12:20:00
KOGK,61.9,1557.2,987.3,22.0,30.0,54.0,114.0,2037520.0,6350000.0,-0.23,-0.23,-0.35,-0.51,37181.0,55702.0,43808.0,48133.0,45400.0,45400.0,45400.0,45400.0,,1,45400,1,45400.0,0.0,0,1,0,45400,0,1,-1.0,,45400.0,248.0,248.0,248.0,248.0,61.9,1557.2,987.3,22.0,30.0,54.0,114.0,2037520.0,6350000.0,-0.23,-0.23,-0.35,-0.51,37181.0,55702.0,43808.0,48133.0,2020-07-06 13:05:00
KOGK,85.5,1360.5,730.2,25.0,30.0,63.0,119.0,2417726.0,6615546.0,0.16,0.16,-0.31,-0.46,38114.0,55407.0,44555.0,47808.0,45400.0,45400.0,45400.0,45400.0,,1,45400,1,45400.0,0.0,0,1,0,45400,0,1,-1.0,,45400.0,26.0,26.0,26.0,26.0,85.5,1360.5,730.2,25.0,30.0,63.0,119.0,2417726.0,6615546.0,0.16,0.16,-0.31,-0.46,38114.0,55407.0,44555.0,47808.0,2020-07-06 15:30:00
KOGK,73.7,1221.2,584.3,25.0,31.0,64.0,123.0,2456333.0,6780000.0,0.02,0.02,-0.31,-0.47,38181.0,55122.0,44552.0,47155.0,45400.0,45400.0,45400.0,45400.0,,1,45400,1,45400.0,0.0,0,1,0,45400,0,1,-1.0,,45400.0,109.0,109.0,109.0,109.0,73.7,1221.2,584.3,25.0,31.0,64.0,123.0,2456333.0,6780000.0,0.02,0.02,-0.31,-0.47,38181.0,55122.0,44552.0,47155.0,2020-07-06 17:15:00
KOGK,76.4,1287.3,651.7,27.0,30.0,67.0,119.0,2530600.0,6609720.0,0.24,0.24,-0.28,-0.45,37695.0,55297.0,44587.0,47492.0,45600.0,45600.0,45600.0,45600.0,,2,91200,2,45600.0,0.0,2,0,91200,0,2,0,1.0,45600.0,,82.0,82.0,82.0,82.0,76.4,1287.3,651.7,27.0,30.0,67.0,119.0,2530600.0,6609720.0,0.24,0.24,-0.28,-0.45,37695.0,55297.0,44587.0,47492.0,2020-07-06 17:50:00
KOGK,88.1,1152.1,629.4,27.0,31.0,68.0,120.0,2599266.0,6633200.0,0.22,0.22,-0.27,-0.44,37853.0,55277.0,44680.0,47492.0,45400.0,45400.0,45400.0,45400.0,,1,45400,1,45400.0,0.0,0,1,0,45400,0,1,-1.0,,45400.0,209.0,209.0,209.0,209.0,88.1,1152.1,629.4,27.0,31.0,68.0,120.0,2599266.0,6633200.0,0.22,0.22,-0.27,-0.44,37853.0,55277.0,44680.0,47492.0,2020-07-06 18:00:00
KOGK,132.7,1255.8,643.8,26.0,31.0,79.0,122.0,3092986.0,6740800.0,0.34,0.33,-0.21,-0.37,38711.0,55252.0,44620.0,47492.0,45400.0,45400.0,45200.0,45200.0,,2,90600,2,45300.0,-0.4405,0,2,0,90600,0,2,-1.0,,45300.0,10.0,10.0,15.0,15.0,132.7,1255.8,643.8,26.0,31.0,79.0,122.0,3092986.0,6740800.0,0.34,0.33,-0.21,-0.37,38711.0,55252.0,44620.0,47492.0,2020-07-06 18:40:00
KOGK,88.1,1809.5,781.8,19.0,28.0,42.0,81.0,1671206.0,4367400.0,0.58,0.57,-0.31,-0.45,39077.0,53435.0,44158.0,47610.0,45400.0,45400.0,45400.0,45400.0,,1,45400,1,45400.0,0.0,0,1,0,45400,0,1,-1.0,,45400.0,239.0,239.0,239.0,239.0,88.1,1809.5,781.8,19.0,28.0,42.0,81.0,1671206.0,4367400.0,0.58,0.57,-0.31,-0.45,39077.0,53435.0,44158.0,47610.0,2020-07-07 12:05:00
KOGK,88.1,2163.8,892.5,18.0,27.0,40.0,80.0,1589726.0,4272546.0,0.49,0.49,-0.32,-0.46,38804.0,53362.0,43710.0,47610.0,45400.0,45400.0,45400.0,45400.0,,1,45400,1,45400.0,0.0,0,1,0,45400,0,1,-1.0,,45400.0,35.0,35.0,35.0,35.0,88.1,2163.8,892.5,18.0,27.0,40.0,80.0,1589726.0,4272546.0,0.49,0.49,-0.32,-0.46,38804.0,53362.0,43710.0,47610.0,2020-07-07 12:20:00
KOGK,59.9,1515.4,491.5,22.0,28.0,60.0,91.0,2473320.0,4905606.0,0.31,0.31,-0.2,-0.33,40635.0,53555.0,45296.0,47523.0,45800.0,46000.0,45600.0,45600.0,0.0092,4,183000,3,45750.0,-0.4367,2,1,91800,91200,2,2,0.0,45900.0,45600.0,200.0,213.0,285.0,285.0,59.9,1515.4,491.5,22.0,28.0,60.0,91.0,2473320.0,4905606.0,0.31,0.31,-0.2,-0.33,40635.0,53555.0,45296.0,47523.0,2020-07-07 16:40:00
KOGK,87.7,1481.5,629.8,22.0,30.0,57.0,90.0,2316986.0,4882200.0,-0.2,-0.2,-0.22,-0.36,40313.0,53772.0,44987.0,47819.0,46000.0,46000.0,46000.0,46000.0,,4,184000,2,46000.0,0.0,2,0,184000,0,4,0,1.0,46000.0,,217.0,217.0,217.0,217.0,87.7,1481.5,629.8,22.0,30.0,57.0,90.0,2316986.0,4882200.0,-0.2,-0.2,-0.22,-0.36,40313.0,53772.0,44987.0,47819.0,2020-07-07 17:00:00
KOGK,87.7,1435.2,652.6,22.0,31.0,56.0,90.0,2288680.0,4872346.0,0.11,0.1,-0.23,-0.36,40293.0,53818.0,45035.0,47973.0,45600.0,45600.0,45600.0,45600.0,,2,91200,1,45600.0,0.0,0,1,0,91200,0,2,-1.0,,45600.0,275.0,275.0,275.0,275.0,87.7,1435.2,652.6,22.0,31.0,56.0,90.0,2288680.0,4872346.0,0.11,0.1,-0.23,-0.36,40293.0,53818.0,45035.0,47973.0,2020-07-07 18:00:00
KOGK,87.7,1435.2,710.2,22.0,31.0,54.0,91.0,2164040.0,4895400.0,-0.48,-0.48,-0.25,-0.39,40025.0,53796.0,44788.0,47969.0,45600.0,45600.0,45600.0,45600.0,,1,45600,1,45600.0,0.0,0,1,0,45600,0,1,-1.0,,45600.0,22.0,22.0,22.0,22.0,87.7,1435.2,710.2,22.0,31.0,54.0,91.0,2164040.0,4895400.0,-0.48,-0.48,-0.25,-0.39,40025.0,53796.0,44788.0,47969.0,2020-07-07 18:35:00
KOGK,64.0,2932.2,633.8,18.0,20.0,52.0,83.0,2079520.0,4426866.0,0.14,0.14,-0.22,-0.36,39377.0,53296.0,45264.0,48131.0,46000.0,46000.0,46000.0,46000.0,,4,184000,1,46000.0,0.0,1,0,184000,0,4,0,1.0,46000.0,,238.0,238.0,238.0,238.0,64.0,2932.2,633.8,18.0,20.0,52.0,83.0,2079520.0,4426866.0,0.14,0.14,-0.22,-0.36,39377.0,53296.0,45264.0,48131.0,2020-07-08 11:55:00
KOGK,43.5,1884.8,722.0,18.0,27.0,46.0,86.0,1818706.0,4616600.0,0.33,0.33,-0.3,-0.44,39075.0,53475.0,44786.0,48019.0,46000.0,46000.0,46000.0,46000.0,,2,92000,1,46000.0,0.0,1,0,92000,0,2,0,1.0,46000.0,,53.0,53.0,53.0,53.0,43.5,1884.8,722.0,18.0,27.0,46.0,86.0,1818706.0,4616600.0,0.33,0.33,-0.3,-0.44,39075.0,53475.0,44786.0,48019.0,2020-07-08 13:05:00
KOGK,111.6,1967.7,943.2,18.0,25.0,40.0,85.0,1585880.0,4565820.0,0.14,0.13,-0.36,-0.48,39284.0,53571.0,44060.0,48215.0,46200.0,46400.0,46200.0,46400.0,0.0025,4,185400,4,46350.0,0.4329,4,0,185400,0,4,0,1.0,46350.0,,18.0,124.0,18.0,124.0,111.6,1967.7,943.2,18.0,25.0,40.0,85.0,1585880.0,4565820.0,0.14,0.13,-0.36,-0.48,39284.0,53571.0,44060.0,48215.0,2020-07-08 14:10:00
KOGK,93.9,1734.0,739.9,18.0,27.0,45.0,86.0,1810900.0,4631613.0,0.1,0.1,-0.31,-0.44,39424.0,53587.0,44937.0,48262.0,46200.0,46200.0,46200.0,46200.0,,1,46200,1,46200.0,0.0,0,1,0,46200,0,1,-1.0,,46200.0,259.0,259.0,259.0,259.0,93.9,1734.0,739.9,18.0,27.0,45.0,86.0,1810900.0,4631613.0,0.1,0.1,-0.31,-0.44,39424.0,53587.0,44937.0,48262.0,2020-07-08 18:30:00
KOGK,114.4,1323.4,614.2,22.0,32.0,54.0,121.0,2208740.0,6592800.0,-0.09,-0.1,-0.38,-0.5,40626.0,54486.0,45116.0,47887.0,46200.0,46200.0,46200.0,46200.0,,1,46200,1,46200.0,0.0,0,1,0,46200,0,1,-1.0,,46200.0,112.0,112.0,112.0,112.0,114.4,1323.4,614.2,22.0,32.0,54.0,121.0,2208740.0,6592800.0,-0.09,-0.1,-0.38,-0.5,40626.0,54486.0,45116.0,47887.0,2020-07-09 18:30:00
KOGK,112.6,1866.7,747.1,20.0,31.0,148.0,110.0,6098200.0,5860240.0,0.0,-0.01,0.15,0.02,41204.0,53082.0,44941.0,48299.0,46600.0,46600.0,46600.0,46600.0,,1,46600,1,46600.0,0.0,1,0,46600,0,1,0,1.0,46600.0,,125.0,125.0,125.0,125.0,112.6,1866.7,747.1,20.0,31.0,148.0,110.0,6098200.0,5860240.0,0.0,-0.01,0.15,0.02,41204.0,53082.0,44941.0,48299.0,2020-07-10 12:30:00
KOGK,129.9,1753.6,653.6,21.0,32.0,154.0,112.0,6361466.0,5982000.0,-0.23,-0.24,0.15,0.03,41237.0,52954.0,45113.0,48062.0,46800.0,46800.0,46800.0,46800.0,,1,46800,1,46800.0,0.0,1,0,46800,0,1,0,1.0,46800.0,,220.0,220.0,220.0,220.0,129.9,1753.6,653.6,21.0,32.0,154.0,112.0,6361466.0,5982000.0,-0.23,-0.24,0.15,0.03,41237.0,52954.0,45113.0,48062.0,2020-07-10 16:50:00
KOGK,95.0,2443.4,833.8,18.0,20.0,139.0,58.0,5762200.0,3170440.0,0.09,0.08,0.4,0.28,41359.0,53828.0,45190.0,48957.0,46400.0,46400.0,46200.0,46200.0,,2,92600,2,46300.0,-0.431,0,2,0,92600,0,2,-1.0,,46300.0,249.0,249.0,291.0,291.0,95.0,2443.4,833.8,18.0,20.0,139.0,58.0,5762200.0,3170440.0,0.09,0.08,0.4,0.28,41359.0,53828.0,45190.0,48957.0,2020-07-13 10:20:00
KOGK,127.0,2003.4,815.1,22.0,23.0,144.0,87.0,5991900.0,4683706.0,0.57,0.57,0.25,0.12,41361.0,53743.0,44985.0,48652.0,46400.0,46400.0,46400.0,46400.0,,1,46400,1,46400.0,0.0,1,0,46400,0,1,0,1.0,46400.0,,3.0,3.0,3.0,3.0,127.0,2003.4,815.1,22.0,23.0,144.0,87.0,5991900.0,4683706.0,0.57,0.57,0.25,0.12,41361.0,53743.0,44985.0,48652.0,2020-07-13 10:45:00
KOGK,44.3,1652.2,783.6,25.0,24.0,150.0,92.0,6236660.0,4933000.0,0.33,0.33,0.24,0.12,41347.0,53620.0,45247.0,48790.0,46800.0,46800.0,46800.0,46800.0,,2,93600,2,46800.0,0.0,2,0,93600,0,2,0,1.0,46800.0,,93.0,93.0,93.0,212.0,44.3,1652.2,783.6,25.0,24.0,150.0,92.0,6236660.0,4933000.0,0.33,0.33,0.24,0.12,41347.0,53620.0,45247.0,48790.0,2020-07-13 11:20:00
KOGK,42.7,1814.0,824.4,25.0,23.0,149.0,89.0,6190280.0,4783400.0,0.58,0.58,0.25,0.13,41333.0,53746.0,45248.0,48978.0,46800.0,46800.0,46800.0,46800.0,,1,46800,1,46800.0,0.0,0,1,0,46800,0,1,-1.0,,46800.0,237.0,237.0,237.0,237.0,42.7,1814.0,824.4,25.0,23.0,149.0,89.0,6190280.0,4783400.0,0.58,0.58,0.25,0.13,41333.0,53746.0,45248.0,48978.0,2020-07-13 11:30:00
KOGK,235.0,2672.8,1196.5,24.0,20.0,144.0,90.0,5939373.0,4962920.0,-0.18,-0.19,0.23,0.09,41160.0,54784.0,44284.0,49582.0,47000.0,47600.0,47000.0,47600.0,0.0,4,189200,4,47300.0,1.2766,4,0,189200,0,4,0,1.0,47300.0,,32.0,32.0,32.0,32.0,235.0,2672.8,1196.5,24.0,20.0,144.0,90.0,5939373.0,4962920.0,-0.18,-0.19,0.23,0.09,41160.0,54784.0,44284.0,49582.0,2020-07-13 12:00:00
KOGK,42.7,1810.4,645.4,25.0,26.0,149.0,180.0,6164960.0,10327500.0,-0.42,-0.42,-0.1,-0.25,41329.0,57069.0,45232.0,48151.0,46800.0,46800.0,46800.0,46800.0,,2,93600,2,46800.0,0.0,0,2,0,93600,0,2,-1.0,,46800.0,148.0,148.0,148.0,211.0,42.7,1810.4,645.4,25.0,26.0,149.0,180.0,6164960.0,10327500.0,-0.42,-0.42,-0.1,-0.25,41329.0,57069.0,45232.0,48151.0,2020-07-13 14:25:00
KOGK,42.7,1663.6,711.0,26.0,27.0,148.0,188.0,6109800.0,10748466.0,-0.62,-0.62,-0.12,-0.28,41282.0,57011.0,44989.0,48188.0,47000.0,47000.0,47000.0,47000.0,,1,47000,1,47000.0,0.0,1,0,47000,0,1,0,1.0,47000.0,,108.0,108.0,108.0,108.0,42.7,1663.6,711.0,26.0,27.0,148.0,188.0,6109800.0,10748466.0,-0.62,-0.62,-0.12,-0.28,41282.0,57011.0,44989.0,48188.0,2020-07-13 16:15:00
KOGK,93.6,4497.8,3166.6,16.0,23.0,30.0,88.0,1110013.0,4816626.0,0.02,0.02,-0.49,-0.62,36554.0,54360.0,37766.0,49723.0,47400.0,47400.0,47400.0,47400.0,,1,47400,1,47400.0,0.0,1,0,47400,0,1,0,1.0,47400.0,,246.0,246.0,246.0,246.0,93.6,4497.8,3166.6,16.0,23.0,30.0,88.0,1110013.0,4816626.0,0.02,0.02,-0.49,-0.62,36554.0,54360.0,37766.0,49723.0,2020-07-14 10:10:00
KOGK,42.4,3852.6,839.5,15.0,27.0,36.0,127.0,1426373.0,6816480.0,-0.33,-0.33,-0.55,-0.65,39039.0,53505.0,44660.0,48400.0,47200.0,47200.0,47200.0,47200.0,,2,94400,1,47200.0,0.0,0,1,0,94400,0,2,-1.0,,47200.0,236.0,236.0,236.0,236.0,42.4,3852.6,839.5,15.0,27.0,36.0,127.0,1426373.0,6816480.0,-0.33,-0.33,-0.55,-0.65,39039.0,53505.0,44660.0,48400.0,2020-07-14 10:45:00
