ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
KRKOP,81.5,2319.8,,14.0,53.0,125.0,444.0,58785.0,278317.0,0.74,0.74,-0.56,-0.65,4.7,6.255,,,5.705,5.705,5.705,5.705,,8,4564,1,5.705,0.0,0,1,0,4564,0,8,-1.0,,5.705,275.0,275.0,275.0,275.0,81.5,2319.8,,14.0,53.0,125.0,444.0,58785.0,278317.0,0.74,0.74,-0.56,-0.65,4.7,6.255,,,2020-07-06 10:25:00
KRKOP,60.8,1624.6,,18.0,56.0,171.0,517.0,80564.0,331317.0,-0.03,-0.03,-0.5,-0.61,4.7,6.402,,,5.69,5.69,5.69,5.69,,5,2845,1,5.69,0.0,0,1,0,2845,0,5,-1.0,,5.69,143.0,143.0,143.0,143.0,60.8,1624.6,,18.0,56.0,171.0,517.0,80564.0,331317.0,-0.03,-0.03,-0.5,-0.61,4.7,6.402,,,2020-07-06 10:30:00
KRKOP,116.0,1842.9,,16.0,57.0,147.0,732.0,68477.0,481743.0,-0.37,-0.38,-0.65,-0.74,4.62,6.556,,,5.685,5.685,5.685,5.685,,18,10233,2,5.685,0.0,2,0,10233,0,18,0,1.0,5.685,,123.0,123.0,123.0,141.0,116.0,1842.9,,16.0,57.0,147.0,732.0,68477.0,481743.0,-0.37,-0.38,-0.65,-0.74,4.62,6.556,,,2020-07-06 10:35:00
KRKOP,128.9,1704.7,,16.0,58.0,139.0,1095.0,64204.0,709562.0,-0.49,-0.5,-0.76,-0.83,4.598,6.503,,,5.685,5.75,5.685,5.75,,3,1712,2,5.707,1.1434,2,0,1712,0,3,0,1.0,5.707,,53.0,62.0,53.0,62.0,128.9,1704.7,,16.0,58.0,139.0,1095.0,64204.0,709562.0,-0.49,-0.5,-0.76,-0.83,4.598,6.503,,,2020-07-06 10:40:00
KRKOP,165.3,1274.0,,18.0,59.0,177.0,1337.0,79430.0,845392.0,-0.54,-0.54,-0.77,-0.83,4.471,6.322,,,5.68,5.745,5.68,5.745,0.0066,5,2859,4,5.719,1.1444,2,2,1723,1136,3,2,0.2,5.745,5.68,98.0,131.0,98.0,241.0,165.3,1274.0,,18.0,59.0,177.0,1337.0,79430.0,845392.0,-0.54,-0.54,-0.77,-0.83,4.471,6.322,,,2020-07-06 10:50:00
KRKOP,68.7,781.9,,19.0,62.0,175.0,1378.0,78293.0,869211.0,-0.56,-0.56,-0.77,-0.83,4.458,6.306,,,5.63,5.7,5.63,5.665,0.0062,16,9058,5,5.662,0.6217,4,1,8495,563,15,1,0.88,5.664,5.63,12.0,103.0,12.0,188.0,68.7,781.9,,19.0,62.0,175.0,1378.0,78293.0,869211.0,-0.56,-0.56,-0.77,-0.83,4.458,6.306,,,2020-07-06 11:10:00
KRKOP,62.8,1409.5,,18.0,64.0,174.0,1390.0,77504.0,876808.0,-0.13,-0.13,-0.78,-0.84,4.448,6.305,,,5.635,5.665,5.63,5.665,0.0032,11,6219,4,5.654,0.5324,2,2,4529,1689,8,3,0.45,5.662,5.632,20.0,223.0,36.0,223.0,62.8,1409.5,,18.0,64.0,174.0,1390.0,77504.0,876808.0,-0.13,-0.13,-0.78,-0.84,4.448,6.305,,,2020-07-06 11:15:00
KRKOP,23.7,683.9,,19.0,66.0,184.0,1412.0,82994.0,890361.0,0.18,0.18,-0.77,-0.83,4.51,6.303,,,5.65,5.65,5.65,5.65,,5,2825,1,5.65,0.0,1,0,2825,0,5,0,1.0,5.65,,127.0,127.0,127.0,127.0,23.7,683.9,,19.0,66.0,184.0,1412.0,82994.0,890361.0,0.18,0.18,-0.77,-0.83,4.51,6.303,,,2020-07-06 11:20:00
KRKOP,25.3,626.2,,19.0,66.0,775.0,1413.0,417986.0,891332.0,0.9,0.9,-0.36,-0.43,5.189,6.305,,,5.65,5.675,5.65,5.675,0.0008,20,11325,5,5.662,0.4425,5,0,11325,0,20,0,1.0,5.662,,167.0,222.0,167.0,222.0,25.3,626.2,,19.0,66.0,775.0,1413.0,417986.0,891332.0,0.9,0.9,-0.36,-0.43,5.189,6.305,,,2020-07-06 11:25:00
KRKOP,39.9,558.7,,22.0,65.0,1332.0,1408.0,732831.0,888094.0,-0.16,-0.16,-0.03,-0.1,5.502,6.307,,,5.67,5.67,5.67,5.67,,4,2268,1,5.67,0.0,0,1,0,2268,0,4,-1.0,,5.67,13.0,13.0,13.0,13.0,39.9,558.7,,22.0,65.0,1332.0,1408.0,732831.0,888094.0,-0.16,-0.16,-0.03,-0.1,5.502,6.307,,,2020-07-06 11:30:00
KRKOP,39.9,549.6,,22.0,65.0,1351.0,1407.0,743869.0,888000.0,-0.09,-0.09,-0.02,-0.09,5.504,6.308,,,5.68,5.7,5.68,5.7,,2,1138,2,5.69,0.3521,1,1,570,568,1,1,0.0,5.7,5.68,144.0,152.0,144.0,152.0,39.9,549.6,,22.0,65.0,1351.0,1407.0,743869.0,888000.0,-0.09,-0.09,-0.02,-0.09,5.504,6.308,,,2020-07-06 11:40:00
KRKOP,51.4,400.2,,25.0,64.0,1462.0,1400.0,805879.0,883896.0,-0.13,-0.13,0.02,-0.05,5.509,6.311,,,5.7,5.735,5.7,5.735,0.0031,10,5706,3,5.706,0.614,2,1,2853,2852,5,5,0.0,5.707,5.705,56.0,250.0,56.0,250.0,51.4,400.2,,25.0,64.0,1462.0,1400.0,805879.0,883896.0,-0.13,-0.13,0.02,-0.05,5.509,6.311,,,2020-07-06 12:10:00
KRKOP,43.2,393.2,,28.0,63.0,1502.0,1400.0,828685.0,884023.0,-0.11,-0.11,0.03,-0.03,5.514,6.311,,,5.74,5.74,5.74,5.74,,4,2296,1,5.74,0.0,1,0,2296,0,4,0,1.0,5.74,,238.0,238.0,238.0,238.0,43.2,393.2,,28.0,63.0,1502.0,1400.0,828685.0,884023.0,-0.11,-0.11,0.03,-0.03,5.514,6.311,,,2020-07-06 12:20:00
KRKOP,8.7,391.1,,30.0,63.0,1586.0,1396.0,876591.0,881425.0,0.84,0.84,0.06,0.0,5.527,6.313,,,5.745,5.745,5.745,5.745,,1,574,1,5.745,0.0,1,0,574,0,1,0,1.0,5.745,,78.0,78.0,78.0,78.0,8.7,391.1,,30.0,63.0,1586.0,1396.0,876591.0,881425.0,0.84,0.84,0.06,0.0,5.527,6.313,,,2020-07-06 12:50:00
KRKOP,8.7,391.1,,30.0,68.0,1469.0,1462.0,805393.0,921300.0,0.42,0.42,0.0,-0.07,5.482,6.302,,,5.74,5.74,5.74,5.74,,1,574,1,5.74,0.0,0,1,0,574,0,1,-1.0,,5.74,82.0,82.0,82.0,82.0,8.7,391.1,,30.0,68.0,1469.0,1462.0,805393.0,921300.0,0.42,0.42,0.0,-0.07,5.482,6.302,,,2020-07-06 18:35:00
KRKOP,57.3,636.4,,21.0,59.0,1007.0,875.0,540027.0,596787.0,0.43,0.43,-0.02,-0.14,5.128,6.821,,,5.74,5.76,5.74,5.76,0.0013,7,4021,4,5.745,0.3484,3,1,2299,1722,4,3,0.14,5.749,5.74,126.0,235.0,126.0,235.0,57.3,636.4,,21.0,59.0,1007.0,875.0,540027.0,596787.0,0.43,0.43,-0.02,-0.14,5.128,6.821,,,2020-07-07 10:35:00
