ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
KROT,78.4,575.9,,34.0,45.0,270.0,254.0,787984.0,1010181.0,0.08,0.07,0.03,-0.12,291.6,397.6,,394.5,349.0,349.0,349.0,349.0,,1,3490,1,349.0,0.0,1,0,3490,0,1,0,1.0,349.0,,138.0,138.0,138.0,138.0,78.4,575.9,,34.0,45.0,270.0,254.0,787984.0,1010181.0,0.08,0.07,0.03,-0.12,291.6,397.6,,394.5,2020-07-06 11:10:00
KROT,39.4,380.4,1340.0,40.0,47.0,426.0,300.0,1321835.0,1189324.0,0.21,0.21,0.17,0.05,310.3,396.1,342.2,388.1,349.0,349.0,349.0,349.0,,6,20940,1,349.0,0.0,1,0,20940,0,6,0,1.0,349.0,,131.0,131.0,131.0,131.0,39.4,380.4,1340.0,40.0,47.0,426.0,300.0,1321835.0,1189324.0,0.21,0.21,0.17,0.05,310.3,396.1,342.2,388.1,2020-07-06 11:55:00
KROT,14.3,380.1,1320.6,41.0,47.0,434.0,298.0,1350428.0,1184573.0,0.86,0.86,0.18,0.07,311.0,396.5,343.4,388.7,349.5,349.5,349.5,349.5,,1,3495,1,349.5,0.0,1,0,3495,0,1,0,1.0,349.5,,223.0,223.0,223.0,223.0,14.3,380.1,1320.6,41.0,47.0,434.0,298.0,1350428.0,1184573.0,0.86,0.86,0.18,0.07,311.0,396.5,343.4,388.7,2020-07-06 12:05:00
KROT,14.3,380.1,1418.4,41.0,47.0,418.0,298.0,1297684.0,1182010.0,0.91,0.91,0.17,0.05,309.8,396.6,340.7,388.9,349.0,349.0,349.0,349.0,,3,10470,1,349.0,0.0,0,1,0,10470,0,3,-1.0,,349.0,37.0,37.0,37.0,37.0,14.3,380.1,1418.4,41.0,47.0,418.0,298.0,1297684.0,1182010.0,0.91,0.91,0.17,0.05,309.8,396.6,340.7,388.9,2020-07-06 12:10:00
KROT,14.3,380.1,1536.2,41.0,47.0,400.0,298.0,1233782.0,1185060.0,0.9,0.9,0.15,0.02,308.1,396.5,336.9,388.7,349.0,349.0,349.0,349.0,,2,6980,1,349.0,0.0,0,1,0,6980,0,2,-1.0,,349.0,98.0,98.0,98.0,98.0,14.3,380.1,1536.2,41.0,47.0,400.0,298.0,1233782.0,1185060.0,0.9,0.9,0.15,0.02,308.1,396.5,336.9,388.7,2020-07-06 12:15:00
KROT,14.3,415.2,1783.6,41.0,45.0,391.0,283.0,1200711.0,1127305.0,0.2,0.2,0.16,0.03,307.1,398.3,333.0,392.4,349.0,349.0,349.0,349.0,0.0,17,59330,3,349.0,0.0,0,3,0,59330,0,17,-1.0,,349.0,14.0,14.0,14.0,89.0,14.3,415.2,1783.6,41.0,45.0,391.0,283.0,1200711.0,1127305.0,0.2,0.2,0.16,0.03,307.1,398.3,333.0,392.4,2020-07-06 12:55:00
KROT,36.0,428.6,1807.6,41.0,45.0,390.0,281.0,1199005.0,1120215.0,0.0,0.0,0.16,0.03,307.0,398.7,332.8,392.9,349.0,349.0,349.0,349.0,,1,3490,1,349.0,0.0,0,1,0,3490,0,1,-1.0,,349.0,220.0,220.0,220.0,220.0,36.0,428.6,1807.6,41.0,45.0,390.0,281.0,1199005.0,1120215.0,0.0,0.0,0.16,0.03,307.0,398.7,332.8,392.9,2020-07-06 13:05:00
KROT,89.5,442.3,1837.6,40.0,45.0,388.0,281.0,1192333.0,1120215.0,0.58,0.58,0.16,0.03,306.7,398.7,331.9,392.9,346.5,346.5,346.0,346.0,0.001,5,17305,3,346.1,-0.1443,0,3,0,17305,0,5,-1.0,,346.1,14.0,14.0,14.0,14.0,89.5,442.3,1837.6,40.0,45.0,388.0,281.0,1192333.0,1120215.0,0.58,0.58,0.16,0.03,306.7,398.7,331.9,392.9,2020-07-06 13:10:00
KROT,86.6,439.2,1496.4,41.0,45.0,418.0,282.0,1295708.0,1124642.0,0.87,0.87,0.19,0.07,309.6,398.4,341.5,392.6,346.5,346.5,346.5,346.5,,2,6930,1,346.5,0.0,0,1,0,6930,0,2,-1.0,,346.5,85.0,85.0,85.0,85.0,86.6,439.2,1496.4,41.0,45.0,418.0,282.0,1295708.0,1124642.0,0.87,0.87,0.19,0.07,309.6,398.4,341.5,392.6,2020-07-06 13:40:00
KROT,86.6,439.2,,41.0,45.0,319.0,282.0,951320.0,1125923.0,0.85,0.85,0.06,-0.08,298.2,398.4,,392.5,349.5,349.5,349.5,349.5,,1,3495,1,349.5,0.0,1,0,3495,0,1,0,1.0,349.5,,192.0,192.0,192.0,192.0,86.6,439.2,,41.0,45.0,319.0,282.0,951320.0,1125923.0,0.85,0.85,0.06,-0.08,298.2,398.4,,392.5,2020-07-06 14:00:00
KROT,48.1,371.1,1497.6,40.0,48.0,396.0,318.0,1217650.0,1258516.0,0.32,0.32,0.11,-0.02,307.5,395.8,334.9,385.1,346.5,346.5,346.5,346.5,0.0,3,10395,3,346.5,0.0,0,3,0,10395,0,3,-1.0,,346.5,207.0,207.0,207.0,207.0,48.1,371.1,1497.6,40.0,48.0,396.0,318.0,1217650.0,1258516.0,0.32,0.32,0.11,-0.02,307.5,395.8,334.9,385.1,2020-07-06 17:25:00
KROT,53.4,347.4,1517.5,40.0,49.0,393.0,319.0,1208299.0,1264957.0,0.53,0.53,0.1,-0.02,307.2,395.5,333.9,384.6,348.0,348.0,348.0,348.0,,1,3480,1,348.0,0.0,1,0,3480,0,1,0,1.0,348.0,,128.0,128.0,128.0,128.0,53.4,347.4,1517.5,40.0,49.0,393.0,319.0,1208299.0,1264957.0,0.53,0.53,0.1,-0.02,307.2,395.5,333.9,384.6,2020-07-06 17:35:00
KROT,57.8,381.2,1528.6,40.0,48.0,393.0,319.0,1207260.0,1262182.0,0.97,0.97,0.1,-0.02,307.2,395.6,333.8,384.8,348.0,348.0,348.0,348.0,,1,3480,1,348.0,0.0,1,0,3480,0,1,0,1.0,348.0,,22.0,22.0,22.0,22.0,57.8,381.2,1528.6,40.0,48.0,393.0,319.0,1207260.0,1262182.0,0.97,0.97,0.1,-0.02,307.2,395.6,333.8,384.8,2020-07-06 17:45:00
KROT,57.8,381.2,1541.0,40.0,48.0,392.0,319.0,1204376.0,1261950.0,0.97,0.97,0.1,-0.02,307.1,395.6,333.4,384.8,346.0,346.0,346.0,346.0,,1,3460,1,346.0,0.0,0,1,0,3460,0,1,-1.0,,346.0,59.0,59.0,59.0,59.0,57.8,381.2,1541.0,40.0,48.0,392.0,319.0,1204376.0,1261950.0,0.97,0.97,0.1,-0.02,307.1,395.6,333.4,384.8,2020-07-06 17:55:00
KROT,310.5,3001.4,,20.0,15.0,123.0,102.0,383554.0,437606.0,-0.02,-0.03,0.15,0.0,309.5,421.2,,,352.0,352.0,352.0,352.0,,3,10560,2,352.0,0.0,2,0,10560,0,3,0,1.0,352.0,,201.0,201.0,201.0,201.0,310.5,3001.4,,20.0,15.0,123.0,102.0,383554.0,437606.0,-0.02,-0.03,0.15,0.0,309.5,421.2,,,2020-07-07 10:10:00
KROT,266.7,1456.9,,25.0,28.0,152.0,213.0,468415.0,897132.0,0.14,0.13,-0.16,-0.31,307.9,420.6,,410.4,350.5,351.0,350.5,351.0,,2,7015,2,350.8,0.1427,0,2,0,7015,0,2,-1.0,,350.8,32.0,114.0,32.0,114.0,266.7,1456.9,,25.0,28.0,152.0,213.0,468415.0,897132.0,0.14,0.13,-0.16,-0.31,307.9,420.6,,410.4,2020-07-07 10:15:00
KROT,128.4,1045.9,,30.0,47.0,206.0,292.0,588069.0,1191947.0,0.2,0.19,-0.17,-0.34,284.5,407.8,,396.6,350.0,351.5,350.0,351.5,0.001,3,10525,3,350.8,0.4286,3,0,10525,0,3,0,1.0,350.8,,16.0,273.0,16.0,273.0,128.4,1045.9,,30.0,47.0,206.0,292.0,588069.0,1191947.0,0.2,0.19,-0.17,-0.34,284.5,407.8,,396.6,2020-07-07 10:25:00
KROT,120.0,1011.3,,34.0,54.0,231.0,306.0,662876.0,1249383.0,-0.45,-0.45,-0.14,-0.31,286.4,407.7,,394.7,350.5,350.5,350.5,350.5,,2,7010,1,350.5,0.0,1,0,7010,0,2,0,1.0,350.5,,128.0,128.0,128.0,128.0,120.0,1011.3,,34.0,54.0,231.0,306.0,662876.0,1249383.0,-0.45,-0.45,-0.14,-0.31,286.4,407.7,,394.7,2020-07-07 10:35:00
KROT,115.4,1105.7,,33.0,43.0,229.0,297.0,657481.0,1213921.0,0.08,0.07,-0.13,-0.3,286.3,408.3,,396.2,347.0,347.0,347.0,347.0,,1,3470,1,347.0,0.0,0,1,0,3470,0,1,-1.0,,347.0,142.0,142.0,142.0,142.0,115.4,1105.7,,33.0,43.0,229.0,297.0,657481.0,1213921.0,0.08,0.07,-0.13,-0.3,286.3,408.3,,396.2,2020-07-07 10:55:00
