ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
KRSBP,298.1,1650.3,2690.1,38.0,18.0,574.0,179.0,3128808.0,1472347.0,0.08,0.06,0.52,0.36,5.45,8.19,6.26,7.94,7.12,7.12,7.12,7.12,,1,7120,1,7.12,0.0,0,1,0,7120,0,1,-1.0,,7.12,74.0,74.0,74.0,74.0,298.1,1650.3,2690.1,38.0,18.0,574.0,179.0,3128808.0,1472347.0,0.08,0.06,0.52,0.36,5.45,8.19,6.26,7.94,2020-07-06 10:35:00
KRSBP,297.4,1652.9,2699.0,38.0,18.0,575.0,180.0,3132814.0,1477970.0,-0.18,-0.19,0.52,0.36,5.44,8.19,6.25,7.94,7.14,7.34,7.14,7.14,0.0276,4,28960,4,7.24,0.0,2,2,14680,14280,2,2,0.0,7.34,7.14,84.0,256.0,84.0,294.0,297.4,1652.9,2699.0,38.0,18.0,575.0,180.0,3132814.0,1477970.0,-0.18,-0.19,0.52,0.36,5.44,8.19,6.25,7.94,2020-07-06 10:40:00
KRSBP,293.6,1771.0,2852.1,37.0,18.0,569.0,180.0,3088686.0,1476991.0,-0.13,-0.15,0.52,0.35,5.43,8.19,6.18,7.94,7.14,7.14,7.14,7.14,,1,7140,1,7.14,0.0,0,1,0,7140,0,1,-1.0,,7.14,172.0,172.0,172.0,172.0,293.6,1771.0,2852.1,37.0,18.0,569.0,180.0,3088686.0,1476991.0,-0.13,-0.15,0.52,0.35,5.43,8.19,6.18,7.94,2020-07-06 10:45:00
KRSBP,204.3,1799.6,2765.9,37.0,21.0,572.0,188.0,3111580.0,1535980.0,-0.33,-0.34,0.51,0.34,5.43,8.17,6.21,7.92,7.12,7.12,7.08,7.08,0.0,3,21300,3,7.1,-0.5618,0,3,0,21300,0,3,-1.0,,7.1,262.0,262.0,262.0,262.0,204.3,1799.6,2765.9,37.0,21.0,572.0,188.0,3111580.0,1535980.0,-0.33,-0.34,0.51,0.34,5.43,8.17,6.21,7.92,2020-07-06 10:55:00
KRSBP,264.6,1791.8,2654.6,40.0,21.0,578.0,192.0,3149854.0,1573992.0,-0.14,-0.16,0.5,0.33,5.44,8.16,6.26,7.92,7.26,7.26,7.26,7.26,,2,14520,1,7.26,0.0,1,0,14520,0,2,0,1.0,7.26,,138.0,138.0,138.0,138.0,264.6,1791.8,2654.6,40.0,21.0,578.0,192.0,3149854.0,1573992.0,-0.14,-0.16,0.5,0.33,5.44,8.16,6.26,7.92,2020-07-06 11:35:00
KRSBP,256.1,1649.8,2493.0,41.0,23.0,577.0,308.0,3140936.0,2547916.0,0.0,-0.01,0.3,0.1,5.44,8.25,6.24,7.8,7.26,7.26,7.26,7.26,,1,7260,1,7.26,0.0,1,0,7260,0,1,0,1.0,7.26,,289.0,289.0,289.0,289.0,256.1,1649.8,2493.0,41.0,23.0,577.0,308.0,3140936.0,2547916.0,0.0,-0.01,0.3,0.1,5.44,8.25,6.24,7.8,2020-07-06 12:20:00
KRSBP,58.3,1790.9,2525.2,40.0,24.0,575.0,311.0,3129657.0,2577612.0,-0.08,-0.08,0.3,0.1,5.44,8.26,6.22,7.8,7.1,7.1,7.1,7.1,,1,7100,1,7.1,0.0,0,1,0,7100,0,1,-1.0,,7.1,87.0,87.0,87.0,87.0,58.3,1790.9,2525.2,40.0,24.0,575.0,311.0,3129657.0,2577612.0,-0.08,-0.08,0.3,0.1,5.44,8.26,6.22,7.8,2020-07-06 12:45:00
KRSBP,52.9,1820.5,2519.3,39.0,27.0,575.0,320.0,3128624.0,2643780.0,0.0,0.0,0.29,0.08,5.44,8.26,6.22,7.79,7.08,7.08,7.08,7.08,,1,7080,1,7.08,0.0,0,1,0,7080,0,1,-1.0,,7.08,43.0,43.0,43.0,43.0,52.9,1820.5,2519.3,39.0,27.0,575.0,320.0,3128624.0,2643780.0,0.0,0.0,0.29,0.08,5.44,8.26,6.22,7.79,2020-07-06 13:00:00
KRSBP,82.4,1837.3,2457.4,38.0,27.0,583.0,313.0,3171267.0,2587458.0,0.0,0.0,0.3,0.1,5.43,8.25,6.25,7.79,7.06,7.06,7.06,7.06,,1,7060,1,7.06,0.0,0,1,0,7060,0,1,-1.0,,7.06,60.0,60.0,60.0,60.0,82.4,1837.3,2457.4,38.0,27.0,583.0,313.0,3171267.0,2587458.0,0.0,0.0,0.3,0.1,5.43,8.25,6.25,7.79,2020-07-06 13:05:00
KRSBP,73.9,1639.6,2481.6,37.0,28.0,584.0,308.0,3178522.0,2546317.0,0.0,0.0,0.31,0.11,5.43,8.26,6.26,7.81,7.04,7.04,7.04,7.04,,1,7040,1,7.04,0.0,0,1,0,7040,0,1,-1.0,,7.04,241.0,241.0,241.0,241.0,73.9,1639.6,2481.6,37.0,28.0,584.0,308.0,3178522.0,2546317.0,0.0,0.0,0.31,0.11,5.43,8.26,6.26,7.81,2020-07-06 13:15:00
