ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
LVHK,378.5,2473.7,,16.0,51.0,186.0,280.0,127055.0,258123.0,0.15,0.14,-0.18,-0.32,6.81,9.24,,,7.81,7.81,7.81,7.81,,1,781,1,7.81,0.0,0,1,0,781,0,1,-1.0,,7.81,265.0,265.0,265.0,265.0,378.5,2473.7,,16.0,51.0,186.0,280.0,127055.0,258123.0,0.15,0.14,-0.18,-0.32,6.81,9.24,,,2020-07-06 10:05:00
LVHK,232.1,880.5,,29.0,72.0,393.0,513.0,284497.0,464323.0,0.28,0.27,-0.13,-0.24,7.22,9.04,,,8.02,8.1,8.02,8.1,0.0031,10,8050,4,8.05,0.9975,4,0,8050,0,10,0,1.0,8.05,,64.0,194.0,64.0,194.0,232.1,880.5,,29.0,72.0,393.0,513.0,284497.0,464323.0,0.28,0.27,-0.13,-0.24,7.22,9.04,,,2020-07-06 10:20:00
LVHK,259.4,784.7,,31.0,75.0,425.0,549.0,306442.0,493899.0,0.2,0.18,-0.13,-0.23,7.2,8.99,,,8.06,8.08,8.06,8.08,,10,8072,2,8.07,0.2481,2,0,8072,0,10,0,1.0,8.07,,199.0,199.0,199.0,199.0,259.4,784.7,,31.0,75.0,425.0,549.0,306442.0,493899.0,0.2,0.18,-0.13,-0.23,7.2,8.99,,,2020-07-06 10:30:00
LVHK,111.8,846.7,,34.0,73.0,478.0,563.0,349061.0,512109.0,0.7,0.7,-0.08,-0.19,7.29,9.12,,,8.06,8.2,8.06,8.2,0.0015,216,175278,22,8.11,1.737,22,0,175278,0,216,0,1.0,8.11,,167.0,202.0,167.0,220.0,111.8,846.7,,34.0,73.0,478.0,563.0,349061.0,512109.0,0.7,0.7,-0.08,-0.19,7.29,9.12,,,2020-07-06 10:45:00
LVHK,263.7,1212.8,,43.0,65.0,588.0,572.0,436745.0,554154.0,0.19,0.18,0.01,-0.12,7.4,9.69,,,8.19,8.71,8.19,8.37,0.0133,193,162563,57,8.42,2.1978,48,9,134233,28330,159,34,0.65,8.44,8.33,38.0,81.0,38.0,275.0,263.7,1212.8,,43.0,65.0,588.0,572.0,436745.0,554154.0,0.19,0.18,0.01,-0.12,7.4,9.69,,,2020-07-06 10:50:00
LVHK,130.5,1076.3,,45.0,71.0,596.0,940.0,441323.0,878354.0,-0.07,-0.07,-0.22,-0.33,7.4,9.35,,,8.24,8.4,8.1,8.1,0.008,67,54950,16,8.2,-1.699,2,14,9220,45730,11,56,-0.67,8.38,8.17,53.0,54.0,243.0,283.0,130.5,1076.3,,45.0,71.0,596.0,940.0,441323.0,878354.0,-0.07,-0.07,-0.22,-0.33,7.4,9.35,,,2020-07-06 10:55:00
LVHK,82.5,957.9,,44.0,74.0,640.0,990.0,475870.0,920086.0,0.51,0.51,-0.22,-0.32,7.43,9.29,,,8.1,8.1,8.1,8.1,,1,810,1,8.1,0.0,1,0,810,0,1,0,1.0,8.1,,273.0,273.0,273.0,273.0,82.5,957.9,,44.0,74.0,640.0,990.0,475870.0,920086.0,0.51,0.51,-0.22,-0.32,7.43,9.29,,,2020-07-06 11:00:00
LVHK,49.7,912.2,,43.0,76.0,462.0,1060.0,340003.0,981949.0,0.92,0.92,-0.39,-0.49,7.35,9.26,,,8.05,8.05,8.05,8.05,,1,805,1,8.05,0.0,0,1,0,805,0,1,-1.0,,8.05,45.0,45.0,45.0,45.0,49.7,912.2,,43.0,76.0,462.0,1060.0,340003.0,981949.0,0.92,0.92,-0.39,-0.49,7.35,9.26,,,2020-07-06 11:15:00
LVHK,49.7,899.4,,43.0,77.0,522.0,1060.0,386557.0,981843.0,0.93,0.93,-0.34,-0.44,7.4,9.26,,,8.05,8.05,8.05,8.05,,1,805,1,8.05,0.0,0,1,0,805,0,1,-1.0,,8.05,115.0,115.0,115.0,115.0,49.7,899.4,,43.0,77.0,522.0,1060.0,386557.0,981843.0,0.93,0.93,-0.34,-0.44,7.4,9.26,,,2020-07-06 11:20:00
LVHK,49.7,904.5,,43.0,77.0,556.0,1060.0,413272.0,981600.0,0.94,0.94,-0.31,-0.41,7.43,9.26,,,8.05,8.05,8.05,8.05,,3,2415,1,8.05,0.0,0,1,0,2415,0,3,-1.0,,8.05,91.0,91.0,91.0,91.0,49.7,904.5,,43.0,77.0,556.0,1060.0,413272.0,981600.0,0.94,0.94,-0.31,-0.41,7.43,9.26,,,2020-07-06 11:25:00
