ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
MAGE,277.9,1339.9,,23.0,36.0,40.0,328.0,262720.0,2924657.0,-0.18,-0.19,-0.78,-0.84,6.44,8.92,,8.46,7.84,7.84,7.84,7.84,,1,7840,1,7.84,0.0,1,0,7840,0,1,0,1.0,7.84,,10.0,10.0,10.0,10.0,277.9,1339.9,,23.0,36.0,40.0,328.0,262720.0,2924657.0,-0.18,-0.19,-0.78,-0.84,6.44,8.92,,8.46,2020-07-06 10:15:00
MAGE,213.4,1146.5,,29.0,37.0,50.0,339.0,311231.0,3017119.0,-0.4,-0.41,-0.74,-0.81,6.15,8.88,,8.38,7.6,7.77,7.6,7.77,,9,69080,2,7.68,2.2368,2,0,69080,0,9,0,1.0,7.68,,266.0,266.0,266.0,266.0,213.4,1146.5,,29.0,37.0,50.0,339.0,311231.0,3017119.0,-0.4,-0.41,-0.74,-0.81,6.15,8.88,,8.38,2020-07-06 10:45:00
MAGE,216.9,1033.0,,28.0,43.0,51.0,404.0,320064.0,3659319.0,-0.24,-0.25,-0.77,-0.84,6.22,9.05,,8.32,7.48,7.48,7.3,7.3,0.0068,23,169160,13,7.35,-2.4064,0,13,0,169160,0,23,-1.0,,7.35,172.0,172.0,172.0,297.0,216.9,1033.0,,28.0,43.0,51.0,404.0,320064.0,3659319.0,-0.24,-0.25,-0.77,-0.84,6.22,9.05,,8.32,2020-07-06 12:55:00
MAGE,239.6,997.6,,31.0,44.0,61.0,409.0,391120.0,3695880.0,0.07,0.06,-0.74,-0.81,6.34,9.03,,8.26,7.31,7.31,7.31,7.31,0.0,4,29240,3,7.31,0.0,0,3,0,29240,0,4,-1.0,,7.31,174.0,174.0,174.0,174.0,239.6,997.6,,31.0,44.0,61.0,409.0,391120.0,3695880.0,0.07,0.06,-0.74,-0.81,6.34,9.03,,8.26,2020-07-06 13:15:00
MAGE,197.4,945.6,,32.0,46.0,69.0,412.0,432961.0,3724330.0,-0.2,-0.21,-0.71,-0.79,6.26,9.02,,8.23,7.32,7.32,7.31,7.31,0.0007,14,102360,5,7.31,-0.1366,0,5,0,102360,0,14,-1.0,,7.31,124.0,124.0,124.0,124.0,197.4,945.6,,32.0,46.0,69.0,412.0,432961.0,3724330.0,-0.2,-0.21,-0.71,-0.79,6.26,9.02,,8.23,2020-07-06 13:35:00
MAGE,205.3,938.8,,32.0,46.0,64.0,412.0,402917.0,3718295.0,-0.21,-0.22,-0.73,-0.8,6.21,9.02,,8.24,7.44,7.44,7.44,7.44,,3,22320,2,7.44,0.0,1,1,14880,7440,2,1,0.33,7.44,7.44,191.0,191.0,191.0,208.0,205.3,938.8,,32.0,46.0,64.0,412.0,402917.0,3718295.0,-0.21,-0.22,-0.73,-0.8,6.21,9.02,,8.24,2020-07-06 13:40:00
MAGE,160.7,903.1,,37.0,46.0,69.0,436.0,436058.0,3901853.0,-0.51,-0.52,-0.72,-0.8,6.24,8.95,,8.06,7.41,7.41,7.41,7.41,,1,7410,1,7.41,0.0,1,0,7410,0,1,0,1.0,7.41,,271.0,271.0,271.0,271.0,160.7,903.1,,37.0,46.0,69.0,436.0,436058.0,3901853.0,-0.51,-0.52,-0.72,-0.8,6.24,8.95,,8.06,2020-07-06 14:00:00
MAGE,142.6,899.4,,38.0,48.0,72.0,445.0,446047.0,3973074.0,-0.4,-0.41,-0.72,-0.8,6.13,8.93,,8.02,7.29,7.29,7.27,7.27,0.0,3,21840,3,7.28,-0.2743,1,2,7270,14570,1,2,-0.33,7.27,7.28,298.0,298.0,298.0,298.0,142.6,899.4,,38.0,48.0,72.0,445.0,446047.0,3973074.0,-0.4,-0.41,-0.72,-0.8,6.13,8.93,,8.02,2020-07-06 14:35:00
MAGE,178.3,1076.5,,34.0,50.0,68.0,447.0,409558.0,3989714.0,0.18,0.17,-0.74,-0.81,6.01,8.92,,8.01,7.25,7.29,7.2,7.29,0.0043,8,57890,8,7.24,0.5517,2,6,14560,43330,2,6,-0.5,7.28,7.22,34.0,216.0,34.0,216.0,178.3,1076.5,,34.0,50.0,68.0,447.0,409558.0,3989714.0,0.18,0.17,-0.74,-0.81,6.01,8.92,,8.01,2020-07-06 14:40:00
MAGE,202.9,986.8,,37.0,49.0,92.0,445.0,575714.0,3973155.0,0.04,0.03,-0.66,-0.75,6.21,8.93,,8.02,7.32,7.44,7.32,7.44,0.005,16,118510,7,7.41,1.6393,6,1,59070,59440,8,8,0.0,7.38,7.43,116.0,119.0,116.0,173.0,202.9,986.8,,37.0,49.0,92.0,445.0,575714.0,3973155.0,0.04,0.03,-0.66,-0.75,6.21,8.93,,8.02,2020-07-06 14:50:00
