ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
MFGSP,106.7,1505.8,,26.0,58.0,160.0,626.0,447358.0,2440122.0,-0.51,-0.51,-0.52,-0.64,278.3,396.8,,370.0,331.5,331.5,331.5,331.5,,2,6630,2,331.5,0.0,2,0,6630,0,2,0,1.0,331.5,,197.0,197.0,197.0,204.0,106.7,1505.8,,26.0,58.0,160.0,626.0,447358.0,2440122.0,-0.51,-0.51,-0.52,-0.64,278.3,396.8,,370.0,2020-07-06 10:20:00
MFGSP,77.0,1202.7,,30.0,63.0,196.0,1581.0,556321.0,5898515.0,-0.01,-0.01,-0.78,-0.83,281.9,372.9,,347.1,331.0,334.0,331.0,334.0,0.0009,13,43130,5,331.8,0.9063,5,0,43130,0,13,0,1.0,331.8,,202.0,202.0,202.0,202.0,77.0,1202.7,,30.0,63.0,196.0,1581.0,556321.0,5898515.0,-0.01,-0.01,-0.78,-0.83,281.9,372.9,,347.1,2020-07-06 10:35:00
MFGSP,29.9,979.5,2442.7,42.0,69.0,418.0,1621.0,1118260.0,6044885.0,0.83,0.83,-0.59,-0.69,267.4,372.9,279.0,347.1,335.0,335.0,335.0,335.0,,6,20100,1,335.0,0.0,0,1,0,20100,0,6,-1.0,,335.0,262.0,262.0,262.0,262.0,29.9,979.5,2442.7,42.0,69.0,418.0,1621.0,1118260.0,6044885.0,0.83,0.83,-0.59,-0.69,267.4,372.9,279.0,347.1,2020-07-06 12:40:00
MFGSP,29.9,825.8,2559.0,42.0,69.0,412.0,1621.0,1100314.0,6044885.0,0.81,0.81,-0.59,-0.69,266.7,372.9,276.4,347.1,335.0,335.0,335.0,335.0,,1,3350,1,335.0,0.0,0,1,0,3350,0,1,-1.0,,335.0,19.0,19.0,19.0,19.0,29.9,825.8,2559.0,42.0,69.0,412.0,1621.0,1100314.0,6044885.0,0.81,0.81,-0.59,-0.69,266.7,372.9,276.4,347.1,2020-07-06 12:45:00
MFGSP,38.3,778.5,1782.5,45.0,69.0,1522.0,1619.0,4015011.0,6041133.0,0.88,0.88,-0.03,-0.2,263.6,372.9,294.6,347.2,335.0,335.0,335.0,335.0,,11,36850,2,335.0,0.0,0,2,0,36850,0,11,-1.0,,335.0,20.0,20.0,20.0,167.0,38.3,778.5,1782.5,45.0,69.0,1522.0,1619.0,4015011.0,6041133.0,0.88,0.88,-0.03,-0.2,263.6,372.9,294.6,347.2,2020-07-06 13:15:00
MFGSP,44.8,774.6,1788.3,45.0,69.0,1522.0,1619.0,4013571.0,6038265.0,0.93,0.93,-0.03,-0.2,263.6,373.0,294.5,347.2,335.0,335.0,335.0,335.0,,3,10050,1,335.0,0.0,0,1,0,10050,0,3,-1.0,,335.0,23.0,23.0,23.0,23.0,44.8,774.6,1788.3,45.0,69.0,1522.0,1619.0,4013571.0,6038265.0,0.93,0.93,-0.03,-0.2,263.6,373.0,294.5,347.2,2020-07-06 13:25:00
MFGSP,44.8,741.9,1786.4,47.0,69.0,1523.0,1624.0,4016746.0,6055440.0,0.92,0.92,-0.03,-0.2,263.6,372.9,294.5,347.1,335.0,335.0,335.0,335.0,,14,46900,1,335.0,0.0,0,1,0,46900,0,14,-1.0,,335.0,114.0,114.0,114.0,114.0,44.8,741.9,1786.4,47.0,69.0,1523.0,1624.0,4016746.0,6055440.0,0.92,0.92,-0.03,-0.2,263.6,372.9,294.5,347.1,2020-07-06 17:25:00
MFGSP,44.8,910.2,1808.6,42.0,66.0,426.0,1508.0,1206259.0,5527413.0,0.93,0.93,-0.56,-0.64,282.9,366.4,294.2,347.4,336.5,336.5,336.5,336.5,,1,3365,1,336.5,0.0,1,0,3365,0,1,0,1.0,336.5,,132.0,132.0,132.0,132.0,44.8,910.2,1808.6,42.0,66.0,426.0,1508.0,1206259.0,5527413.0,0.93,0.93,-0.56,-0.64,282.9,366.4,294.2,347.4,2020-07-07 18:40:00
MFGSP,32.8,1201.1,1302.2,36.0,62.0,645.0,1310.0,1904425.0,4694778.0,0.83,0.83,-0.34,-0.42,294.8,358.2,307.3,347.3,335.5,340.0,335.5,340.0,0.0013,20,67620,11,338.1,1.3413,11,0,67620,0,20,0,1.0,338.1,,286.0,286.0,286.0,286.0,32.8,1201.1,1302.2,36.0,62.0,645.0,1310.0,1904425.0,4694778.0,0.83,0.83,-0.34,-0.42,294.8,358.2,307.3,347.3,2020-07-08 11:45:00
MFGSP,259.9,1409.0,1286.4,40.0,59.0,654.0,1410.0,1933283.0,5164862.0,-0.45,-0.45,-0.37,-0.46,295.4,366.3,308.3,348.0,344.5,348.0,344.5,348.0,0.002,33,114640,8,347.4,1.016,7,1,69465,45175,20,13,0.21,347.3,347.5,102.0,205.0,102.0,280.0,259.9,1409.0,1286.4,40.0,59.0,654.0,1410.0,1933283.0,5164862.0,-0.45,-0.45,-0.37,-0.46,295.4,366.3,308.3,348.0,2020-07-08 11:50:00
