ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
MOEX,6.2,25.3,10.5,462.0,284.0,70777.0,68740.0,80382942.0,82382517.0,0.17,0.17,0.01,-0.01,113.55,119.85,117.05,117.17,116.88,117.46,116.4,116.77,0.0003,79403,92902920,1329,117.0,-0.0941,758,571,46948892,45954027,40111,39292,0.01,117.05,116.96,1.0,169.0,5.0,299.0,6.2,25.3,10.5,462.0,284.0,70777.0,68740.0,80382942.0,82382517.0,0.17,0.17,0.01,-0.01,113.55,119.85,117.05,117.17,2020-07-06 10:05:00
MOEX,5.6,22.9,8.7,480.0,317.0,78367.0,83308.0,89043707.0,99582319.0,0.15,0.15,-0.03,-0.06,113.62,119.54,116.92,117.02,116.76,117.25,116.64,117.24,0.0003,19434,22731431,555,116.97,0.4111,253,302,11900770,10830661,10170,9264,0.05,117.02,116.91,1.0,291.0,77.0,300.0,5.6,22.9,8.7,480.0,317.0,78367.0,83308.0,89043707.0,99582319.0,0.15,0.15,-0.03,-0.06,113.62,119.54,116.92,117.02,2020-07-06 10:10:00
MOEX,5.0,21.7,8.7,496.0,319.0,83470.0,87774.0,94550881.0,104932174.0,0.23,0.23,-0.02,-0.05,113.28,119.55,117.13,117.23,117.25,117.3,117.1,117.21,0.0003,10218,11975780,336,117.2,-0.0341,182,154,5710717,6265062,4871,5347,-0.05,117.24,117.17,1.0,25.0,60.0,300.0,5.0,21.7,8.7,496.0,319.0,83470.0,87774.0,94550881.0,104932174.0,0.23,0.23,-0.02,-0.05,113.28,119.55,117.13,117.23,2020-07-06 10:15:00
MOEX,4.6,21.9,7.9,522.0,315.0,78675.0,85276.0,88962172.0,102214427.0,-0.05,-0.05,-0.04,-0.07,113.07,119.87,117.49,117.59,117.25,117.72,117.25,117.46,0.0002,50053,58823186,857,117.52,0.1791,547,310,39153755,19669431,33319,16734,0.33,117.51,117.54,1.0,52.0,1.0,299.0,4.6,21.9,7.9,522.0,315.0,78675.0,85276.0,88962172.0,102214427.0,-0.05,-0.05,-0.04,-0.07,113.07,119.87,117.49,117.59,2020-07-06 10:20:00
MOEX,4.2,21.7,7.6,525.0,345.0,76397.0,100839.0,86303026.0,120590481.0,0.03,0.03,-0.14,-0.17,112.96,119.59,117.33,117.42,117.46,117.49,117.25,117.42,0.0002,17953,21062551,224,117.32,-0.0341,114,110,15549699,5512851,13255,4698,0.48,117.31,117.34,3.0,6.0,162.0,300.0,4.2,21.7,7.6,525.0,345.0,76397.0,100839.0,86303026.0,120590481.0,0.03,0.03,-0.14,-0.17,112.96,119.59,117.33,117.42,2020-07-06 10:25:00
MOEX,4.0,21.0,7.4,545.0,338.0,83782.0,89335.0,94962444.0,107148121.0,0.09,0.09,-0.03,-0.06,113.34,119.94,117.57,117.65,117.43,117.73,117.43,117.66,0.0002,14201,16701464,375,117.61,0.1959,266,109,10620544,6080919,9031,5170,0.27,117.6,117.62,1.0,123.0,1.0,298.0,4.0,21.0,7.4,545.0,338.0,83782.0,89335.0,94962444.0,107148121.0,0.09,0.09,-0.03,-0.06,113.34,119.94,117.57,117.65,2020-07-06 10:30:00
MOEX,4.1,20.5,7.2,550.0,343.0,90639.0,94026.0,103007156.0,112735048.0,0.29,0.29,-0.02,-0.04,113.64,119.9,117.63,117.71,117.69,117.73,117.55,117.7,0.0002,13438,15811591,312,117.66,0.0085,187,125,6220744,9590847,5286,8152,-0.21,117.68,117.65,2.0,2.0,236.0,299.0,4.1,20.5,7.2,550.0,343.0,90639.0,94026.0,103007156.0,112735048.0,0.29,0.29,-0.02,-0.04,113.64,119.9,117.63,117.71,2020-07-06 10:35:00
MOEX,2.8,19.3,5.5,560.0,336.0,93134.0,94509.0,105937746.0,113353982.0,0.15,0.15,-0.01,-0.03,113.75,119.94,117.76,117.83,117.7,117.91,117.65,117.9,0.0002,11537,13593393,414,117.82,0.1699,298,116,10073006,3520387,8549,2988,0.48,117.83,117.82,2.0,273.0,5.0,300.0,2.8,19.3,5.5,560.0,336.0,93134.0,94509.0,105937746.0,113353982.0,0.15,0.15,-0.01,-0.03,113.75,119.94,117.76,117.83,2020-07-06 10:40:00
MOEX,2.7,18.8,5.6,570.0,339.0,93138.0,96934.0,105940072.0,116275073.0,0.31,0.31,-0.02,-0.05,113.74,119.95,117.82,117.89,117.9,117.92,117.78,117.88,0.0002,8517,10037344,239,117.85,-0.017,130,109,3698908,6338435,3138,5379,-0.26,117.87,117.84,1.0,214.0,85.0,299.0,2.7,18.8,5.6,570.0,339.0,93138.0,96934.0,105940072.0,116275073.0,0.31,0.31,-0.02,-0.05,113.74,119.95,117.82,117.89,2020-07-06 10:45:00
MOEX,4.0,19.4,6.1,573.0,342.0,93939.0,103061.0,106847788.0,123552562.0,0.05,0.05,-0.05,-0.07,113.74,119.88,117.82,117.89,117.84,117.9,117.8,117.82,0.0002,4059,4783424,146,117.85,-0.017,71,75,1798898,2984526,1526,2533,-0.25,117.88,117.83,1.0,81.0,1.0,297.0,4.0,19.4,6.1,573.0,342.0,93939.0,103061.0,106847788.0,123552562.0,0.05,0.05,-0.05,-0.07,113.74,119.88,117.82,117.89,2020-07-06 10:50:00
