ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
MRKC,119.2,493.3,724.2,68.0,107.0,21432.0,54175.0,5445893.0,16768340.0,0.07,0.07,-0.43,-0.51,0.2542,0.3095,0.269,0.2885,0.285,0.285,0.2706,0.2828,0.0073,2626,732548,60,0.279,-0.7719,11,49,48254,684294,170,2456,-0.87,0.2838,0.2786,15.0,15.0,103.0,214.0,119.2,493.3,724.2,68.0,107.0,21432.0,54175.0,5445893.0,16768340.0,0.07,0.07,-0.43,-0.51,0.2542,0.3095,0.269,0.2885,2020-07-06 10:05:00
MRKC,60.7,313.8,506.3,87.0,113.0,34548.0,59253.0,8720026.0,18305929.0,0.31,0.31,-0.26,-0.36,0.2524,0.309,0.2732,0.287,0.281,0.2848,0.2806,0.2832,0.0027,840,237572,26,0.2828,0.7829,19,7,190140,47432,672,168,0.6,0.2829,0.2823,65.0,243.0,113.0,254.0,60.7,313.8,506.3,87.0,113.0,34548.0,59253.0,8720026.0,18305929.0,0.31,0.31,-0.26,-0.36,0.2524,0.309,0.2732,0.287,2020-07-06 10:10:00
MRKC,37.9,223.2,259.8,107.0,125.0,39972.0,64003.0,10109325.0,19677998.0,-0.13,-0.13,-0.23,-0.32,0.2529,0.3075,0.2792,0.2864,0.2846,0.2846,0.2834,0.2844,0.0032,451,127972,8,0.2838,-0.0703,6,2,37851,90121,133,318,-0.41,0.2846,0.2834,37.0,37.0,139.0,272.0,37.9,223.2,259.8,107.0,125.0,39972.0,64003.0,10109325.0,19677998.0,-0.13,-0.13,-0.23,-0.32,0.2529,0.3075,0.2792,0.2864,2020-07-06 10:15:00
MRKC,41.9,222.7,253.6,106.0,130.0,40595.0,64822.0,10276382.0,19929309.0,0.13,0.13,-0.23,-0.32,0.2531,0.3074,0.2793,0.2864,0.2844,0.2846,0.283,0.2846,0.0028,181,51292,7,0.2834,0.0703,5,2,42230,9061,149,32,0.65,0.2834,0.2832,24.0,228.0,146.0,228.0,41.9,222.7,253.6,106.0,130.0,40595.0,64822.0,10276382.0,19929309.0,0.13,0.13,-0.23,-0.32,0.2531,0.3074,0.2793,0.2864,2020-07-06 10:20:00
MRKC,42.4,221.3,249.1,110.0,132.0,41014.0,65786.0,10386914.0,20216129.0,0.44,0.44,-0.23,-0.32,0.2533,0.3073,0.2792,0.2862,0.2832,0.2844,0.2832,0.2844,0.003,5,1417,3,0.2834,0.4237,1,2,284,1132,1,4,-0.6,0.2844,0.2832,31.0,197.0,31.0,197.0,42.4,221.3,249.1,110.0,132.0,41014.0,65786.0,10386914.0,20216129.0,0.44,0.44,-0.23,-0.32,0.2533,0.3073,0.2792,0.2862,2020-07-06 10:25:00
MRKC,40.0,218.9,242.7,113.0,132.0,41646.0,65878.0,10560030.0,20244993.0,0.58,0.58,-0.23,-0.31,0.2536,0.3073,0.2794,0.2862,0.2832,0.2844,0.2832,0.2832,0.0026,290,82361,11,0.284,0.0,6,5,52045,30316,183,107,0.26,0.2844,0.2833,89.0,106.0,89.0,279.0,40.0,218.9,242.7,113.0,132.0,41646.0,65878.0,10560030.0,20244993.0,0.58,0.58,-0.23,-0.31,0.2536,0.3073,0.2794,0.2862,2020-07-06 10:30:00
MRKC,32.9,211.7,242.1,113.0,133.0,42396.0,66670.0,10735396.0,20487262.0,0.72,0.72,-0.22,-0.31,0.2532,0.3073,0.2795,0.2862,0.2834,0.2834,0.2832,0.2832,0.0004,58,16429,4,0.2833,-0.0706,0,4,0,16429,0,58,-1.0,,0.2833,58.0,58.0,142.0,142.0,32.9,211.7,242.1,113.0,133.0,42396.0,66670.0,10735396.0,20487262.0,0.72,0.72,-0.22,-0.31,0.2532,0.3073,0.2795,0.2862,2020-07-06 10:35:00
MRKC,31.5,210.2,243.7,114.0,132.0,42528.0,67041.0,10757654.0,20607782.0,0.23,0.23,-0.22,-0.31,0.253,0.3074,0.2794,0.2862,0.2842,0.2842,0.2832,0.2832,0.0015,15,4254,4,0.2836,-0.3519,1,3,1421,2833,5,10,-0.33,0.2842,0.2833,38.0,38.0,198.0,198.0,31.5,210.2,243.7,114.0,132.0,42528.0,67041.0,10757654.0,20607782.0,0.23,0.23,-0.22,-0.31,0.253,0.3074,0.2794,0.2862,2020-07-06 10:40:00
MRKC,30.1,208.9,240.9,114.0,133.0,42280.0,59302.0,10692606.0,18204075.0,0.85,0.85,-0.17,-0.26,0.2529,0.307,0.2794,0.2861,0.2832,0.284,0.2832,0.2832,0.0018,14,3967,7,0.2834,0.0,2,5,852,3115,3,11,-0.57,0.284,0.2832,2.0,190.0,2.0,273.0,30.1,208.9,240.9,114.0,133.0,42280.0,59302.0,10692606.0,18204075.0,0.85,0.85,-0.17,-0.26,0.2529,0.307,0.2794,0.2861,2020-07-06 10:45:00
MRKC,27.3,205.8,244.1,113.0,133.0,43932.0,57783.0,11062083.0,17737354.0,0.87,0.87,-0.14,-0.23,0.2518,0.307,0.2793,0.2861,0.2838,0.284,0.2832,0.284,0.0025,107,30310,4,0.2833,0.0705,2,2,1419,28890,5,102,-0.91,0.2839,0.2832,113.0,175.0,114.0,175.0,27.3,205.8,244.1,113.0,133.0,43932.0,57783.0,11062083.0,17737354.0,0.87,0.87,-0.14,-0.23,0.2518,0.307,0.2793,0.2861,2020-07-06 10:50:00
