ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
MRKP,20.0,259.9,186.0,107.0,85.0,7634.0,4303.0,13617271.0,9189983.0,0.08,0.08,0.28,0.19,0.1788,0.2136,0.1973,0.2009,0.1984,0.1997,0.1984,0.199,0.0013,229,455763,41,0.199,0.3024,34,7,368202,87561,185,44,0.62,0.199,0.199,3.0,45.0,3.0,294.0,20.0,259.9,186.0,107.0,85.0,7634.0,4303.0,13617271.0,9189983.0,0.08,0.08,0.28,0.19,0.1788,0.2136,0.1973,0.2009,2020-07-06 10:05:00
MRKP,24.3,200.0,116.0,118.0,98.0,8269.0,6288.0,14645323.0,13387148.0,0.25,0.25,0.14,0.05,0.1771,0.2128,0.1975,0.1998,0.1991,0.1996,0.1988,0.1989,0.0012,208,414340,27,0.1992,-0.1005,18,9,314889,99451,158,50,0.52,0.1993,0.1989,16.0,114.0,127.0,296.0,24.3,200.0,116.0,118.0,98.0,8269.0,6288.0,14645323.0,13387148.0,0.25,0.25,0.14,0.05,0.1771,0.2128,0.1975,0.1998,2020-07-06 10:10:00
MRKP,13.4,154.0,93.2,124.0,100.0,8436.0,6517.0,15011184.0,13885378.0,0.06,0.06,0.13,0.04,0.1779,0.2131,0.198,0.1999,0.1989,0.1998,0.1989,0.1992,0.0007,215,428697,37,0.1994,0.1508,25,12,259341,169356,130,85,0.21,0.1995,0.1992,4.0,120.0,4.0,283.0,13.4,154.0,93.2,124.0,100.0,8436.0,6517.0,15011184.0,13885378.0,0.06,0.06,0.13,0.04,0.1779,0.2131,0.198,0.1999,2020-07-06 10:15:00
MRKP,18.6,161.5,84.8,126.0,102.0,8527.0,7185.0,15200012.0,15281261.0,0.51,0.51,0.09,0.0,0.1782,0.2127,0.1982,0.1999,0.199,0.1996,0.199,0.1995,0.0011,57,113642,10,0.1994,0.2513,8,2,107668,5974,54,3,0.89,0.1994,0.1991,4.0,8.0,4.0,288.0,18.6,161.5,84.8,126.0,102.0,8527.0,7185.0,15200012.0,15281261.0,0.51,0.51,0.09,0.0,0.1782,0.2127,0.1982,0.1999,2020-07-06 10:20:00
MRKP,10.0,150.6,80.5,127.0,107.0,8591.0,7440.0,15323295.0,15816318.0,-0.02,-0.02,0.07,-0.02,0.1784,0.2126,0.1983,0.1999,0.1992,0.1995,0.1992,0.1995,0.0008,38,75727,10,0.1993,0.1506,7,3,41863,33864,21,17,0.11,0.1993,0.1992,38.0,43.0,38.0,283.0,10.0,150.6,80.5,127.0,107.0,8591.0,7440.0,15323295.0,15816318.0,-0.02,-0.02,0.07,-0.02,0.1784,0.2126,0.1983,0.1999,2020-07-06 10:25:00
MRKP,13.4,166.7,68.3,127.0,106.0,8900.0,7500.0,15900619.0,15937588.0,-0.1,-0.1,0.09,0.0,0.1787,0.2125,0.1985,0.1998,0.1995,0.1995,0.1992,0.1994,0.0009,140,278972,17,0.1993,-0.0501,11,6,67819,211153,34,106,-0.51,0.1995,0.1992,19.0,19.0,149.0,288.0,13.4,166.7,68.3,127.0,106.0,8900.0,7500.0,15900619.0,15937588.0,-0.1,-0.1,0.09,0.0,0.1787,0.2125,0.1985,0.1998,2020-07-06 10:30:00
MRKP,9.5,156.0,71.9,129.0,108.0,8938.0,7656.0,15963929.0,16258749.0,-0.4,-0.4,0.08,-0.01,0.1786,0.2124,0.1984,0.1998,0.1994,0.1995,0.1992,0.1995,0.0009,629,1253269,20,0.1992,0.0502,11,9,173565,1079704,87,542,-0.72,0.1995,0.1992,131.0,133.0,131.0,288.0,9.5,156.0,71.9,129.0,108.0,8938.0,7656.0,15963929.0,16258749.0,-0.4,-0.4,0.08,-0.01,0.1786,0.2124,0.1984,0.1998,2020-07-06 10:35:00
MRKP,18.2,163.2,64.9,129.0,109.0,8936.0,8201.0,15959973.0,17353256.0,0.3,0.3,0.04,-0.04,0.1786,0.2116,0.1985,0.1998,0.1995,0.1998,0.1992,0.1996,0.0014,158,314923,23,0.1993,0.0501,17,6,87823,227100,44,114,-0.44,0.1996,0.1992,2.0,75.0,290.0,293.0,18.2,163.2,64.9,129.0,109.0,8936.0,8201.0,15959973.0,17353256.0,0.3,0.3,0.04,-0.04,0.1786,0.2116,0.1985,0.1998,2020-07-06 10:40:00
MRKP,18.9,158.2,74.4,131.0,110.0,8147.0,8300.0,14531833.0,17558287.0,0.16,0.16,-0.01,-0.09,0.1784,0.2115,0.1983,0.1998,0.1993,0.1998,0.1992,0.1997,0.0012,1149,2291286,43,0.1994,0.2007,23,20,847031,1444255,424,725,-0.26,0.1998,0.1992,17.0,53.0,17.0,293.0,18.9,158.2,74.4,131.0,110.0,8147.0,8300.0,14531833.0,17558287.0,0.16,0.16,-0.01,-0.09,0.1784,0.2115,0.1983,0.1998,2020-07-06 10:45:00
MRKP,14.9,142.4,81.3,133.0,112.0,7997.0,8167.0,14261772.0,17311362.0,0.18,0.17,-0.01,-0.1,0.1783,0.212,0.1982,0.1998,0.1993,0.1996,0.1992,0.1996,0.0014,27,53807,10,0.1993,0.1505,6,4,13966,39841,7,20,-0.48,0.1995,0.1992,149.0,153.0,149.0,238.0,14.9,142.4,81.3,133.0,112.0,7997.0,8167.0,14261772.0,17311362.0,0.18,0.17,-0.01,-0.1,0.1783,0.212,0.1982,0.1998,2020-07-06 10:50:00
