ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
MRKY,110.6,667.0,3106.0,50.0,36.0,2306.0,1962.0,963640.0,1105330.0,0.08,0.08,0.08,-0.07,0.04203,0.05627,0.04192,0.05488,0.0503,0.0506,0.04975,0.05015,0.0135,42,21181,5,0.05043,-0.2982,3,2,17695,3486,35,7,0.67,0.05056,0.04981,21.0,23.0,26.0,297.0,110.6,667.0,3106.0,50.0,36.0,2306.0,1962.0,963640.0,1105330.0,0.08,0.08,0.08,-0.07,0.04203,0.05627,0.04192,0.05488,2020-07-06 10:05:00
MRKY,52.2,441.9,2255.8,68.0,41.0,3388.0,2259.0,1359922.0,1279273.0,-0.23,-0.23,0.19,0.03,0.0402,0.05663,0.04419,0.05411,0.0504,0.0504,0.05015,0.0504,0.007,3,1509,3,0.05032,0.0,2,1,1008,501,2,1,0.33,0.0504,0.05015,226.0,226.0,236.0,254.0,52.2,441.9,2255.8,68.0,41.0,3388.0,2259.0,1359922.0,1279273.0,-0.23,-0.23,0.19,0.03,0.0402,0.05663,0.04419,0.05411,2020-07-06 10:10:00
MRKY,52.1,431.7,1584.7,86.0,45.0,5920.0,2321.0,2404497.0,1311911.0,-0.08,-0.09,0.44,0.29,0.04062,0.05652,0.04643,0.05379,0.05045,0.05045,0.05045,0.05045,0.0,11,5549,3,0.05045,0.0,3,0,5549,0,11,0,1.0,0.05045,,65.0,65.0,65.0,275.0,52.1,431.7,1584.7,86.0,45.0,5920.0,2321.0,2404497.0,1311911.0,-0.08,-0.09,0.44,0.29,0.04062,0.05652,0.04643,0.05379,2020-07-06 10:20:00
MRKY,33.8,418.1,1554.6,87.0,46.0,6392.0,2327.0,2574361.0,1315635.0,-0.03,-0.03,0.47,0.32,0.04027,0.05652,0.04654,0.05377,0.05045,0.05045,0.0502,0.0504,0.0033,49,24609,5,0.05022,-0.0991,3,2,2016,22593,4,45,-0.84,0.05041,0.05021,89.0,89.0,130.0,245.0,33.8,418.1,1554.6,87.0,46.0,6392.0,2327.0,2574361.0,1315635.0,-0.03,-0.03,0.47,0.32,0.04027,0.05652,0.04654,0.05377,2020-07-06 10:25:00
MRKY,25.2,335.4,1219.5,95.0,55.0,6877.0,2451.0,2794666.0,1380047.0,-0.01,-0.01,0.47,0.34,0.04063,0.05629,0.04755,0.05335,0.0503,0.0503,0.0503,0.0503,,2,1006,1,0.0503,0.0,0,1,0,1006,0,2,-1.0,,0.0503,288.0,288.0,288.0,288.0,25.2,335.4,1219.5,95.0,55.0,6877.0,2451.0,2794666.0,1380047.0,-0.01,-0.01,0.47,0.34,0.04063,0.05629,0.04755,0.05335,2020-07-06 10:45:00
MRKY,20.2,300.2,1118.0,103.0,58.0,7567.0,4086.0,3041365.0,2342560.0,-0.87,-0.87,0.3,0.13,0.04019,0.05733,0.04768,0.05301,0.0503,0.0503,0.0503,0.0503,,20,10060,2,0.0503,0.0,1,1,9557,503,19,1,0.9,0.0503,0.0503,291.0,291.0,291.0,291.0,20.2,300.2,1118.0,103.0,58.0,7567.0,4086.0,3041365.0,2342560.0,-0.87,-0.87,0.3,0.13,0.04019,0.05733,0.04768,0.05301,2020-07-06 11:35:00
MRKY,10.0,270.2,1088.4,103.0,57.0,7573.0,4180.0,3040851.0,2389358.0,-0.25,-0.25,0.29,0.12,0.04015,0.05716,0.0476,0.05279,0.0503,0.0503,0.0503,0.0503,0.0,4,2012,3,0.0503,0.0,3,0,2012,0,4,0,1.0,0.0503,,41.0,41.0,41.0,54.0,10.0,270.2,1088.4,103.0,57.0,7573.0,4180.0,3040851.0,2389358.0,-0.25,-0.25,0.29,0.12,0.04015,0.05716,0.0476,0.05279,2020-07-06 11:40:00
MRKY,10.0,282.3,1119.7,103.0,57.0,7544.0,4166.0,3026479.0,2382201.0,-0.22,-0.22,0.29,0.12,0.04012,0.05718,0.0475,0.05282,0.0503,0.0503,0.0503,0.0503,,1,503,1,0.0503,0.0,1,0,503,0,1,0,1.0,0.0503,,156.0,156.0,156.0,156.0,10.0,282.3,1119.7,103.0,57.0,7544.0,4166.0,3026479.0,2382201.0,-0.22,-0.22,0.29,0.12,0.04012,0.05718,0.0475,0.05282,2020-07-06 11:45:00
MRKY,10.0,268.6,1187.9,102.0,60.0,7453.0,4195.0,2980643.0,2397660.0,0.05,0.05,0.28,0.11,0.03999,0.05715,0.04716,0.05276,0.0503,0.0503,0.05025,0.05025,,11,5528,2,0.05025,-0.0994,1,1,503,5025,1,10,-0.82,0.0503,0.05025,133.0,133.0,208.0,208.0,10.0,268.6,1187.9,102.0,60.0,7453.0,4195.0,2980643.0,2397660.0,0.05,0.05,0.28,0.11,0.03999,0.05715,0.04716,0.05276,2020-07-06 11:55:00
MRKY,11.3,305.8,1217.8,101.0,56.0,7434.0,4160.0,2971246.0,2379211.0,0.47,0.47,0.28,0.11,0.03997,0.05719,0.04709,0.05283,0.0502,0.05025,0.0502,0.05025,,15,7530,2,0.0502,0.0996,1,1,502,7028,1,14,-0.87,0.05025,0.0502,64.0,248.0,64.0,248.0,11.3,305.8,1217.8,101.0,56.0,7434.0,4160.0,2971246.0,2379211.0,0.47,0.47,0.28,0.11,0.03997,0.05719,0.04709,0.05283,2020-07-06 12:05:00
