ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
MSNG,13.3,87.1,38.2,145,128,11357,14910,23849433,34343305,-0.04,-0.04,-0.14,-0.18,2.0989,2.3032,2.2078,2.2162,2.2025,2.218,2.2025,2.211,0.0008,3409,7536022,154,2.2106,0.3859,97,57,2838928,4697093,1284,2125,-0.25,2.211,2.2104,2.0,54.0,2.0,299.0,13.3,87.1,38.2,145,128,11357,14910,23849433,34343305,-0.04,-0.04,-0.14,-0.18,2.0989,2.3032,2.2078,2.2162,2020-07-06 10:05:00
MSNG,11.6,73.8,37.8,155,151,11314,16213,23782707,37262442,0.08,0.08,-0.18,-0.22,2.1019,2.2982,2.2037,2.212,2.2115,2.22,2.197,2.206,0.0005,4656,10290130,253,2.2101,-0.2487,142,111,5243285,5046845,2370,2286,0.02,2.2124,2.2077,7.0,67.0,179.0,287.0,11.6,73.8,37.8,155,151,11314,16213,23782707,37262442,0.08,0.08,-0.18,-0.22,2.1019,2.2982,2.2037,2.212,2020-07-06 10:10:00
MSNG,11.1,70.0,37.4,165,155,12490,17395,26338326,39964596,0.07,0.07,-0.16,-0.21,2.1086,2.2974,2.2056,2.2138,2.207,2.215,2.2005,2.21,0.0005,2242,4952760,150,2.2091,0.1359,88,62,2289028,2663732,1035,1207,-0.08,2.2116,2.2069,2.0,282.0,6.0,298.0,11.1,70.0,37.4,165,155,12490,17395,26338326,39964596,0.07,0.07,-0.16,-0.21,2.1086,2.2974,2.2056,2.2138,2020-07-06 10:15:00
MSNG,12.9,71.6,30.8,169,152,12750,18216,26927420,41855870,0.1,0.1,-0.18,-0.22,2.1119,2.2977,2.2117,2.2186,2.213,2.22,2.2115,2.216,0.0006,1250,2770947,99,2.2168,0.1356,79,20,2465054,305893,1112,138,0.78,2.2168,2.2166,11.0,86.0,42.0,299.0,12.9,71.6,30.8,169,152,12750,18216,26927420,41855870,0.1,0.1,-0.18,-0.22,2.1119,2.2977,2.2117,2.2186,2020-07-06 10:20:00
MSNG,11.3,62.3,22.5,174,153,12903,18840,27270538,43313236,0.05,0.05,-0.19,-0.23,2.1134,2.299,2.2154,2.2204,2.2185,2.222,2.216,2.2195,0.0004,3002,6665562,102,2.2204,0.0451,92,10,6576884,88678,2962,40,0.97,2.2204,2.217,7.0,242.0,40.0,256.0,11.3,62.3,22.5,174,153,12903,18840,27270538,43313236,0.05,0.05,-0.19,-0.23,2.1134,2.299,2.2154,2.2204,2020-07-06 10:25:00
MSNG,8.6,58.7,25.7,184,151,13568,18601,28735904,42871439,-0.02,-0.02,-0.16,-0.2,2.1179,2.3047,2.2171,2.2228,2.2215,2.223,2.217,2.2185,0.0006,631,1400912,63,2.2201,-0.135,35,28,872779,528133,393,238,0.25,2.2208,2.219,3.0,22.0,253.0,296.0,8.6,58.7,25.7,184,151,13568,18601,28735904,42871439,-0.02,-0.02,-0.16,-0.2,2.1179,2.3047,2.2171,2.2228,2020-07-06 10:30:00
MSNG,8.4,58.0,27.9,180,159,14023,19536,29710269,44977911,-0.25,-0.25,-0.16,-0.2,2.1185,2.3023,2.212,2.2181,2.219,2.219,2.211,2.2125,0.0005,929,2058415,54,2.2157,-0.2929,12,42,181628,1876787,82,847,-0.82,2.215,2.2158,6.0,6.0,155.0,284.0,8.4,58.0,27.9,180,159,14023,19536,29710269,44977911,-0.25,-0.25,-0.16,-0.2,2.1185,2.3023,2.212,2.2181,2020-07-06 10:35:00
MSNG,9.7,53.1,22.4,181,161,14421,19676,30669887,45288819,-0.02,-0.02,-0.15,-0.19,2.1267,2.3016,2.2123,2.2173,2.213,2.2165,2.213,2.2165,0.0006,315,697738,36,2.215,0.1582,22,14,516232,181505,233,82,0.48,2.2156,2.2135,3.0,214.0,3.0,293.0,9.7,53.1,22.4,181,161,14421,19676,30669887,45288819,-0.02,-0.02,-0.15,-0.19,2.1267,2.3016,2.2123,2.2173,2020-07-06 10:40:00
MSNG,8.6,56.7,13.9,186,160,16654,19805,35625185,45601444,0.18,0.18,-0.09,-0.12,2.1391,2.3025,2.2164,2.2195,2.2165,2.219,2.2165,2.218,0.0004,542,1201759,31,2.2173,0.0677,21,10,767157,434602,346,196,0.28,2.2172,2.2174,12.0,111.0,12.0,299.0,8.6,56.7,13.9,186,160,16654,19805,35625185,45601444,0.18,0.18,-0.09,-0.12,2.1391,2.3025,2.2164,2.2195,2020-07-06 10:45:00
MSNG,4.8,52.3,13.3,189,160,16498,19769,35275463,45523980,-0.07,-0.07,-0.09,-0.13,2.1381,2.3027,2.2166,2.2195,2.2165,2.219,2.2165,2.219,0.0003,698,1548025,38,2.2178,0.1128,26,12,816531,731494,368,330,0.05,2.2188,2.2166,4.0,11.0,4.0,292.0,4.8,52.3,13.3,189,160,16498,19769,35275463,45523980,-0.07,-0.07,-0.09,-0.13,2.1381,2.3027,2.2166,2.2195,2020-07-06 10:50:00
MSNG,6.3,50.2,14.7,190,164,16282,20638,34799216,47460212,0.17,0.17,-0.12,-0.15,2.1372,2.2997,2.2165,2.2198,2.2185,2.219,2.2165,2.2185,0.0005,593,1314695,44,2.217,0.0,19,25,197465,1117229,89,504,-0.7,2.2187,2.2167,2.0,24.0,85.0,294.0,6.3,50.2,14.7,190,164,16282,20638,34799216,47460212,0.17,0.17,-0.12,-0.15,2.1372,2.2997,2.2165,2.2198,2020-07-06 10:55:00
MSNG,4.7,49.4,12.3,187,166,16112,21296,34455232,48919629,0.35,0.35,-0.14,-0.17,2.1384,2.2971,2.217,2.2197,2.2185,2.2195,2.2165,2.2165,0.0003,663,1470553,38,2.218,-0.0902,17,21,439114,1031439,198,465,-0.4,2.2177,2.2181,1.0,93.0,65.0,296.0,4.7,49.4,12.3,187,166,16112,21296,34455232,48919629,0.35,0.35,-0.14,-0.17,2.1384,2.2971,2.217,2.2197,2020-07-06 11:00:00
MSNG,6.6,48.2,13.7,186,169,15618,21432,33358577,49218855,-0.17,-0.17,-0.16,-0.19,2.1358,2.2965,2.2165,2.2196,2.2165,2.219,2.2165,2.2185,0.0004,197,436914,24,2.2178,0.0902,16,8,381492,55421,172,25,0.75,2.218,2.2169,5.0,142.0,5.0,295.0,6.6,48.2,13.7,186,169,15618,21432,33358577,49218855,-0.17,-0.17,-0.16,-0.19,2.1358,2.2965,2.2165,2.2196,2020-07-06 11:05:00
MSNG,7.1,47.8,12.4,187,169,16498,21616,35295932,49629725,0.09,0.09,-0.13,-0.17,2.1394,2.2959,2.2167,2.2195,2.218,2.219,2.2165,2.218,0.0004,479,1062204,26,2.2175,0.0,16,10,525799,536405,237,242,-0.01,2.2186,2.2165,70.0,117.0,100.0,226.0,7.1,47.8,12.4,187,169,16498,21616,35295932,49629725,0.09,0.09,-0.13,-0.17,2.1394,2.2959,2.2167,2.2195,2020-07-06 11:10:00
MSNG,6.6,47.7,13.1,188,169,16587,21828,35494000,50143689,-0.59,-0.59,-0.14,-0.17,2.1398,2.2971,2.217,2.2199,2.218,2.22,2.2175,2.2195,0.0004,653,1448748,47,2.2186,0.0676,29,18,670263,778485,302,351,-0.08,2.2194,2.2179,4.0,165.0,25.0,298.0,6.6,47.7,13.1,188,169,16587,21828,35494000,50143689,-0.59,-0.59,-0.14,-0.17,2.1398,2.2971,2.217,2.2199,2020-07-06 11:15:00
