ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
MSRS,68.3,444.6,586.7,62.0,78.0,3621.0,3537.0,3673162.0,4141497.0,0.45,0.45,-0.05,-0.12,1.0155,1.1707,1.0807,1.1435,1.1195,1.1245,1.117,1.117,0.0028,14,15687,7,1.1205,-0.2233,4,3,8962,6724,8,6,0.14,1.1203,1.1208,134.0,173.0,299.0,299.0,68.3,444.6,586.7,62.0,78.0,3621.0,3537.0,3673162.0,4141497.0,0.45,0.45,-0.05,-0.12,1.0155,1.1707,1.0807,1.1435,2020-07-06 10:05:00
MSRS,47.8,386.1,280.4,70.0,83.0,5521.0,3682.0,5583118.0,4309426.0,0.69,0.69,0.2,0.13,1.0111,1.1702,1.1119,1.1431,1.123,1.134,1.123,1.134,0.001,41,46374,14,1.1311,0.9795,14,0,46374,0,41,0,1.0,1.1311,,223.0,241.0,223.0,241.0,47.8,386.1,280.4,70.0,83.0,5521.0,3682.0,5583118.0,4309426.0,0.69,0.69,0.2,0.13,1.0111,1.1702,1.1119,1.1431,2020-07-06 10:10:00
MSRS,32.6,351.2,154.4,72.0,88.0,5960.0,4295.0,6064393.0,5009196.0,-0.03,-0.04,0.16,0.1,1.0175,1.1661,1.1157,1.1329,1.1265,1.1265,1.116,1.1255,0.0022,96,107554,11,1.1204,-0.0888,2,9,4496,103058,4,92,-0.92,1.124,1.1202,26.0,26.0,161.0,286.0,32.6,351.2,154.4,72.0,88.0,5960.0,4295.0,6064393.0,5009196.0,-0.03,-0.04,0.16,0.1,1.0175,1.1661,1.1157,1.1329,2020-07-06 10:15:00
MSRS,27.5,293.0,130.2,76.0,92.0,6316.0,5105.0,6461702.0,5935035.0,-0.27,-0.27,0.11,0.04,1.0229,1.1625,1.1162,1.1307,1.1225,1.1225,1.1225,1.1225,,10,11225,2,1.1225,0.0,1,1,8980,2245,8,2,0.6,1.1225,1.1225,161.0,161.0,161.0,161.0,27.5,293.0,130.2,76.0,92.0,6316.0,5105.0,6461702.0,5935035.0,-0.27,-0.27,0.11,0.04,1.0229,1.1625,1.1162,1.1307,2020-07-06 10:20:00
MSRS,26.5,259.3,112.8,78.0,95.0,6411.0,5383.0,6565363.0,6246440.0,0.3,0.3,0.09,0.02,1.024,1.1604,1.1153,1.1278,1.12,1.12,1.117,1.117,,20,22367,2,1.1184,-0.2679,0,2,0,22367,0,20,-1.0,,1.1184,221.0,221.0,221.0,221.0,26.5,259.3,112.8,78.0,95.0,6411.0,5383.0,6565363.0,6246440.0,0.3,0.3,0.09,0.02,1.024,1.1604,1.1153,1.1278,2020-07-06 10:25:00
MSRS,22.9,245.8,104.7,78.0,96.0,6452.0,5443.0,6603652.0,6312300.0,0.37,0.37,0.08,0.02,1.0235,1.1597,1.1147,1.1263,1.12,1.12,1.12,1.12,,2,2240,1,1.12,0.0,1,0,2240,0,2,0,1.0,1.12,,121.0,121.0,121.0,121.0,22.9,245.8,104.7,78.0,96.0,6452.0,5443.0,6603652.0,6312300.0,0.37,0.37,0.08,0.02,1.0235,1.1597,1.1147,1.1263,2020-07-06 10:30:00
MSRS,17.3,231.7,106.4,82.0,99.0,7932.0,14723.0,8226190.0,17527910.0,0.13,0.13,-0.3,-0.36,1.037,1.1905,1.1162,1.1281,1.1205,1.1225,1.1205,1.1225,,8,8972,2,1.1215,0.1785,1,1,4490,4482,4,4,0.0,1.1225,1.1205,18.0,206.0,18.0,206.0,17.3,231.7,106.4,82.0,99.0,7932.0,14723.0,8226190.0,17527910.0,0.13,0.13,-0.3,-0.36,1.037,1.1905,1.1162,1.1281,2020-07-06 10:40:00
MSRS,17.5,232.2,110.6,82.0,100.0,6292.0,14920.0,6584157.0,17752733.0,-0.2,-0.2,-0.41,-0.46,1.0468,1.1898,1.116,1.1284,1.121,1.121,1.1205,1.1205,0.0001,31,34750,10,1.121,-0.0446,7,3,28025,6725,25,6,0.61,1.121,1.1209,165.0,165.0,245.0,245.0,17.5,232.2,110.6,82.0,100.0,6292.0,14920.0,6584157.0,17752733.0,-0.2,-0.2,-0.41,-0.46,1.0468,1.1898,1.116,1.1284,2020-07-06 10:45:00
MSRS,17.0,227.4,107.4,83.0,101.0,5960.0,15418.0,6250365.0,18340951.0,0.24,0.24,-0.44,-0.49,1.0487,1.1896,1.116,1.1279,1.1225,1.1225,1.1205,1.1205,0.0008,41,45942,6,1.1205,-0.1782,4,2,30255,15687,27,14,0.32,1.1206,1.1205,237.0,237.0,273.0,273.0,17.0,227.4,107.4,83.0,101.0,5960.0,15418.0,6250365.0,18340951.0,0.24,0.24,-0.44,-0.49,1.0487,1.1896,1.116,1.1279,2020-07-06 10:50:00
MSRS,13.4,226.6,104.5,83.0,102.0,5948.0,17303.0,6237300.0,20542924.0,0.72,0.72,-0.49,-0.53,1.0485,1.1872,1.1158,1.1274,1.1215,1.1215,1.12,1.12,,3,3363,2,1.121,-0.1337,1,1,2243,1120,2,1,0.33,1.1215,1.12,152.0,152.0,256.0,256.0,13.4,226.6,104.5,83.0,102.0,5948.0,17303.0,6237300.0,20542924.0,0.72,0.72,-0.49,-0.53,1.0485,1.1872,1.1158,1.1274,2020-07-06 11:00:00
