ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
MTLRP,21.1,177.3,215.2,166,154.0,14875,15313.0,11853431,14033355.0,0.1,0.09,-0.01,-0.08,79.68,91.62,84.41,86.23,84.7,85.8,84.6,85.45,0.0014,1370,1172157,83,85.56,0.8855,55,28,639769,532387,748,622,0.09,85.53,85.59,2.0,61.0,7.0,279.0,21.1,177.3,215.2,166,154.0,14875,15313.0,11853431,14033355.0,0.1,0.09,-0.01,-0.08,79.68,91.62,84.41,86.23,2020-07-06 10:05:00
MTLRP,23.0,176.4,160.5,204,198.0,16745,19369.0,13178959,17840237.0,0.05,0.04,-0.07,-0.15,78.72,92.1,84.21,85.56,85.3,85.45,84.5,84.75,0.0012,1239,1053042,74,84.99,-0.6448,29,45,378899,674143,446,793,-0.28,84.95,85.01,1.0,167.0,1.0,299.0,23.0,176.4,160.5,204,198.0,16745,19369.0,13178959,17840237.0,0.05,0.04,-0.07,-0.15,78.72,92.1,84.21,85.56,2020-07-06 10:10:00
MTLRP,20.8,145.1,140.5,212,204.0,19085,20663.0,14705770,18988368.0,0.22,0.22,-0.04,-0.13,77.12,91.9,84.23,85.41,84.9,85.2,84.9,85.0,0.001,95,80809,11,85.06,0.1178,9,2,59570,21239,70,25,0.47,85.1,84.96,21.0,64.0,21.0,236.0,20.8,145.1,140.5,212,204.0,19085,20663.0,14705770,18988368.0,0.22,0.22,-0.04,-0.13,77.12,91.9,84.23,85.41,2020-07-06 10:15:00
MTLRP,13.4,162.5,137.6,211,206.0,20155,21637.0,15349826,19827104.0,0.21,0.21,-0.04,-0.13,76.15,91.63,84.14,85.29,85.0,85.15,84.1,85.0,0.001,1030,872190,55,84.68,0.0,21,34,288985,583204,340,690,-0.34,85.0,84.52,17.0,25.0,83.0,281.0,13.4,162.5,137.6,211,206.0,20155,21637.0,15349826,19827104.0,0.21,0.21,-0.04,-0.13,76.15,91.63,84.14,85.29,2020-07-06 10:20:00
MTLRP,20.6,190.9,117.7,215,208.0,21190,24086.0,16199747,22274566.0,-0.29,-0.29,-0.06,-0.16,76.45,92.48,84.32,85.32,85.1,85.15,84.55,84.85,0.0008,1115,946237,42,84.86,-0.2938,13,29,102776,843461,121,994,-0.78,84.94,84.86,9.0,9.0,260.0,290.0,20.6,190.9,117.7,215,208.0,21190,24086.0,16199747,22274566.0,-0.29,-0.29,-0.06,-0.16,76.45,92.48,84.32,85.32,2020-07-06 10:25:00
MTLRP,17.5,141.1,125.1,220,211.0,21366,31433.0,16334072,30709459.0,-0.45,-0.45,-0.19,-0.3,76.45,97.44,84.27,85.32,84.85,85.1,84.85,85.05,0.0009,394,334798,23,84.97,0.2357,11,12,227782,107016,268,126,0.36,84.99,84.93,22.0,96.0,22.0,277.0,17.5,141.1,125.1,220,211.0,21366,31433.0,16334072,30709459.0,-0.45,-0.45,-0.19,-0.3,76.45,97.44,84.27,85.32,2020-07-06 10:30:00
MTLRP,12.1,130.9,107.0,225,209.0,21911,33078.0,16769997,32652277.0,0.24,0.24,-0.2,-0.32,76.54,98.72,84.74,85.65,85.05,85.5,84.85,84.95,0.0006,2076,1769226,56,85.22,-0.1176,36,20,1067668,701558,1253,823,0.21,85.21,85.24,1.0,122.0,283.0,283.0,12.1,130.9,107.0,225,209.0,21911,33078.0,16769997,32652277.0,0.24,0.24,-0.2,-0.32,76.54,98.72,84.74,85.65,2020-07-06 10:35:00
MTLRP,20.0,149.0,151.1,227,209.0,21663,32881.0,16557251,32543351.0,0.0,0.0,-0.21,-0.33,76.43,98.97,84.48,85.75,85.3,85.45,85.15,85.45,0.0008,664,566957,30,85.39,0.1758,23,7,440601,126356,516,148,0.55,85.39,85.38,32.0,176.0,63.0,298.0,20.0,149.0,151.1,227,209.0,21663,32881.0,16557251,32543351.0,0.0,0.0,-0.21,-0.33,76.43,98.97,84.48,85.75,2020-07-06 10:40:00
MTLRP,20.4,146.8,133.2,229,210.0,21798,36868.0,16665197,36167501.0,0.04,0.04,-0.26,-0.37,76.45,98.12,84.5,85.62,85.35,85.4,84.95,85.25,0.0009,1014,862788,44,85.09,-0.1172,19,25,372546,490242,438,576,-0.14,85.06,85.11,29.0,185.0,38.0,287.0,20.4,146.8,133.2,229,210.0,21798,36868.0,16665197,36167501.0,0.04,0.04,-0.26,-0.37,76.45,98.12,84.5,85.62,2020-07-06 10:45:00
MTLRP,22.0,138.1,128.4,229,213.0,21813,37804.0,16673323,37018913.0,-0.11,-0.11,-0.27,-0.38,76.44,97.92,84.44,85.52,85.25,85.25,84.7,85.05,0.0009,924,784839,42,84.94,-0.2346,18,24,186968,597871,220,704,-0.52,84.99,84.92,15.0,15.0,93.0,288.0,22.0,138.1,128.4,229,213.0,21813,37804.0,16673323,37018913.0,-0.11,-0.11,-0.27,-0.38,76.44,97.92,84.44,85.52,2020-07-06 10:50:00
MTLRP,20.6,136.9,100.6,227,214.0,22089,38000.0,16906972,37186155.0,-0.16,-0.16,-0.26,-0.37,76.54,97.86,84.58,85.43,84.9,85.15,84.85,85.05,0.001,281,238763,21,84.97,0.1767,10,11,132578,106185,156,125,0.11,84.99,84.95,41.0,85.0,167.0,299.0,20.6,136.9,100.6,227,214.0,22089,38000.0,16906972,37186155.0,-0.16,-0.16,-0.26,-0.37,76.54,97.86,84.58,85.43,2020-07-06 10:55:00
MTLRP,19.4,138.8,101.3,228,214.0,22190,38174.0,16996088,37337507.0,-0.41,-0.41,-0.26,-0.37,76.59,97.81,84.63,85.48,85.15,85.15,84.95,85.0,0.0009,145,123370,9,85.08,-0.1762,7,2,115724,7645,136,9,0.88,85.09,84.95,125.0,125.0,200.0,272.0,19.4,138.8,101.3,228,214.0,22190,38174.0,16996088,37337507.0,-0.41,-0.41,-0.26,-0.37,76.59,97.81,84.63,85.48,2020-07-06 11:00:00
MTLRP,17.9,135.6,86.7,230,214.0,22441,38191.0,17204784,37352146.0,-0.31,-0.31,-0.26,-0.37,76.67,97.8,84.65,85.38,85.0,85.1,84.95,85.1,0.0009,248,210830,12,85.01,0.1176,10,2,176850,33980,208,40,0.68,85.02,84.95,21.0,94.0,186.0,235.0,17.9,135.6,86.7,230,214.0,22441,38191.0,17204784,37352146.0,-0.31,-0.31,-0.26,-0.37,76.67,97.8,84.65,85.38,2020-07-06 11:05:00
MTLRP,17.6,140.3,88.4,230,213.0,22186,38382.0,16992794,37519084.0,-0.35,-0.35,-0.27,-0.38,76.59,97.75,84.65,85.4,85.15,85.2,85.0,85.0,0.0014,231,196509,9,85.07,-0.1762,5,4,84294,112215,99,132,-0.14,85.15,85.01,35.0,268.0,286.0,298.0,17.6,140.3,88.4,230,213.0,22186,38382.0,16992794,37519084.0,-0.35,-0.35,-0.27,-0.38,76.59,97.75,84.65,85.4,2020-07-06 11:10:00
MTLRP,18.3,135.0,115.5,227,215.0,21592,38431.0,16489337,37556880.0,0.02,0.02,-0.28,-0.39,76.36,97.73,84.35,85.33,84.95,85.3,84.55,84.85,0.0008,2181,1848809,73,84.77,-0.1177,23,50,558283,1290525,658,1523,-0.4,84.85,84.74,1.0,95.0,106.0,272.0,18.3,135.0,115.5,227,215.0,21592,38431.0,16489337,37556880.0,0.02,0.02,-0.28,-0.39,76.36,97.73,84.35,85.33,2020-07-06 11:15:00
MTLRP,13.9,124.3,110.2,231,216.0,21643,38611.0,16534623,37718198.0,-0.42,-0.42,-0.28,-0.39,76.4,97.69,84.39,85.32,85.0,85.05,85.0,85.0,0.0003,180,153001,12,85.0,0.0,9,3,73951,79050,87,93,-0.03,85.0,85.0,38.0,87.0,38.0,245.0,13.9,124.3,110.2,231,216.0,21643,38611.0,16534623,37718198.0,-0.42,-0.42,-0.28,-0.39,76.4,97.69,84.39,85.32,2020-07-06 11:20:00
MTLRP,13.0,124.9,105.7,231,218.0,22053,38617.0,16856496,37734094.0,-0.29,-0.29,-0.27,-0.38,76.44,97.71,84.46,85.35,84.95,85.05,84.8,84.8,0.0005,1336,1135494,38,84.99,-0.1766,13,25,301830,833664,355,981,-0.47,85.02,84.98,17.0,63.0,295.0,297.0,13.0,124.9,105.7,231,218.0,22053,38617.0,16856496,37734094.0,-0.29,-0.29,-0.27,-0.38,76.44,97.71,84.46,85.35,2020-07-06 11:25:00
MTLRP,14.5,126.1,97.6,231,218.0,22161,38554.0,16941159,37675545.0,0.29,0.29,-0.27,-0.38,76.45,97.72,84.43,85.26,84.85,85.05,84.85,85.05,0.0009,431,365856,15,84.89,0.2357,10,5,314075,51781,370,61,0.72,84.89,84.89,6.0,271.0,6.0,271.0,14.5,126.1,97.6,231,218.0,22161,38554.0,16941159,37675545.0,0.29,0.29,-0.27,-0.38,76.45,97.72,84.43,85.26,2020-07-06 11:30:00
MTLRP,11.8,119.1,101.9,231,220.0,22349,38823.0,17098926,37871528.0,0.58,0.58,-0.27,-0.38,76.51,97.55,84.49,85.35,84.95,85.25,84.95,85.05,0.0006,796,677790,28,85.15,0.1177,16,12,275896,401893,324,472,-0.19,85.15,85.15,222.0,243.0,222.0,298.0,11.8,119.1,101.9,231,220.0,22349,38823.0,17098926,37871528.0,0.58,0.58,-0.27,-0.38,76.51,97.55,84.49,85.35,2020-07-06 11:35:00
MTLRP,16.3,123.3,94.0,233,216.0,22576,39532.0,17290877,38570951.0,-0.08,-0.08,-0.27,-0.38,76.59,97.57,84.62,85.42,85.2,85.2,85.05,85.1,0.0009,91,77438,10,85.1,-0.1174,4,6,28946,48491,34,57,-0.25,85.14,85.07,75.0,75.0,123.0,266.0,16.3,123.3,94.0,233,216.0,22576,39532.0,17290877,38570951.0,-0.08,-0.08,-0.27,-0.38,76.59,97.57,84.62,85.42,2020-07-06 11:40:00
MTLRP,17.4,124.8,79.3,234,215.0,22864,39357.0,17535491,38421875.0,0.07,0.07,-0.27,-0.37,76.69,97.62,84.77,85.44,85.2,85.25,85.1,85.25,0.0009,248,211302,11,85.2,0.0587,9,2,206196,5106,242,6,0.95,85.21,85.1,55.0,94.0,104.0,244.0,17.4,124.8,79.3,234,215.0,22864,39357.0,17535491,38421875.0,0.07,0.07,-0.27,-0.37,76.69,97.62,84.77,85.44,2020-07-06 11:45:00
MTLRP,18.2,124.6,78.7,235,216.0,22935,39370.0,17596143,38444138.0,-0.02,-0.02,-0.26,-0.37,76.72,97.65,84.8,85.47,85.25,85.3,85.25,85.3,0.0002,55,46893,11,85.26,0.0587,11,0,46893,0,55,0,1.0,85.26,,109.0,259.0,109.0,259.0,18.2,124.6,78.7,235,216.0,22935,39370.0,17596143,38444138.0,-0.02,-0.02,-0.26,-0.37,76.72,97.65,84.8,85.47,2020-07-06 11:50:00
MTLRP,15.3,125.0,73.3,235,218.0,23006,39501.0,17659904,38557994.0,-0.14,-0.14,-0.26,-0.37,76.76,97.61,84.84,85.46,85.25,85.35,85.2,85.2,0.0006,591,504107,18,85.3,-0.0587,15,3,475139,28968,557,34,0.88,85.3,85.2,58.0,241.0,131.0,284.0,15.3,125.0,73.3,235,218.0,23006,39501.0,17659904,38557994.0,-0.14,-0.14,-0.26,-0.37,76.76,97.61,84.84,85.46,2020-07-06 11:55:00
MTLRP,25.4,137.9,93.4,237,212.0,23162,38907.0,17795171,38054760.0,0.18,0.18,-0.25,-0.36,76.83,97.81,84.89,85.68,85.35,85.6,85.15,85.5,0.0009,1315,1124178,56,85.49,0.1757,38,18,789330,334848,923,392,0.4,85.52,85.42,6.0,41.0,236.0,286.0,25.4,137.9,93.4,237,212.0,23162,38907.0,17795171,38054760.0,0.18,0.18,-0.25,-0.36,76.83,97.81,84.89,85.68,2020-07-06 12:00:00
MTLRP,20.9,131.8,89.0,237,211.0,23556,39110.0,18122837,38239469.0,0.03,0.03,-0.25,-0.36,76.93,97.77,84.92,85.67,85.55,85.55,85.3,85.3,0.001,347,296343,18,85.4,-0.2922,12,6,197325,99018,231,116,0.33,85.42,85.36,35.0,35.0,207.0,273.0,20.9,131.8,89.0,237,211.0,23556,39110.0,18122837,38239469.0,0.03,0.03,-0.25,-0.36,76.93,97.77,84.92,85.67,2020-07-06 12:05:00
MTLRP,17.4,127.8,83.0,237,213.0,23651,39384.0,18200267,38464350.0,0.13,0.13,-0.25,-0.36,76.95,97.66,84.9,85.61,85.45,85.45,85.25,85.4,0.0009,178,151924,13,85.35,-0.0585,5,8,56391,95533,66,112,-0.26,85.44,85.3,67.0,67.0,166.0,270.0,17.4,127.8,83.0,237,213.0,23651,39384.0,18200267,38464350.0,0.13,0.13,-0.25,-0.36,76.95,97.66,84.9,85.61,2020-07-06 12:10:00
MTLRP,23.5,129.8,78.0,239,215.0,23593,39659.0,18148515,38689541.0,-0.14,-0.14,-0.25,-0.36,76.92,97.55,84.86,85.52,85.4,85.4,85.4,85.4,0.0,3,2562,3,85.4,0.0,3,0,2562,0,3,0,1.0,85.4,,13.0,13.0,13.0,101.0,23.5,129.8,78.0,239,215.0,23593,39659.0,18148515,38689541.0,-0.14,-0.14,-0.25,-0.36,76.92,97.55,84.86,85.52,2020-07-06 12:15:00
MTLRP,21.5,130.1,83.6,239,215.0,23671,39539.0,18213936,38592094.0,-0.35,-0.35,-0.25,-0.36,76.94,97.61,84.87,85.58,85.4,85.55,85.4,85.55,0.0003,191,163142,9,85.41,0.1756,9,0,163142,0,191,0,1.0,85.41,,194.0,270.0,194.0,270.0,21.5,130.1,83.6,239,215.0,23671,39539.0,18213936,38592094.0,-0.35,-0.35,-0.25,-0.36,76.94,97.61,84.87,85.58,2020-07-06 12:20:00
