ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
MTSS,10.2,68.3,33.3,205,199.0,16209,7675.0,45166747,22841078.0,0.01,0.01,0.36,0.33,278.64,297.61,288.62,289.58,289.5,289.7,287.5,289.45,0.0014,1347,3893355,116,289.04,-0.0173,70,46,2191550,1701805,758,589,0.13,289.12,288.93,1.0,251.0,1.0,290.0,10.2,68.3,33.3,205,199.0,16209,7675.0,45166747,22841078.0,0.01,0.01,0.36,0.33,278.64,297.61,288.62,289.58,2022-01-17 07:05:00
MTSS,8.6,55.1,25.4,220,208.0,17044,8256.0,47540558,24553617.0,-0.12,-0.12,0.35,0.32,278.92,297.4,289.22,289.95,289.45,290.7,288.7,290.4,0.0004,1532,4442468,91,289.98,0.3282,67,24,3230788,1211680,1114,418,0.45,290.02,289.88,7.0,300.0,14.0,300.0,8.6,55.1,25.4,220,208.0,17044,8256.0,47540558,24553617.0,-0.12,-0.12,0.35,0.32,278.92,297.4,289.22,289.95,2022-01-17 07:10:00
MTSS,10.7,58.3,28.9,212,227.0,16637,8745.0,46246352,25971780.0,0.16,0.16,0.31,0.28,277.97,296.98,287.93,288.76,290.45,290.5,286.25,287.6,0.0006,6574,18930818,259,287.96,-0.9812,86,173,4643598,14287220,1614,4960,-0.51,287.71,288.05,3.0,34.0,136.0,281.0,10.7,58.3,28.9,212,227.0,16637,8745.0,46246352,25971780.0,0.16,0.16,0.31,0.28,277.97,296.98,287.93,288.76,2022-01-17 07:15:00
MTSS,7.7,46.7,25.8,219,237.0,17291,9171.0,47923717,27195794.0,-0.24,-0.24,0.31,0.28,277.15,296.54,287.44,288.18,287.6,288.75,286.9,287.95,0.0004,1581,4553271,113,288.0,0.1217,74,39,2879117,1674154,1000,581,0.27,287.91,288.15,4.0,136.0,64.0,297.0,7.7,46.7,25.8,219,237.0,17291,9171.0,47923717,27195794.0,-0.24,-0.24,0.31,0.28,277.15,296.54,287.44,288.18,2022-01-17 07:20:00
MTSS,8.3,44.6,24.0,236,226.0,17762,9473.0,49273356,28114300.0,-0.5,-0.5,0.3,0.27,277.4,296.77,288.6,289.29,288.25,289.7,288.25,288.95,0.0004,3788,10948372,199,289.03,0.2428,101,98,5496999,5451373,1903,1885,0.0,288.86,289.2,21.0,185.0,21.0,297.0,8.3,44.6,24.0,236,226.0,17762,9473.0,49273356,28114300.0,-0.5,-0.5,0.3,0.27,277.4,296.77,288.6,289.29,2022-01-17 07:25:00
MTSS,7.2,43.0,23.1,238,230.0,18376,11120.0,51001610,32929361.0,-0.7,-0.7,0.25,0.22,277.54,296.13,288.48,289.15,289.0,289.65,288.75,288.85,0.0004,629,1818447,41,289.1,-0.0519,20,21,480160,1338286,166,463,-0.47,289.25,289.05,6.0,33.0,104.0,294.0,7.2,43.0,23.1,238,230.0,18376,11120.0,51001610,32929361.0,-0.7,-0.7,0.25,0.22,277.54,296.13,288.48,289.15,2022-01-17 07:30:00
MTSS,6.7,42.0,21.5,245,227.0,18580,11206.0,51578834,33200342.0,-0.15,-0.15,0.25,0.22,277.6,296.27,289.03,289.65,288.85,289.95,288.8,289.55,0.0003,1207,3492033,76,289.32,0.2423,37,39,1535567,1956465,531,676,-0.12,289.18,289.42,3.0,207.0,29.0,272.0,6.7,42.0,21.5,245,227.0,18580,11206.0,51578834,33200342.0,-0.15,-0.15,0.25,0.22,277.6,296.27,289.03,289.65,2022-01-17 07:35:00
MTSS,6.7,41.5,20.8,245,232.0,18576,11687.0,51553547,34613407.0,-0.47,-0.47,0.23,0.2,277.52,296.16,288.76,289.36,289.45,289.45,288.8,288.95,0.0003,352,1017466,45,289.05,-0.1727,16,29,222564,794901,77,275,-0.56,289.04,289.06,19.0,19.0,134.0,271.0,6.7,41.5,20.8,245,232.0,18576,11687.0,51553547,34613407.0,-0.47,-0.47,0.23,0.2,277.52,296.16,288.76,289.36,2022-01-17 07:40:00
MTSS,8.8,41.0,19.7,253,225.0,18925,11612.0,52557629,34406586.0,-0.07,-0.07,0.24,0.21,277.71,296.29,289.25,289.82,289.0,289.85,289.0,289.6,0.0004,1159,3354251,51,289.41,0.2076,42,9,2311433,1042818,799,360,0.38,289.29,289.67,4.0,263.0,4.0,292.0,8.8,41.0,19.7,253,225.0,18925,11612.0,52557629,34406586.0,-0.07,-0.07,0.24,0.21,277.71,296.29,289.25,289.82,2022-01-17 07:45:00
MTSS,8.3,43.0,24.5,241,235.0,18798,11693.0,52173735,34623227.0,-0.24,-0.24,0.23,0.2,277.54,296.08,288.38,289.09,289.8,289.8,288.25,288.55,0.0003,1478,4267869,88,288.76,-0.4313,35,53,2213221,2054648,767,711,0.04,288.56,288.98,9.0,9.0,253.0,297.0,8.3,43.0,24.5,241,235.0,18798,11693.0,52173735,34623227.0,-0.24,-0.24,0.23,0.2,277.54,296.08,288.38,289.09,2022-01-17 07:50:00
MTSS,9.5,43.0,23.9,244,236.0,19049,11732.0,52884853,34729388.0,-0.04,-0.04,0.24,0.21,277.62,296.0,288.33,289.01,288.65,289.1,288.3,288.55,0.0006,491,1417924,49,288.78,-0.0346,19,30,346527,1071397,120,371,-0.51,288.77,288.79,12.0,12.0,219.0,281.0,9.5,43.0,23.9,244,236.0,19049,11732.0,52884853,34729388.0,-0.04,-0.04,0.24,0.21,277.62,296.0,288.33,289.01,2022-01-17 07:55:00
MTSS,6.5,38.8,22.3,249,238.0,19163,12001.0,53211521,35516871.0,0.0,0.0,0.23,0.2,277.68,295.95,288.35,288.99,288.3,288.85,288.3,288.8,0.0004,92,265587,22,288.68,0.1734,12,10,187658,77928,65,27,0.41,288.71,288.62,17.0,159.0,17.0,297.0,6.5,38.8,22.3,249,238.0,19163,12001.0,53211521,35516871.0,0.0,0.0,0.23,0.2,277.68,295.95,288.35,288.99,2022-01-17 08:00:00
MTSS,8.0,44.1,23.8,255,230.0,19301,12097.0,53613651,35832300.0,-0.49,-0.49,0.23,0.2,277.77,296.19,288.94,289.63,288.8,289.7,288.8,289.45,0.0003,1536,4442836,88,289.25,0.2251,40,48,1700648,2742188,588,948,-0.23,289.23,289.26,16.0,125.0,16.0,287.0,8.0,44.1,23.8,255,230.0,19301,12097.0,53613651,35832300.0,-0.49,-0.49,0.23,0.2,277.77,296.19,288.94,289.63,2022-01-17 08:05:00
MTSS,7.3,40.8,22.4,255,236.0,19350,12504.0,53741252,37024017.0,-0.47,-0.47,0.21,0.18,277.72,296.08,288.84,289.48,289.45,289.45,288.75,288.95,0.0003,608,1757169,54,289.01,-0.1727,23,31,1017279,739889,352,256,0.16,289.0,289.02,29.0,29.0,277.0,296.0,7.3,40.8,22.4,255,236.0,19350,12504.0,53741252,37024017.0,-0.47,-0.47,0.21,0.18,277.72,296.08,288.84,289.48,2022-01-17 08:10:00
MTSS,6.5,39.6,23.2,258,238.0,19470,12717.0,54070534,37645930.0,-0.27,-0.27,0.21,0.18,277.71,296.01,288.74,289.41,288.75,289.6,288.75,289.6,0.0003,122,352958,26,289.31,0.2944,18,8,234322,118635,81,41,0.33,289.29,289.35,54.0,290.0,54.0,291.0,6.5,39.6,23.2,258,238.0,19470,12717.0,54070534,37645930.0,-0.27,-0.27,0.21,0.18,277.71,296.01,288.74,289.41,2022-01-17 08:15:00
MTSS,6.7,40.9,20.7,261,233.0,19759,12657.0,54871647,37485557.0,-0.47,-0.47,0.22,0.19,277.7,296.15,289.09,289.69,289.6,289.6,289.2,289.25,0.0004,168,486182,26,289.39,-0.1209,7,19,83967,402215,29,139,-0.65,289.54,289.36,13.0,13.0,79.0,298.0,6.7,40.9,20.7,261,233.0,19759,12657.0,54871647,37485557.0,-0.47,-0.47,0.22,0.19,277.7,296.15,289.09,289.69,2022-01-17 08:20:00
MTSS,6.4,39.5,23.3,260,240.0,20601,13609.0,57197649,40313275.0,-0.21,-0.21,0.2,0.17,277.64,296.22,288.63,289.3,289.45,289.45,288.65,289.1,0.0004,176,508611,37,288.98,-0.1209,15,22,280322,228289,97,79,0.1,288.99,288.97,3.0,3.0,135.0,285.0,6.4,39.5,23.3,260,240.0,20601,13609.0,57197649,40313275.0,-0.21,-0.21,0.2,0.17,277.64,296.22,288.63,289.3,2022-01-17 08:25:00
