ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
NKNC,23.0,211.8,210.0,91.0,66.0,6520.0,6892.0,5457047.0,7737168.0,-0.03,-0.03,-0.03,-0.17,83.63,112.33,100.87,102.98,103.0,103.0,101.0,101.9,0.0019,2067,2106670,132,101.92,-1.068,68,64,932730,1173940,914,1153,-0.12,102.05,101.82,1.0,1.0,17.0,299.0,23.0,211.8,210.0,91.0,66.0,6520.0,6892.0,5457047.0,7737168.0,-0.03,-0.03,-0.03,-0.17,83.63,112.33,100.87,102.98,2020-07-06 10:05:00
NKNC,24.9,179.5,188.8,90.0,77.0,6441.0,9166.0,5312538.0,10106938.0,-0.13,-0.13,-0.17,-0.31,82.47,110.26,100.33,102.23,101.55,101.9,101.0,101.5,0.002,1094,1108758,67,101.35,-0.0492,27,40,198926,909832,196,898,-0.64,101.49,101.32,7.0,17.0,100.0,292.0,24.9,179.5,188.8,90.0,77.0,6441.0,9166.0,5312538.0,10106938.0,-0.13,-0.13,-0.17,-0.31,82.47,110.26,100.33,102.23,2020-07-06 10:10:00
NKNC,16.0,138.6,146.0,94.0,84.0,6497.0,10054.0,5371365.0,11015129.0,-0.02,-0.02,-0.21,-0.34,82.67,109.56,100.4,101.86,101.55,101.55,101.2,101.4,0.0012,335,339569,37,101.36,-0.1477,20,17,111551,228017,110,225,-0.34,101.41,101.34,35.0,35.0,35.0,300.0,16.0,138.6,146.0,94.0,84.0,6497.0,10054.0,5371365.0,11015129.0,-0.02,-0.02,-0.21,-0.34,82.67,109.56,100.4,101.86,2020-07-06 10:15:00
NKNC,9.5,115.4,107.6,95.0,87.0,6711.0,10303.0,5593820.0,11269837.0,-0.17,-0.17,-0.21,-0.34,83.32,109.37,100.69,101.77,101.4,101.5,101.3,101.3,0.0004,112,113572,19,101.4,-0.0986,18,1,111546,2026,110,2,0.96,101.41,101.3,30.0,212.0,250.0,250.0,9.5,115.4,107.6,95.0,87.0,6711.0,10303.0,5593820.0,11269837.0,-0.17,-0.17,-0.21,-0.34,83.32,109.37,100.69,101.77,2020-07-06 10:20:00
NKNC,8.5,118.6,80.8,96.0,84.0,7097.0,10458.0,5981847.0,11433153.0,0.26,0.26,-0.19,-0.31,84.27,109.33,101.06,101.87,101.45,101.75,101.4,101.55,0.0007,815,827237,41,101.5,0.0986,30,11,533981,293256,526,289,0.29,101.52,101.47,2.0,49.0,2.0,294.0,8.5,118.6,80.8,96.0,84.0,7097.0,10458.0,5981847.0,11433153.0,0.26,0.26,-0.19,-0.31,84.27,109.33,101.06,101.87,2020-07-06 10:25:00
NKNC,9.5,121.6,90.2,105.0,84.0,7910.0,11024.0,6790838.0,12027068.0,-0.3,-0.3,-0.17,-0.28,85.65,109.1,101.18,102.09,101.5,101.95,101.5,101.95,0.0007,429,436414,20,101.73,0.4433,15,5,269725,166689,265,164,0.24,101.78,101.64,10.0,259.0,10.0,259.0,9.5,121.6,90.2,105.0,84.0,7910.0,11024.0,6790838.0,12027068.0,-0.3,-0.3,-0.17,-0.28,85.65,109.1,101.18,102.09,2020-07-06 10:30:00
NKNC,9.9,122.9,89.1,112.0,78.0,9396.0,10872.0,8294405.0,11882309.0,0.32,0.32,-0.07,-0.18,88.27,109.29,101.73,102.63,101.95,102.45,101.95,102.35,0.0008,747,762650,42,102.1,0.3923,34,8,605140,157510,593,154,0.59,102.05,102.28,39.0,173.0,39.0,298.0,9.9,122.9,89.1,112.0,78.0,9396.0,10872.0,8294405.0,11882309.0,0.32,0.32,-0.07,-0.18,88.27,109.29,101.73,102.63,2020-07-06 10:35:00
NKNC,8.0,114.3,82.1,118.0,75.0,9440.0,10806.0,8339289.0,11816062.0,0.19,0.19,-0.07,-0.17,88.34,109.34,101.92,102.76,102.35,102.5,102.35,102.5,0.0005,313,320636,32,102.44,0.1466,19,13,172130,148506,168,145,0.07,102.46,102.42,12.0,234.0,12.0,300.0,8.0,114.3,82.1,118.0,75.0,9440.0,10806.0,8339289.0,11816062.0,0.19,0.19,-0.07,-0.17,88.34,109.34,101.92,102.76,2020-07-06 10:40:00
NKNC,11.6,112.5,72.2,119.0,77.0,9699.0,11005.0,8596949.0,12020760.0,-0.47,-0.47,-0.06,-0.17,88.63,109.22,102.0,102.74,102.4,102.45,102.15,102.3,0.0006,234,239440,25,102.32,-0.0977,8,17,83882,155558,82,152,-0.3,102.3,102.34,50.0,110.0,235.0,298.0,11.6,112.5,72.2,119.0,77.0,9699.0,11005.0,8596949.0,12020760.0,-0.47,-0.47,-0.06,-0.17,88.63,109.22,102.0,102.74,2020-07-06 10:45:00
NKNC,13.5,114.8,69.3,120.0,79.0,9884.0,11260.0,8778967.0,12283907.0,-0.09,-0.09,-0.07,-0.17,88.81,109.09,102.03,102.74,102.45,102.5,102.15,102.5,0.0011,137,140264,29,102.38,0.0488,17,12,98341,41922,96,41,0.4,102.44,102.25,9.0,9.0,14.0,270.0,13.5,114.8,69.3,120.0,79.0,9884.0,11260.0,8778967.0,12283907.0,-0.09,-0.09,-0.07,-0.17,88.81,109.09,102.03,102.74,2020-07-06 10:50:00
NKNC,4.9,105.2,58.1,122.0,79.0,10168.0,11652.0,9065117.0,12690463.0,-0.47,-0.47,-0.07,-0.17,89.14,108.91,102.07,102.67,102.5,102.5,102.45,102.5,0.0002,366,375103,20,102.49,0.0,16,4,278800,96303,272,94,0.49,102.5,102.45,16.0,16.0,185.0,294.0,4.9,105.2,58.1,122.0,79.0,10168.0,11652.0,9065117.0,12690463.0,-0.47,-0.47,-0.07,-0.17,89.14,108.91,102.07,102.67,2020-07-06 10:55:00
