ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
NVTK,7.5,45.5,13.1,258,199.0,100051,73944.0,102383806,79906210.0,-0.11,-0.11,0.16,0.13,1023.3,1080.4,1058.7,1060.1,1052.2,1063.0,1052.2,1057.0,0.0005,47558,50378355,641,1059.3,0.4562,384,257,23972424,26405931,22626,24932,-0.05,1059.5,1059.1,1.0,57.0,1.0,294.0,7.5,45.5,13.1,258,199.0,100051,73944.0,102383806,79906210.0,-0.11,-0.11,0.16,0.13,1023.3,1080.4,1058.7,1060.1,2020-07-06 10:05:00
NVTK,5.2,40.2,9.6,266,207.0,109405,96569.0,112242882,104643248.0,0.02,0.02,0.06,0.03,1025.9,1083.6,1058.6,1059.6,1057.0,1060.6,1057.0,1060.0,0.0003,37715,39935811,331,1058.9,0.2838,230,101,32887921,7047889,31060,6655,0.65,1058.9,1059.0,3.0,140.0,3.0,299.0,5.2,40.2,9.6,266,207.0,109405,96569.0,112242882,104643248.0,0.02,0.02,0.06,0.03,1025.9,1083.6,1058.6,1059.6,2020-07-06 10:10:00
NVTK,5.6,40.7,10.1,276,206.0,115119,94091.0,117991789,102103216.0,0.02,0.02,0.1,0.07,1024.9,1085.2,1061.0,1062.1,1060.0,1063.8,1060.0,1063.0,0.0003,25865,27459348,339,1061.6,0.283,241,98,19893190,7566158,18736,7129,0.45,1061.8,1061.3,1.0,268.0,1.0,298.0,5.6,40.7,10.1,276,206.0,115119,94091.0,117991789,102103216.0,0.02,0.02,0.1,0.07,1024.9,1085.2,1061.0,1062.1,2020-07-06 10:15:00
NVTK,3.5,39.6,9.4,281,195.0,112083,160076.0,114825691,172743015.0,-0.02,-0.02,-0.17,-0.19,1024.5,1079.4,1063.1,1064.1,1063.8,1065.4,1062.6,1063.8,0.0002,28516,30338864,336,1063.9,0.0,195,141,17187073,13151791,16151,12365,0.13,1064.1,1063.6,1.0,15.0,91.0,299.0,3.5,39.6,9.4,281,195.0,112083,160076.0,114825691,172743015.0,-0.02,-0.02,-0.17,-0.19,1024.5,1079.4,1063.1,1064.1,2020-07-06 10:20:00
NVTK,3.8,37.8,8.3,286,198.0,112231,178815.0,115046964,192810619.0,0.17,0.17,-0.23,-0.25,1025.1,1078.3,1063.5,1064.4,1063.6,1064.6,1063.6,1063.8,0.0002,16778,17848928,189,1063.8,0.0188,70,119,10886751,6962177,10233,6545,0.22,1063.9,1063.7,1.0,7.0,1.0,300.0,3.8,37.8,8.3,286,198.0,112231,178815.0,115046964,192810619.0,0.17,0.17,-0.23,-0.25,1025.1,1078.3,1063.5,1064.4,2020-07-06 10:25:00
NVTK,4.1,38.5,7.4,292,200.0,117459,202516.0,120603721,218675906.0,-0.37,-0.37,-0.26,-0.29,1026.8,1079.7,1064.0,1064.7,1064.4,1065.0,1063.6,1064.8,0.0003,17172,18276814,211,1064.3,0.0376,139,72,12204914,6071899,11466,5706,0.34,1064.4,1064.1,1.0,183.0,233.0,301.0,4.1,38.5,7.4,292,200.0,117459,202516.0,120603721,218675906.0,-0.37,-0.37,-0.26,-0.29,1026.8,1079.7,1064.0,1064.7,2020-07-06 10:30:00
NVTK,5.0,39.6,8.2,301,198.0,120607,198791.0,123980023,215189273.0,-0.09,-0.09,-0.24,-0.27,1028.0,1082.6,1065.0,1065.9,1064.2,1066.8,1063.6,1066.4,0.0002,51629,55009960,371,1065.5,0.2067,264,107,46047301,8962659,43215,8414,0.67,1065.5,1065.2,2.0,150.0,9.0,295.0,5.0,39.6,8.2,301,198.0,120607,198791.0,123980023,215189273.0,-0.09,-0.09,-0.24,-0.27,1028.0,1082.6,1065.0,1065.9,2020-07-06 10:35:00
NVTK,3.9,38.0,7.7,308,194.0,123109,186987.0,126668606,202826261.0,-0.26,-0.26,-0.21,-0.23,1028.9,1084.7,1066.8,1067.6,1066.0,1067.8,1066.0,1067.8,0.0002,25663,27387312,200,1067.2,0.1689,135,65,21252515,6134796,19915,5748,0.55,1067.2,1067.3,2.0,63.0,2.0,300.0,3.9,38.0,7.7,308,194.0,123109,186987.0,126668606,202826261.0,-0.26,-0.26,-0.21,-0.23,1028.9,1084.7,1066.8,1067.6,2020-07-06 10:40:00
NVTK,4.6,39.2,9.2,299,205.0,119260,198082.0,122523382,214711642.0,0.04,0.04,-0.25,-0.27,1027.3,1084.0,1065.1,1066.0,1067.8,1067.8,1063.6,1065.2,0.0002,23882,25437283,288,1065.1,-0.2435,90,198,7843691,17593591,7364,16518,-0.38,1065.1,1065.1,6.0,6.0,87.0,297.0,4.6,39.2,9.2,299,205.0,119260,198082.0,122523382,214711642.0,0.04,0.04,-0.25,-0.27,1027.3,1084.0,1065.1,1066.0,2020-07-06 10:45:00
NVTK,5.8,40.4,9.8,295,209.0,118358,202987.0,121552978,219958486.0,-0.03,-0.03,-0.26,-0.29,1027.0,1083.6,1063.9,1065.0,1065.4,1065.6,1062.4,1063.0,0.0003,26585,28290166,258,1064.1,-0.2253,72,186,5877185,22412981,5520,21065,-0.58,1064.7,1064.0,9.0,62.0,286.0,299.0,5.8,40.4,9.8,295,209.0,118358,202987.0,121552978,219958486.0,-0.03,-0.03,-0.26,-0.29,1027.0,1083.6,1063.9,1065.0,2020-07-06 10:50:00
