ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
PHOR,10.1,84.2,21.6,186,164,18650,8977,45990142,24057651,0.24,0.24,0.35,0.32,2466.0,2681,2607.0,2612,2602,2615,2601,2612,0.0006,1768,4613409,181,2609.0,0.3843,140,41,3111074,1502335,1192,576,0.35,2610.0,2608.0,1.0,58.0,5.0,295.0,10.1,84.2,21.6,186,164,18650,8977,45990142,24057651,0.24,0.24,0.35,0.32,2466.0,2681,2607.0,2612,2020-07-06 10:05:00
PHOR,7.7,78.4,17.6,191,172,19687,10951,48711134,29423137,-0.14,-0.14,0.29,0.25,2474.0,2685,2609.0,2613,2614,2615,2607,2610,0.0004,2201,5746456,168,2611.0,-0.153,86,82,2569921,3176535,984,1217,-0.11,2612.0,2610.0,3.0,3.0,28.0,293.0,7.7,78.4,17.6,191,172,19687,10951,48711134,29423137,-0.14,-0.14,0.29,0.25,2474.0,2685,2609.0,2613,2020-07-06 10:10:00
PHOR,8.4,79.4,19.9,190,181,19800,12905,48960402,34884799,-0.26,-0.26,0.21,0.17,2473.0,2703,2602.0,2607,2610,2614,2597,2602,0.0005,3323,8648821,195,2603.0,-0.3065,90,105,3179498,5469323,1221,2102,-0.27,2604.0,2602.0,1.0,48.0,206.0,298.0,8.4,79.4,19.9,190,181,19800,12905,48960402,34884799,-0.26,-0.26,0.21,0.17,2473.0,2703,2602.0,2607,2020-07-06 10:15:00
PHOR,9.2,78.6,20.7,193,181,22084,13192,54749694,35645882,-0.2,-0.2,0.25,0.21,2479.0,2702,2603.0,2608,2602,2608,2602,2606,0.0004,570,1485280,72,2606.0,0.1537,60,12,1383644,101636,531,39,0.86,2606.0,2606.0,2.0,207.0,2.0,301.0,9.2,78.6,20.7,193,181,22084,13192,54749694,35645882,-0.2,-0.2,0.25,0.21,2479.0,2702,2603.0,2608,2020-07-06 10:20:00
PHOR,6.4,78.4,18.5,197,185,22207,14209,54968580,38313143,-0.44,-0.44,0.22,0.18,2475.0,2696,2601.0,2606,2608,2609,2597,2598,0.0003,699,1818667,99,2602.0,-0.3834,31,68,793665,1025002,305,394,-0.13,2602.0,2602.0,5.0,25.0,284.0,300.0,6.4,78.4,18.5,197,185,22207,14209,54968580,38313143,-0.44,-0.44,0.22,0.18,2475.0,2696,2601.0,2606,2020-07-06 10:25:00
PHOR,8.6,79.4,17.1,196,191,22796,14090,56445584,37974555,-0.04,-0.04,0.24,0.2,2476.0,2695,2595.0,2600,2595,2605,2592,2603,0.0003,2851,7413893,182,2600.0,0.3083,158,24,6625033,788860,2547,304,0.79,2601.0,2595.0,4.0,284.0,4.0,297.0,8.6,79.4,17.1,196,191,22796,14090,56445584,37974555,-0.04,-0.04,0.24,0.2,2476.0,2695,2595.0,2600,2020-07-06 10:30:00
PHOR,7.8,78.2,19.1,203,184,23463,13845,58201685,37386881,-0.13,-0.13,0.26,0.22,2480.0,2700,2602.0,2607,2603,2610,2600,2607,0.0003,3068,7992375,122,2605.0,0.1537,100,22,6631230,1361145,2545,523,0.66,2606.0,2603.0,3.0,268.0,57.0,301.0,7.8,78.2,19.1,203,184,23463,13845,58201685,37386881,-0.13,-0.13,0.26,0.22,2480.0,2700,2602.0,2607,2020-07-06 10:35:00
PHOR,8.6,77.9,16.1,205,183,23994,14546,59573550,39270743,-0.15,-0.15,0.25,0.21,2483.0,2700,2605.0,2609,2608,2609,2606,2608,0.0004,498,1298554,55,2608.0,0.0,46,9,1011845,286709,388,110,0.56,2608.0,2606.0,6.0,12.0,32.0,301.0,8.6,77.9,16.1,205,183,23994,14546,59573550,39270743,-0.15,-0.15,0.25,0.21,2483.0,2700,2605.0,2609,2020-07-06 10:40:00
PHOR,8.8,78.7,16.6,202,189,23715,14915,58811816,40208695,0.4,0.4,0.23,0.19,2480.0,2696,2599.0,2604,2606,2606,2594,2602,0.0003,2893,7520312,337,2599.0,-0.1535,64,273,2345411,5174901,902,1991,-0.38,2600.0,2599.0,3.0,3.0,33.0,299.0,8.8,78.7,16.6,202,189,23715,14915,58811816,40208695,0.4,0.4,0.23,0.19,2480.0,2696,2599.0,2604,2020-07-06 10:45:00
PHOR,6.8,77.6,13.4,206,185,24851,15012,61789380,40487097,0.52,0.52,0.25,0.21,2486.0,2697,2604.0,2608,2602,2608,2602,2608,0.0003,771,2009676,65,2607.0,0.2306,52,13,1047906,961770,402,369,0.04,2607.0,2606.0,12.0,166.0,12.0,300.0,6.8,77.6,13.4,206,185,24851,15012,61789380,40487097,0.52,0.52,0.25,0.21,2486.0,2697,2604.0,2608,2020-07-06 10:50:00
PHOR,4.3,77.1,8.6,209,185,25396,14876,63217386,40141051,0.85,0.85,0.26,0.22,2489.0,2698,2607.0,2609,2607,2610,2607,2610,0.0002,645,1682299,42,2608.0,0.1151,31,11,1343374,338925,515,130,0.6,2608.0,2607.0,5.0,276.0,5.0,276.0,4.3,77.1,8.6,209,185,25396,14876,63217386,40141051,0.85,0.85,0.26,0.22,2489.0,2698,2607.0,2609,2020-07-06 10:55:00
PHOR,6.5,77.4,15.4,213,181,25555,14506,63652040,39211967,0.04,0.04,0.28,0.24,2491.0,2703,2611.0,2615,2610,2618,2608,2615,0.0003,924,2414958,121,2614.0,0.1916,107,14,2158929,256029,826,98,0.79,2614.0,2613.0,1.0,247.0,2.0,293.0,6.5,77.4,15.4,213,181,25555,14506,63652040,39211967,0.04,0.04,0.28,0.24,2491.0,2703,2611.0,2615,2020-07-06 11:00:00
PHOR,6.6,77.6,16.9,221,175,26687,14177,66644778,38403892,0.12,0.11,0.31,0.27,2497.0,2709,2618.0,2622,2617,2623,2616,2623,0.0002,2498,6544876,205,2620.0,0.2293,166,39,4027461,2517415,1537,961,0.23,2620.0,2620.0,1.0,177.0,21.0,298.0,6.6,77.6,16.9,221,175,26687,14177,66644778,38403892,0.12,0.11,0.31,0.27,2497.0,2709,2618.0,2622,2020-07-06 11:05:00
PHOR,9.0,77.9,16.6,225,172,27819,14041,69609829,38076001,0.38,0.38,0.33,0.29,2502.0,2712,2621.0,2626,2623,2628,2619,2626,0.0004,1422,3729754,151,2623.0,0.1144,121,30,2783323,946431,1061,361,0.49,2623.0,2622.0,3.0,288.0,18.0,296.0,9.0,77.9,16.6,225,172,27819,14041,69609829,38076001,0.38,0.38,0.33,0.29,2502.0,2712,2621.0,2626,2020-07-06 11:10:00
PHOR,6.7,75.6,16.7,228,172,27643,14731,69162116,39927398,-0.4,-0.4,0.3,0.27,2502.0,2710,2623.0,2627,2627,2628,2623,2626,0.0004,1095,2874760,75,2625.0,-0.0381,48,27,1832724,1042036,698,397,0.27,2626.0,2625.0,6.0,33.0,133.0,300.0,6.7,75.6,16.7,228,172,27643,14731,69162116,39927398,-0.4,-0.4,0.3,0.27,2502.0,2710,2623.0,2627,2020-07-06 11:15:00
PHOR,6.9,75.7,14.7,227,174,27580,15135,68990595,41002544,-0.19,-0.19,0.29,0.25,2501.0,2709,2622.0,2626,2626,2627,2623,2624,0.0004,807,2118578,75,2625.0,-0.0762,55,20,1349582,768996,514,293,0.27,2626.0,2625.0,5.0,27.0,232.0,297.0,6.9,75.7,14.7,227,174,27580,15135,68990595,41002544,-0.19,-0.19,0.29,0.25,2501.0,2709,2622.0,2626,2020-07-06 11:20:00
PHOR,10.4,79.5,17.5,231,174,27515,14783,68731403,40082828,0.15,0.15,0.3,0.26,2498.0,2711,2621.0,2625,2624,2629,2619,2628,0.0005,1604,4208064,108,2623.0,0.1524,75,33,2595735,1612329,989,615,0.23,2625.0,2622.0,1.0,290.0,47.0,295.0,10.4,79.5,17.5,231,174,27515,14783,68731403,40082828,0.15,0.15,0.3,0.26,2498.0,2711,2621.0,2625,2020-07-06 11:25:00
