ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
PIKK,29.9,120.7,82.8,85.0,57.0,2655.0,2005.0,10971265.0,8741351.0,0.05,0.05,0.08,0.04,408.1,436.8,422.4,425.9,427.6,427.6,422.7,423.1,0.0018,4474,18929439,80,423.1,-1.0524,43,37,319086,18610353,75,4399,-0.97,425.4,423.1,2.0,2.0,100.0,293.0,29.9,120.7,82.8,85.0,57.0,2655.0,2005.0,10971265.0,8741351.0,0.05,0.05,0.08,0.04,408.1,436.8,422.4,425.9,2020-07-06 10:05:00
PIKK,22.5,106.0,64.5,91.0,61.0,1782.0,1651.0,7198437.0,7178361.0,-0.13,-0.13,0.04,0.0,404.2,434.6,422.5,425.2,424.5,425.0,422.8,422.8,0.0012,101,428570,28,424.3,-0.4005,12,16,331205,97365,78,23,0.54,424.6,423.3,4.0,4.0,280.0,280.0,22.5,106.0,64.5,91.0,61.0,1782.0,1651.0,7198437.0,7178361.0,-0.13,-0.13,0.04,0.0,404.2,434.6,422.5,425.2,2020-07-06 10:10:00
PIKK,18.4,88.5,61.2,93.0,68.0,2012.0,1731.0,8057578.0,7519181.0,-0.16,-0.17,0.07,0.03,400.4,434.2,422.4,425.0,423.0,423.9,422.6,423.4,0.0011,36,152347,27,423.2,0.0946,8,19,55080,97267,13,23,-0.28,423.7,422.9,10.0,47.0,281.0,281.0,18.4,88.5,61.2,93.0,68.0,2012.0,1731.0,8057578.0,7519181.0,-0.16,-0.17,0.07,0.03,400.4,434.2,422.4,425.0,2020-07-06 10:15:00
PIKK,19.6,86.0,63.5,96.0,67.0,2022.0,1717.0,8094128.0,7457361.0,0.18,0.18,0.08,0.04,400.2,434.3,422.4,425.1,422.7,424.0,422.7,422.9,0.0009,59,249827,27,423.4,0.0473,13,14,152533,97294,36,23,0.22,423.7,423.0,11.0,50.0,11.0,281.0,19.6,86.0,63.5,96.0,67.0,2022.0,1717.0,8094128.0,7457361.0,0.18,0.18,0.08,0.04,400.2,434.3,422.4,425.1,2020-07-06 10:20:00
PIKK,12.6,72.1,58.0,99.0,71.0,2146.0,1830.0,8549623.0,8001324.0,-0.15,-0.15,0.08,0.03,398.3,437.0,422.4,424.8,422.8,423.9,422.8,423.3,0.0011,34,143922,20,423.3,0.1183,8,12,72018,71904,17,17,0.0,423.6,423.0,11.0,92.0,11.0,282.0,12.6,72.1,58.0,99.0,71.0,2146.0,1830.0,8549623.0,8001324.0,-0.15,-0.15,0.08,0.03,398.3,437.0,422.4,424.8,2020-07-06 10:25:00
PIKK,13.9,72.6,51.0,102.0,69.0,2543.0,1878.0,10206591.0,8234842.0,0.1,0.1,0.15,0.1,401.1,438.5,422.8,425.0,423.1,424.0,423.1,423.2,0.0008,51,215980,31,423.5,0.0236,14,17,80528,135452,19,32,-0.25,423.8,423.3,11.0,132.0,11.0,281.0,13.9,72.6,51.0,102.0,69.0,2543.0,1878.0,10206591.0,8234842.0,0.1,0.1,0.15,0.1,401.1,438.5,422.8,425.0,2020-07-06 10:30:00
PIKK,14.9,77.9,48.0,105.0,66.0,2752.0,1862.0,11094979.0,8168056.0,0.17,0.17,0.19,0.15,403.0,438.6,423.1,425.1,423.2,424.6,423.2,424.5,0.0012,64,271390,21,424.0,0.3072,8,13,72159,199231,17,47,-0.47,424.5,423.9,11.0,246.0,11.0,300.0,14.9,77.9,48.0,105.0,66.0,2752.0,1862.0,11094979.0,8168056.0,0.17,0.17,0.19,0.15,403.0,438.6,423.1,425.1,2020-07-06 10:35:00
PIKK,15.6,78.9,49.5,106.0,67.0,2647.0,1835.0,10652099.0,8052125.0,0.0,0.0,0.18,0.14,402.2,438.8,423.2,425.3,424.0,424.7,423.6,424.0,0.001,36,152728,20,424.2,0.0,6,14,72172,80556,17,19,-0.06,424.5,424.0,12.0,25.0,192.0,282.0,15.6,78.9,49.5,106.0,67.0,2647.0,1835.0,10652099.0,8052125.0,0.0,0.0,0.18,0.14,402.2,438.8,423.2,425.3,2020-07-06 10:40:00
PIKK,15.9,79.7,56.5,102.0,71.0,2259.0,1886.0,8999895.0,8270877.0,0.12,0.12,0.09,0.04,398.2,438.4,422.5,424.9,424.0,424.0,422.8,423.0,0.001,50,211648,35,423.3,-0.2358,13,22,88950,122698,21,29,-0.16,423.6,423.1,2.0,2.0,81.0,282.0,15.9,79.7,56.5,102.0,71.0,2259.0,1886.0,8999895.0,8270877.0,0.12,0.12,0.09,0.04,398.2,438.4,422.5,424.9,2020-07-06 10:45:00
PIKK,14.9,78.0,54.8,101.0,72.0,2184.0,1897.0,8678511.0,8317047.0,0.19,0.19,0.07,0.02,397.3,438.3,422.4,424.7,423.0,423.6,422.6,422.9,0.0009,67,283536,24,423.2,-0.0236,9,15,169401,114135,40,27,0.19,423.5,422.7,10.0,263.0,107.0,282.0,14.9,78.0,54.8,101.0,72.0,2184.0,1897.0,8678511.0,8317047.0,0.19,0.19,0.07,0.02,397.3,438.3,422.4,424.7,2020-07-06 10:50:00
