ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
PMSB,27.2,535.5,,100.0,62.0,858.0,2863.0,920329.0,3940232.0,0.0,0.0,-0.54,-0.62,107.2,137.6,,134.5,131.3,131.3,131.3,131.3,,1,1313,1,131.3,0.0,1,0,1313,0,1,0,1.0,131.3,,289.0,289.0,289.0,289.0,27.2,535.5,,100.0,62.0,858.0,2863.0,920329.0,3940232.0,0.0,0.0,-0.54,-0.62,107.2,137.6,,134.5,2020-07-06 10:15:00
PMSB,14.0,474.8,,105.0,64.0,885.0,2894.0,950526.0,3982288.0,-0.48,-0.48,-0.53,-0.61,107.3,137.6,,134.5,131.4,131.5,131.4,131.5,,11,14464,2,131.5,0.0761,2,0,14464,0,11,0,1.0,131.5,,58.0,133.0,58.0,133.0,14.0,474.8,,105.0,64.0,885.0,2894.0,950526.0,3982288.0,-0.48,-0.48,-0.53,-0.61,107.3,137.6,,134.5,2020-07-06 10:20:00
PMSB,15.2,475.6,2341.7,107.0,64.0,920.0,2889.0,991919.0,3975162.0,-0.73,-0.73,-0.52,-0.6,107.7,137.6,109.0,134.5,131.3,131.5,131.3,131.5,0.0011,5,6569,3,131.4,0.1523,2,1,2630,3939,2,3,-0.2,131.5,131.3,29.0,35.0,29.0,253.0,15.2,475.6,2341.7,107.0,64.0,920.0,2889.0,991919.0,3975162.0,-0.73,-0.73,-0.52,-0.6,107.7,137.6,109.0,134.5,2020-07-06 10:25:00
PMSB,14.0,412.6,838.7,114.0,69.0,1352.0,2926.0,1521043.0,4024740.0,-0.77,-0.77,-0.37,-0.45,112.5,137.6,124.0,134.4,131.4,131.5,131.4,131.5,0.0004,12,15777,5,131.5,0.0761,3,2,11835,3942,9,3,0.5,131.5,131.4,20.0,81.0,20.0,177.0,14.0,412.6,838.7,114.0,69.0,1352.0,2926.0,1521043.0,4024740.0,-0.77,-0.77,-0.37,-0.45,112.5,137.6,124.0,134.4,2020-07-06 10:45:00
PMSB,15.2,409.6,808.2,116.0,70.0,1355.0,2990.0,1525006.0,4108877.0,-0.92,-0.92,-0.38,-0.46,112.5,137.4,124.1,134.1,131.3,131.3,131.3,131.3,,2,2626,2,131.3,0.0,0,2,0,2626,0,2,-1.0,,131.3,44.0,44.0,44.0,286.0,15.2,409.6,808.2,116.0,70.0,1355.0,2990.0,1525006.0,4108877.0,-0.92,-0.92,-0.38,-0.46,112.5,137.4,124.1,134.1,2020-07-06 10:50:00
PMSB,13.5,406.4,802.5,118.0,70.0,1358.0,2988.0,1528753.0,4106992.0,-0.92,-0.92,-0.37,-0.46,112.5,137.4,124.1,134.1,131.3,131.5,131.3,131.5,0.0008,11,14451,5,131.4,0.1523,2,3,5260,9191,4,7,-0.27,131.5,131.3,124.0,184.0,124.0,240.0,13.5,406.4,802.5,118.0,70.0,1358.0,2988.0,1528753.0,4106992.0,-0.92,-0.92,-0.37,-0.46,112.5,137.4,124.1,134.1,2020-07-06 10:55:00
PMSB,12.2,412.8,814.2,116.0,70.0,1352.0,2990.0,1521353.0,4109061.0,-0.97,-0.97,-0.38,-0.46,112.5,137.4,124.0,134.1,131.5,131.5,131.3,131.3,0.0,3,3942,3,131.4,-0.1521,1,2,1315,2627,1,2,-0.33,131.5,131.4,110.0,110.0,124.0,124.0,12.2,412.8,814.2,116.0,70.0,1352.0,2990.0,1521353.0,4109061.0,-0.97,-0.97,-0.38,-0.46,112.5,137.4,124.0,134.1,2020-07-06 11:00:00
PMSB,15.2,425.7,813.9,116.0,70.0,1352.0,2996.0,1520289.0,4118004.0,-0.97,-0.97,-0.38,-0.46,112.4,137.4,124.0,134.0,131.5,131.5,131.5,131.5,,1,1315,1,131.5,0.0,1,0,1315,0,1,0,1.0,131.5,,92.0,92.0,92.0,92.0,15.2,425.7,813.9,116.0,70.0,1352.0,2996.0,1520289.0,4118004.0,-0.97,-0.97,-0.38,-0.46,112.4,137.4,124.0,134.0,2020-07-06 11:05:00
PMSB,45.1,424.2,766.9,115.0,70.0,1350.0,3131.0,1518707.0,4294414.0,-0.83,-0.83,-0.4,-0.48,112.4,137.2,123.9,133.4,131.3,131.3,130.3,130.3,0.0022,4,5239,3,131.0,-0.7616,0,3,0,5239,0,4,-1.0,,131.0,45.0,45.0,275.0,275.0,45.1,424.2,766.9,115.0,70.0,1350.0,3131.0,1518707.0,4294414.0,-0.83,-0.83,-0.4,-0.48,112.4,137.2,123.9,133.4,2020-07-06 11:10:00
PMSB,59.3,329.2,732.8,116.0,70.0,1364.0,3131.0,1536976.0,4295346.0,0.6,0.6,-0.39,-0.47,112.6,137.2,124.3,133.4,130.3,131.4,130.3,131.0,0.0081,5,6547,3,130.9,0.5372,2,1,5244,1303,4,1,0.6,131.1,130.3,76.0,189.0,76.0,204.0,59.3,329.2,732.8,116.0,70.0,1364.0,3131.0,1536976.0,4295346.0,0.6,0.6,-0.39,-0.47,112.6,137.2,124.3,133.4,2020-07-06 11:15:00
PMSB,19.8,276.2,624.9,119.0,70.0,1417.0,3130.0,1605680.0,4293526.0,0.83,0.83,-0.38,-0.46,113.3,137.1,125.6,133.4,131.3,131.3,131.3,131.3,,2,2626,1,131.3,0.0,1,0,2626,0,2,0,1.0,131.3,,245.0,245.0,245.0,245.0,19.8,276.2,624.9,119.0,70.0,1417.0,3130.0,1605680.0,4293526.0,0.83,0.83,-0.38,-0.46,113.3,137.1,125.6,133.4,2020-07-06 11:30:00
PMSB,9.1,338.0,601.3,120.0,69.0,1431.0,3127.0,1623241.0,4289586.0,0.02,0.02,-0.37,-0.45,113.4,137.2,125.9,133.4,131.4,131.4,131.4,131.4,,3,3942,2,131.4,0.0,2,0,3942,0,3,0,1.0,131.4,,142.0,142.0,142.0,177.0,9.1,338.0,601.3,120.0,69.0,1431.0,3127.0,1623241.0,4289586.0,0.02,0.02,-0.37,-0.45,113.4,137.2,125.9,133.4,2020-07-06 11:35:00
