ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
PMSBP,53.0,770.2,,83.0,47.0,593.0,763.0,638706.0,1088732.0,-0.64,-0.64,-0.12,-0.26,107.6,142.5,,140.4,131.4,131.4,131.4,131.4,,10,13140,1,131.4,0.0,1,0,13140,0,10,0,1.0,131.4,,216.0,216.0,216.0,216.0,53.0,770.2,,83.0,47.0,593.0,763.0,638706.0,1088732.0,-0.64,-0.64,-0.12,-0.26,107.6,142.5,,140.4,2020-07-06 10:05:00
PMSBP,32.6,621.6,,88.0,54.0,628.0,825.0,682104.0,1176456.0,-0.14,-0.14,-0.14,-0.27,108.6,142.6,,139.6,131.0,131.6,131.0,131.6,0.0026,10,13154,4,131.5,0.458,3,1,11844,1310,9,1,0.8,131.6,131.0,96.0,178.0,96.0,230.0,32.6,621.6,,88.0,54.0,628.0,825.0,682104.0,1176456.0,-0.14,-0.14,-0.14,-0.27,108.6,142.6,,139.6,2020-07-06 10:10:00
PMSBP,17.8,512.8,,88.0,57.0,615.0,926.0,666761.0,1311977.0,-0.68,-0.68,-0.2,-0.33,108.4,141.6,,137.2,131.6,131.6,131.0,131.0,0.0015,7,9202,4,131.5,-0.4559,1,3,5264,3938,4,3,0.14,131.6,131.3,158.0,158.0,283.0,283.0,17.8,512.8,,88.0,57.0,615.0,926.0,666761.0,1311977.0,-0.68,-0.68,-0.2,-0.33,108.4,141.6,,137.2,2020-07-06 10:15:00
PMSBP,36.1,455.2,,89.0,59.0,664.0,1048.0,730503.0,1474891.0,-0.52,-0.52,-0.22,-0.34,109.9,140.7,,135.6,131.6,131.6,131.6,131.6,,1,1316,1,131.6,0.0,1,0,1316,0,1,0,1.0,131.6,,276.0,276.0,276.0,276.0,36.1,455.2,,89.0,59.0,664.0,1048.0,730503.0,1474891.0,-0.52,-0.52,-0.22,-0.34,109.9,140.7,,135.6,2020-07-06 10:20:00
PMSBP,15.2,387.6,,91.0,59.0,673.0,1087.0,742401.0,1527101.0,-0.22,-0.22,-0.23,-0.35,110.2,140.4,,135.2,131.4,131.6,131.4,131.6,0.0011,7,9202,3,131.5,0.1522,2,1,2632,6570,2,5,-0.43,131.6,131.4,238.0,269.0,238.0,286.0,15.2,387.6,,91.0,59.0,673.0,1087.0,742401.0,1527101.0,-0.22,-0.22,-0.23,-0.35,110.2,140.4,,135.2,2020-07-06 10:25:00
PMSBP,15.2,361.9,,93.0,61.0,844.0,1149.0,937129.0,1609911.0,-0.79,-0.79,-0.15,-0.26,110.9,140.0,,134.7,131.4,131.4,131.4,131.4,,6,7884,2,131.4,0.0,1,1,2628,5256,2,4,-0.33,131.4,131.4,49.0,49.0,49.0,256.0,15.2,361.9,,93.0,61.0,844.0,1149.0,937129.0,1609911.0,-0.79,-0.79,-0.15,-0.26,110.9,140.0,,134.7,2020-07-06 10:35:00
PMSBP,20.9,345.9,2082.3,94.0,62.0,873.0,1153.0,971869.0,1614006.0,-0.53,-0.53,-0.14,-0.25,111.2,140.0,111.5,134.7,131.2,131.2,131.2,131.2,,1,1312,1,131.2,0.0,0,1,0,1312,0,1,-1.0,,131.2,104.0,104.0,104.0,104.0,20.9,345.9,2082.3,94.0,62.0,873.0,1153.0,971869.0,1614006.0,-0.53,-0.53,-0.14,-0.25,111.2,140.0,111.5,134.7,2020-07-06 10:40:00
PMSBP,15.2,340.0,2060.2,97.0,62.0,903.0,1152.0,1006811.0,1613393.0,-0.58,-0.58,-0.12,-0.23,111.4,140.0,111.7,134.7,131.2,131.4,131.2,131.4,0.0011,4,5254,3,131.4,0.1524,2,1,3942,1312,3,1,0.5,131.4,131.2,152.0,175.0,152.0,273.0,15.2,340.0,2060.2,97.0,62.0,903.0,1152.0,1006811.0,1613393.0,-0.58,-0.58,-0.12,-0.23,111.4,140.0,111.7,134.7,2020-07-06 10:45:00
PMSBP,15.2,340.0,1996.8,97.0,62.0,912.0,1153.0,1017330.0,1614649.0,-0.44,-0.44,-0.12,-0.23,111.5,140.0,112.3,134.7,131.4,131.4,131.4,131.4,0.0,4,5256,3,131.4,0.0,3,0,5256,0,4,0,1.0,131.4,,121.0,121.0,121.0,235.0,15.2,340.0,1996.8,97.0,62.0,912.0,1153.0,1017330.0,1614649.0,-0.44,-0.44,-0.12,-0.23,111.5,140.0,112.3,134.7,2020-07-06 10:50:00
PMSBP,15.2,340.0,2002.0,97.0,62.0,911.0,1151.0,1016809.0,1611408.0,-0.27,-0.27,-0.12,-0.23,111.5,140.0,112.3,134.7,131.2,131.2,131.2,131.2,,1,1312,1,131.2,0.0,0,1,0,1312,0,1,-1.0,,131.2,231.0,231.0,231.0,231.0,15.2,340.0,2002.0,97.0,62.0,911.0,1151.0,1016809.0,1611408.0,-0.27,-0.27,-0.12,-0.23,111.5,140.0,112.3,134.7,2020-07-06 10:55:00
