ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
RDRB,239.5,,,7.0,9.0,104.0,257.0,232891.0,715200.0,-0.7,-0.7,-0.42,-0.51,222.0,278.0,,,250.0,250.0,250.0,250.0,,1,2500,1,250.0,0.0,1,0,2500,0,1,0,1.0,250.0,,300.0,300.0,300.0,300.0,239.5,,,7.0,9.0,104.0,257.0,232891.0,715200.0,-0.7,-0.7,-0.42,-0.51,222.0,278.0,,,2020-07-06 10:45:00
RDRB,204.1,,,8.0,9.0,106.0,288.0,236670.0,802133.0,-0.89,-0.89,-0.46,-0.54,222.0,278.0,,,245.0,245.0,245.0,245.0,,1,2450,1,245.0,0.0,0,1,0,2450,0,1,-1.0,,245.0,248.0,248.0,248.0,248.0,204.1,,,8.0,9.0,106.0,288.0,236670.0,802133.0,-0.89,-0.89,-0.46,-0.54,222.0,278.0,,,2020-07-06 10:50:00
RDRB,204.1,,,9.0,9.0,111.0,385.0,248680.0,1049666.0,-0.7,-0.71,-0.55,-0.62,223.0,272.0,,270.0,245.0,245.0,245.0,245.0,,1,2450,1,245.0,0.0,0,1,0,2450,0,1,-1.0,,245.0,129.0,129.0,129.0,129.0,204.1,,,9.0,9.0,111.0,385.0,248680.0,1049666.0,-0.7,-0.71,-0.55,-0.62,223.0,272.0,,270.0,2020-07-06 11:10:00
RDRB,204.1,,,10.0,9.0,168.0,397.0,382650.0,1080850.0,-0.72,-0.73,-0.41,-0.48,228.0,272.0,,268.0,250.0,250.0,250.0,250.0,,1,2500,1,250.0,0.0,1,0,2500,0,1,0,1.0,250.0,,22.0,22.0,22.0,22.0,204.1,,,10.0,9.0,168.0,397.0,382650.0,1080850.0,-0.72,-0.73,-0.41,-0.48,228.0,272.0,,268.0,2020-07-06 12:00:00
RDRB,204.1,,,11.0,9.0,120.0,476.0,269845.0,1281270.0,-0.88,-0.89,-0.6,-0.65,223.0,269.0,,259.0,250.0,250.0,250.0,250.0,,10,25000,2,250.0,0.0,2,0,25000,0,10,0,1.0,250.0,,194.0,194.0,194.0,194.0,204.1,,,11.0,9.0,120.0,476.0,269845.0,1281270.0,-0.88,-0.89,-0.6,-0.65,223.0,269.0,,259.0,2020-07-06 16:15:00
RDRB,204.1,,,11.0,9.0,133.0,469.0,299921.0,1264616.0,-0.83,-0.83,-0.56,-0.62,225.0,269.0,,260.0,250.0,250.0,250.0,250.0,,2,5000,2,250.0,0.0,2,0,5000,0,2,0,1.0,250.0,,106.0,106.0,106.0,136.0,204.1,,,11.0,9.0,133.0,469.0,299921.0,1264616.0,-0.83,-0.83,-0.56,-0.62,225.0,269.0,,260.0,2020-07-06 17:00:00
RDRB,206.1,,,8.0,7.0,89.0,139.0,198660.0,387700.0,0.29,0.28,-0.22,-0.32,222.0,279.0,,,245.0,245.0,240.0,240.0,,10,24250,2,242.0,-2.0408,0,2,0,24250,0,10,-1.0,,242.0,167.0,167.0,167.0,167.0,206.1,,,8.0,7.0,89.0,139.0,198660.0,387700.0,0.29,0.28,-0.22,-0.32,222.0,279.0,,,2020-07-07 10:15:00
RDRB,242.2,,,9.0,8.0,134.0,244.0,301173.0,655868.0,0.48,0.48,-0.29,-0.37,225.0,269.0,,,245.0,250.0,245.0,245.0,0.0286,7,17200,3,246.0,0.0,2,1,14750,2450,6,1,0.71,246.0,245.0,194.0,239.0,194.0,297.0,242.2,,,9.0,8.0,134.0,244.0,301173.0,655868.0,0.48,0.48,-0.29,-0.37,225.0,269.0,,,2020-07-07 10:30:00
RDRB,204.1,10666.7,,10.0,10.0,120.0,299.0,268928.0,802850.0,-0.91,-0.92,-0.42,-0.5,223.0,269.0,,,245.0,245.0,245.0,245.0,,1,2450,1,245.0,0.0,0,1,0,2450,0,1,-1.0,,245.0,235.0,235.0,235.0,235.0,204.1,10666.7,,10.0,10.0,120.0,299.0,268928.0,802850.0,-0.91,-0.92,-0.42,-0.5,223.0,269.0,,,2020-07-07 11:35:00
RDRB,204.1,8787.9,,12.0,11.0,144.0,310.0,317750.0,832200.0,-0.96,-0.96,-0.37,-0.45,221.0,268.0,,,245.0,245.0,245.0,245.0,,1,2450,1,245.0,0.0,0,1,0,2450,0,1,-1.0,,245.0,4.0,4.0,4.0,4.0,204.1,8787.9,,12.0,11.0,144.0,310.0,317750.0,832200.0,-0.96,-0.96,-0.37,-0.45,221.0,268.0,,,2020-07-07 15:15:00
