ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
RKKE,409.5,1415.0,,32.0,29.0,113.0,109.0,504235.0,610652.0,0.12,0.11,0.02,-0.09,4460.0,5583.0,,,5190,5230,5060,5200,0.0119,30,155040,12,5168,0.1927,12,0,155040,0,30,0,1.0,5168.0,,108.0,108.0,152.0,169.0,409.5,1415.0,,32.0,29.0,113.0,109.0,504235.0,610652.0,0.12,0.11,0.02,-0.09,4460.0,5583.0,,,2020-07-06 10:10:00
RKKE,338.6,1362.7,,36.0,32.0,123.0,145.0,557765.0,839878.0,-0.07,-0.09,-0.07,-0.19,4499.0,5763.0,,5930.0,5090,5200,5090,5200,0.0082,11,56760,5,5160,2.1611,5,0,56760,0,11,0,1.0,5160.0,,66.0,124.0,66.0,124.0,338.6,1362.7,,36.0,32.0,123.0,145.0,557765.0,839878.0,-0.07,-0.09,-0.07,-0.19,4499.0,5763.0,,5930.0,2020-07-06 10:15:00
RKKE,221.7,1032.3,,40.0,40.0,136.0,310.0,618701.0,1968142.0,0.29,0.28,-0.39,-0.52,4529.0,6333.0,,5810.0,5050,5050,5040,5040,,2,10090,2,5045,-0.198,0,2,0,10090,0,2,-1.0,,5045.0,29.0,29.0,29.0,29.0,221.7,1032.3,,40.0,40.0,136.0,310.0,618701.0,1968142.0,0.29,0.28,-0.39,-0.52,4529.0,6333.0,,5810.0,2020-07-06 10:40:00
RKKE,262.0,1025.2,,39.0,40.0,137.0,311.0,624727.0,1974020.0,0.27,0.26,-0.39,-0.52,4534.0,6332.0,,5807.0,5180,5190,5180,5190,0.0014,3,15560,3,5187,0.1931,3,0,15560,0,3,0,1.0,5187.0,,235.0,235.0,235.0,235.0,262.0,1025.2,,39.0,40.0,137.0,311.0,624727.0,1974020.0,0.27,0.26,-0.39,-0.52,4534.0,6332.0,,5807.0,2020-07-06 10:45:00
RKKE,206.6,1022.4,,39.0,40.0,168.0,318.0,724511.0,2014004.0,0.04,0.04,-0.31,-0.47,4324.0,6327.0,,5779.0,5090,5180,5090,5180,,2,10270,2,5135,1.7682,2,0,10270,0,2,0,1.0,5135.0,,254.0,254.0,254.0,254.0,206.6,1022.4,,39.0,40.0,168.0,318.0,724511.0,2014004.0,0.04,0.04,-0.31,-0.47,4324.0,6327.0,,5779.0,2020-07-06 10:50:00
RKKE,178.0,954.8,,43.0,41.0,187.0,316.0,795232.0,2007467.0,-0.16,-0.17,-0.26,-0.43,4237.0,6349.0,,5818.0,5180,5200,5180,5200,0.0011,4,20770,4,5192,0.3861,4,0,20770,0,4,0,1.0,5192.0,,237.0,237.0,237.0,272.0,178.0,954.8,,43.0,41.0,187.0,316.0,795232.0,2007467.0,-0.16,-0.17,-0.26,-0.43,4237.0,6349.0,,5818.0,2020-07-06 11:00:00
RKKE,167.3,1013.8,,42.0,40.0,187.0,314.0,795875.0,1999548.0,-0.41,-0.41,-0.25,-0.43,4237.0,6361.0,,5842.0,5150,5150,5070,5070,,3,15290,2,5097,-1.5534,1,1,5150,10140,1,2,-0.33,5150.0,5070.0,268.0,268.0,295.0,295.0,167.3,1013.8,,42.0,40.0,187.0,314.0,795875.0,1999548.0,-0.41,-0.41,-0.25,-0.43,4237.0,6361.0,,5842.0,2020-07-06 11:10:00
RKKE,160.0,876.7,,41.0,44.0,185.0,325.0,783024.0,2055239.0,-0.19,-0.2,-0.27,-0.45,4214.0,6322.0,,5749.0,5070,5070,5070,5070,,2,10140,1,5070,0.0,1,0,10140,0,2,0,1.0,5070.0,,64.0,64.0,64.0,64.0,160.0,876.7,,41.0,44.0,185.0,325.0,783024.0,2055239.0,-0.19,-0.2,-0.27,-0.45,4214.0,6322.0,,5749.0,2020-07-06 11:15:00
RKKE,197.7,859.7,,42.0,44.0,188.0,325.0,793058.0,2059284.0,-0.21,-0.22,-0.27,-0.44,4212.0,6319.0,,5743.0,5040,5150,5040,5150,0.0127,4,20470,3,5118,2.1825,2,1,15430,5040,3,1,0.5,5143.0,5040.0,171.0,288.0,171.0,288.0,197.7,859.7,,42.0,44.0,188.0,325.0,793058.0,2059284.0,-0.21,-0.22,-0.27,-0.44,4212.0,6319.0,,5743.0,2020-07-06 11:30:00
RKKE,57.5,817.0,,42.0,45.0,188.0,326.0,794078.0,2064714.0,0.27,0.26,-0.27,-0.44,4213.0,6315.0,,5732.0,5070,5070,5070,5070,,1,5070,1,5070,0.0,1,0,5070,0,1,0,1.0,5070.0,,134.0,134.0,134.0,134.0,57.5,817.0,,42.0,45.0,188.0,326.0,794078.0,2064714.0,0.27,0.26,-0.27,-0.44,4213.0,6315.0,,5732.0,2020-07-06 11:40:00
