ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
RTKMP,20.7,169.5,84.9,102,56,18622,10429,14010658,8664974,0.0,0.0,0.29,0.25,75.24,83.16,80.15,80.83,80.05,80.95,79.7,80.45,0.0012,4498,3620609,212,80.49,0.4997,111,101,1604659,2015950,1993,2505,-0.11,80.51,80.48,14.0,77.0,15.0,296.0,20.7,169.5,84.9,102,56,18622,10429,14010658,8664974,0.0,0.0,0.29,0.25,75.24,83.16,80.15,80.83,2020-07-06 10:05:00
RTKMP,17.6,146.6,86.0,111,67,20697,11629,15671804,9793098,-0.2,-0.2,0.28,0.23,75.62,84.23,80.31,81.0,80.65,81.2,80.4,80.65,0.0009,3764,3043099,148,80.85,0.0,103,45,2180294,862805,2697,1067,0.43,80.84,80.86,1.0,67.0,262.0,299.0,17.6,146.6,86.0,111,67,20697,11629,15671804,9793098,-0.2,-0.2,0.28,0.23,75.62,84.23,80.31,81.0,2020-07-06 10:10:00
RTKMP,14.3,136.9,61.2,114,74,19019,16192,14306620,13586599,-0.12,-0.12,0.08,0.03,75.21,83.91,80.26,80.75,80.65,80.75,80.45,80.7,0.0009,770,620524,44,80.59,0.062,20,24,268550,351974,333,437,-0.14,80.65,80.54,3.0,262.0,27.0,265.0,14.3,136.9,61.2,114,74,19019,16192,14306620,13586599,-0.12,-0.12,0.08,0.03,75.21,83.91,80.26,80.75,2020-07-06 10:15:00
RTKMP,12.0,134.1,67.7,118,76,19321,16570,14549233,13893848,0.14,0.14,0.08,0.03,75.3,83.84,80.4,80.94,80.65,81.45,80.25,81.15,0.0007,5780,4675016,151,80.88,0.62,88,63,3241905,1433111,4006,1774,0.39,80.93,80.78,2.0,261.0,184.0,296.0,12.0,134.1,67.7,118,76,19321,16570,14549233,13893848,0.14,0.14,0.08,0.03,75.3,83.84,80.4,80.94,2020-07-06 10:20:00
RTKMP,13.7,157.1,73.0,123,71,20851,16335,15659249,13849203,0.38,0.38,0.12,0.06,75.11,84.75,80.94,81.53,81.15,82.0,81.05,81.25,0.001,4876,3973039,157,81.48,0.1232,103,54,2705880,1267159,3320,1556,0.36,81.5,81.44,13.0,108.0,109.0,298.0,13.7,157.1,73.0,123,71,20851,16335,15659249,13849203,0.38,0.38,0.12,0.06,75.11,84.75,80.94,81.53,2020-07-06 10:25:00
RTKMP,12.8,141.1,70.7,123,79,20968,19704,15690072,16693782,-0.34,-0.34,0.03,-0.03,74.82,84.72,80.7,81.26,81.25,81.3,80.4,81.0,0.0007,9604,7750671,140,80.7,-0.3077,48,92,4601734,3148936,5711,3893,0.19,80.58,80.89,2.0,57.0,124.0,283.0,12.8,141.1,70.7,123,79,20968,19704,15690072,16693782,-0.34,-0.34,0.03,-0.03,74.82,84.72,80.7,81.26,2020-07-06 10:30:00
RTKMP,10.1,129.8,56.9,126,76,21865,20200,16415928,17127319,0.22,0.22,0.04,-0.02,75.07,84.79,81.01,81.48,81.0,81.6,81.0,81.55,0.0004,3864,3142459,106,81.33,0.679,72,34,1965007,1177452,2417,1447,0.25,81.3,81.37,3.0,275.0,3.0,281.0,10.1,129.8,56.9,126,76,21865,20200,16415928,17127319,0.22,0.22,0.04,-0.02,75.07,84.79,81.01,81.48,2020-07-06 10:35:00
RTKMP,13.3,125.9,65.5,126,75,19537,18202,14757946,15324767,0.01,0.01,0.04,-0.02,75.53,84.19,81.06,81.59,81.5,81.5,81.25,81.4,0.0008,779,633971,48,81.38,-0.1227,23,25,132762,501209,163,616,-0.58,81.45,81.37,8.0,8.0,132.0,296.0,13.3,125.9,65.5,126,75,19537,18202,14757946,15324767,0.01,0.01,0.04,-0.02,75.53,84.19,81.06,81.59,2020-07-06 10:40:00
RTKMP,10.5,122.0,79.3,128,78,19175,19208,14460823,16153092,-0.17,-0.17,0.0,-0.06,75.41,84.09,80.85,81.49,81.4,81.4,81.15,81.15,0.0006,368,298971,37,81.24,-0.3071,14,23,52863,246108,65,303,-0.65,81.33,81.22,10.0,10.0,160.0,293.0,10.5,122.0,79.3,128,78,19175,19208,14460823,16153092,-0.17,-0.17,0.0,-0.06,75.41,84.09,80.85,81.49,2020-07-06 10:45:00
RTKMP,6.8,120.0,72.4,128,80,19151,19821,14426788,16656509,0.3,0.3,-0.02,-0.07,75.33,84.03,80.8,81.38,81.15,81.25,81.0,81.0,0.0004,374,303372,35,81.12,-0.1848,9,26,9746,293625,12,362,-0.94,81.22,81.11,56.0,105.0,291.0,300.0,6.8,120.0,72.4,128,80,19151,19821,14426788,16656509,0.3,0.3,-0.02,-0.07,75.33,84.03,80.8,81.38,2020-07-06 10:50:00
RTKMP,10.9,126.6,52.3,124,84,19092,21201,14358934,17784290,0.04,0.04,-0.05,-0.11,75.21,83.89,80.69,81.11,81.1,81.15,80.85,80.95,0.0006,448,362667,43,80.95,-0.185,11,32,92452,270215,114,334,-0.49,81.1,80.9,4.0,20.0,233.0,287.0,10.9,126.6,52.3,124,84,19092,21201,14358934,17784290,0.04,0.04,-0.05,-0.11,75.21,83.89,80.69,81.11,2020-07-06 10:55:00
RTKMP,7.2,120.8,52.6,125,84,19045,20623,14321923,17315518,-0.47,-0.47,-0.04,-0.09,75.2,83.96,80.66,81.08,80.9,81.0,80.85,80.9,0.0005,825,668071,38,80.98,0.0,23,15,502986,165085,621,204,0.51,81.0,80.92,10.0,51.0,38.0,300.0,7.2,120.8,52.6,125,84,19045,20623,14321923,17315518,-0.47,-0.47,-0.04,-0.09,75.2,83.96,80.66,81.08,2020-07-06 11:00:00
RTKMP,8.9,125.4,65.3,123,86,20052,20733,15119813,17415510,0.17,0.17,-0.02,-0.07,75.39,84.0,80.47,80.99,80.85,80.95,80.4,80.5,0.0003,2710,2184748,94,80.62,-0.4329,36,58,929720,1255027,1154,1556,-0.15,80.57,80.66,17.0,84.0,266.0,300.0,8.9,125.4,65.3,123,86,20052,20733,15119813,17415510,0.17,0.17,-0.02,-0.07,75.39,84.0,80.47,80.99,2020-07-06 11:05:00
RTKMP,6.8,145.1,37.9,119,88,21363,20967,16173885,17598051,0.43,0.43,0.01,-0.04,75.71,83.93,80.4,80.7,80.5,80.5,80.35,80.5,0.0003,1775,1428602,116,80.48,0.0,96,20,1112460,316142,1382,393,0.56,80.5,80.44,1.0,1.0,15.0,290.0,6.8,145.1,37.9,119,88,21363,20967,16173885,17598051,0.43,0.43,0.01,-0.04,75.71,83.93,80.4,80.7,2020-07-06 11:10:00
