ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
SBER,3.9,15.4,5.4,296,246.0,227320,160075.0,469947946,346735562.0,-0.03,-0.03,0.14,0.12,206.52,216.59,213.09,213.2,212.9,213.57,210.71,213.2,0.0007,228786,487288174,2770,212.99,0.1409,1156,1614,243757962,243530212,114371,114415,0.0,213.13,212.85,2.0,4.0,3.0,300.0,3.9,15.4,5.4,296,246.0,227320,160075.0,469947946,346735562.0,-0.03,-0.03,0.14,0.12,206.52,216.59,213.09,213.2,2020-07-07 10:05:00
SBER,2.4,12.4,3.6,404,381.0,334165,233739.0,691706168,507754566.0,0.12,0.12,0.18,0.16,206.99,217.23,213.42,213.49,213.19,214.23,213.07,213.12,0.0001,158874,339329077,1646,213.58,-0.0328,763,883,198918473,140410603,93099,65775,0.17,213.66,213.47,1.0,94.0,227.0,300.0,2.4,12.4,3.6,404,381.0,334165,233739.0,691706168,507754566.0,0.12,0.12,0.18,0.16,206.99,217.23,213.42,213.49,2020-07-07 10:10:00
SBER,2.1,11.6,3.1,442,488.0,385164,280109.0,798102038,608136813.0,0.23,0.23,0.16,0.13,207.21,217.11,212.91,212.98,213.12,213.2,212.8,212.98,0.0001,99930,212774576,1398,212.92,-0.0657,352,1046,40586322,172188253,19057,80873,-0.62,212.97,212.91,1.0,48.0,70.0,300.0,2.1,11.6,3.1,442,488.0,385164,280109.0,798102038,608136813.0,0.23,0.23,0.16,0.13,207.21,217.11,212.91,212.98,2020-07-07 10:15:00
SBER,2.9,12.4,3.8,511,515.0,415970,301645.0,862194380,654814736.0,-0.12,-0.12,0.16,0.14,207.27,217.08,212.95,213.03,212.98,213.18,212.8,212.98,0.0001,65388,139256087,933,212.97,0.0,394,539,53557456,85698631,25140,40248,-0.23,213.04,212.93,2.0,80.0,8.0,298.0,2.9,12.4,3.8,511,515.0,415970,301645.0,862194380,654814736.0,-0.12,-0.12,0.16,0.14,207.27,217.08,212.95,213.03,2020-07-07 10:20:00
SBER,2.3,11.8,3.5,528,551.0,425629,317820.0,882180497,689192191.0,0.04,0.04,0.14,0.12,207.26,216.85,212.68,212.76,212.98,213.06,212.37,212.37,0.0001,98999,210503034,1131,212.63,-0.2864,404,727,57107684,153395349,26848,72151,-0.46,212.71,212.6,2.0,72.0,299.0,300.0,2.3,11.8,3.5,528,551.0,425629,317820.0,882180497,689192191.0,0.04,0.04,0.14,0.12,207.26,216.85,212.68,212.76,2020-07-07 10:25:00
SBER,2.6,12.1,3.7,594,585.0,442579,319935.0,916428239,693915941.0,0.14,0.14,0.16,0.14,207.05,216.89,212.24,212.32,212.4,212.53,212.11,212.5,0.0001,78291,166196320,1150,212.28,0.0471,470,680,56882112,109314208,26790,51501,-0.32,212.33,212.26,2.0,261.0,39.0,300.0,2.6,12.1,3.7,594,585.0,442579,319935.0,916428239,693915941.0,0.14,0.14,0.16,0.14,207.05,216.89,212.24,212.32,2020-07-07 10:30:00
SBER,2.5,12.0,3.6,697,656.0,491436,346691.0,1018761055,752586644.0,-0.27,-0.27,0.17,0.15,207.3,217.08,212.35,212.43,212.5,212.57,212.17,212.36,0.0001,81049,172123430,899,212.37,-0.0659,407,492,96361006,75762423,45370,35679,0.12,212.39,212.34,1.0,62.0,153.0,300.0,2.5,12.0,3.6,697,656.0,491436,346691.0,1018761055,752586644.0,-0.27,-0.27,0.17,0.15,207.3,217.08,212.35,212.43,2020-07-07 10:35:00
SBER,2.0,11.7,3.1,726,698.0,510547,396474.0,1058196350,860817775.0,-0.24,-0.24,0.13,0.1,207.27,217.12,212.36,212.43,212.33,212.6,212.25,212.41,0.0001,68002,144448346,785,212.42,0.0377,411,374,91446243,53002102,43046,24956,0.27,212.44,212.38,1.0,209.0,248.0,300.0,2.0,11.7,3.1,726,698.0,510547,396474.0,1058196350,860817775.0,-0.24,-0.24,0.13,0.1,207.27,217.12,212.36,212.43,2020-07-07 10:40:00
SBER,1.9,11.4,2.9,718,710.0,511335,435324.0,1059271739,944941530.0,-0.2,-0.2,0.08,0.06,207.16,217.07,212.23,212.29,212.37,212.41,212.12,212.23,0.0001,43377,92063577,618,212.24,-0.0659,201,417,41499658,50563919,19552,23825,-0.1,212.25,212.23,2.0,2.0,51.0,299.0,1.9,11.4,2.9,718,710.0,511335,435324.0,1059271739,944941530.0,-0.2,-0.2,0.08,0.06,207.16,217.07,212.23,212.29,2020-07-07 10:45:00
SBER,1.8,10.9,2.7,720,721.0,531231,444167.0,1101117215,963747961.0,-0.25,-0.25,0.09,0.07,207.27,216.98,212.19,212.24,212.23,212.39,212.01,212.31,0.0001,91162,193431905,755,212.18,0.0377,297,458,81403307,112028598,38351,52811,-0.16,212.26,212.13,1.0,280.0,181.0,297.0,1.8,10.9,2.7,720,721.0,531231,444167.0,1101117215,963747961.0,-0.25,-0.25,0.09,0.07,207.27,216.98,212.19,212.24,2020-07-07 10:50:00
