ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
STSBP,146.1,1035.9,,51.0,49.0,1247.0,5682.0,355204.0,2330535.0,-0.42,-0.43,-0.64,-0.74,0.2846,0.4101,,0.377,0.3495,0.3585,0.3495,0.35,0.0075,253,89318,14,0.353,0.1431,13,1,88968,350,252,1,0.99,0.353,0.35,132.0,132.0,132.0,258.0,146.1,1035.9,,51.0,49.0,1247.0,5682.0,355204.0,2330535.0,-0.42,-0.43,-0.64,-0.74,0.2846,0.4101,,0.377,2020-07-06 10:55:00
STSBP,14.3,1122.9,,55.0,45.0,1264.0,5665.0,356971.0,2330319.0,-0.93,-0.93,-0.64,-0.73,0.2824,0.4114,,0.3775,0.35,0.35,0.35,0.35,,6,2100,1,0.35,0.0,0,1,0,2100,0,6,-1.0,,0.35,138.0,138.0,138.0,138.0,14.3,1122.9,,55.0,45.0,1264.0,5665.0,356971.0,2330319.0,-0.93,-0.93,-0.64,-0.73,0.2824,0.4114,,0.3775,2020-07-06 11:00:00
STSBP,14.3,1209.5,,54.0,45.0,1213.0,4581.0,339575.0,1836266.0,-0.96,-0.96,-0.58,-0.69,0.2799,0.4007,,0.3779,0.3505,0.3505,0.3505,0.3505,0.0,60,21030,3,0.3505,0.0,3,0,21030,0,60,0,1.0,0.3505,,77.0,77.0,77.0,270.0,14.3,1209.5,,54.0,45.0,1213.0,4581.0,339575.0,1836266.0,-0.96,-0.96,-0.58,-0.69,0.2799,0.4007,,0.3779,2020-07-06 11:15:00
STSBP,71.5,1257.0,,53.0,46.0,1213.0,4607.0,339490.0,1843619.0,-0.58,-0.59,-0.58,-0.69,0.2798,0.4002,,0.3781,0.35,0.35,0.35,0.35,,1,350,1,0.35,0.0,0,1,0,350,0,1,-1.0,,0.35,187.0,187.0,187.0,187.0,71.5,1257.0,,53.0,46.0,1213.0,4607.0,339490.0,1843619.0,-0.58,-0.59,-0.58,-0.69,0.2798,0.4002,,0.3781,2020-07-06 11:30:00
STSBP,146.2,1164.3,,52.0,48.0,1215.0,4616.0,340253.0,1846696.0,-0.6,-0.6,-0.58,-0.69,0.2798,0.4001,,0.378,0.345,0.345,0.343,0.344,0.0044,11,3778,4,0.3435,-0.2899,1,3,2401,1377,7,4,0.27,0.343,0.3442,3.0,3.0,3.0,4.0,146.2,1164.3,,52.0,48.0,1215.0,4616.0,340253.0,1846696.0,-0.6,-0.6,-0.58,-0.69,0.2798,0.4001,,0.378,2020-07-06 11:40:00
STSBP,130.4,1163.1,,53.0,48.0,1219.0,4615.0,341173.0,1846649.0,-0.39,-0.4,-0.58,-0.69,0.2799,0.4001,,0.378,0.3495,0.3495,0.3495,0.3495,,1,349,1,0.3495,0.0,1,0,349,0,1,0,1.0,0.3495,,262.0,262.0,262.0,262.0,130.4,1163.1,,53.0,48.0,1219.0,4615.0,341173.0,1846649.0,-0.39,-0.4,-0.58,-0.69,0.2799,0.4001,,0.378,2020-07-06 11:45:00
STSBP,125.6,1160.6,,53.0,48.0,1194.0,4617.0,333034.0,1847249.0,-0.22,-0.22,-0.59,-0.69,0.2788,0.4001,,0.378,0.345,0.345,0.345,0.345,,1,345,1,0.345,0.0,0,1,0,345,0,1,-1.0,,0.345,162.0,162.0,162.0,162.0,125.6,1160.6,,53.0,48.0,1194.0,4617.0,333034.0,1847249.0,-0.22,-0.22,-0.59,-0.69,0.2788,0.4001,,0.378,2020-07-06 12:00:00
STSBP,120.3,1164.9,,53.0,47.0,1194.0,4615.0,333011.0,1846747.0,-0.25,-0.25,-0.59,-0.69,0.2788,0.4001,,0.378,0.3495,0.35,0.3495,0.35,0.001,5,1749,3,0.3499,0.1431,2,1,1399,350,4,1,0.6,0.3499,0.35,247.0,247.0,247.0,250.0,120.3,1164.9,,53.0,47.0,1194.0,4615.0,333011.0,1846747.0,-0.25,-0.25,-0.59,-0.69,0.2788,0.4001,,0.378,2020-07-06 12:05:00
STSBP,118.3,1149.9,,54.0,65.0,1240.0,7106.0,345005.0,2952940.0,-0.67,-0.67,-0.7,-0.79,0.2782,0.4155,,0.3773,0.3465,0.3465,0.3405,0.3405,0.0043,28,9602,7,0.3429,-1.7316,0,7,0,9602,0,28,-1.0,,0.3429,259.0,259.0,259.0,259.0,118.3,1149.9,,54.0,65.0,1240.0,7106.0,345005.0,2952940.0,-0.67,-0.67,-0.7,-0.79,0.2782,0.4155,,0.3773,2020-07-06 13:30:00
STSBP,129.5,891.8,,55.0,69.0,1224.0,7113.0,339768.0,2955515.0,0.03,0.03,-0.71,-0.79,0.2775,0.4155,,0.3773,0.3435,0.3435,0.3435,0.3435,,1,343,1,0.3435,0.0,0,1,0,343,0,1,-1.0,,0.3435,275.0,275.0,275.0,275.0,129.5,891.8,,55.0,69.0,1224.0,7113.0,339768.0,2955515.0,0.03,0.03,-0.71,-0.79,0.2775,0.4155,,0.3773,2020-07-06 14:00:00
STSBP,106.1,869.0,,55.0,69.0,1256.0,7115.0,350341.0,2956026.0,0.26,0.25,-0.7,-0.79,0.2789,0.4155,,0.3772,0.344,0.344,0.344,0.344,,1,344,1,0.344,0.0,0,1,0,344,0,1,-1.0,,0.344,168.0,168.0,168.0,168.0,106.1,869.0,,55.0,69.0,1256.0,7115.0,350341.0,2956026.0,0.26,0.25,-0.7,-0.79,0.2789,0.4155,,0.3772,2020-07-06 14:10:00
STSBP,84.2,867.5,,56.0,73.0,1255.0,7120.0,350082.0,2958508.0,0.08,0.07,-0.7,-0.79,0.2788,0.4155,,0.3772,0.3445,0.3445,0.3445,0.3445,,1,344,1,0.3445,0.0,0,1,0,344,0,1,-1.0,,0.3445,221.0,221.0,221.0,221.0,84.2,867.5,,56.0,73.0,1255.0,7120.0,350082.0,2958508.0,0.08,0.07,-0.7,-0.79,0.2788,0.4155,,0.3772,2020-07-06 14:35:00
STSBP,106.7,905.6,,53.0,73.0,1246.0,7120.0,347137.0,2958392.0,-0.02,-0.03,-0.7,-0.79,0.2784,0.4155,,0.3772,0.3445,0.3445,0.3445,0.3445,,1,344,1,0.3445,0.0,0,1,0,344,0,1,-1.0,,0.3445,60.0,60.0,60.0,60.0,106.7,905.6,,53.0,73.0,1246.0,7120.0,347137.0,2958392.0,-0.02,-0.03,-0.7,-0.79,0.2784,0.4155,,0.3772,2020-07-06 14:55:00
STSBP,57.7,863.8,,55.0,74.0,1253.0,7226.0,349144.0,2997141.0,-0.04,-0.05,-0.7,-0.79,0.2786,0.4147,,0.3766,0.3465,0.3465,0.3465,0.3465,,1,346,1,0.3465,0.0,1,0,346,0,1,0,1.0,0.3465,,121.0,121.0,121.0,121.0,57.7,863.8,,55.0,74.0,1253.0,7226.0,349144.0,2997141.0,-0.04,-0.05,-0.7,-0.79,0.2786,0.4147,,0.3766,2020-07-06 16:15:00
STSBP,67.8,868.8,,55.0,76.0,1253.0,7327.0,349144.0,3034905.0,-0.38,-0.38,-0.71,-0.79,0.2786,0.4142,,0.3764,0.3465,0.3465,0.3465,0.3465,,1,346,1,0.3465,0.0,0,1,0,346,0,1,-1.0,,0.3465,149.0,149.0,149.0,149.0,67.8,868.8,,55.0,76.0,1253.0,7327.0,349144.0,3034905.0,-0.38,-0.38,-0.71,-0.79,0.2786,0.4142,,0.3764,2020-07-06 16:30:00
STSBP,72.7,859.7,,55.0,77.0,1253.0,7327.0,349144.0,3034989.0,-0.64,-0.64,-0.71,-0.79,0.2786,0.4142,,0.3764,0.3465,0.3465,0.3465,0.3465,,2,693,1,0.3465,0.0,1,0,693,0,2,0,1.0,0.3465,,255.0,255.0,255.0,255.0,72.7,859.7,,55.0,77.0,1253.0,7327.0,349144.0,3034989.0,-0.64,-0.64,-0.71,-0.79,0.2786,0.4142,,0.3764,2020-07-06 16:50:00
STSBP,72.7,859.7,,55.0,77.0,1253.0,7324.0,349144.0,3033811.0,-0.07,-0.07,-0.71,-0.79,0.2786,0.4142,,0.3765,0.3465,0.3465,0.3465,0.3465,,2,693,1,0.3465,0.0,1,0,693,0,2,0,1.0,0.3465,,47.0,47.0,47.0,47.0,72.7,859.7,,55.0,77.0,1253.0,7324.0,349144.0,3033811.0,-0.07,-0.07,-0.71,-0.79,0.2786,0.4142,,0.3765,2020-07-06 17:00:00
STSBP,143.9,1016.2,,59.0,74.0,1267.0,7317.0,353548.0,3031783.0,-0.45,-0.45,-0.7,-0.79,0.2788,0.4143,,0.3766,0.3465,0.35,0.3465,0.35,0.0022,10,3487,5,0.3487,1.0101,5,0,3487,0,10,0,1.0,0.3487,,64.0,64.0,64.0,64.0,143.9,1016.2,,59.0,74.0,1267.0,7317.0,353548.0,3031783.0,-0.45,-0.45,-0.7,-0.79,0.2788,0.4143,,0.3766,2020-07-06 18:20:00
STSBP,422.3,1107.7,,43.0,43.0,1461.0,2907.0,412629.0,1286091.0,0.29,0.28,-0.33,-0.52,0.282,0.4424,,0.4305,0.3395,0.3395,0.331,0.331,0.0027,150,49767,12,0.3318,-2.5037,5,7,35748,14019,108,42,0.44,0.331,0.3338,9.0,9.0,9.0,16.0,422.3,1107.7,,43.0,43.0,1461.0,2907.0,412629.0,1286091.0,0.29,0.28,-0.33,-0.52,0.282,0.4424,,0.4305,2020-07-07 10:20:00
