ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
SVAV,46.7,510.1,526.4,106.0,61,2502.0,1193,5511600.0,3546818,0.22,0.22,0.35,0.22,222.2,297.3,260.8,274.6,265.0,271.5,264.5,268.0,0.0024,386,1035280,78,268.2,1.1321,61,17,595320,439960,222,164,0.15,268.2,268.3,1.0,85.0,19.0,297.0,46.7,510.1,526.4,106.0,61,2502.0,1193,5511600.0,3546818,0.22,0.22,0.35,0.22,222.2,297.3,260.8,274.6,2020-07-06 10:05:00
SVAV,27.7,447.5,323.0,120.0,80,3147.0,2471,6811563.0,7290295,0.04,0.04,0.12,-0.03,216.4,295.0,260.5,268.9,268.0,269.5,263.5,264.5,0.0016,488,1296355,50,265.6,-1.306,30,20,826755,469600,311,177,0.27,265.8,265.3,27.0,67.0,182.0,293.0,27.7,447.5,323.0,120.0,80,3147.0,2471,6811563.0,7290295,0.04,0.04,0.12,-0.03,216.4,295.0,260.5,268.9,2020-07-06 10:10:00
SVAV,29.2,405.8,270.9,128.0,91,3571.0,2779,7663839.0,8173191,0.67,0.66,0.12,-0.03,214.6,294.0,260.4,267.4,264.0,264.0,262.5,263.0,0.002,63,165880,13,263.3,-0.3788,4,9,21080,144800,8,55,-0.75,263.5,263.3,13.0,13.0,101.0,262.0,29.2,405.8,270.9,128.0,91,3571.0,2779,7663839.0,8173191,0.67,0.66,0.12,-0.03,214.6,294.0,260.4,267.4,2020-07-06 10:15:00
SVAV,33.6,405.4,228.9,130.0,96,3638.0,3123,7771037.0,9177442,0.3,0.3,0.08,-0.08,213.6,293.8,260.9,266.9,263.5,263.5,263.5,263.5,,10,26350,2,263.5,0.0,1,1,23715,2635,9,1,0.8,263.5,263.5,33.0,33.0,33.0,109.0,33.6,405.4,228.9,130.0,96,3638.0,3123,7771037.0,9177442,0.3,0.3,0.08,-0.08,213.6,293.8,260.9,266.9,2020-07-06 10:20:00
SVAV,34.8,389.8,206.4,129.0,96,3788.0,3247,8020693.0,9524879,-0.17,-0.17,0.08,-0.09,211.7,293.3,261.3,266.7,263.0,264.0,263.0,263.0,0.0023,16,42165,6,263.5,0.0,2,4,13200,28965,5,11,-0.38,264.0,263.3,28.0,71.0,28.0,273.0,34.8,389.8,206.4,129.0,96,3788.0,3247,8020693.0,9524879,-0.17,-0.17,0.08,-0.09,211.7,293.3,261.3,266.7,2020-07-06 10:25:00
SVAV,27.2,380.0,199.6,129.0,97,3806.0,3315,8067553.0,9718464,-0.13,-0.13,0.07,-0.09,211.9,293.1,261.4,266.6,263.5,264.5,263.5,264.5,0.0011,11,29010,5,263.7,0.3795,4,1,23740,5270,9,2,0.64,263.8,263.5,76.0,171.0,76.0,171.0,27.2,380.0,199.6,129.0,97,3806.0,3315,8067553.0,9718464,-0.13,-0.13,0.07,-0.09,211.9,293.1,261.4,266.6,2020-07-06 10:30:00
SVAV,26.0,387.1,199.6,129.0,98,3774.0,3342,7984300.0,9796266,0.02,0.02,0.06,-0.1,211.5,293.1,261.2,266.5,264.5,264.5,263.0,263.5,0.0022,21,55340,6,263.5,-0.3781,3,3,42170,13170,16,5,0.52,263.6,263.4,5.0,5.0,291.0,296.0,26.0,387.1,199.6,129.0,98,3774.0,3342,7984300.0,9796266,0.02,0.02,0.06,-0.1,211.5,293.1,261.2,266.5,2020-07-06 10:35:00
SVAV,34.8,405.0,202.0,129.0,98,3835.0,3375,8134436.0,9895060,-0.06,-0.06,0.06,-0.1,212.1,293.2,261.2,266.5,263.5,263.5,263.0,263.0,0.0007,36,94695,8,263.0,-0.1898,0,8,0,94695,0,36,-1.0,,263.0,78.0,78.0,78.0,119.0,34.8,405.0,202.0,129.0,98,3835.0,3375,8134436.0,9895060,-0.06,-0.06,0.06,-0.1,212.1,293.2,261.2,266.5,2020-07-06 10:40:00
SVAV,38.6,427.3,207.2,130.0,97,3864.0,3459,8201213.0,10162613,-0.48,-0.48,0.06,-0.11,212.2,293.8,261.2,266.6,264.0,264.5,263.0,263.0,0.0013,49,129245,15,263.8,-0.3788,7,8,71355,57890,27,22,0.1,264.3,263.1,26.0,41.0,217.0,217.0,38.6,427.3,207.2,130.0,97,3864.0,3459,8201213.0,10162613,-0.48,-0.48,0.06,-0.11,212.2,293.8,261.2,266.6,2020-07-06 10:45:00
SVAV,38.0,427.2,212.1,130.0,99,4004.0,3472,8428054.0,10200257,0.15,0.15,0.07,-0.1,210.5,293.7,261.0,266.5,263.0,263.0,263.0,263.0,0.0,9,23670,4,263.0,0.0,0,4,0,23670,0,9,-1.0,,263.0,94.0,94.0,94.0,235.0,38.0,427.2,212.1,130.0,99,4004.0,3472,8428054.0,10200257,0.15,0.15,0.07,-0.1,210.5,293.7,261.0,266.5,2020-07-06 10:50:00
