ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
SVCB,16.0,131.1,56.9,480,251.0,781146,396929.0,886092766,607576157.0,0.02,0.02,0.33,0.19,11.34,15.317,13.269,13.344,14.605,14.9,12.8,13.11,0.0021,606529,806078539,21204,13.29,-10.2362,8507,12697,369946780,436131759,278311,328218,-0.08,13.293,13.288,1.0,1.0,58.0,300.0,16.0,131.1,56.9,480,251.0,781146,396929.0,886092766,607576157.0,0.02,0.02,0.33,0.19,11.34,15.317,13.269,13.344,2023-12-15 17:15:00
SVCB,8.8,82.4,31.1,485,351.0,798254,551218.0,912755448,817487825.0,0.12,0.12,0.18,0.06,11.434,14.833,13.085,13.126,13.11,13.3,12.92,13.225,0.0005,266185,348475859,11477,13.091,0.8772,5727,5750,151633154,196842705,115586,150599,-0.13,13.119,13.071,1.0,71.0,187.0,300.0,8.8,82.4,31.1,485,351.0,798254,551218.0,912755448,817487825.0,0.12,0.12,0.18,0.06,11.434,14.833,13.085,13.126,2023-12-15 17:20:00
SVCB,6.3,78.0,26.5,494,339.0,815196,565705.0,934010976,836646304.0,0.38,0.38,0.18,0.05,11.457,14.79,13.173,13.208,13.215,13.3,13.05,13.1,0.0005,175992,232740845,5661,13.225,-0.8702,2686,2975,127579796,105161049,96195,79797,0.09,13.263,13.179,1.0,93.0,276.0,300.0,6.3,78.0,26.5,494,339.0,815196,565705.0,934010976,836646304.0,0.38,0.38,0.18,0.05,11.457,14.79,13.173,13.208,2023-12-15 17:25:00
SVCB,4.7,74.4,18.7,468,362.0,801474,583591.0,921582365,859639046.0,0.22,0.22,0.16,0.03,11.499,14.73,13.068,13.093,13.1,13.145,13.0,13.075,0.0004,113376,148249587,4219,13.076,-0.1908,1870,2349,57912235,90337351,44247,69129,-0.22,13.088,13.068,1.0,37.0,86.0,300.0,4.7,74.4,18.7,468,362.0,801474,583591.0,921582365,859639046.0,0.22,0.22,0.16,0.03,11.499,14.73,13.068,13.093,2023-12-15 17:30:00
SVCB,5.6,75.3,17.4,465,366.0,826726,583941.0,954913566,858962059.0,0.3,0.3,0.17,0.05,11.537,14.71,13.031,13.054,13.075,13.2,12.9,13.2,0.0003,207750,270785896,6289,13.034,0.956,3153,3136,98939212,171846684,75547,132203,-0.27,13.096,12.999,1.0,240.0,179.0,300.0,5.6,75.3,17.4,465,366.0,826726,583941.0,954913566,858962059.0,0.3,0.3,0.17,0.05,11.537,14.71,13.031,13.054,2023-12-15 17:35:00
SVCB,5.2,77.4,16.3,476,358.0,918179,581929.0,1077743489,856376506.0,0.11,0.11,0.22,0.11,11.729,14.716,13.112,13.133,13.2,13.2,12.975,13.0,0.0003,130406,170899537,2844,13.105,-1.5152,1107,1737,33676844,137222693,25667,104739,-0.61,13.121,13.101,1.0,1.0,277.0,300.0,5.2,77.4,16.3,476,358.0,918179,581929.0,1077743489,856376506.0,0.11,0.11,0.22,0.11,11.729,14.716,13.112,13.133,2023-12-15 17:40:00
SVCB,5.6,76.0,20.9,464,375.0,754063,652790.0,868267279,950274846.0,0.25,0.25,0.07,-0.04,11.515,14.559,13.022,13.049,13.0,13.08,12.985,13.035,0.0003,62179,81047682,2335,13.035,0.2692,1140,1195,41988794,39058888,32204,29975,0.04,13.038,13.03,1.0,55.0,18.0,299.0,5.6,76.0,20.9,464,375.0,754063,652790.0,868267279,950274846.0,0.25,0.25,0.07,-0.04,11.515,14.559,13.022,13.049,2023-12-15 17:45:00
SVCB,5.4,75.2,16.4,456,385.0,747800,625611.0,862665004,913240276.0,0.33,0.33,0.09,-0.03,11.536,14.6,12.977,12.998,13.04,13.045,12.95,12.95,0.0003,97301,126414227,2097,12.992,-0.6902,844,1253,74029148,52385078,56951,40350,0.17,12.999,12.983,1.0,1.0,282.0,300.0,5.4,75.2,16.4,456,385.0,747800,625611.0,862665004,913240276.0,0.33,0.33,0.09,-0.03,11.536,14.6,12.977,12.998,2023-12-15 17:50:00
SVCB,6.1,77.9,20.2,447,397.0,726717,622301.0,835695135,906878271.0,0.11,0.11,0.08,-0.04,11.499,14.573,12.897,12.923,12.95,13.0,12.85,12.92,0.0003,111406,143962401,3427,12.922,-0.2317,1320,2107,57639774,86322627,44533,66873,-0.2,12.943,12.908,1.0,18.0,115.0,300.0,6.1,77.9,20.2,447,397.0,726717,622301.0,835695135,906878271.0,0.11,0.11,0.08,-0.04,11.499,14.573,12.897,12.923,2023-12-15 17:55:00
SVCB,5.2,76.6,17.5,448,405.0,719258,653601.0,826676172,948409237.0,0.39,0.39,0.05,-0.07,11.493,14.512,12.878,12.9,12.915,12.94,12.85,12.86,0.0003,45979,59265202,1780,12.89,-0.4259,718,1062,18457229,40807973,14308,31671,-0.38,12.9,12.885,1.0,34.0,239.0,300.0,5.2,76.6,17.5,448,405.0,719258,653601.0,826676172,948409237.0,0.39,0.39,0.05,-0.07,11.493,14.512,12.878,12.9,2023-12-15 18:00:00
