ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
SVET,166.9,,,5.0,1.0,315.0,127.0,193555.0,91674.0,-0.01,-0.02,0.57,0.51,58.99,71.31,,,70.0,71.0,70.0,71.0,0.0101,32,22710,3,70.97,1.4286,3,0,22710,0,32,0,1.0,70.97,,141.0,209.0,141.0,217.0,166.9,,,5.0,1.0,315.0,127.0,193555.0,91674.0,-0.01,-0.02,0.57,0.51,58.99,71.31,,,2021-01-18 10:05:00
SVET,98.7,,,12.0,1.0,725.0,307.0,461723.0,223235.0,-0.87,-0.87,0.4,0.35,63.61,72.55,,,72.19,73.08,72.19,73.08,0.0041,23,16787,4,72.99,1.2329,4,0,16787,0,23,0,1.0,72.99,,111.0,280.0,111.0,293.0,98.7,,,12.0,1.0,725.0,307.0,461723.0,223235.0,-0.87,-0.87,0.4,0.35,63.61,72.55,,,2021-01-18 10:10:00
SVET,58.0,,,19.0,1.0,887.0,358.0,583297.0,273017.0,-0.77,-0.77,0.43,0.37,65.68,76.05,,,73.67,74.55,73.67,74.55,0.0049,158,116592,7,73.79,1.1945,7,0,116592,0,158,0,1.0,73.79,,67.0,139.0,67.0,248.0,58.0,,,19.0,1.0,887.0,358.0,583297.0,273017.0,-0.77,-0.77,0.43,0.37,65.68,76.05,,,2021-01-18 10:15:00
SVET,49.8,,,20.0,2.0,993.0,367.0,665464.0,285323.0,-0.72,-0.72,0.46,0.4,66.98,77.56,,,74.55,77.77,74.55,77.77,0.0107,106,79423,10,74.93,4.3192,10,0,79423,0,106,0,1.0,74.93,,27.0,260.0,27.0,270.0,49.8,,,20.0,2.0,993.0,367.0,665464.0,285323.0,-0.72,-0.72,0.46,0.4,66.98,77.56,,,2021-01-18 10:20:00
SVET,44.6,,,22.0,2.0,1054.0,346.0,717433.0,270403.0,-0.67,-0.67,0.51,0.46,68.02,78.01,,,77.77,77.77,76.25,77.53,0.0049,246,190367,21,77.38,-0.3086,8,13,89947,100419,116,130,-0.06,77.54,77.25,4.0,4.0,180.0,248.0,44.6,,,22.0,2.0,1054.0,346.0,717433.0,270403.0,-0.67,-0.67,0.51,0.46,68.02,78.01,,,2021-01-18 10:25:00
SVET,58.8,,,22.0,1.0,1073.0,297.0,731424.0,233969.0,-0.68,-0.68,0.57,0.52,68.13,78.63,,,77.77,78.68,77.49,77.49,0.0044,92,71610,12,77.84,-0.36,8,4,51422,20188,66,26,0.43,77.91,77.65,74.0,219.0,282.0,282.0,58.8,,,22.0,1.0,1073.0,297.0,731424.0,233969.0,-0.68,-0.68,0.57,0.52,68.13,78.63,,,2021-01-18 10:30:00
SVET,41.0,,,24.0,1.0,1098.0,281.0,750862.0,221915.0,-0.9,-0.9,0.59,0.54,68.31,78.9,,,78.39,78.39,78.39,78.39,0.0,111,87012,12,78.39,0.0,12,0,87012,0,111,0,1.0,78.39,,64.0,64.0,64.0,276.0,41.0,,,24.0,1.0,1098.0,281.0,750862.0,221915.0,-0.9,-0.9,0.59,0.54,68.31,78.9,,,2021-01-18 10:35:00
SVET,50.0,,,28.0,3.0,959.0,199.0,642100.0,160734.0,-0.96,-0.96,0.66,0.6,66.88,80.68,,,78.39,78.39,78.39,78.39,0.0,109,85445,6,78.39,0.0,6,0,85445,0,109,0,1.0,78.39,,52.0,52.0,52.0,253.0,50.0,,,28.0,3.0,959.0,199.0,642100.0,160734.0,-0.96,-0.96,0.66,0.6,66.88,80.68,,,2021-01-18 10:40:00
SVET,50.0,,,29.0,3.0,983.0,107.0,660071.0,88276.0,-0.93,-0.93,0.8,0.76,67.12,82.41,,,78.39,78.39,78.39,78.39,0.0,14,10974,6,78.39,0.0,6,0,10974,0,14,0,1.0,78.39,,1.0,1.0,1.0,240.0,50.0,,,29.0,3.0,983.0,107.0,660071.0,88276.0,-0.93,-0.93,0.8,0.76,67.12,82.41,,,2021-01-18 10:45:00
SVET,1422.3,,,31.0,3.0,987.0,85.0,663577.0,78021.0,-0.69,-0.72,0.85,0.8,67.18,92.81,,,78.39,96.95,78.39,80.0,0.1351,80,63145,6,78.93,2.0538,5,1,62345,800,79,1,0.98,78.92,80.0,56.0,195.0,56.0,289.0,1422.3,,,31.0,3.0,987.0,85.0,663577.0,78021.0,-0.69,-0.72,0.85,0.8,67.18,92.81,,,2021-01-18 10:50:00
