ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
TATN,7.1,41.4,12.5,227,185.0,248809,276391.0,139194933,162941091.0,0.25,0.25,-0.05,-0.08,559.4,589.6,575.5,576.2,575.9,577.1,573.0,576.5,0.0004,198488,114251925,1094,575.6,0.1042,547,547,54174387,60077538,94056,104432,-0.05,576.0,575.3,1.0,95.0,29.0,299.0,7.1,41.4,12.5,227,185.0,248809,276391.0,139194933,162941091.0,0.25,0.25,-0.05,-0.08,559.4,589.6,575.5,576.2,2020-07-06 10:05:00
TATN,4.0,35.7,8.6,234,208.0,292741,321756.0,163551937,189368642.0,-0.09,-0.09,-0.05,-0.07,558.8,588.6,576.1,576.6,576.9,577.2,575.5,576.6,0.0002,87626,50525044,463,576.6,-0.052,241,222,20844541,29680503,36147,51479,-0.17,576.7,576.6,1.0,42.0,256.0,299.0,4.0,35.7,8.6,234,208.0,292741,321756.0,163551937,189368642.0,-0.09,-0.09,-0.05,-0.07,558.8,588.6,576.1,576.6,2020-07-06 10:10:00
TATN,4.4,36.4,8.6,233,217.0,249430,315095.0,138483906,185563855.0,0.03,0.03,-0.12,-0.15,555.2,588.9,575.7,576.2,576.7,577.1,574.7,576.4,0.0002,97175,55981927,441,576.1,-0.052,225,216,17244862,38737064,29930,67245,-0.38,576.2,576.1,1.0,25.0,152.0,299.0,4.4,36.4,8.6,233,217.0,249430,315095.0,138483906,185563855.0,0.03,0.03,-0.12,-0.15,555.2,588.9,575.7,576.2,2020-07-06 10:15:00
TATN,3.4,35.0,8.4,252,230.0,308009,305799.0,172302501,180857484.0,0.1,0.1,-0.01,-0.03,558.7,591.5,577.8,578.3,576.4,579.8,576.2,578.2,0.0002,175327,101328807,949,577.9,0.3123,558,391,71348909,29979897,123474,51853,0.41,577.8,578.2,1.0,148.0,2.0,300.0,3.4,35.0,8.4,252,230.0,308009,305799.0,172302501,180857484.0,0.1,0.1,-0.01,-0.03,558.7,591.5,577.8,578.3,2020-07-06 10:20:00
TATN,3.2,34.6,7.3,256,266.0,276048,368042.0,153677967,217673737.0,0.3,0.3,-0.14,-0.17,556.7,591.5,577.8,578.2,578.2,578.8,576.8,577.8,0.0002,57619,33294253,297,577.8,-0.0692,139,158,12962504,20331748,22432,35187,-0.22,577.9,577.8,1.0,70.0,140.0,300.0,3.2,34.6,7.3,256,266.0,276048,368042.0,153677967,217673737.0,0.3,0.3,-0.14,-0.17,556.7,591.5,577.8,578.2,2020-07-06 10:25:00
TATN,2.7,34.5,5.8,262,268.0,293667,371579.0,163225215,219633683.0,0.11,0.11,-0.12,-0.15,555.8,591.1,577.5,577.9,577.9,578.0,577.2,577.7,0.0002,79199,45767143,324,577.9,-0.0346,196,128,35383152,10383991,61223,17976,0.55,577.9,577.7,1.0,69.0,209.0,300.0,2.7,34.5,5.8,262,268.0,293667,371579.0,163225215,219633683.0,0.11,0.11,-0.12,-0.15,555.8,591.1,577.5,577.9,2020-07-06 10:30:00
TATN,3.6,34.9,6.6,262,259.0,293114,386963.0,162880446,228531489.0,-0.13,-0.13,-0.14,-0.17,555.7,590.6,577.5,577.9,578.0,578.0,577.2,577.3,0.0002,55718,32193149,451,577.8,-0.1211,194,257,20558526,11634622,35575,20143,0.28,577.9,577.6,2.0,2.0,117.0,300.0,3.6,34.9,6.6,262,259.0,293114,386963.0,162880446,228531489.0,-0.13,-0.13,-0.14,-0.17,555.7,590.6,577.5,577.9,2020-07-06 10:35:00
TATN,2.5,34.2,5.9,263,261.0,297896,407781.0,165577925,240628125.0,0.25,0.25,-0.16,-0.18,555.8,590.1,577.4,577.7,577.3,578.0,576.9,577.0,0.0001,61879,35752577,337,577.8,-0.052,174,163,26031945,9720632,45045,16834,0.46,577.9,577.4,1.0,8.0,282.0,300.0,2.5,34.2,5.9,263,261.0,297896,407781.0,165577925,240628125.0,0.25,0.25,-0.16,-0.18,555.8,590.1,577.4,577.7,2020-07-06 10:40:00
TATN,3.5,34.9,7.6,261,266.0,294904,419464.0,163788285,247352086.0,0.01,0.01,-0.17,-0.2,555.4,589.7,576.8,577.2,577.0,577.7,576.3,577.1,0.0002,36340,20960425,254,576.8,0.0173,121,133,8398215,12562210,14554,21786,-0.2,577.0,576.6,9.0,214.0,138.0,298.0,3.5,34.9,7.6,261,266.0,294904,419464.0,163788285,247352086.0,0.01,0.01,-0.17,-0.2,555.4,589.7,576.8,577.2,2020-07-06 10:45:00
TATN,3.8,35.3,6.8,267,260.0,305559,421906.0,169909401,248811034.0,-0.01,-0.01,-0.16,-0.19,556.1,589.7,577.4,577.8,577.1,577.9,577.1,577.9,0.0002,15180,8768975,182,577.7,0.1386,113,69,4761315,4007659,8241,6939,0.09,577.8,577.6,5.0,202.0,5.0,299.0,3.8,35.3,6.8,267,260.0,305559,421906.0,169909401,248811034.0,-0.01,-0.01,-0.16,-0.19,556.1,589.7,577.4,577.8,2020-07-06 10:50:00
TATN,2.3,33.7,5.1,271,254.0,310731,419827.0,172689297,247603834.0,-0.04,-0.04,-0.15,-0.18,555.8,589.8,577.6,577.9,577.9,578.0,576.7,577.0,0.0001,69114,39924490,294,577.7,-0.1557,154,140,27370325,12554164,47363,21751,0.37,577.9,577.2,2.0,24.0,276.0,299.0,2.3,33.7,5.1,271,254.0,310731,419827.0,172689297,247603834.0,-0.04,-0.04,-0.15,-0.18,555.8,589.8,577.6,577.9,2020-07-06 10:55:00
TATN,3.4,34.6,6.1,271,256.0,316005,410905.0,175539519,242359194.0,0.11,0.11,-0.13,-0.16,555.5,589.8,577.4,577.8,577.2,578.0,577.0,577.6,0.0002,45823,26476022,245,577.8,0.0693,165,80,18824204,7651818,32575,13248,0.42,577.9,577.6,1.0,213.0,11.0,298.0,3.4,34.6,6.1,271,256.0,316005,410905.0,175539519,242359194.0,0.11,0.11,-0.13,-0.16,555.5,589.8,577.4,577.8,2020-07-06 11:00:00
TATN,3.8,35.0,6.7,278,255.0,319633,420985.0,177580278,248191296.0,-0.48,-0.48,-0.14,-0.17,555.6,589.6,577.6,578.0,577.8,578.0,577.3,577.8,0.0002,95032,54921606,366,577.9,0.0,240,126,47343331,7578274,81912,13120,0.72,578.0,577.6,1.0,15.0,274.0,296.0,3.8,35.0,6.7,278,255.0,319633,420985.0,177580278,248191296.0,-0.48,-0.48,-0.14,-0.17,555.6,589.6,577.6,578.0,2020-07-06 11:05:00
TATN,5.3,36.6,8.3,277,257.0,315980,447799.0,175451572,263689308.0,-0.28,-0.29,-0.17,-0.2,555.3,588.9,577.3,577.7,577.8,578.0,576.3,577.6,0.0002,44814,25873181,272,577.3,-0.0346,132,140,10947935,14925246,18952,25862,-0.15,577.7,577.1,2.0,24.0,105.0,295.0,5.3,36.6,8.3,277,257.0,315980,447799.0,175451572,263689308.0,-0.28,-0.29,-0.17,-0.2,555.3,588.9,577.3,577.7,2020-07-06 11:10:00
TATN,4.2,35.4,8.1,279,256.0,316717,508818.0,175834536,299103828.0,-0.26,-0.26,-0.23,-0.26,555.2,587.8,577.2,577.7,577.8,577.9,577.0,577.5,0.0002,15903,9184076,153,577.5,-0.0519,83,70,3453743,5730332,5979,9924,-0.25,577.6,577.4,4.0,15.0,234.0,300.0,4.2,35.4,8.1,279,256.0,316717,508818.0,175834536,299103828.0,-0.26,-0.26,-0.23,-0.26,555.2,587.8,577.2,577.7,2020-07-06 11:15:00
TATN,3.9,35.2,7.4,279,258.0,320090,512152.0,177798787,301176329.0,-0.13,-0.13,-0.23,-0.26,555.5,588.1,577.1,577.6,577.4,577.7,577.0,577.5,0.0002,11875,6857279,135,577.5,0.0173,74,61,4777712,2079567,8273,3602,0.39,577.5,577.3,3.0,32.0,131.0,297.0,3.9,35.2,7.4,279,258.0,320090,512152.0,177798787,301176329.0,-0.13,-0.13,-0.23,-0.26,555.5,588.1,577.1,577.6,2020-07-06 11:20:00
TATN,3.1,34.4,5.3,281,257.0,326945,501599.0,181707840,295010134.0,-0.28,-0.28,-0.21,-0.24,555.8,588.1,577.4,577.7,577.5,577.8,577.2,577.8,0.0002,19171,11074058,148,577.6,0.0519,112,36,8360086,2713972,14472,4699,0.51,577.7,577.6,1.0,195.0,1.0,299.0,3.1,34.4,5.3,281,257.0,326945,501599.0,181707840,295010134.0,-0.28,-0.28,-0.21,-0.24,555.8,588.1,577.4,577.7,2020-07-06 11:25:00
TATN,2.8,34.1,8.0,279,258.0,324054,494834.0,179910304,291072898.0,-0.38,-0.38,-0.21,-0.24,555.2,588.2,577.2,577.7,577.7,577.9,576.6,577.3,0.0002,30120,17391241,208,577.4,-0.0692,94,114,7588253,9802987,13135,16985,-0.13,577.7,577.2,2.0,45.0,74.0,299.0,2.8,34.1,8.0,279,258.0,324054,494834.0,179910304,291072898.0,-0.38,-0.38,-0.21,-0.24,555.2,588.2,577.2,577.7,2020-07-06 11:30:00
TATN,3.4,35.1,6.7,277,261.0,318911,501741.0,176945224,295042577.0,0.19,0.19,-0.22,-0.25,554.8,588.0,577.1,577.5,577.5,577.6,577.0,577.2,0.0002,20943,12092276,134,577.4,-0.0519,65,69,3907681,8184594,6768,14175,-0.35,577.4,577.4,2.0,4.0,148.0,289.0,3.4,35.1,6.7,277,261.0,318911,501741.0,176945224,295042577.0,0.19,0.19,-0.22,-0.25,554.8,588.0,577.1,577.5,2020-07-06 11:35:00
TATN,3.2,34.5,7.1,273,264.0,315455,510646.0,174941425,300103081.0,0.18,0.18,-0.24,-0.26,554.6,587.7,576.6,577.0,577.2,577.4,576.3,576.4,0.0002,19668,11342250,151,576.7,-0.1386,45,106,3114872,8227377,5400,14268,-0.45,576.8,576.6,14.0,17.0,125.0,298.0,3.2,34.5,7.1,273,264.0,315455,510646.0,174941425,300103081.0,0.18,0.18,-0.24,-0.26,554.6,587.7,576.6,577.0,2020-07-06 11:40:00
TATN,3.3,35.0,7.5,268,265.0,313979,509566.0,174089639,299435295.0,0.08,0.08,-0.24,-0.26,554.5,587.6,576.3,576.7,576.4,577.4,576.1,577.4,0.0002,20271,11688216,177,576.6,0.1735,107,70,7331187,4357028,12710,7561,0.25,576.8,576.3,3.0,294.0,147.0,299.0,3.3,35.0,7.5,268,265.0,313979,509566.0,174089639,299435295.0,0.08,0.08,-0.24,-0.26,554.5,587.6,576.3,576.7,2020-07-06 11:45:00
TATN,2.9,34.5,6.4,275,259.0,320175,509288.0,177655281,299296753.0,-0.16,-0.16,-0.23,-0.26,554.9,587.7,577.0,577.4,577.4,577.5,576.6,577.0,0.0002,7921,4571596,111,577.1,-0.0693,59,52,1547566,3024030,2680,5241,-0.32,577.5,577.0,1.0,9.0,271.0,300.0,2.9,34.5,6.4,275,259.0,320175,509288.0,177655281,299296753.0,-0.16,-0.16,-0.23,-0.26,554.9,587.7,577.0,577.4,2020-07-06 11:50:00
TATN,3.2,34.7,7.2,272,266.0,321985,512439.0,178577236,301085160.0,-0.24,-0.24,-0.23,-0.26,554.6,587.6,576.3,576.8,576.9,576.9,576.1,576.1,0.0002,10872,6267407,100,576.5,-0.1387,29,71,1695591,4571815,2940,7932,-0.46,576.7,576.4,6.0,6.0,277.0,297.0,3.2,34.7,7.2,272,266.0,321985,512439.0,178577236,301085160.0,-0.24,-0.24,-0.23,-0.26,554.6,587.6,576.3,576.8,2020-07-06 11:55:00
TATN,2.0,33.3,4.5,264,270.0,319636,520394.0,177221136,305648967.0,-0.01,-0.01,-0.24,-0.27,554.4,587.3,576.1,576.4,576.1,576.3,576.0,576.2,0.0001,9694,5585139,82,576.1,0.0174,37,45,1384645,4200493,2403,7291,-0.5,576.2,576.1,4.0,10.0,297.0,300.0,2.0,33.3,4.5,264,270.0,319636,520394.0,177221136,305648967.0,-0.01,-0.01,-0.24,-0.27,554.4,587.3,576.1,576.4,2020-07-06 12:00:00
TATN,3.3,34.8,6.2,260,273.0,303286,522576.0,167696564,306878787.0,0.06,0.06,-0.27,-0.29,552.9,587.2,575.5,575.9,576.2,576.3,575.4,575.9,0.0002,23432,13492593,154,575.8,-0.0521,40,114,1837483,11655109,3192,20240,-0.73,575.7,575.8,4.0,13.0,129.0,300.0,3.3,34.8,6.2,260,273.0,303286,522576.0,167696564,306878787.0,0.06,0.06,-0.27,-0.29,552.9,587.2,575.5,575.9,2020-07-06 12:05:00
TATN,4.1,35.6,7.2,260,273.0,301044,520269.0,166395285,305535657.0,0.04,0.04,-0.27,-0.29,552.7,587.3,575.5,575.9,575.8,576.2,575.3,575.5,0.0002,12975,7468715,85,575.6,-0.0521,43,42,2375571,5093144,4125,8850,-0.36,575.9,575.5,7.0,7.0,191.0,300.0,4.1,35.6,7.2,260,273.0,301044,520269.0,166395285,305535657.0,0.04,0.04,-0.27,-0.29,552.7,587.3,575.5,575.9,2020-07-06 12:10:00
TATN,3.0,34.4,6.2,257,279.0,295178,530581.0,163000990,311441050.0,-0.1,-0.1,-0.29,-0.31,552.2,587.0,575.0,575.4,575.5,575.8,574.8,575.0,0.0002,29428,16923834,153,575.1,-0.0869,29,124,1983849,14939985,3448,25980,-0.77,575.4,575.1,2.0,131.0,269.0,286.0,3.0,34.4,6.2,257,279.0,295178,530581.0,163000990,311441050.0,-0.1,-0.1,-0.29,-0.31,552.2,587.0,575.0,575.4,2020-07-06 12:15:00
TATN,2.9,34.5,6.4,259,281.0,294026,514476.0,162441169,302131109.0,-0.02,-0.02,-0.27,-0.3,552.5,587.3,575.1,575.4,575.0,575.7,574.9,575.7,0.0002,9083,5225468,83,575.3,0.1217,54,29,4059197,1166270,7055,2028,0.55,575.4,575.1,14.0,278.0,40.0,298.0,2.9,34.5,6.4,259,281.0,294026,514476.0,162441169,302131109.0,-0.02,-0.02,-0.27,-0.3,552.5,587.3,575.1,575.4,2020-07-06 12:20:00
TATN,3.5,34.9,7.3,263,276.0,299068,510763.0,165359801,300010218.0,-0.12,-0.12,-0.26,-0.29,552.9,587.4,575.5,575.9,575.5,576.0,575.4,575.7,0.0002,18217,10485041,95,575.6,0.0348,48,47,7160227,3324813,12440,5777,0.37,575.6,575.5,5.0,51.0,15.0,298.0,3.5,34.9,7.3,263,276.0,299068,510763.0,165359801,300010218.0,-0.12,-0.12,-0.26,-0.29,552.9,587.4,575.5,575.9,2020-07-06 12:25:00
TATN,3.4,35.0,6.6,263,277.0,304704,514151.0,168583556,301970039.0,-0.22,-0.22,-0.26,-0.28,553.3,587.3,575.5,575.9,575.7,576.1,575.4,575.5,0.0002,10747,6187343,94,575.7,-0.0347,57,37,2621580,3565762,4552,6195,-0.15,575.9,575.6,18.0,93.0,256.0,300.0,3.4,35.0,6.6,263,277.0,304704,514151.0,168583556,301970039.0,-0.22,-0.22,-0.26,-0.28,553.3,587.3,575.5,575.9,2020-07-06 12:30:00
TATN,2.7,34.9,5.0,262,278.0,304690,510259.0,168538656,299492640.0,-0.45,-0.45,-0.25,-0.28,553.1,586.9,575.4,575.7,575.4,575.8,575.3,575.6,0.0002,4266,2454900,58,575.5,0.0348,28,30,1121241,1333659,1948,2318,-0.09,575.6,575.3,18.0,199.0,75.0,296.0,2.7,34.9,5.0,262,278.0,304690,510259.0,168538656,299492640.0,-0.45,-0.45,-0.25,-0.28,553.1,586.9,575.4,575.7,2020-07-06 12:35:00
TATN,4.2,35.6,7.1,263,277.0,305217,514678.0,168845533,301967796.0,-0.27,-0.27,-0.26,-0.28,553.2,586.7,575.4,575.8,575.7,575.8,575.2,575.7,0.0003,5486,3157261,66,575.5,0.0,30,36,1070335,2086926,1859,3627,-0.32,575.8,575.4,3.0,96.0,252.0,293.0,4.2,35.6,7.1,263,277.0,305217,514678.0,168845533,301967796.0,-0.27,-0.27,-0.26,-0.28,553.2,586.7,575.4,575.8,2020-07-06 12:40:00
TATN,4.0,35.8,6.4,260,280.0,306039,519223.0,169316998,304586741.0,-0.07,-0.07,-0.26,-0.29,553.3,586.6,575.2,575.5,575.7,575.7,575.0,575.2,0.0002,13747,7905894,91,575.1,-0.0869,26,65,169183,7736710,294,13453,-0.96,575.5,575.1,4.0,4.0,255.0,300.0,4.0,35.8,6.4,260,280.0,306039,519223.0,169316998,304586741.0,-0.07,-0.07,-0.26,-0.29,553.3,586.6,575.2,575.5,2020-07-06 12:45:00
TATN,2.7,34.3,5.5,257,285.0,298296,517400.0,164803111,303522691.0,-0.41,-0.41,-0.27,-0.3,552.5,586.6,574.7,575.0,575.2,575.2,574.3,574.7,0.0002,11459,6584866,106,574.6,-0.0869,40,66,1484180,5100686,2583,8876,-0.55,574.6,574.7,2.0,2.0,278.0,295.0,2.7,34.3,5.5,257,285.0,298296,517400.0,164803111,303522691.0,-0.41,-0.41,-0.27,-0.3,552.5,586.6,574.7,575.0,2020-07-06 12:50:00
TATN,3.7,35.3,6.6,256,286.0,304447,522000.0,168122377,306128108.0,-0.5,-0.5,-0.26,-0.29,552.2,586.5,574.4,574.8,574.8,574.8,574.4,574.5,0.0003,2982,1713665,60,574.7,-0.0522,32,28,1084526,629139,1887,1095,0.27,574.7,574.6,3.0,3.0,37.0,289.0,3.7,35.3,6.6,256,286.0,304447,522000.0,168122377,306128108.0,-0.5,-0.5,-0.26,-0.29,552.2,586.5,574.4,574.8,2020-07-06 12:55:00
TATN,3.2,35.1,5.9,254,289.0,305780,523409.0,168858574,306938276.0,-0.37,-0.37,-0.26,-0.29,552.2,586.4,574.2,574.6,574.6,574.7,573.8,574.0,0.0002,12320,7074246,136,574.2,-0.1044,33,103,1084363,5989883,1888,10432,-0.69,574.3,574.2,7.0,44.0,284.0,293.0,3.2,35.1,5.9,254,289.0,305780,523409.0,168858574,306938276.0,-0.37,-0.37,-0.26,-0.29,552.2,586.4,574.2,574.6,2020-07-06 13:00:00
TATN,3.2,35.8,8.5,251,294.0,320147,540655.0,176974662,317006848.0,0.16,0.16,-0.26,-0.28,552.8,586.3,573.7,574.2,574.0,574.4,573.4,574.0,0.0001,10244,5878758,144,573.9,0.0,53,91,1728104,4150654,3010,7234,-0.41,574.1,573.8,4.0,65.0,111.0,298.0,3.2,35.8,8.5,251,294.0,320147,540655.0,176974662,317006848.0,0.16,0.16,-0.26,-0.28,552.8,586.3,573.7,574.2,2020-07-06 13:05:00
