ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
TATNP,8.5,46.0,15.5,253,213,95056,97559,50711471,56319812,0.08,0.08,-0.01,-0.05,533.1,577.6,560.0,560.8,558.9,562.4,557.1,561.0,0.0006,31930,17882799,353,560.1,0.3757,232,121,11948507,5934292,21330,10600,0.34,560.2,559.8,1.0,57.0,2.0,299.0,8.5,46.0,15.5,253,213,95056,97559,50711471,56319812,0.08,0.08,-0.01,-0.05,533.1,577.6,560.0,560.8,2020-07-06 10:05:00
TATNP,4.8,38.2,10.5,256,238,99123,109722,52911783,63293555,-0.29,-0.29,-0.05,-0.09,533.8,576.9,559.5,560.1,560.9,561.8,558.7,559.2,0.0003,31400,17585191,217,560.0,-0.3031,127,90,13254780,4330411,23663,7737,0.51,560.1,559.7,5.0,43.0,251.0,300.0,4.8,38.2,10.5,256,238,99123,109722,52911783,63293555,-0.29,-0.29,-0.05,-0.09,533.8,576.9,559.5,560.1,2020-07-06 10:10:00
TATNP,4.9,38.3,10.7,256,240,102717,110884,54618199,63933887,-0.23,-0.23,-0.04,-0.08,531.6,576.6,559.0,559.6,559.5,560.4,558.4,559.8,0.0002,44553,24917185,196,559.3,0.0536,111,85,9580942,15336242,17127,27426,-0.23,559.4,559.2,1.0,46.0,125.0,279.0,4.9,38.3,10.7,256,240,102717,110884,54618199,63933887,-0.23,-0.23,-0.04,-0.08,531.6,576.6,559.0,559.6,2020-07-06 10:15:00
TATNP,4.2,37.3,8.9,272,234,113834,107702,60806706,62191500,-0.08,-0.08,0.03,-0.01,534.2,577.4,560.2,560.7,560.0,560.9,559.9,560.5,0.0002,11315,6341338,133,560.4,0.0893,92,41,4928247,1413090,8794,2521,0.55,560.4,560.5,1.0,211.0,121.0,299.0,4.2,37.3,8.9,272,234,113834,107702,60806706,62191500,-0.08,-0.08,0.03,-0.01,534.2,577.4,560.2,560.7,2020-07-06 10:20:00
TATNP,3.6,36.8,9.8,278,241,111346,122836,59367086,70732824,-0.47,-0.47,-0.05,-0.09,533.1,575.9,560.0,560.5,560.8,561.0,560.0,560.1,0.0002,6412,3593470,90,560.4,-0.1248,28,62,961485,2631984,1715,4697,-0.47,560.6,560.4,5.0,6.0,124.0,300.0,3.6,36.8,9.8,278,241,111346,122836,59367086,70732824,-0.47,-0.47,-0.05,-0.09,533.1,575.9,560.0,560.5,2020-07-06 10:25:00
TATNP,2.8,35.8,8.0,283,248,112632,133978,60071826,77058620,-0.17,-0.17,-0.09,-0.12,533.3,575.2,559.9,560.3,560.0,560.5,559.5,560.0,0.0002,9845,5514531,126,560.1,0.0,77,49,3535025,1979505,6311,3534,0.28,560.1,560.1,7.0,63.0,261.0,297.0,2.8,35.8,8.0,283,248,112632,133978,60071826,77058620,-0.17,-0.17,-0.09,-0.12,533.3,575.2,559.9,560.3,2020-07-06 10:30:00
TATNP,3.6,37.0,8.0,283,251,113075,139111,60320572,80009932,-0.32,-0.32,-0.1,-0.14,533.4,575.2,559.7,560.1,559.8,560.5,559.3,560.4,0.0002,8913,4991153,166,560.0,0.1072,103,63,3118640,1872513,5569,3344,0.25,560.0,560.0,1.0,261.0,114.0,296.0,3.6,37.0,8.0,283,251,113075,139111,60320572,80009932,-0.32,-0.32,-0.1,-0.14,533.4,575.2,559.7,560.1,2020-07-06 10:35:00
TATNP,3.6,37.0,7.7,284,251,116038,140482,61973305,80838285,-0.11,-0.11,-0.1,-0.13,534.1,575.4,559.9,560.4,560.4,560.5,559.5,559.8,0.0002,5718,3203369,85,560.2,-0.1071,54,31,1689684,1513685,3015,2703,0.05,560.4,560.0,2.0,13.0,296.0,300.0,3.6,37.0,7.7,284,251,116038,140482,61973305,80838285,-0.11,-0.11,-0.1,-0.13,534.1,575.4,559.9,560.4,2020-07-06 10:40:00
TATNP,3.6,36.7,10.6,276,264,104889,148427,55868341,85179544,-0.07,-0.07,-0.17,-0.21,532.6,573.9,558.6,559.1,559.6,559.9,558.1,558.3,0.0002,13315,7438286,162,558.6,-0.2323,67,95,1722619,5715667,3083,10232,-0.54,558.7,558.6,3.0,11.0,266.0,294.0,3.6,36.7,10.6,276,264,104889,148427,55868341,85179544,-0.07,-0.07,-0.17,-0.21,532.6,573.9,558.6,559.1,2020-07-06 10:45:00
TATNP,3.5,36.8,10.1,275,267,106471,145293,56752296,83408270,-0.29,-0.29,-0.15,-0.19,533.0,574.1,558.4,559.0,558.3,559.4,558.1,559.4,0.0002,5479,3061586,96,558.8,0.197,75,21,2218325,843261,3970,1509,0.45,558.8,558.8,2.0,265.0,17.0,300.0,3.5,36.8,10.1,275,267,106471,145293,56752296,83408270,-0.29,-0.29,-0.15,-0.19,533.0,574.1,558.4,559.0,2020-07-06 10:50:00
TATNP,2.4,36.2,10.8,283,259,117009,145759,62651862,83721811,0.14,0.14,-0.11,-0.14,535.4,574.4,559.3,559.9,559.1,559.8,559.1,559.5,0.0002,2381,1332437,75,559.6,0.0715,45,30,521067,811369,931,1450,-0.22,559.7,559.6,4.0,29.0,4.0,288.0,2.4,36.2,10.8,283,259,117009,145759,62651862,83721811,0.14,0.14,-0.11,-0.14,535.4,574.4,559.3,559.9,2020-07-06 10:55:00
TATNP,3.9,38.7,7.4,285,255,117166,149692,62749751,85981320,0.1,0.1,-0.12,-0.16,535.6,574.4,559.8,560.2,559.7,560.5,559.5,560.4,0.0002,7148,4003930,108,560.1,0.1251,93,15,3595509,408421,6419,729,0.8,560.1,560.2,1.0,245.0,5.0,295.0,3.9,38.7,7.4,285,255,117166,149692,62749751,85981320,0.1,0.1,-0.12,-0.16,535.6,574.4,559.8,560.2,2020-07-06 11:00:00
TATNP,2.4,36.5,7.0,292,249,120170,140323,64458426,80738063,0.03,0.03,-0.08,-0.11,536.4,575.4,560.5,560.9,560.4,561.7,560.4,561.7,0.0001,16235,9107215,191,561.0,0.232,155,36,7408953,1698262,13208,3027,0.63,560.9,561.0,1.0,254.0,1.0,297.0,2.4,36.5,7.0,292,249,120170,140323,64458426,80738063,0.03,0.03,-0.08,-0.11,536.4,575.4,560.5,560.9,2020-07-06 11:05:00
TATNP,2.7,36.6,8.1,302,239,118538,132737,63593641,76522907,-0.17,-0.17,-0.06,-0.09,536.5,576.5,561.6,562.1,561.7,562.2,561.6,562.0,0.0001,11410,6410941,156,561.9,0.0534,124,32,5297370,1113571,9428,1982,0.65,561.9,561.8,1.0,199.0,105.0,290.0,2.7,36.6,8.1,302,239,118538,132737,63593641,76522907,-0.17,-0.17,-0.06,-0.09,536.5,576.5,561.6,562.1,2020-07-06 11:10:00
TATNP,2.3,35.0,9.8,305,239,115748,134715,62031955,77651587,-0.07,-0.07,-0.08,-0.11,535.9,576.4,561.7,562.2,562.1,562.2,561.8,562.1,0.0001,5347,3005614,85,562.1,0.0,58,27,2067583,938031,3678,1669,0.38,562.1,562.0,6.0,66.0,198.0,300.0,2.3,35.0,9.8,305,239,115748,134715,62031955,77651587,-0.07,-0.07,-0.08,-0.11,535.9,576.4,561.7,562.2,2020-07-06 11:15:00
TATNP,2.6,35.5,6.4,312,237,117302,132640,62934467,76482718,-0.21,-0.21,-0.06,-0.1,536.5,576.6,562.2,562.5,561.9,562.9,561.9,562.8,0.0002,17816,10019543,162,562.4,0.1602,113,49,6325070,3694473,11245,6571,0.26,562.5,562.2,5.0,176.0,5.0,297.0,2.6,35.5,6.4,312,237,117302,132640,62934467,76482718,-0.21,-0.21,-0.06,-0.1,536.5,576.6,562.2,562.5,2020-07-06 11:20:00
TATNP,2.7,37.9,7.2,313,235,108073,129340,57805270,74668807,-0.53,-0.53,-0.09,-0.13,534.8,577.3,562.7,563.1,562.8,563.8,562.6,562.9,0.0001,20633,11616892,178,563.0,0.0178,121,57,6967570,4649321,12376,8257,0.2,563.0,563.1,1.0,43.0,285.0,294.0,2.7,37.9,7.2,313,235,108073,129340,57805270,74668807,-0.53,-0.53,-0.09,-0.13,534.8,577.3,562.7,563.1,2020-07-06 11:25:00
TATNP,5.1,38.0,7.0,313,238,108128,138473,57826995,79835201,-0.41,-0.41,-0.12,-0.16,534.8,576.5,562.5,562.9,562.9,563.0,562.3,562.5,0.0003,12893,7254863,86,562.7,-0.0711,52,34,5451632,1803231,9688,3205,0.5,562.7,562.6,4.0,45.0,6.0,299.0,5.1,38.0,7.0,313,238,108128,138473,57826995,79835201,-0.41,-0.41,-0.12,-0.16,534.8,576.5,562.5,562.9,2020-07-06 11:30:00
TATNP,3.4,36.2,7.3,311,240,106170,138764,56725306,80001072,-0.49,-0.49,-0.13,-0.17,534.3,576.5,562.3,562.7,562.9,563.0,562.3,562.3,0.0002,6300,3545154,72,562.7,-0.1066,30,42,2012251,1532903,3575,2725,0.13,562.9,562.5,2.0,2.0,300.0,300.0,3.4,36.2,7.3,311,240,106170,138764,56725306,80001072,-0.49,-0.49,-0.13,-0.17,534.3,576.5,562.3,562.7,2020-07-06 11:35:00
TATNP,3.2,35.7,9.4,302,248,104052,145740,55535661,83917937,-0.87,-0.87,-0.17,-0.2,533.7,575.8,561.5,562.0,562.4,562.4,560.9,561.0,0.0001,1278,718211,61,562.0,-0.2489,16,45,51117,667094,91,1187,-0.86,561.7,562.0,13.0,13.0,296.0,300.0,3.2,35.7,9.4,302,248,104052,145740,55535661,83917937,-0.87,-0.87,-0.17,-0.2,533.7,575.8,561.5,562.0,2020-07-06 11:40:00
TATNP,2.3,35.8,7.6,298,255,105540,150633,56356831,86656139,-0.8,-0.8,-0.18,-0.21,534.0,575.3,560.7,561.1,561.0,562.1,560.5,562.1,0.0002,6656,3735278,47,561.2,0.1961,27,20,3465373,269905,6175,481,0.86,561.2,561.1,14.0,293.0,139.0,293.0,2.3,35.8,7.6,298,255,105540,150633,56356831,86656139,-0.8,-0.8,-0.18,-0.21,534.0,575.3,560.7,561.1,2020-07-06 11:45:00
TATNP,3.6,37.4,8.6,306,247,113064,144700,60583890,83338358,-0.46,-0.46,-0.12,-0.16,535.8,575.9,561.6,562.1,562.2,562.3,561.6,562.3,0.0002,2114,1187832,42,561.9,0.0178,23,19,864241,323591,1538,576,0.46,561.9,561.8,2.0,293.0,280.0,293.0,3.6,37.4,8.6,306,247,113064,144700,60583890,83338358,-0.46,-0.46,-0.12,-0.16,535.8,575.9,561.6,562.1,2020-07-06 11:50:00
TATNP,4.0,37.3,10.8,304,252,112051,149615,59916554,86100785,-0.32,-0.32,-0.14,-0.18,534.7,575.5,561.2,561.8,562.1,562.1,560.8,560.8,0.0002,2091,1174190,40,561.5,-0.2313,10,30,140977,1033212,251,1840,-0.76,561.7,561.5,7.0,7.0,298.0,298.0,4.0,37.3,10.8,304,252,112051,149615,59916554,86100785,-0.32,-0.32,-0.14,-0.18,534.7,575.5,561.2,561.8,2020-07-06 11:55:00
TATNP,3.7,36.4,8.9,300,257,111497,150201,59508534,86424353,-0.21,-0.21,-0.15,-0.18,533.7,575.4,560.8,561.3,561.0,561.3,560.7,561.2,0.0002,1459,818562,36,561.0,0.0357,24,12,570001,248560,1016,443,0.39,561.0,561.1,3.0,112.0,6.0,279.0,3.7,36.4,8.9,300,257,111497,150201,59508534,86424353,-0.21,-0.21,-0.15,-0.18,533.7,575.4,560.8,561.3,2020-07-06 12:00:00
TATNP,3.9,37.6,10.4,298,260,109680,154495,58476657,88830460,-0.38,-0.38,-0.17,-0.21,533.1,575.0,560.4,561.0,560.8,561.0,560.5,560.9,0.0002,2446,1371465,55,560.7,0.0178,33,22,973884,397581,1737,709,0.42,560.7,560.8,48.0,131.0,78.0,293.0,3.9,37.6,10.4,298,260,109680,154495,58476657,88830460,-0.38,-0.38,-0.17,-0.21,533.1,575.0,560.4,561.0,2020-07-06 12:05:00
TATNP,3.6,36.2,11.1,291,268,106024,156985,56395338,90213023,-0.19,-0.19,-0.19,-0.23,531.9,574.7,559.7,560.4,560.7,560.8,559.5,559.7,0.0002,2149,1203861,78,560.2,-0.1783,19,59,262876,940984,469,1680,-0.56,560.5,560.1,1.0,1.0,230.0,298.0,3.6,36.2,11.1,291,268,106024,156985,56395338,90213023,-0.19,-0.19,-0.19,-0.23,531.9,574.7,559.7,560.4,2020-07-06 12:10:00
TATNP,4.2,36.9,10.9,284,277,104876,157875,55722869,90674609,-0.23,-0.23,-0.2,-0.24,531.3,574.4,558.9,559.5,559.4,559.7,558.6,558.8,0.0002,6030,3371982,89,559.2,-0.1073,31,58,1301838,2070143,2328,3702,-0.23,559.2,559.2,14.0,131.0,263.0,296.0,4.2,36.9,10.9,284,277,104876,157875,55722869,90674609,-0.23,-0.23,-0.2,-0.24,531.3,574.4,558.9,559.5,2020-07-06 12:15:00
TATNP,3.1,35.5,9.9,284,277,107121,159918,56968362,91815809,-0.23,-0.23,-0.2,-0.23,531.8,574.1,558.9,559.5,559.0,559.8,558.8,559.8,0.0002,6267,3503873,60,559.1,0.1431,42,18,2052316,1451557,3670,2597,0.17,559.2,558.9,1.0,294.0,15.0,294.0,3.1,35.5,9.9,284,277,107121,159918,56968362,91815809,-0.23,-0.23,-0.2,-0.23,531.8,574.1,558.9,559.5,2020-07-06 12:20:00
TATNP,3.8,36.3,9.6,290,271,110104,162081,58640423,93063213,0.0,0.0,-0.19,-0.23,532.6,574.2,559.5,560.0,559.7,560.1,559.6,559.7,0.0002,4220,2361936,41,559.7,0.0,22,19,671230,1690705,1199,3021,-0.43,559.8,559.7,6.0,156.0,15.0,261.0,3.8,36.3,9.6,290,271,110104,162081,58640423,93063213,0.0,0.0,-0.19,-0.23,532.6,574.2,559.5,560.0,2020-07-06 12:25:00
TATNP,2.0,36.1,9.2,294,272,109868,162195,58500927,93163776,-0.36,-0.36,-0.19,-0.23,532.5,574.4,559.6,560.1,559.8,560.1,559.8,559.9,0.0001,2896,1621566,53,559.9,0.0179,28,25,1105353,516213,1974,922,0.36,560.0,559.9,18.0,93.0,18.0,298.0,2.0,36.1,9.2,294,272,109868,162195,58500927,93163776,-0.36,-0.36,-0.19,-0.23,532.5,574.4,559.6,560.1,2020-07-06 12:30:00
TATNP,4.0,36.9,9.1,305,273,123015,159487,65566916,91665333,-0.03,-0.03,-0.13,-0.17,533.0,574.8,560.1,560.6,559.8,560.9,559.8,560.9,0.0003,1361,762545,34,560.3,0.1965,28,6,628677,133868,1122,239,0.65,560.3,560.1,13.0,268.0,13.0,281.0,4.0,36.9,9.1,305,273,123015,159487,65566916,91665333,-0.03,-0.03,-0.13,-0.17,533.0,574.8,560.1,560.6,2020-07-06 12:35:00
TATNP,2.3,35.6,7.0,307,269,124887,157351,66614338,90473987,-0.13,-0.13,-0.11,-0.15,533.4,575.0,560.5,560.9,560.7,561.0,560.6,560.8,0.0001,1443,809337,35,560.9,0.0178,19,16,452704,356632,807,636,0.12,561.0,560.7,3.0,146.0,268.0,287.0,2.3,35.6,7.0,307,269,124887,157351,66614338,90473987,-0.13,-0.13,-0.11,-0.15,533.4,575.0,560.5,560.9,2020-07-06 12:40:00
TATNP,3.2,36.6,8.7,305,272,125580,161359,66999819,92727526,-0.14,-0.14,-0.12,-0.16,533.5,574.7,560.3,560.8,560.8,560.8,560.4,560.6,0.0002,1053,590335,34,560.6,-0.0357,22,12,318474,271861,568,485,0.08,560.7,560.5,8.0,8.0,213.0,289.0,3.2,36.6,8.7,305,272,125580,161359,66999819,92727526,-0.14,-0.14,-0.12,-0.16,533.5,574.7,560.3,560.8,2020-07-06 12:45:00
TATNP,3.7,36.6,8.9,304,274,123074,164677,65593846,94586612,-0.56,-0.56,-0.14,-0.18,532.9,574.4,560.1,560.6,560.6,560.9,559.7,559.7,0.0002,837,469315,48,560.7,-0.1605,25,23,393090,76225,701,136,0.68,560.8,560.5,14.0,21.0,263.0,263.0,3.7,36.6,8.9,304,274,123074,164677,65593846,94586612,-0.56,-0.56,-0.14,-0.18,532.9,574.4,560.1,560.6,2020-07-06 12:50:00
TATNP,4.4,37.1,9.3,301,277,121221,165912,64550400,95275651,-0.04,-0.04,-0.16,-0.19,532.5,574.3,559.8,560.3,560.0,560.2,559.8,560.1,0.0003,1292,723551,41,560.0,0.0179,26,15,436286,287264,779,513,0.21,560.1,560.0,2.0,48.0,19.0,285.0,4.4,37.1,9.3,301,277,121221,165912,64550400,95275651,-0.04,-0.04,-0.16,-0.19,532.5,574.3,559.8,560.3,2020-07-06 12:55:00
TATNP,2.3,35.0,10.2,302,279,120859,164906,64346913,94711784,-0.6,-0.6,-0.15,-0.19,532.4,574.3,559.7,560.3,560.1,560.2,559.7,559.7,0.0001,652,365036,29,559.9,-0.0714,12,17,90721,274315,162,490,-0.5,560.0,559.8,20.0,73.0,283.0,283.0,2.3,35.0,10.2,302,279,120859,164906,64346913,94711784,-0.6,-0.6,-0.15,-0.19,532.4,574.3,559.7,560.3,2020-07-06 13:00:00
TATNP,3.5,36.5,8.5,298,284,119123,165302,63364005,94914264,-0.33,-0.33,-0.16,-0.2,531.9,574.2,559.2,559.7,559.7,560.2,559.1,559.3,0.0002,1914,1070967,46,559.5,-0.0715,30,16,461096,609870,824,1090,-0.14,559.6,559.5,4.0,26.0,172.0,278.0,3.5,36.5,8.5,298,284,119123,165302,63364005,94914264,-0.33,-0.33,-0.16,-0.2,531.9,574.2,559.2,559.7,2020-07-06 13:05:00
TATNP,3.0,35.6,8.2,300,283,120778,164621,64283429,94506374,-0.27,-0.27,-0.15,-0.19,532.2,574.1,559.2,559.6,559.3,559.9,559.1,559.9,0.0001,2004,1121022,35,559.4,0.1073,26,9,890095,230927,1591,413,0.59,559.5,559.1,3.0,279.0,106.0,279.0,3.0,35.6,8.2,300,283,120778,164621,64283429,94506374,-0.27,-0.27,-0.15,-0.19,532.2,574.1,559.2,559.6,2020-07-06 13:10:00
TATNP,3.0,35.7,7.8,307,276,130531,159550,69739198,91687311,-0.09,-0.09,-0.1,-0.14,534.3,574.7,559.9,560.3,559.7,561.0,559.7,560.7,0.0002,7524,4215410,120,560.3,0.1787,90,30,3126800,1088609,5581,1943,0.48,560.3,560.3,58.0,243.0,58.0,296.0,3.0,35.7,7.8,307,276,130531,159550,69739198,91687311,-0.09,-0.09,-0.1,-0.14,534.3,574.7,559.9,560.3,2020-07-06 13:15:00
