ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
TCSG,24.3,102.6,58.0,98,48,9787,7848,13965895,11904708,-0.31,-0.31,0.12,0.09,1426.9,1516.1,1459.5,1468.0,1481.0,1481.0,1456.0,1468.2,0.0016,3718,5442838,213,1463.9,-0.8643,140,73,3293657,2149181,2246,1472,0.21,1466.5,1460.0,2.0,2.0,21.0,299.0,24.3,102.6,58.0,98,48,9787,7848,13965895,11904708,-0.31,-0.31,0.12,0.09,1426.9,1516.1,1459.5,1468.0,2020-07-06 10:05:00
TCSG,12.3,75.0,44.7,109,48,12609,8381,17987271,12889360,-0.34,-0.34,0.19,0.16,1428.2,1537.9,1470.2,1476.8,1468.2,1479.0,1468.0,1478.0,0.0007,3534,5209460,228,1474.1,0.6675,161,67,3992635,1216824,2709,825,0.53,1473.8,1474.9,5.0,289.0,43.0,300.0,12.3,75.0,44.7,109,48,12609,8381,17987271,12889360,-0.34,-0.34,0.19,0.16,1428.2,1537.9,1470.2,1476.8,2020-07-06 10:10:00
TCSG,13.6,77.1,42.1,111,52,16978,8230,23851542,12670196,-0.55,-0.55,0.35,0.31,1404.8,1539.5,1475.7,1482.0,1479.0,1484.0,1472.2,1481.0,0.0007,2862,4232438,161,1478.8,0.1352,118,43,3169655,1062782,2142,720,0.5,1479.8,1476.1,1.0,95.0,49.0,284.0,13.6,77.1,42.1,111,52,16978,8230,23851542,12670196,-0.55,-0.55,0.35,0.31,1404.8,1539.5,1475.7,1482.0,2020-07-06 10:15:00
TCSG,13.5,62.5,37.1,126,58,16868,8957,23683458,13742903,-0.27,-0.27,0.31,0.27,1404.0,1534.2,1479.3,1484.8,1481.0,1487.6,1479.2,1486.0,0.0007,3081,4572629,173,1484.1,0.3376,115,58,3303061,1269567,2225,856,0.44,1484.5,1483.1,1.0,232.0,38.0,300.0,13.5,62.5,37.1,126,58,16868,8957,23683458,13742903,-0.27,-0.27,0.31,0.27,1404.0,1534.2,1479.3,1484.8,2020-07-06 10:20:00
TCSG,13.8,55.7,36.7,136,70,16570,9428,23269561,14469318,0.01,0.01,0.28,0.23,1404.3,1534.8,1480.2,1485.7,1485.0,1487.0,1479.0,1481.4,0.0007,1675,2483647,148,1482.8,-0.2424,74,74,813173,1670473,548,1127,-0.35,1483.9,1482.2,5.0,21.0,249.0,300.0,13.8,55.7,36.7,136,70,16570,9428,23269561,14469318,0.01,0.01,0.28,0.23,1404.3,1534.8,1480.2,1485.7,2020-07-06 10:25:00
TCSG,14.7,52.6,35.0,145,77,16877,10245,23717392,15709508,-0.31,-0.31,0.24,0.2,1405.3,1533.4,1481.2,1486.4,1481.6,1487.6,1480.4,1487.6,0.0007,2435,3614493,144,1484.4,0.405,106,38,2239998,1374494,1508,927,0.24,1485.4,1482.7,1.0,291.0,132.0,300.0,14.7,52.6,35.0,145,77,16877,10245,23717392,15709508,-0.31,-0.31,0.24,0.2,1405.3,1533.4,1481.2,1486.4,2020-07-06 10:30:00
TCSG,15.0,59.4,33.1,157,72,17368,9204,24442598,14177108,-0.49,-0.49,0.31,0.27,1407.3,1540.3,1485.3,1490.2,1487.6,1494.6,1485.0,1494.0,0.0006,3927,5846312,195,1488.7,0.4302,156,39,4780927,1065385,3211,716,0.64,1488.9,1488.0,2.0,291.0,25.0,300.0,15.0,59.4,33.1,157,72,17368,9204,24442598,14177108,-0.49,-0.49,0.31,0.27,1407.3,1540.3,1485.3,1490.2,2020-07-06 10:35:00
TCSG,13.8,67.3,32.6,161,68,17377,9300,24477874,14348395,-0.29,-0.29,0.3,0.26,1408.6,1542.7,1490.1,1495.0,1493.4,1495.0,1490.2,1493.2,0.0005,2731,4076028,172,1492.5,-0.0134,97,75,1955615,2120412,1310,1421,-0.04,1492.8,1492.2,8.0,77.0,84.0,300.0,13.8,67.3,32.6,161,68,17377,9300,24477874,14348395,-0.29,-0.29,0.3,0.26,1408.6,1542.7,1490.1,1495.0,2020-07-06 10:40:00
TCSG,12.9,55.8,30.4,164,74,17991,11285,25395324,17456356,-0.4,-0.4,0.23,0.19,1411.5,1546.7,1490.7,1495.3,1492.0,1496.0,1490.2,1496.0,0.0006,1975,2950409,150,1493.9,0.2681,109,41,1950350,1000058,1305,670,0.32,1494.5,1492.6,16.0,146.0,146.0,283.0,12.9,55.8,30.4,164,74,17991,11285,25395324,17456356,-0.4,-0.4,0.23,0.19,1411.5,1546.7,1490.7,1495.3,2020-07-06 10:45:00
TCSG,14.0,63.3,35.2,158,75,17183,11892,24194375,18387685,-0.56,-0.56,0.18,0.14,1407.9,1546.2,1488.2,1493.4,1494.2,1496.0,1485.6,1494.0,0.0006,4646,6926923,222,1490.9,-0.0134,99,123,3550829,3376094,2381,2265,0.02,1491.3,1490.5,6.0,62.0,83.0,284.0,14.0,63.3,35.2,158,75,17183,11892,24194375,18387685,-0.56,-0.56,0.18,0.14,1407.9,1546.2,1488.2,1493.4,2020-07-06 10:50:00
TCSG,8.6,55.4,28.2,151,83,16702,13237,23477522,20407673,-0.6,-0.6,0.12,0.07,1405.6,1541.7,1487.0,1491.2,1493.8,1494.8,1487.0,1487.0,0.0006,1082,1612741,84,1490.5,-0.4552,44,40,1009143,603597,677,405,0.25,1490.6,1490.4,5.0,6.0,129.0,286.0,8.6,55.4,28.2,151,83,16702,13237,23477522,20407673,-0.6,-0.6,0.12,0.07,1405.6,1541.7,1487.0,1491.2,2020-07-06 10:55:00
TCSG,12.8,61.6,35.9,138,91,16040,13525,22479608,20825181,-0.32,-0.32,0.09,0.04,1401.4,1539.8,1482.7,1488.1,1488.0,1489.2,1475.6,1486.8,0.0005,5671,8413481,275,1483.6,-0.0806,127,148,4484808,3928673,3023,2648,0.07,1483.6,1483.6,1.0,10.0,34.0,297.0,12.8,61.6,35.9,138,91,16040,13525,22479608,20825181,-0.32,-0.32,0.09,0.04,1401.4,1539.8,1482.7,1488.1,2020-07-06 11:00:00
TCSG,12.3,56.5,31.1,144,85,16564,13257,23264218,20439070,-0.28,-0.28,0.11,0.06,1404.4,1541.7,1486.8,1491.4,1486.0,1493.6,1484.0,1493.4,0.0005,4833,7199503,306,1489.7,0.498,244,62,5528772,1670730,3710,1123,0.54,1490.2,1487.7,1.0,140.0,27.0,296.0,12.3,56.5,31.1,144,85,16564,13257,23264218,20439070,-0.28,-0.28,0.11,0.06,1404.4,1541.7,1486.8,1491.4,2020-07-06 11:05:00
TCSG,9.9,53.0,33.0,150,75,16540,12682,23247731,19602141,-0.51,-0.51,0.13,0.09,1405.5,1545.7,1491.2,1496.1,1493.0,1498.0,1490.2,1498.0,0.0004,3358,5019554,211,1494.8,0.3349,160,51,4254690,764863,2846,512,0.7,1495.0,1493.9,2.0,289.0,25.0,289.0,9.9,53.0,33.0,150,75,16540,12682,23247731,19602141,-0.51,-0.51,0.13,0.09,1405.5,1545.7,1491.2,1496.1,2020-07-06 11:10:00
TCSG,8.9,54.9,32.3,155,73,16945,12323,23855058,19078700,-0.7,-0.7,0.16,0.11,1407.7,1548.2,1493.6,1498.5,1498.0,1498.2,1494.2,1498.0,0.0006,1565,2343323,137,1497.3,0.0,87,50,1539518,803804,1028,537,0.31,1497.6,1496.8,4.0,56.0,176.0,300.0,8.9,54.9,32.3,155,73,16945,12323,23855058,19078700,-0.7,-0.7,0.16,0.11,1407.7,1548.2,1493.6,1498.5,2020-07-06 11:15:00
