ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
TGKA,9.4,45.7,24.3,195,222,56272,54415,68015782,73185000,-0.11,-0.11,0.02,-0.04,0.012086,0.013452,0.012445,0.012475,0.012344,0.01255,0.012342,0.01244,0.0006,51502,64158582,1748,0.012457,0.7777,927,821,42218686,21939895,33880,17622,0.32,0.012461,0.01245,1.0,123.0,2.0,299.0,9.4,45.7,24.3,195,222,56272,54415,68015782,73185000,-0.11,-0.11,0.02,-0.04,0.012086,0.013452,0.012445,0.012475,2020-07-06 10:05:00
TGKA,6.6,38.7,22.3,194,249,48573,57557,58595747,77072738,0.02,0.02,-0.09,-0.14,0.012063,0.013391,0.012429,0.012457,0.012426,0.012466,0.01241,0.012452,0.0003,13221,16443552,666,0.012437,0.2092,327,339,6565230,9878322,5276,7945,-0.2,0.012444,0.012433,1.0,207.0,7.0,300.0,6.6,38.7,22.3,194,249,48573,57557,58595747,77072738,0.02,0.02,-0.09,-0.14,0.012063,0.013391,0.012429,0.012457,2020-07-06 10:10:00
TGKA,5.1,35.9,14.5,203,260,44900,56166,54373698,75315679,-0.3,-0.3,-0.11,-0.16,0.012106,0.013411,0.012446,0.012464,0.012444,0.01248,0.012422,0.01245,0.0002,26115,32516755,827,0.012451,0.0482,356,471,12628612,19888143,10139,15976,-0.22,0.012455,0.012449,2.0,97.0,267.0,300.0,5.1,35.9,14.5,203,260,44900,56166,54373698,75315679,-0.3,-0.3,-0.11,-0.16,0.012106,0.013411,0.012446,0.012464,2020-07-06 10:15:00
TGKA,6.5,37.8,18.9,194,272,41180,59410,49693170,79612231,-0.14,-0.14,-0.18,-0.23,0.012067,0.013401,0.01242,0.012443,0.012454,0.012456,0.012406,0.012418,0.0003,18824,23396432,621,0.012429,-0.2891,256,365,6948070,16448362,5587,13237,-0.41,0.012436,0.012426,2.0,5.0,291.0,299.0,6.5,37.8,18.9,194,272,41180,59410,49693170,79612231,-0.14,-0.14,-0.18,-0.23,0.012067,0.013401,0.01242,0.012443,2020-07-06 10:20:00
TGKA,6.7,39.0,22.3,220,259,41985,54205,50679739,73104255,-0.05,-0.05,-0.13,-0.18,0.01207,0.01349,0.012447,0.012474,0.012418,0.012528,0.0124,0.01249,0.0003,19500,24291662,732,0.012457,0.5798,367,365,14895021,9396641,11941,7559,0.22,0.012474,0.012431,2.0,208.0,2.0,296.0,6.7,39.0,22.3,220,259,41985,54205,50679739,73104255,-0.05,-0.05,-0.13,-0.18,0.01207,0.01349,0.012447,0.012474,2020-07-06 10:25:00
TGKA,6.6,38.9,20.3,239,260,42992,57332,51959155,77082637,-0.48,-0.48,-0.14,-0.19,0.012086,0.013446,0.012468,0.012493,0.012488,0.0125,0.012468,0.012478,0.0003,3165,3953970,194,0.012493,-0.0801,109,85,3168613,785357,2536,629,0.6,0.012495,0.012486,1.0,35.0,254.0,299.0,6.6,38.9,20.3,239,260,42992,57332,51959155,77082637,-0.48,-0.48,-0.14,-0.19,0.012086,0.013446,0.012468,0.012493,2020-07-06 10:30:00
TGKA,6.6,39.0,24.4,236,272,42211,59153,50974516,79391083,-0.29,-0.29,-0.17,-0.22,0.012076,0.013421,0.012443,0.012474,0.012472,0.012476,0.01244,0.012466,0.0003,4708,5866359,295,0.01246,-0.0481,106,189,1257647,4608712,1009,3699,-0.57,0.012464,0.012459,4.0,10.0,284.0,296.0,6.6,39.0,24.4,236,272,42211,59153,50974516,79391083,-0.29,-0.29,-0.17,-0.22,0.012076,0.013421,0.012443,0.012474,2020-07-06 10:35:00
TGKA,4.2,39.5,19.3,240,270,42303,59996,51123033,80468781,0.21,0.21,-0.17,-0.22,0.012085,0.013412,0.012459,0.012483,0.012468,0.01248,0.01245,0.01248,0.0003,1964,2448186,152,0.012465,0.0962,89,63,905211,1542974,726,1238,-0.26,0.012468,0.012463,1.0,250.0,97.0,296.0,4.2,39.5,19.3,240,270,42303,59996,51123033,80468781,0.21,0.21,-0.17,-0.22,0.012085,0.013412,0.012459,0.012483,2020-07-06 10:40:00
TGKA,3.5,38.9,15.4,245,270,42809,61529,51763441,82394367,0.02,0.02,-0.18,-0.23,0.012092,0.013391,0.012473,0.012492,0.01248,0.012492,0.012472,0.01248,0.0002,7777,9705656,234,0.01248,0.0,167,67,8099618,1606037,6490,1287,0.67,0.01248,0.012479,3.0,96.0,11.0,300.0,3.5,38.9,15.4,245,270,42809,61529,51763441,82394367,0.02,0.02,-0.18,-0.23,0.012092,0.013391,0.012473,0.012492,2020-07-06 10:45:00
TGKA,3.5,34.9,14.1,251,268,45936,61288,55645251,82090874,-0.09,-0.09,-0.14,-0.19,0.012113,0.013394,0.01248,0.012498,0.01248,0.01251,0.012478,0.012508,0.0002,8114,10133174,264,0.012489,0.2244,229,35,9828333,304840,7870,244,0.94,0.012488,0.012493,3.0,286.0,13.0,297.0,3.5,34.9,14.1,251,268,45936,61288,55645251,82090874,-0.09,-0.09,-0.14,-0.19,0.012113,0.013394,0.01248,0.012498,2020-07-06 10:50:00
