ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
TGKN,86.3,807.9,557.8,42.0,66.0,2205.0,614.0,4632325.0,2190300.0,0.59,0.59,0.57,0.37,0.0021,0.00355,0.00305,0.00322,0.00314,0.00314,0.00314,0.00314,,1,3140,1,0.00314,0.0,0,1,0,3140,0,1,-1.0,,0.00314,2.0,2.0,2.0,2.0,86.3,807.9,557.8,42.0,66.0,2205.0,614.0,4632325.0,2190300.0,0.59,0.59,0.57,0.37,0.0021,0.00355,0.00305,0.00322,2020-07-06 10:05:00
TGKN,80.9,746.1,520.2,44.0,78.0,2238.0,975.0,4732409.0,3649643.0,0.67,0.67,0.39,0.13,0.00211,0.00374,0.00306,0.00322,0.00315,0.00315,0.00315,0.00315,,1,3150,1,0.00315,0.0,1,0,3150,0,1,0,1.0,0.00315,,149.0,149.0,149.0,149.0,80.9,746.1,520.2,44.0,78.0,2238.0,975.0,4732409.0,3649643.0,0.67,0.67,0.39,0.13,0.00211,0.00374,0.00306,0.00322,2020-07-06 10:10:00
TGKN,53.1,758.3,389.0,45.0,78.0,2311.0,1156.0,4959733.0,4305250.0,-0.14,-0.14,0.33,0.07,0.00215,0.00372,0.00308,0.0032,0.00316,0.00316,0.00316,0.00316,,2,6320,2,0.00316,0.0,1,1,3160,3160,1,1,0.0,0.00316,0.00316,42.0,42.0,42.0,172.0,53.1,758.3,389.0,45.0,78.0,2311.0,1156.0,4959733.0,4305250.0,-0.14,-0.14,0.33,0.07,0.00215,0.00372,0.00308,0.0032,2020-07-06 10:20:00
TGKN,53.0,714.3,377.5,46.0,79.0,2318.0,1180.0,4981428.0,4401213.0,0.26,0.26,0.33,0.06,0.00215,0.00373,0.00308,0.0032,0.00315,0.00315,0.00315,0.00315,,1,3150,1,0.00315,0.0,0,1,0,3150,0,1,-1.0,,0.00315,23.0,23.0,23.0,23.0,53.0,714.3,377.5,46.0,79.0,2318.0,1180.0,4981428.0,4401213.0,0.26,0.26,0.33,0.06,0.00215,0.00373,0.00308,0.0032,2020-07-06 10:30:00
TGKN,73.3,739.0,373.7,45.0,79.0,2316.0,1181.0,4975142.0,4404784.0,0.22,0.22,0.32,0.06,0.00215,0.00373,0.00308,0.0032,0.00314,0.00314,0.00314,0.00314,,1,3140,1,0.00314,0.0,0,1,0,3140,0,1,-1.0,,0.00314,207.0,207.0,207.0,207.0,73.3,739.0,373.7,45.0,79.0,2316.0,1181.0,4975142.0,4404784.0,0.22,0.22,0.32,0.06,0.00215,0.00373,0.00308,0.0032,2020-07-06 10:35:00
TGKN,56.4,719.7,368.5,45.0,79.0,2319.0,1181.0,4984446.0,4407095.0,0.85,0.85,0.32,0.06,0.00215,0.00373,0.00309,0.0032,0.00315,0.00315,0.00315,0.00315,,1,3150,1,0.00315,0.0,1,0,3150,0,1,0,1.0,0.00315,,235.0,235.0,235.0,235.0,56.4,719.7,368.5,45.0,79.0,2319.0,1181.0,4984446.0,4407095.0,0.85,0.85,0.32,0.06,0.00215,0.00373,0.00309,0.0032,2020-07-06 10:45:00
TGKN,54.0,736.8,340.1,47.0,78.0,2330.0,1180.0,5021135.0,4402468.0,0.25,0.25,0.33,0.07,0.00215,0.00373,0.00309,0.0032,0.00316,0.00316,0.00315,0.00315,,2,6310,2,0.00316,-0.3165,1,1,3160,3150,1,1,0.0,0.00316,0.00315,91.0,91.0,216.0,216.0,54.0,736.8,340.1,47.0,78.0,2330.0,1180.0,5021135.0,4402468.0,0.25,0.25,0.33,0.07,0.00215,0.00373,0.00309,0.0032,2020-07-06 10:50:00
TGKN,31.7,690.8,333.3,47.0,79.0,2332.0,1190.0,5027985.0,4435564.0,0.39,0.39,0.32,0.06,0.00216,0.00373,0.00309,0.0032,0.00316,0.00316,0.00316,0.00316,,1,3160,1,0.00316,0.0,1,0,3160,0,1,0,1.0,0.00316,,21.0,21.0,21.0,21.0,31.7,690.8,333.3,47.0,79.0,2332.0,1190.0,5027985.0,4435564.0,0.39,0.39,0.32,0.06,0.00216,0.00373,0.00309,0.0032,2020-07-06 11:00:00
TGKN,31.8,692.3,330.1,46.0,79.0,2333.0,1211.0,5028208.0,4505261.0,0.28,0.28,0.32,0.05,0.00216,0.00372,0.00309,0.0032,0.00315,0.00315,0.00315,0.00315,0.0,15,47250,3,0.00315,0.0,0,3,0,47250,0,15,-1.0,,0.00315,109.0,109.0,109.0,109.0,31.8,692.3,330.1,46.0,79.0,2333.0,1211.0,5028208.0,4505261.0,0.28,0.28,0.32,0.05,0.00216,0.00372,0.00309,0.0032,2020-07-06 11:15:00
TGKN,31.8,693.1,364.4,46.0,80.0,2317.0,1218.0,4977511.0,4530107.0,-0.03,-0.03,0.31,0.05,0.00215,0.00372,0.00308,0.0032,0.00314,0.00314,0.00314,0.00314,0.0,5,15700,3,0.00314,0.0,0,3,0,15700,0,5,-1.0,,0.00314,49.0,49.0,49.0,49.0,31.8,693.1,364.4,46.0,80.0,2317.0,1218.0,4977511.0,4530107.0,-0.03,-0.03,0.31,0.05,0.00215,0.00372,0.00308,0.0032,2020-07-06 11:20:00
TGKN,31.8,693.1,360.9,46.0,80.0,2325.0,1229.0,5001072.0,4570284.0,-0.09,-0.09,0.31,0.05,0.00215,0.00372,0.00308,0.0032,0.00314,0.00314,0.00314,0.00314,,2,6280,1,0.00314,0.0,0,1,0,6280,0,2,-1.0,,0.00314,269.0,269.0,269.0,269.0,31.8,693.1,360.9,46.0,80.0,2325.0,1229.0,5001072.0,4570284.0,-0.09,-0.09,0.31,0.05,0.00215,0.00372,0.00308,0.0032,2020-07-06 11:25:00
TGKN,31.8,693.1,354.1,45.0,83.0,2343.0,1404.0,5054970.0,5181471.0,-0.18,-0.18,0.25,-0.01,0.00216,0.00369,0.00309,0.0032,0.00315,0.00315,0.00315,0.00315,,1,3150,1,0.00315,0.0,1,0,3150,0,1,0,1.0,0.00315,,91.0,91.0,91.0,91.0,31.8,693.1,354.1,45.0,83.0,2343.0,1404.0,5054970.0,5181471.0,-0.18,-0.18,0.25,-0.01,0.00216,0.00369,0.00309,0.0032,2020-07-06 11:35:00
TGKN,31.8,693.1,370.2,47.0,84.0,2294.0,1410.0,4891417.0,5200178.0,-0.83,-0.83,0.24,-0.03,0.00213,0.00369,0.00307,0.00319,0.00314,0.00314,0.00314,0.00314,,1,3140,1,0.00314,0.0,0,1,0,3140,0,1,-1.0,,0.00314,112.0,112.0,112.0,112.0,31.8,693.1,370.2,47.0,84.0,2294.0,1410.0,4891417.0,5200178.0,-0.83,-0.83,0.24,-0.03,0.00213,0.00369,0.00307,0.00319,2020-07-06 11:55:00
TGKN,31.9,694.6,351.9,47.0,84.0,2348.0,1404.0,5044717.0,5181723.0,-0.72,-0.72,0.25,-0.01,0.00215,0.00369,0.00308,0.00319,0.00315,0.00315,0.00314,0.00314,0.0022,6,18850,3,0.00314,-0.3175,1,2,3150,15700,1,5,-0.67,0.00315,0.00314,77.0,77.0,108.0,108.0,31.9,694.6,351.9,47.0,84.0,2348.0,1404.0,5044717.0,5181723.0,-0.72,-0.72,0.25,-0.01,0.00215,0.00369,0.00308,0.00319,2020-07-06 12:05:00
TGKN,31.9,695.4,371.2,47.0,85.0,2340.0,1406.0,5020909.0,5188282.0,-0.76,-0.76,0.25,-0.02,0.00214,0.00369,0.00307,0.00319,0.00313,0.00313,0.00313,0.00313,,1,3130,1,0.00313,0.0,0,1,0,3130,0,1,-1.0,,0.00313,70.0,70.0,70.0,70.0,31.9,695.4,371.2,47.0,85.0,2340.0,1406.0,5020909.0,5188282.0,-0.76,-0.76,0.25,-0.02,0.00214,0.00369,0.00307,0.00319,2020-07-06 12:15:00
