ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
TUZA,116.2,2227.1,,26.0,29.0,503.0,791.0,430777.0,913814.0,-0.44,-0.45,-0.22,-0.36,86.0,115.0,,115.0,95.0,95.0,95.0,95.0,,10,9500,1,95.0,0.0,0,1,0,9500,0,10,-1.0,,95.0,234.0,234.0,234.0,234.0,116.2,2227.1,,26.0,29.0,503.0,791.0,430777.0,913814.0,-0.44,-0.45,-0.22,-0.36,86.0,115.0,,115.0,2020-07-06 10:05:00
TUZA,106.4,2235.3,,30.0,34.0,603.0,1422.0,510660.0,1610083.0,0.67,0.66,-0.4,-0.52,85.0,113.0,,106.0,95.0,95.0,95.0,95.0,,10,9500,1,95.0,0.0,1,0,9500,0,10,0,1.0,95.0,,62.0,62.0,62.0,62.0,106.4,2235.3,,30.0,34.0,603.0,1422.0,510660.0,1610083.0,0.67,0.66,-0.4,-0.52,85.0,113.0,,106.0,2020-07-06 10:35:00
TUZA,106.4,2235.3,,31.0,34.0,747.0,1584.0,609832.0,1789405.0,0.68,0.68,-0.36,-0.49,82.0,113.0,,105.0,94.0,94.0,94.0,94.0,,43,40420,2,94.0,0.0,0,2,0,40420,0,43,-1.0,,94.0,274.0,274.0,274.0,274.0,106.4,2235.3,,31.0,34.0,747.0,1584.0,609832.0,1789405.0,0.68,0.68,-0.36,-0.49,82.0,113.0,,105.0,2020-07-06 11:30:00
TUZA,106.4,2235.3,,31.0,34.0,741.0,1624.0,603496.0,1827610.0,0.11,0.11,-0.37,-0.5,81.0,113.0,,104.0,94.0,94.0,94.0,94.0,,5,4700,1,94.0,0.0,0,1,0,4700,0,5,-1.0,,94.0,225.0,225.0,225.0,225.0,106.4,2235.3,,31.0,34.0,741.0,1624.0,603496.0,1827610.0,0.11,0.11,-0.37,-0.5,81.0,113.0,,104.0,2020-07-06 11:50:00
TUZA,106.4,2235.3,,31.0,34.0,764.0,1647.0,619920.0,1850226.0,0.02,0.01,-0.37,-0.5,81.0,112.0,,104.0,95.0,95.0,95.0,95.0,,5,4750,1,95.0,0.0,1,0,4750,0,5,0,1.0,95.0,,86.0,86.0,86.0,86.0,106.4,2235.3,,31.0,34.0,764.0,1647.0,619920.0,1850226.0,0.02,0.01,-0.37,-0.5,81.0,112.0,,104.0,2020-07-06 12:20:00
TUZA,106.4,2235.3,,29.0,34.0,619.0,1689.0,496602.0,1894260.0,-0.05,-0.05,-0.46,-0.58,80.0,112.0,,103.0,94.0,94.0,94.0,94.0,,1,940,1,94.0,0.0,0,1,0,940,0,1,-1.0,,94.0,29.0,29.0,29.0,29.0,106.4,2235.3,,29.0,34.0,619.0,1689.0,496602.0,1894260.0,-0.05,-0.05,-0.46,-0.58,80.0,112.0,,103.0,2020-07-06 13:45:00
TUZA,106.4,2235.3,,29.0,34.0,625.0,1703.0,502180.0,1911696.0,-0.28,-0.28,-0.46,-0.58,80.0,112.0,,103.0,95.0,95.0,95.0,95.0,,1,950,1,95.0,0.0,1,0,950,0,1,0,1.0,95.0,,111.0,111.0,111.0,111.0,106.4,2235.3,,29.0,34.0,625.0,1703.0,502180.0,1911696.0,-0.28,-0.28,-0.46,-0.58,80.0,112.0,,103.0,2020-07-06 17:30:00
TUZA,106.4,2235.3,,30.0,26.0,438.0,1058.0,370062.0,1198350.0,-0.16,-0.16,-0.41,-0.53,84.0,113.0,,110.0,95.0,95.0,95.0,95.0,,3,2850,1,95.0,0.0,1,0,2850,0,3,0,1.0,95.0,,243.0,243.0,243.0,243.0,106.4,2235.3,,30.0,26.0,438.0,1058.0,370062.0,1198350.0,-0.16,-0.16,-0.41,-0.53,84.0,113.0,,110.0,2020-07-07 10:35:00
TUZA,106.4,2648.0,,30.0,27.0,550.0,1224.0,451949.0,1379649.0,0.47,0.47,-0.38,-0.51,82.0,113.0,,107.0,95.0,95.0,95.0,95.0,,3,2850,1,95.0,0.0,1,0,2850,0,3,0,1.0,95.0,,12.0,12.0,12.0,12.0,106.4,2648.0,,30.0,27.0,550.0,1224.0,451949.0,1379649.0,0.47,0.47,-0.38,-0.51,82.0,113.0,,107.0,2020-07-07 10:40:00
TUZA,106.4,2682.9,,31.0,29.0,612.0,1620.0,502462.0,1823246.0,0.51,0.51,-0.45,-0.57,82.0,112.0,,103.0,95.0,95.0,95.0,95.0,,28,26600,1,95.0,0.0,1,0,26600,0,28,0,1.0,95.0,,162.0,162.0,162.0,162.0,106.4,2682.9,,31.0,29.0,612.0,1620.0,502462.0,1823246.0,0.51,0.51,-0.45,-0.57,82.0,112.0,,103.0,2020-07-07 12:50:00
TUZA,106.4,2682.9,,31.0,29.0,636.0,1637.0,524421.0,1839528.0,0.54,0.54,-0.44,-0.56,82.0,112.0,,103.0,94.0,94.0,94.0,94.0,0.0,47,44180,9,94.0,0.0,0,9,0,44180,0,47,-1.0,,94.0,63.0,63.0,63.0,63.0,106.4,2682.9,,31.0,29.0,636.0,1637.0,524421.0,1839528.0,0.54,0.54,-0.44,-0.56,82.0,112.0,,103.0,2020-07-07 13:50:00
TUZA,106.4,2381.0,,32.0,29.0,672.0,1658.0,555128.0,1859526.0,0.31,0.3,-0.42,-0.54,83.0,112.0,,103.0,95.0,95.0,95.0,95.0,,1,950,1,95.0,0.0,1,0,950,0,1,0,1.0,95.0,,163.0,163.0,163.0,163.0,106.4,2381.0,,32.0,29.0,672.0,1658.0,555128.0,1859526.0,0.31,0.3,-0.42,-0.54,83.0,112.0,,103.0,2020-07-07 15:25:00
TUZA,106.4,2381.0,,32.0,29.0,671.0,1668.0,554526.0,1868820.0,0.31,0.3,-0.43,-0.54,83.0,112.0,,103.0,94.0,94.0,94.0,94.0,,2,1880,1,94.0,0.0,0,1,0,1880,0,2,-1.0,,94.0,70.0,70.0,70.0,70.0,106.4,2381.0,,32.0,29.0,671.0,1668.0,554526.0,1868820.0,0.31,0.3,-0.43,-0.54,83.0,112.0,,103.0,2020-07-07 17:00:00
TUZA,106.4,2381.0,,32.0,29.0,661.0,1656.0,545496.0,1857523.0,0.03,0.02,-0.43,-0.55,82.0,112.0,,103.0,95.0,95.0,95.0,95.0,0.0,20,19000,6,95.0,0.0,6,0,19000,0,20,0,1.0,95.0,,139.0,139.0,139.0,139.0,106.4,2381.0,,32.0,29.0,661.0,1656.0,545496.0,1857523.0,0.03,0.02,-0.43,-0.55,82.0,112.0,,103.0,2020-07-07 18:10:00
TUZA,106.4,2381.0,,32.0,29.0,663.0,1648.0,547094.0,1849290.0,0.08,0.08,-0.43,-0.54,82.0,112.0,,103.0,94.0,94.0,94.0,94.0,,1,940,1,94.0,0.0,0,1,0,940,0,1,-1.0,,94.0,116.0,116.0,116.0,116.0,106.4,2381.0,,32.0,29.0,663.0,1648.0,547094.0,1849290.0,0.08,0.08,-0.43,-0.54,82.0,112.0,,103.0,2020-07-07 18:40:00
