ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
UNAC,45.8,377.2,400.9,41.0,53.0,3520.0,2606.0,1599045.0,1299048.0,0.58,0.58,0.15,0.1,0.4542,0.4985,0.4718,0.4907,0.482,0.482,0.48,0.4805,0.0037,8,3844,3,0.4806,-0.3112,2,1,2884,960,6,2,0.5,0.4808,0.48,72.0,72.0,86.0,87.0,45.8,377.2,400.9,41.0,53.0,3520.0,2606.0,1599045.0,1299048.0,0.58,0.58,0.15,0.1,0.4542,0.4985,0.4718,0.4907,2020-07-06 10:15:00
UNAC,45.2,389.2,383.6,44.0,59.0,3963.0,2924.0,1794446.0,1456649.0,0.58,0.57,0.15,0.1,0.4528,0.498,0.4721,0.4903,0.4805,0.4825,0.4785,0.4825,0.002,48,23064,11,0.4805,0.4162,5,6,13460,9603,28,20,0.17,0.4807,0.4802,36.0,243.0,74.0,243.0,45.2,389.2,383.6,44.0,59.0,3963.0,2924.0,1794446.0,1456649.0,0.58,0.57,0.15,0.1,0.4528,0.498,0.4721,0.4903,2020-07-06 10:20:00
UNAC,68.2,400.1,377.1,45.0,63.0,4036.0,3206.0,1826354.0,1596086.0,0.14,0.13,0.11,0.07,0.4524,0.4978,0.472,0.4898,0.48,0.482,0.48,0.482,,16,7682,2,0.4801,0.4167,1,1,482,7200,1,15,-0.88,0.482,0.48,125.0,169.0,125.0,169.0,68.2,400.1,377.1,45.0,63.0,4036.0,3206.0,1826354.0,1596086.0,0.14,0.13,0.11,0.07,0.4524,0.4978,0.472,0.4898,2020-07-06 10:25:00
UNAC,70.3,397.2,374.2,46.0,64.0,4042.0,3449.0,1828978.0,1715915.0,0.24,0.24,0.08,0.03,0.4524,0.4975,0.472,0.4896,0.4785,0.482,0.4785,0.4785,0.0073,6,2878,4,0.4797,0.0,1,3,964,1914,2,4,-0.33,0.482,0.4785,176.0,212.0,176.0,223.0,70.3,397.2,374.2,46.0,64.0,4042.0,3449.0,1828978.0,1715915.0,0.24,0.24,0.08,0.03,0.4524,0.4975,0.472,0.4896,2020-07-06 10:30:00
UNAC,42.7,351.5,354.5,47.0,65.0,4070.0,3577.0,1843359.0,1778536.0,0.3,0.3,0.06,0.02,0.4528,0.4972,0.4727,0.4895,0.48,0.482,0.48,0.482,0.0029,3,1444,3,0.4813,0.4167,3,0,1444,0,3,0,1.0,0.4813,,131.0,244.0,131.0,281.0,42.7,351.5,354.5,47.0,65.0,4070.0,3577.0,1843359.0,1778536.0,0.3,0.3,0.06,0.02,0.4528,0.4972,0.4727,0.4895,2020-07-06 10:35:00
UNAC,47.1,326.9,340.0,48.0,62.0,4121.0,4033.0,1868563.0,2007767.0,0.43,0.43,0.01,-0.03,0.4534,0.4977,0.4737,0.4898,0.482,0.4845,0.482,0.484,0.0024,98,47292,11,0.4826,0.4149,9,2,40048,7244,83,15,0.69,0.4825,0.4829,50.0,130.0,50.0,225.0,47.1,326.9,340.0,48.0,62.0,4121.0,4033.0,1868563.0,2007767.0,0.43,0.43,0.01,-0.03,0.4534,0.4977,0.4737,0.4898,2020-07-06 10:40:00
UNAC,52.3,314.2,339.5,48.0,63.0,4110.0,4800.0,1863660.0,2390169.0,0.3,0.3,-0.08,-0.12,0.4534,0.4978,0.4736,0.4897,0.4845,0.4845,0.4815,0.483,0.0025,42,20251,10,0.4822,-0.3096,7,3,10621,9630,22,20,0.05,0.4828,0.4815,52.0,52.0,145.0,242.0,52.3,314.2,339.5,48.0,63.0,4110.0,4800.0,1863660.0,2390169.0,0.3,0.3,-0.08,-0.12,0.4534,0.4978,0.4736,0.4897,2020-07-06 10:45:00
UNAC,26.0,297.9,323.1,48.0,64.0,4143.0,5265.0,1879737.0,2621984.0,0.34,0.34,-0.12,-0.16,0.4537,0.4979,0.4742,0.4895,0.483,0.483,0.483,0.483,,14,6762,1,0.483,0.0,1,0,6762,0,14,0,1.0,0.483,,180.0,180.0,180.0,180.0,26.0,297.9,323.1,48.0,64.0,4143.0,5265.0,1879737.0,2621984.0,0.34,0.34,-0.12,-0.16,0.4537,0.4979,0.4742,0.4895,2020-07-06 10:50:00
UNAC,22.5,299.9,321.9,48.0,65.0,4160.0,5291.0,1887644.0,2634894.0,0.52,0.52,-0.12,-0.17,0.4537,0.4979,0.4742,0.4895,0.483,0.483,0.482,0.482,0.0009,73,35245,6,0.4828,-0.207,0,6,0,35245,0,73,-1.0,,0.4828,11.0,11.0,292.0,292.0,22.5,299.9,321.9,48.0,65.0,4160.0,5291.0,1887644.0,2634894.0,0.52,0.52,-0.12,-0.17,0.4537,0.4979,0.4742,0.4895,2020-07-06 10:55:00
UNAC,31.1,298.8,308.4,48.0,66.0,4280.0,5303.0,1944703.0,2641192.0,0.75,0.75,-0.11,-0.15,0.4543,0.4981,0.475,0.4896,0.482,0.482,0.482,0.482,,8,3856,1,0.482,0.0,0,1,0,3856,0,8,-1.0,,0.482,102.0,102.0,102.0,102.0,31.1,298.8,308.4,48.0,66.0,4280.0,5303.0,1944703.0,2641192.0,0.75,0.75,-0.11,-0.15,0.4543,0.4981,0.475,0.4896,2020-07-06 11:00:00
