ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
VRSB,367.1,2389.7,,28.0,20.0,175.0,96.0,907422.0,643901.0,0.0,-0.02,0.26,0.14,51.7,66.8,52.8,,58.2,60.4,55.4,59.0,0.0211,57,329820,28,57.9,1.3746,16,12,227240,102580,39,18,0.37,58.3,57.0,20.0,98.0,82.0,294.0,367.1,2389.7,,28.0,20.0,175.0,96.0,907422.0,643901.0,0.0,-0.02,0.26,0.14,51.7,66.8,52.8,,2020-07-06 10:05:00
VRSB,211.9,1364.7,2401.4,34.0,26.0,244.0,126.0,1268460.0,858794.0,-0.32,-0.33,0.32,0.19,52.0,68.0,53.4,66.2,59.4,60.4,57.0,57.2,0.0084,50,294540,34,58.9,-3.7037,26,8,248200,46340,42,8,0.68,59.1,57.9,66.0,142.0,280.0,293.0,211.9,1364.7,2401.4,34.0,26.0,244.0,126.0,1268460.0,858794.0,-0.32,-0.33,0.32,0.19,52.0,68.0,53.4,66.2,2020-07-06 10:10:00
VRSB,128.2,1320.0,2113.5,30.0,37.0,239.0,182.0,1229238.0,1188892.0,0.09,0.08,0.13,0.01,51.3,65.3,52.6,63.7,57.4,57.4,55.6,56.4,0.0057,83,468280,46,56.4,-1.7422,15,31,140620,327660,25,58,-0.4,56.2,56.5,16.0,16.0,40.0,299.0,128.2,1320.0,2113.5,30.0,37.0,239.0,182.0,1229238.0,1188892.0,0.09,0.08,0.13,0.01,51.3,65.3,52.6,63.7,2020-07-06 10:15:00
VRSB,185.1,1023.8,1964.2,36.0,36.0,271.0,189.0,1391604.0,1230854.0,-0.22,-0.23,0.18,0.06,51.3,65.1,52.9,63.2,57.0,57.2,56.0,57.2,0.0157,6,34120,6,56.9,0.3509,4,2,22860,11260,4,2,0.33,57.2,56.3,29.0,137.0,91.0,178.0,185.1,1023.8,1964.2,36.0,36.0,271.0,189.0,1391604.0,1230854.0,-0.22,-0.23,0.18,0.06,51.3,65.1,52.9,63.2,2020-07-06 10:20:00
VRSB,83.2,1010.4,1743.6,35.0,40.0,286.0,206.0,1476474.0,1348564.0,0.18,0.17,0.16,0.05,51.5,65.3,53.3,62.6,56.4,57.0,55.8,56.0,0.0054,40,224380,25,56.1,-0.7092,7,18,44960,179420,8,32,-0.6,56.2,56.1,37.0,37.0,162.0,266.0,83.2,1010.4,1743.6,35.0,40.0,286.0,206.0,1476474.0,1348564.0,0.18,0.17,0.16,0.05,51.5,65.3,53.3,62.6,2020-07-06 10:25:00
VRSB,62.1,1020.8,1583.6,34.0,44.0,338.0,208.0,1745288.0,1363314.0,0.04,0.04,0.24,0.12,51.6,65.2,53.8,62.3,55.8,56.4,55.4,55.4,0.003,51,283960,21,55.7,-0.7168,7,14,39240,244720,7,44,-0.73,56.1,55.6,65.0,222.0,248.0,288.0,62.1,1020.8,1583.6,34.0,44.0,338.0,208.0,1745288.0,1363314.0,0.04,0.04,0.24,0.12,51.6,65.2,53.8,62.3,2020-07-06 10:30:00
VRSB,73.4,1153.1,2227.7,34.0,43.0,308.0,148.0,1572018.0,962854.0,0.58,0.58,0.35,0.24,51.0,64.9,52.6,64.1,55.4,56.0,55.4,55.4,0.004,37,205160,10,55.4,0.0,3,7,22260,182900,4,33,-0.78,55.6,55.4,53.0,175.0,53.0,278.0,73.4,1153.1,2227.7,34.0,43.0,308.0,148.0,1572018.0,962854.0,0.58,0.58,0.35,0.24,51.0,64.9,52.6,64.1,2020-07-06 10:35:00
VRSB,158.5,1362.6,2117.1,32.0,42.0,294.0,162.0,1467618.0,1021712.0,0.44,0.44,0.29,0.18,49.9,63.1,51.6,62.5,55.2,55.8,54.2,55.8,0.0083,57,312840,16,54.9,1.087,1,15,5580,307260,1,56,-0.96,55.8,54.9,40.0,203.0,178.0,203.0,158.5,1362.6,2117.1,32.0,42.0,294.0,162.0,1467618.0,1021712.0,0.44,0.44,0.29,0.18,49.9,63.1,51.6,62.5,2020-07-06 10:40:00
VRSB,170.2,1047.3,1826.2,34.0,45.0,284.0,182.0,1409922.0,1136490.0,0.4,0.4,0.22,0.11,49.6,62.3,51.3,60.7,54.8,55.4,54.4,55.4,0.011,7,38220,5,54.6,1.0949,2,3,11020,27200,2,5,-0.43,55.1,54.4,74.0,248.0,106.0,248.0,170.2,1047.3,1826.2,34.0,45.0,284.0,182.0,1409922.0,1136490.0,0.4,0.4,0.22,0.11,49.6,62.3,51.3,60.7,2020-07-06 10:45:00
VRSB,213.2,1020.5,1722.7,36.0,45.0,282.0,191.0,1397674.0,1186603.0,0.05,0.04,0.19,0.08,49.5,62.1,51.2,60.1,54.6,55.4,54.6,55.4,,2,11000,2,55.0,1.4652,1,1,5540,5460,1,1,0.0,55.4,54.6,73.0,125.0,73.0,125.0,213.2,1020.5,1722.7,36.0,45.0,282.0,191.0,1397674.0,1186603.0,0.05,0.04,0.19,0.08,49.5,62.1,51.2,60.1,2020-07-06 10:50:00
VRSB,227.0,1034.2,1648.0,35.0,46.0,282.0,199.0,1393736.0,1232043.0,-0.18,-0.19,0.17,0.06,49.4,61.9,51.1,59.6,54.4,54.4,54.2,54.2,0.0026,3,16280,3,54.3,-0.3676,0,3,0,16280,0,3,-1.0,,54.3,255.0,255.0,255.0,255.0,227.0,1034.2,1648.0,35.0,46.0,282.0,199.0,1393736.0,1232043.0,-0.18,-0.19,0.17,0.06,49.4,61.9,51.1,59.6,2020-07-06 10:55:00
