ticker,spread_bbo_x,spread_lv10_x,spread_1mio_x,levels_b_x,levels_s_x,vol_b_obstat_x,vol_s_obstat_x,val_b_obstat_x,val_s_obstat_x,imbalance_vol_bbo_x,imbalance_val_bbo_x,imbalance_vol_x,imbalance_val_x,vwap_b_x,vwap_s_x,vwap_b_1mio_x,vwap_s_1mio_x,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,spread_bbo_y,spread_lv10_y,spread_1mio_y,levels_b_y,levels_s_y,vol_b_obstat_y,vol_s_obstat_y,val_b_obstat_y,val_s_obstat_y,imbalance_vol_bbo_y,imbalance_val_bbo_y,imbalance_vol_y,imbalance_val_y,vwap_b_y,vwap_s_y,vwap_b_1mio_y,vwap_s_1mio_y,timestamp
VSMO,28.4,289.9,140.2,86,48.0,441,367.0,7225293,7738282.0,-0.27,-0.27,0.09,-0.03,16350.0,21031.0,18898.0,19163.0,19060,19060,19060,19060,,2,38120,2,19060.0,0.0,1,1,19060,19060,1,1,0.0,19060.0,19060.0,40.0,40.0,40.0,40.0,28.4,289.9,140.2,86,48.0,441,367.0,7225293,7738282.0,-0.27,-0.27,0.09,-0.03,16350.0,21031.0,18898.0,19163.0,2020-07-06 10:05:00
VSMO,21.7,249.0,118.9,91,61.0,467,485.0,7613558,10086766.0,-0.26,-0.27,-0.02,-0.14,16290.0,20780.0,18896.0,19121.0,19060,19060,19020,19040,0.0022,3,57120,3,19040.0,-0.1049,2,1,38100,19020,2,1,0.33,19050.0,19020.0,43.0,43.0,286.0,295.0,21.7,249.0,118.9,91,61.0,467,485.0,7613558,10086766.0,-0.26,-0.27,-0.02,-0.14,16290.0,20780.0,18896.0,19121.0,2020-07-06 10:15:00
VSMO,23.2,269.4,100.5,90,63.0,490,516.0,7985422,10703548.0,-0.17,-0.17,-0.03,-0.14,16289.0,20724.0,18900.0,19089.0,19000,19040,19000,19000,0.003,6,114040,3,19007.0,0.0,2,1,95040,19000,5,1,0.67,19008.0,19000.0,90.0,92.0,90.0,239.0,23.2,269.4,100.5,90,63.0,490,516.0,7985422,10703548.0,-0.17,-0.17,-0.03,-0.14,16289.0,20724.0,18900.0,19089.0,2020-07-06 10:20:00
VSMO,10.5,256.7,93.1,90,64.0,497,582.0,8099042,12036737.0,0.5,0.5,-0.08,-0.2,16285.0,20656.0,18892.0,19068.0,19000,19000,18980,18980,0.0005,8,151920,5,18990.0,-0.1053,3,2,57000,94920,3,5,-0.25,19000.0,18984.0,18.0,18.0,216.0,216.0,10.5,256.7,93.1,90,64.0,497,582.0,8099042,12036737.0,0.5,0.5,-0.08,-0.2,16285.0,20656.0,18892.0,19068.0,2020-07-06 10:25:00
VSMO,20.7,267.0,102.6,90,64.0,498,574.0,8128088,11884754.0,0.11,0.11,-0.07,-0.19,16291.0,20679.0,18882.0,19075.0,19000,19020,18980,19020,0.0016,6,114040,6,19007.0,0.1053,5,1,95060,18980,5,1,0.67,19012.0,18980.0,7.0,7.0,149.0,291.0,20.7,267.0,102.6,90,64.0,498,574.0,8128088,11884754.0,0.11,0.11,-0.07,-0.19,16291.0,20679.0,18882.0,19075.0,2020-07-06 10:30:00
VSMO,10.5,255.1,99.6,91,64.0,506,569.0,8281086,11781457.0,0.45,0.45,-0.06,-0.17,16336.0,20694.0,18890.0,19078.0,19000,19000,19000,19000,,5,95000,2,19000.0,0.0,1,1,38000,57000,2,3,-0.2,19000.0,19000.0,158.0,158.0,158.0,191.0,10.5,255.1,99.6,91,64.0,506,569.0,8281086,11781457.0,0.45,0.45,-0.06,-0.17,16336.0,20694.0,18890.0,19078.0,2020-07-06 10:35:00
VSMO,16.2,253.9,97.6,92,65.0,518,569.0,8489290,11788436.0,0.35,0.35,-0.05,-0.16,16383.0,20700.0,18893.0,19077.0,19000,19000,19000,19000,0.0,3,57000,3,19000.0,0.0,1,2,19000,38000,1,2,-0.33,19000.0,19000.0,147.0,147.0,147.0,249.0,16.2,253.9,97.6,92,65.0,518,569.0,8489290,11788436.0,0.35,0.35,-0.05,-0.16,16383.0,20700.0,18893.0,19077.0,2020-07-06 10:40:00
VSMO,15.8,251.2,109.3,91,66.0,532,593.0,8726130,12251280.0,0.38,0.38,-0.05,-0.17,16379.0,20656.0,18859.0,19066.0,19020,19020,18960,18960,0.0006,17,322520,8,18972.0,-0.3155,1,7,19020,303500,1,16,-0.88,19020.0,18969.0,129.0,129.0,247.0,247.0,15.8,251.2,109.3,91,66.0,532,593.0,8726130,12251280.0,0.38,0.38,-0.05,-0.17,16379.0,20656.0,18859.0,19066.0,2020-07-06 10:50:00
VSMO,14.4,256.5,131.1,89,68.0,516,810.0,8434054,17169306.0,0.29,0.29,-0.22,-0.34,16329.0,21153.0,18808.0,19055.0,18960,18980,18960,18960,0.0009,8,151760,5,18970.0,0.0,2,3,75920,75840,4,4,0.0,18980.0,18960.0,19.0,155.0,19.0,285.0,14.4,256.5,131.1,89,68.0,516,810.0,8434054,17169306.0,0.29,0.29,-0.22,-0.34,16329.0,21153.0,18808.0,19055.0,2020-07-06 10:55:00
VSMO,16.9,252.3,125.5,90,67.0,516,877.0,8439112,18650978.0,-0.54,-0.54,-0.26,-0.38,16330.0,21263.0,18810.0,19046.0,19000,19000,18980,19000,0.0015,3,56980,3,18993.0,0.0,2,1,38000,18980,2,1,0.33,19000.0,18980.0,220.0,220.0,260.0,261.0,16.9,252.3,125.5,90,67.0,516,877.0,8439112,18650978.0,-0.54,-0.54,-0.26,-0.38,16330.0,21263.0,18810.0,19046.0,2020-07-06 11:00:00
