tradedate,tradetime,ticker,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b_obstat,val_s_obstat,vol_b_obstat,vol_s_obstat,disb,pr_vwap_b,pr_vwap_s,sec_pr_open,sec_pr_high,sec_pr_low,sec_pr_close,put_orders_b,put_orders_s,put_val_b,put_val_s,put_vol_b,put_vol_s,put_vwap_b,put_vwap_s,put_vol,put_val,put_orders,cancel_orders_b,cancel_orders_s,cancel_val_b,cancel_val_s,cancel_vol_b,cancel_vol_s,cancel_vwap_b,cancel_vwap_s,cancel_vol,cancel_val,cancel_orders,spread_bbo,spread_lv10,spread_1mio,levels_b,levels_s,vol_b_order,vol_s_order,val_b_order,val_s_order,imbalance_vol_bbo,imbalance_val_bbo,imbalance_vol,imbalance_val,vwap_b,vwap_s,vwap_b_1mio,vwap_s_1mio
2025-01-03,10:05:00,SBER,279.99,280.41,279.2,279.54,0.0001,241287,675113092,3856,279.8,-0.1607,2051,1805,291721151,383391941,104248,137039,-0.14,279.83,279.77,1,159,102,300,48196,60474,22049299795,27752961761,7918008,9947001,278.47,279.01,17865009,49802261556,108670,46089,58405,21434894764,27071918391,7664438,9668789,279.67,279.99,17333227,48506813155,104494,1.0,9.6,1.7,755,471,210977,224125,575184410,644588519,0.08,0.08,-0.03,-0.06,272.57,287.64,279.79,279.84
2025-01-03,10:10:00,SBER,279.54,279.56,278.11,278.4,0.0001,228933,638680676,2776,278.98,-0.4078,1073,1703,217852082,420828593,78102,150831,-0.32,278.93,279.01,1,1,232,300,76351,85962,36424763559,42167280623,13103738,15194216,277.97,277.52,28297954,78592044183,162313,74802,84595,36033349987,41788054262,12931057,14981542,278.66,278.93,27912599,77821404249,159397,1.4,11.6,2.5,743,527,185877,265719,504177610,761898120,-0.07,-0.07,-0.18,-0.2,271.22,286.73,278.89,278.96
2025-01-03,10:15:00,SBER,278.53,279.21,278.14,278.4,0.0001,101954,284080626,1916,278.64,-0.0467,1070,846,126564339,157516287,45401,56553,-0.11,278.77,278.53,2,139,9,300,83635,73550,44448961308,39290402946,15966275,14122142,278.39,278.22,30088417,83739364255,157185,82204,72710,44081210119,39096797762,15823471,14022901,278.58,278.81,29846372,83178007881,154914,0.9,9.5,2.2,768,553,228826,272020,622592289,779656611,-0.15,-0.15,-0.09,-0.11,272.06,286.62,278.64,278.7
2025-01-03,10:20:00,SBER,278.42,279.01,278.3,278.32,0.0,61568,171522940,1532,278.59,-0.0359,812,720,82880821,88642118,29745,31823,-0.03,278.64,278.55,1,167,289,300,32169,32886,16448827155,14938847306,5914709,5364795,278.1,278.46,11279504,31387674462,65055,31222,32062,16225824374,14800182586,5824827,5309202,278.56,278.76,11134029,31026006961,63284,0.5,8.1,1.6,795,568,270775,274809,738578389,787593926,0.14,0.14,-0.01,-0.03,272.75,286.6,278.56,278.6
2025-01-03,10:25:00,SBER,278.32,278.44,277.77,277.8,0.0,117768,327574944,2027,278.15,-0.1868,693,1334,77488290,250086654,27861,89907,-0.53,278.12,278.16,1,41,274,300,10854,26015,5968457534,13006868831,2155491,4701740,276.9,276.64,6857231,18975326365,36869,9935,24944,5792588440,12755965881,2084430,4584570,277.9,278.24,6669000,18548554321,34879,0.5,7.6,0.8,787,583,266628,282412,726194889,808573819,0.22,0.22,-0.03,-0.05,272.33,286.31,278.21,278.23
2025-01-03,10:30:00,SBER,277.8,277.81,276.53,276.89,0.0001,206111,571014082,2818,277.04,-0.3276,1068,1750,174779508,396234574,63092,143019,-0.39,277.02,277.05,1,1,214,300,32853,42467,18389691982,22073043843,6663732,8042246,275.97,274.46,14705978,40462735825,75320,31229,41100,17929303505,21733921066,6476102,7837915,276.85,277.29,14314017,39663224572,72329,0.6,8.0,1.2,752,633,213638,298366,578449341,852481199,0.0,0.0,-0.17,-0.19,270.75,285.72,277.0,277.04
2025-01-03,10:35:00,SBER,276.89,277.62,276.76,277.47,0.0,68099,188742123,1256,277.16,0.2095,897,359,138697349,50044774,50035,18064,0.47,277.2,277.04,1,291,22,300,7654,13489,4478732773,7137578988,1644591,2579831,272.33,276.67,4224422,11616311762,21143,6692,12921,4316318550,6964525736,1558757,2511310,276.91,277.33,4070067,11280844287,19613,0.4,7.9,0.9,792,652,251248,300928,681578790,859535560,-0.01,-0.01,-0.09,-0.12,271.27,285.63,277.07,277.1
2025-01-03,10:40:00,SBER,277.45,277.73,277.34,277.48,0.0,43119,119659230,740,277.51,0.0108,435,305,72990343,46668886,26300,16819,0.22,277.53,277.48,1,206,61,299,40694,24001,22740103518,12118344572,8216553,4370727,276.76,277.26,12587280,34858448091,64695,40155,23625,22658694360,12017097315,8170219,4328626,277.33,277.62,12498845,34675791675,63780,0.5,8.1,1.2,846,654,260922,307847,708480677,879003320,0.06,0.06,-0.08,-0.11,271.53,285.53,277.46,277.5
2025-01-03,10:45:00,SBER,277.5,277.5,276.6,276.87,0.0,79726,220820913,1300,276.97,-0.227,457,843,58153715,162667198,21006,58720,-0.47,276.84,277.02,1,1,225,299,12265,28361,6670233224,16126533977,2414560,5853310,276.25,275.51,8267870,22796767202,40626,11624,27716,6526694650,16034743125,2356789,5785480,276.93,277.15,8142269,22561437776,39340,0.6,8.0,1.2,815,685,250296,302285,678695305,863623880,0.17,0.17,-0.09,-0.12,271.15,285.7,276.93,276.96
2025-01-03,10:50:00,SBER,276.87,276.87,275.65,276.07,0.0001,105235,290487743,2288,276.04,-0.2889,718,1570,108744691,181743052,39406,65829,-0.25,275.96,276.08,1,1,196,300,31002,64826,15352987044,30571031165,5583240,11099563,274.98,275.43,16682803,45924018209,95828,29897,63624,15103690383,30394045485,5475010,11001900,275.87,276.26,16476910,45497735868,93521,1.1,8.6,2.1,760,719,232831,307571,629198846,878018319,-0.15,-0.15,-0.14,-0.17,270.23,285.47,276.02,276.08
